SOLAR,7644 L,HISTORICAL
114th,Sat     New,357 L Apr \ 28
115th,Sun,357 L Apr \ 29
116th,Mon,357 L Apr \ 30
117th,Tue,357 L May / 1
118th,Wed,357 L May / 2
119th,Thu,357 L May / 3
120th,Fri,357 L May / 4
121st,Sat,357 L May / 5
122nd,Sun,357 L May / 6
123rd,Mon,357 L May / 7
124th,Tue,357 L May / 8
125th,Wed,357 L May / 9
126th,Thu,357 L May / 10
127th,Fri,357 L May / 11
128th,Sat,357 L May / 12
129th,Sun     Full,357 L May / 13
130th,Mon,357 L May / 14
131st,Tue,357 L May / 15
132nd,Wed,357 L May / 16
133rd,Thu,357 L May / 17
134th,Fri,357 L May / 18
135th,Sat,357 L May / 19
136th,Sun,357 L May / 20
137th,Mon,357 L May / 21
138th,Tue,357 L May / 22
139th,Wed,357 L May / 23
140th,Thu,357 L May / 24
141st,Fri,357 L May / 25
142nd,Sat,357 L May / 26
143rd,Sun     New,357 L May / 27
144th,Mon,357 L May / 28
145th,Tue,357 L May / 29
146th,Wed,357 L May / 30
147th,Thu,357 L May / 31
148th,Fri,357 L Jun / 1
149th,Sat,357 L Jun / 2
150th,Sun,357 L Jun / 3
151st,Mon,357 L Jun / 4
152nd,Tue,357 L Jun / 5
153rd,Wed,357 L Jun / 6
154th,Thu,357 L Jun / 7
155th,Fri,357 L Jun / 8
156th,Sat,357 L Jun / 9
157th,Sun,357 L Jun / 10
158th,Mon     Full,357 L Jun / 11
159th,Tue,357 L Jun / 12
160th S,Wed,357 L Jun / 13
161st,Thu,357 L Jun / 14
162nd,Fri,357 L Jun / 15
163rd,Sat,357 L Jun / 16
164th,Sun,357 L Jun / 17
165th,Mon,357 L Jun / 18
166th,Tue,357 L Jun / 19
167th,Wed,357 L Jun / 20
168th,Thu,357 L Jun / 21
169th,Fri,357 L Jun / 22
170th,Sat,357 L Jun / 23
171st,Sun,357 L Jun / 24
172nd,Mon     New,357 L Jun / 25
173rd,Tue,357 L Jun / 26
174th,Wed,357 L Jun / 27
175th,Thu,357 L Jun / 28
176th,Fri,357 L Jun / 29
177th,Sat,357 L Jun / 30
178th,Sun,357 L Jul / 1
179th,Mon,357 L Jul / 2
180th,Tue,357 L Jul / 3
181st,Wed,357 L Jul / 4
182nd,Thu,357 L Jul / 5
183rd,Fri,357 L Jul / 6
184th,Sat,357 L Jul / 7
185th,Sun,357 L Jul / 8
186th,Mon,357 L Jul / 9
187th,Tue,357 L Jul / 10
188th,Wed     Full,357 L Jul / 11
189th,Thu,357 L Jul / 12
190th,Fri,357 L Jul / 13
191st,Sat,357 L Jul / 14
192nd,Sun,357 L Jul / 15
193rd,Mon,357 L Jul / 16
194th,Tue,357 L Jul / 17
195th,Wed,357 L Jul / 18
196th,Thu,357 L Jul / 19
197th,Fri,357 L Jul / 20
198th,Sat,357 L Jul / 21
199th,Sun,357 L Jul / 22
200th,Mon,357 L Jul / 23
201st,Tue,357 L Jul / 24
202nd,Wed     New,357 L Jul / 25
203rd,Thu,357 L Jul / 26
204th,Fri,357 L Jul / 27
205th,Sat,357 L Jul / 28
206th,Sun,357 L Jul / 29
207th,Mon,357 L Jul / 30
208th,Tue,357 L Jul / 31
209th,Wed,357 L Aug / 1
210th,Thu,357 L Aug / 2
211th,Fri,357 L Aug / 3
212th,Sat,357 L Aug / 4
213th,Sun,357 L Aug / 5
214th,Mon,357 L Aug / 6
215th,Tue,357 L Aug / 7
216th,Wed,357 L Aug / 8
217th,Thu     Full,357 L Aug / 9
218th,Fri,357 L Aug / 10
219th,Sat,357 L Aug / 11
220th,Sun,357 L Aug / 12
221st,Mon,357 L Aug / 13
222nd,Tue,357 L Aug / 14
223rd,Wed,357 L Aug / 15
224th,Thu,357 L Aug / 16
225th,Fri,357 L Aug / 17
226th,Sat,357 L Aug / 18
227th,Sun,357 L Aug / 19
228th,Mon,357 L Aug / 20
229th,Tue,357 L Aug / 21
230th,Wed,357 L Aug / 22
231st,Thu     New,357 L Aug / 23
232nd,Fri,357 L Aug / 24
233rd,Sat,357 L Aug / 25
234th,Sun,357 L Aug / 26
235th,Mon,357 L Aug / 27
236th,Tue,357 L Aug / 28
237th,Wed,357 L Aug / 29
238th,Thu,357 L Aug / 30
239th,Fri,357 L Aug / 31
240th,Sat,357 L Sep / 1
241st,Sun,357 L Sep / 2
242nd,Mon,357 L Sep / 3
243rd,Tue,357 L Sep / 4
244th,Wed,357 L Sep / 5
245th,Thu,357 L Sep / 6
246th,Fri,357 L Sep / 7
247th,Sat     Full,357 L Sep / 8
248th,Sun,357 L Sep / 9
249th,Mon,357 L Sep / 10
250th,Tue,357 L Sep / 11
251st,Wed,357 L Sep / 12
252nd,Thu,357 L Sep / 13
253rd,Fri,357 L Sep / 14
254th,Sat,357 L Sep / 15
255th,Sun,357 L Sep / 16
256th,Mon,357 L Sep / 17
257th,Tue,357 L Sep / 18
258th,Wed,357 L Sep / 19
259th,Thu,357 L Sep / 20
260th,Fri,357 L Sep / 21
261st,Sat     New,357 L Sep / 22
262nd,Sun,357 L Sep / 23
263rd,Mon,357 L Sep / 24
264th,Tue,357 L Sep / 25
265th,Wed,357 L Sep / 26
266th EQ,Thu,357 L Sep / 27
267th,Fri,357 L Sep / 28
268th,Sat,357 L Sep / 29
269th,Sun,357 L Sep / 30
270th,Mon,357 L Oct / 1
271st,Tue,357 L Oct / 2
272nd,Wed,357 L Oct / 3
273rd,Thu,357 L Oct / 4
274th,Fri,357 L Oct / 5
275th,Sat,357 L Oct / 6
276th,Sun     Full,357 L Oct / 7
277th,Mon,357 L Oct / 8
278th,Tue,357 L Oct / 9
279th,Wed,357 L Oct / 10
280th,Thu,357 L Oct / 11
281st,Fri,357 L Oct / 12
282nd,Sat,357 L Oct / 13
283rd,Sun,357 L Oct / 14
284th,Mon,357 L Oct / 15
285th,Tue,357 L Oct / 16
286th,Wed,357 L Oct / 17
287th,Thu,357 L Oct / 18
288th,Fri,357 L Oct / 19
289th,Sat,357 L Oct / 20
290th,Sun,357 L Oct / 21
291st,Mon     New,357 L Oct / 22
292nd,Tue,357 L Oct / 23
293rd,Wed,357 L Oct / 24
294th,Thu,357 L Oct / 25
295th,Fri,357 L Oct / 26
296th,Sat,357 L Oct / 27
297th,Sun,357 L Oct / 28
298th,Mon,357 L Oct / 29
299th,Tue,357 L Oct / 30
300th,Wed,357 L Oct / 31
301st,Thu,357 L Nov / 1
302nd,Fri,357 L Nov / 2
303rd,Sat,357 L Nov / 3
304th,Sun,357 L Nov / 4
305th,Mon     Full,357 L Nov / 5
306th,Tue,357 L Nov / 6
307th,Wed,357 L Nov / 7
308th,Thu,357 L Nov / 8
309th,Fri,357 L Nov / 9
310th,Sat,357 L Nov / 10
311th,Sun,357 L Nov / 11
312th,Mon,357 L Nov / 12
313th,Tue,357 L Nov / 13
314th,Wed,357 L Nov / 14
315th,Thu,357 L Nov / 15
316th,Fri,357 L Nov / 16
317th,Sat,357 L Nov / 17
318th,Sun,357 L Nov / 18
319th,Mon,357 L Nov / 19
320th,Tue,357 L Nov / 20
321st,Wed     New,357 L Nov / 21
322nd,Thu,357 L Nov / 22
323rd,Fri,357 L Nov / 23
324th,Sat,357 L Nov / 24
325th,Sun,357 L Nov / 25
326th,Mon,357 L Nov / 26
327th,Tue,357 L Nov / 27
328th,Wed,357 L Nov / 28
329th,Thu,357 L Nov / 29
330th,Fri,357 L Nov / 30
331st,Sat,357 L Dec / 1
332nd,Sun,357 L Dec / 2
333rd,Mon,357 L Dec / 3
334th,Tue,357 L Dec / 4
335th,Wed     Full,357 L Dec / 5
336th,Thu,357 L Dec / 6
337th,Fri,357 L Dec / 7
338th,Sat,357 L Dec / 8
339th,Sun,357 L Dec / 9
340th,Mon,357 L Dec / 10
341st,Tue,357 L Dec / 11
342nd,Wed,357 L Dec / 12
343rd,Thu,357 L Dec / 13
344th,Fri,357 L Dec / 14
345th,Sat,357 L Dec / 15
346th,Sun,357 L Dec / 16
347th,Mon,357 L Dec / 17
348th,Tue,357 L Dec / 18
349th,Wed,357 L Dec / 19
350th,Thu     New,357 L Dec / 20
351st,Fri,357 L Dec / 21
352nd,Sat,357 L Dec / 22
353rd,Sun,357 L Dec / 23
354th,Mon,357 L Dec / 24
355th,Tue,357 L Dec / 25
356th So,Wed,357 L Dec / 26
357th,Thu,357 L Dec / 27
358th,Fri,357 L Dec / 28
359th,Sat,357 L Dec / 29
360th,Sun,357 L Dec / 30
361st,Mon,357 L Dec / 31
362nd,Tue,356 Jan / 1
363rd,Wed,356 Jan / 2
364th,Thu     Full,356 Jan / 3
365th,Fri,356 Jan / 4
366th,Sat,356 Jan / 5
