SOLAR,7644 L,HISTORICAL
1st,Fri,357 L Jan \ 6
2nd,Sat,357 L Jan \ 7
3rd,Sun,357 L Jan \ 8
4th,Mon,357 L Jan \ 9
5th,Tue,357 L Jan \ 10
6th,Wed,357 L Jan \ 11
7th,Thu,357 L Jan \ 12
8th,Fri,357 L Jan \ 13
9th,Sat,357 L Jan \ 14
10th,Sun     Full,357 L Jan \ 15
11th,Mon,357 L Jan \ 16
12th,Tue,357 L Jan \ 17
13th,Wed,357 L Jan \ 18
14th,Thu,357 L Jan \ 19
15th,Fri,357 L Jan \ 20
16th,Sat,357 L Jan \ 21
17th,Sun,357 L Jan \ 22
18th,Mon,357 L Jan \ 23
19th,Tue,357 L Jan \ 24
20th,Wed,357 L Jan \ 25
21st,Thu,357 L Jan \ 26
22nd,Fri,357 L Jan \ 27
23rd,Sat,357 L Jan \ 28
24th,Sun,357 L Jan \ 29
25th,Mon,357 L Jan \ 30
26th,Tue     New,357 L Jan \ 31
27th,Wed,357 L Feb \ 1
28th,Thu,357 L Feb \ 2
29th,Fri,357 L Feb \ 3
30th,Sat,357 L Feb \ 4
31st,Sun,357 L Feb \ 5
32nd,Mon,357 L Feb \ 6
33rd,Tue,357 L Feb \ 7
34th,Wed,357 L Feb \ 8
35th,Thu,357 L Feb \ 9
36th,Fri,357 L Feb \ 10
36th,Sat,357 L Feb \ 11
38th,Sun,357 L Feb \ 12
39th,Mon,357 L Feb \ 13
40th,Tue     Full,357 L Feb \ 14
41st,Wed,357 L Feb \ 15
42nd,Thu,357 L Feb \ 16
43rd,Fri,357 L Feb \ 17
44th,Sat,357 L Feb \ 18
45th,Sun,357 L Feb \ 19
46th,Mon,357 L Feb \ 20
47th,Tue,357 L Feb \ 21
48th,Wed,357 L Feb \ 22
49th,Thu,357 L Feb \ 23
50th,Fri,357 L Feb \ 24
51st,Sat,357 L Feb \ 25
52nd,Sun,357 L Feb \ 26
53rd,Mon,357 L Feb \ 27
54th,Tue,357 L Feb \ 28
55th,Wed     New,357 L Feb \ 29
56th,Thu,357 L Mar \ 1
57th,Fri,357 L Mar \ 2
58th ,Sat,357 L Mar \ 3
59th X,Sun,357 L Mar \ 4
60th X,Mon,357 L Mar \ 5
61st X,Tue,357 L Mar \ 6
62nd X,Wed,357 L Mar \ 7
63rd X,Thu,357 L Mar \ 8
64th X,Fri,357 L Mar \ 9
65th X,Sat,357 L Mar \ 10
66th X,Sun,357 L Mar \ 11
67th X,Mon,357 L Mar \ 12
68th X,Tue,357 L Mar \ 13
69th X,Wed,357 L Mar \ 14
70th X,Thu     Full,357 L Mar \ 15
71st X,Fri,357 L Mar \ 16
72nd X,Sat,357 L Mar \ 17
73rd X,Sun,357 L Mar \ 18
74th X,Mon,357 L Mar \ 19
75th X,Tue,357 L Mar \ 20
76th X,Wed,357 L Mar \ 21
77th X,Thu,357 L Mar \ 22
78th X,Fri,357 L Mar \ 23
79th X,Sat,357 L Mar \ 24
80th EQ,Sun,357 L Mar \ 25
81st  X,Mon,357 L Mar \ 26
82nd X,Tue,357 L Mar \ 27
83rd  X,Wed,357 L Mar \ 28
84th X,Thu     New,357 L Mar \ 29
85th X,Fri,357 L Mar \ 30
86th X,Sat,357 L Mar \ 31
87th,Sun,357 L Apr \ 1
88th,Mon,357 L Apr \ 2
89th,Tue,357 L Apr \ 3
90th,Wed,357 L Apr \ 4
91st,Thu,357 L Apr \ 5
92nd,Fri,357 L Apr \ 6
93rd,Sat,357 L Apr \ 7
94th,Sun,357 L Apr \ 8
95th,Mon,357 L Apr \ 9
96th,Tue,357 L Apr \ 10
97th,Wed,357 L Apr \ 11
98th,Thu,357 L Apr \ 12
99th,Fri     Full,357 L Apr \ 13
100th,Sat,357 L Apr \ 14
101st,Sun,357 L Apr \ 15
102nd,Mon,357 L Apr \ 16
103rd,Tue,357 L Apr \ 17
104th,Wed,357 L Apr \ 18
105th,Thu,357 L Apr \ 19
106th,Fri,357 L Apr \ 20
107th,Sat,357 L Apr \ 21
108th,Sun,357 L Apr \ 22
109th,Mon,357 L Apr \ 23
110th,Tue,357 L Apr \ 24
111th,Wed,357 L Apr \ 25
112th,Thu,357 L Apr \ 26
113th,Fri,357 L Apr \ 27
