SOLAR,8211,JULIAN AUC,HISTORICAL
111th X,Sun,964 Aprilis / 21,211 Apr / 21
112th X,Mon,964 Aprilis / 22,211 Apr / 22
113th X,Tue,964 Aprilis / 23,211 Apr / 23
114th X,Wed,964 Aprilis / 24,211 Apr / 24
115th X,Thu,964 Aprilis / 25,211 Apr / 25
116th,Fri,964 Aprilis / 26,211 Apr / 26
117th,Sat,964 Aprilis / 27,211 Apr / 27
118th,Sun,964 Aprilis / 28,211 Apr / 28
119th,Mon,964 Aprilis / 29,211 Apr / 29
120th,Tue     New,964 Aprilis / 30,211 Apr / 30
121st,Wed,964 Maius / 1,211 May / 1
122nd,Thu,964 Maius / 2,211 May / 2
123rd,Fri,964 Maius / 3,211 May / 3
124th,Sat,964 Maius / 4,211 May / 4
125th,Sun,964 Maius / 5,211 May / 5
126th,Mon,964 Maius / 6,211 May / 6
127th,Tue,964 Maius / 7,211 May / 7
128th,Wed,964 Maius / 8,211 May / 8
129th,Thu,964 Maius / 9,211 May / 9
130th,Fri,964 Maius / 10,211 May / 10
131st,Sat,964 Maius / 11,211 May / 11
132nd,Sun,964 Maius / 12,211 May / 12
133rd,Mon,964 Maius / 13,211 May / 13
134th,Tue,964 Maius / 14,211 May / 14
135th,Wed     Full,964 Maius / 15,211 May / 15
136th,Thu,964 Maius / 16,211 May / 16
137th,Fri,964 Maius / 17,211 May / 17
138th,Sat,964 Maius / 18,211 May / 18
139th,Sun,964 Maius / 19,211 May / 19
140th,Mon,964 Maius / 20,211 May / 20
141st,Tue,964 Maius / 21,211 May / 21
142nd,Wed,964 Maius / 22,211 May / 22
143rd,Thu,964 Maius / 23,211 May / 23
144th,Fri,964 Maius / 24,211 May / 24
145th,Sat,964 Maius / 25,211 May / 25
146th,Sun,964 Maius / 26,211 May / 26
147th,Mon,964 Maius / 27,211 May / 27
148th,Tue,964 Maius / 28,211 May / 28
149th,Wed     New,964 Maius / 29,211 May / 29
150th,Thu,964 Maius / 30,211 May / 30
151st,Fri,964 Maius / 31,211 May / 31
152nd,Sat,964 Iunius / 1,211 Jun / 1
153rd,Sun,964 Iunius / 2,211 Jun / 2
154th,Mon,964 Iunius / 3,211 Jun / 3
155th,Tue,964 Iunius / 4,211 Jun / 4
156th,Wed,964 Iunius / 5,211 Jun / 5
157th,Thu,964 Iunius / 6,211 Jun / 6
158th,Fri,964 Iunius / 7,211 Jun / 7
159th,Sat,964 Iunius / 8,211 Jun / 8
160th S,Sun,964 Iunius / 9,211 Jun / 9
161st,Mon,964 Iunius / 10,211 Jun / 10
162nd,Tue,964 Iunius / 11,211 Jun / 11
163rd,Wed,964 Iunius / 12,211 Jun / 12
164th,Thu     Full,964 Iunius / 13,211 Jun / 13
165th,Fri,964 Iunius / 14,211 Jun / 14
166th,Sat,964 Iunius / 15,211 Jun / 15
167th,Sun,964 Iunius / 16,211 Jun / 16
168th,Mon,964 Iunius / 17,211 Jun / 17
169th,Tue,964 Iunius / 18,211 Jun / 18
170th,Wed,964 Iunius / 19,211 Jun / 19
171st,Thu,964 Iunius / 20,211 Jun / 20
172nd,Fri,964 Iunius / 21,211 Jun / 21
173rd,Sat,964 Iunius / 22,211 Jun / 22
174th,Sun,964 Iunius / 23,211 Jun / 23
175th,Mon,964 Iunius / 24,211 Jun / 24
176th,Tue,964 Iunius / 25,211 Jun / 25
177th,Wed,964 Iunius / 26,211 Jun / 26
178th,Thu     New,964 Iunius / 27,211 Jun / 27
179th,Fri,964 Iunius / 28,211 Jun / 28
180th,Sat,964 Iunius / 29,211 Jun / 29
181st,Sun,964 Iunius / 30,211 Jun / 30
182nd,Mon,964 Iulius / 1,211 Jul / 1
183rd,Tue,964 Iulius / 2,211 Jul / 2
184th,Wed,964 Iulius / 3,211 Jul / 3
185th,Thu,964 Iulius / 4,211 Jul / 4
186th,Fri,964 Iulius / 5,211 Jul / 5
187th,Sat,964 Iulius / 6,211 Jul / 6
188th,Sun,964 Iulius / 7,211 Jul / 7
189th,Mon,964 Iulius / 8,211 Jul / 8
190th,Tue,964 Iulius / 9,211 Jul / 9
191st,Wed,964 Iulius / 10,211 Jul / 10
192nd,Thu,964 Iulius / 11,211 Jul / 11
193rd,Fri,964 Iulius / 12,211 Jul / 12
194th,Sat     Full,964 Iulius / 13,211 Jul / 13
195th,Sun,964 Iulius / 14,211 Jul / 14
196th,Mon,964 Iulius / 15,211 Jul / 15
197th,Tue,964 Iulius / 16,211 Jul / 16
198th,Wed,964 Iulius / 17,211 Jul / 17
199th,Thu,964 Iulius / 18,211 Jul / 18
200th,Fri,964 Iulius / 19,211 Jul / 19
201st,Sat,964 Iulius / 20,211 Jul / 20
202nd,Sun,964 Iulius / 21,211 Jul / 21
203rd,Mon,964 Iulius / 22,211 Jul / 22
204th,Tue,964 Iulius / 23,211 Jul / 23
205th,Wed,964 Iulius / 24,211 Jul / 24
206th,Thu,964 Iulius / 25,211 Jul / 25
207th,Fri,964 Iulius / 26,211 Jul / 26
208th,Sat     New,964 Iulius / 27,211 Jul / 27
209th,Sun,964 Iulius / 28,211 Jul / 28
210th,Mon,964 Iulius / 29,211 Jul / 29
211th,Tue,964 Iulius / 30,211 Jul / 30
212th,Wed,964 Iulius / 31,211 Jul / 31
213th,Thu,964 Augustus / 1,211 Aug / 1
214th,Fri,964 Augustus / 2,211 Aug / 2
215th,Sat,964 Augustus / 3,211 Aug / 3
216th,Sun,964 Augustus / 4,211 Aug / 4
217th,Mon,964 Augustus / 5,211 Aug / 5
218th,Tue,964 Augustus / 6,211 Aug / 6
219th,Wed,964 Augustus / 7,211 Aug / 7
220th,Thu,964 Augustus / 8,211 Aug / 8
221st,Fri,964 Augustus / 9,211 Aug / 9
222nd,Sat,964 Augustus / 10,211 Aug / 10
223rd,Sun     Full,964 Augustus / 11,211 Aug / 11
224th,Mon,964 Augustus / 12,211 Aug / 12
225th,Tue,964 Augustus / 13,211 Aug / 13
226th,Wed,964 Augustus / 14,211 Aug / 14
227th,Thu,964 Augustus / 15,211 Aug / 15
228th,Fri,964 Augustus / 16,211 Aug / 16
229th,Sat,964 Augustus / 17,211 Aug / 17
230th,Sun,964 Augustus / 18,211 Aug / 18
231st,Mon,964 Augustus / 19,211 Aug / 19
232nd,Tue,964 Augustus / 20,211 Aug / 20
233rd,Wed,964 Augustus / 21,211 Aug / 21
234th,Thu,964 Augustus / 22,211 Aug / 22
235th,Fri,964 Augustus / 23,211 Aug / 23
236th,Sat,964 Augustus / 24,211 Aug / 24
237th,Sun     New,964 Augustus / 25,211 Aug / 25
238th,Mon,964 Augustus / 26,211 Aug / 26
239th,Tue,964 Augustus / 27,211 Aug / 27
240th,Wed,964 Augustus / 28,211 Aug / 28
241st,Thu,964 Augustus / 29,211 Aug / 29
242nd,Fri,964 Augustus / 30,211 Aug / 30
243rd,Sat,964 Augustus / 31,211 Aug / 31
244th,Sun,964 Sep / 1,211 Sep / 1
245th,Mon,964 Sep / 2,211 Sep / 2
246th,Tue,964 Sep / 3,211 Sep / 3
247th,Wed,964 Sep / 4,211 Sep / 4
248th,Thu,964 Sep / 5,211 Sep / 5
249th,Fri,964 Sep / 6,211 Sep / 6
250th,Sat,964 Sep / 7,211 Sep / 7
251st,Sun,964 Sep / 8,211 Sep / 8
252nd,Mon,964 Sep / 9,211 Sep / 9
253rd,Tue     Full,964 Sep / 10,211 Sep / 10
254th,Wed,964 Sep / 11,211 Sep / 11
255th,Thu,964 Sep / 12,211 Sep / 12
256th,Fri,964 Sep / 13,211 Sep / 13
257th,Sat,964 Sep / 14,211 Sep / 14
258th,Sun,964 Sep / 15,211 Sep / 15
259th,Mon,964 Sep / 16,211 Sep / 16
260th,Tue,964 Sep / 17,211 Sep / 17
261st,Wed,964 Sep / 18,211 Sep / 18
262nd,Thu,964 Sep / 19,211 Sep / 19
263rd,Fri,964 Sep / 20,211 Sep / 20
264th,Sat,964 Sep / 21,211 Sep / 21
265th,Sun,964 Sep / 22,211 Sep / 22
266th EQ,Mon,964 Sep / 23,211 Sep / 23
267th,Tue     New,964 Sep / 24,211 Sep / 24
268th,Wed,964 Sep / 25,211 Sep / 25
269th,Thu,964 Sep / 26,211 Sep / 26
270th,Fri,964 Sep / 27,211 Sep / 27
271st,Sat,964 Sep / 28,211 Sep / 28
272nd,Sun,964 Sep / 29,211 Sep / 29
273rd,Mon,964 Sep / 30,211 Sep / 30
274th,Tue,964 Oct / 1,211 Oct / 1
275th,Wed,964 Oct / 2,211 Oct / 2
276th,Thu,964 Oct / 3,211 Oct / 3
277th,Fri,964 Oct / 4,211 Oct / 4
278th,Sat,964 Oct / 5,211 Oct / 5
279th,Sun,964 Oct / 6,211 Oct / 6
280th,Mon,964 Oct / 7,211 Oct / 7
281st,Tue,964 Oct / 8,211 Oct / 8
282nd,Wed     Full,964 Oct / 9,211 Oct / 9
283rd,Thu,964 Oct / 10,211 Oct / 10
284th,Fri,964 Oct / 11,211 Oct / 11
285th,Sat,964 Oct / 12,211 Oct / 12
286th,Sun,964 Oct / 13,211 Oct / 13
287th,Mon,964 Oct / 14,211 Oct / 14
288th,Tue,964 Oct / 15,211 Oct / 15
289th,Wed,964 Oct / 16,211 Oct / 16
290th,Thu,964 Oct / 17,211 Oct / 17
291st,Fri,964 Oct / 18,211 Oct / 18
292nd,Sat,964 Oct / 19,211 Oct / 19
293rd,Sun,964 Oct / 20,211 Oct / 20
294th,Mon,964 Oct / 21,211 Oct / 21
295th,Tue,964 Oct / 22,211 Oct / 22
296th,Wed,964 Oct / 23,211 Oct / 23
297th,Thu     New,964 Oct / 24,211 Oct / 24
298th,Fri,964 Oct / 25,211 Oct / 25
299th,Sat,964 Oct / 26,211 Oct / 26
300th,Sun,964 Oct / 27,211 Oct / 27
301st,Mon,964 Oct / 28,211 Oct / 28
302nd,Tue,964 Oct / 29,211 Oct / 29
303rd,Wed,964 Oct / 30,211 Oct / 30
304th,Thu,964 Oct / 31,211 Oct / 31
305th,Fri,964 Nov / 1,211 Nov / 1
306th,Sat,964 Nov / 2,211 Nov / 2
307th,Sun,964 Nov / 3,211 Nov / 3
308th,Mon,964 Nov / 4,211 Nov / 4
309th,Tue,964 Nov / 5,211 Nov / 5
310th,Wed,964 Nov / 6,211 Nov / 6
311th,Thu,964 Nov / 7,211 Nov / 7
312th,Fri     Full,964 Nov / 8,211 Nov / 8
313th,Sat,964 Nov / 9,211 Nov / 9
314th,Sun,964 Nov / 10,211 Nov / 10
315th,Mon,964 Nov / 11,211 Nov / 11
316th,Tue,964 Nov / 12,211 Nov / 12
317th,Wed,964 Nov / 13,211 Nov / 13
318th,Thu,964 Nov / 14,211 Nov / 14
319th,Fri,964 Nov / 15,211 Nov / 15
320th,Sat,964 Nov / 16,211 Nov / 16
321st,Sun,964 Nov / 17,211 Nov / 17
322nd,Mon,964 Nov / 18,211 Nov / 18
323rd,Tue,964 Nov / 19,211 Nov / 19
324th,Wed,964 Nov / 20,211 Nov / 20
325th,Thu,964 Nov / 21,211 Nov / 21
326th,Fri,964 Nov / 22,211 Nov / 22
327th,Sat     New,964 Nov / 23,211 Nov / 23
328th,Sun,964 Nov / 24,211 Nov / 24
329th,Mon,964 Nov / 25,211 Nov / 25
330th,Tue,964 Nov / 26,211 Nov / 26
331st,Wed,964 Nov / 27,211 Nov / 27
332nd,Thu,964 Nov / 28,211 Nov / 28
333rd,Fri,964 Nov / 29,211 Nov / 29
334th,Sat,964 Nov / 30,211 Nov / 30
335th,Sun,964 Dec / 1,211 Dec / 1
336th,Mon,964 Dec / 2,211 Dec / 2
337th,Tue,964 Dec / 3,211 Dec / 3
338th,Wed,964 Dec / 4,211 Dec / 4
339th,Thu,964 Dec / 5,211 Dec / 5
340th,Fri,964 Dec / 6,211 Dec / 6
341st,Sat     Full,964 Dec / 7,211 Dec / 7
342nd,Sun,964 Dec / 8,211 Dec / 8
343rd,Mon,964 Dec / 9,211 Dec / 9
344th,Tue,964 Dec / 10,211 Dec / 10
345th,Wed,964 Dec / 11,211 Dec / 11
346th,Thu,964 Dec / 12,211 Dec / 12
347th,Fri,964 Dec / 13,211 Dec / 13
348th,Sat,964 Dec / 14,211 Dec / 14
349th,Sun,964 Dec / 15,211 Dec / 15
350th,Mon,964 Dec / 16,211 Dec / 16
351st,Tue,964 Dec / 17,211 Dec / 17
352nd,Wed,964 Dec / 18,211 Dec / 18
353rd,Thu,964 Dec / 19,211 Dec / 19
354th,Fri,964 Dec / 20,211 Dec / 20
355th,Sat,964 Dec / 21,211 Dec / 21
356th,Sun     New,964 Dec / 22,211 Dec / 22
357th,Mon,964 Dec / 23,211 Dec / 23
358th,Tue,964 Dec / 24,211 Dec / 24
359th,Wed,964 Dec / 25,211 Dec / 25
360th,Thu,964 Dec / 26,211 Dec / 26
361st,Fri,964 Dec / 27,211 Dec / 27
362nd,Sat,964 Dec / 28,211 Dec / 28
363rd,Sun,964 Dec / 29,211 Dec / 29
364th,Mon,964 Dec / 30,211 Dec / 30
365th,Tue,964 Dec / 31,211 Dec / 31
366th,XXXXX,,XXXXX
