SOLAR,8211,JULIAN AUC,HISTORICAL
1st,Tue,964 Ianuarius / 1,211 Jan \ 1
2nd,Wed     New,964 Ianuarius / 2,211 Jan \ 2
3rd,Thu,964 Ianuarius / 3,211 Jan \ 3
4th,Fri,964 Ianuarius / 4,211 Jan \ 4
5th,Sat,964 Ianuarius / 5,211 Jan \ 5
6th,Sun,964 Ianuarius / 6,211 Jan \ 6
7th,Mon,964 Ianuarius / 7,211 Jan \ 7
8th,Tue,964 Ianuarius / 8,211 Jan \ 8
9th,Wed,964 Ianuarius / 9,211 Jan \ 9
10th,Thu,964 Ianuarius / 10,211 Jan \ 10
11th,Fri,964 Ianuarius / 11,211 Jan \ 11
12th,Sat,964 Ianuarius / 12,211 Jan \ 12
13th,Sun,964 Ianuarius / 13,211 Jan \ 13
14th,Mon,964 Ianuarius / 14,211 Jan \ 14
15th,Tue,964 Ianuarius / 15,211 Jan \ 15
16th,Wed     Full,964 Ianuarius / 16,211 Jan \ 16
17th,Thu,964 Ianuarius / 17,211 Jan \ 17
18th,Fri,964 Ianuarius / 18,211 Jan \ 18
19th,Sat,964 Ianuarius / 19,211 Jan \ 19
20th,Sun,964 Ianuarius / 20,211 Jan \ 20
21st,Mon,964 Ianuarius / 21,211 Jan \ 21
22nd,Tue,964 Ianuarius / 22,211 Jan \ 22
23rd,Wed,964 Ianuarius / 23,211 Jan \ 23
24th,Thu,964 Ianuarius / 24,211 Jan \ 24
25th,Fri,964 Ianuarius / 25,211 Jan \ 25
26th,Sat,964 Ianuarius / 26,211 Jan \ 26
27th,Sun,964 Ianuarius / 27,211 Jan \ 27
28th,Mon,964 Ianuarius / 28,211 Jan \ 28
29th,Tue,964 Ianuarius / 29,211 Jan \ 29
30th,Wed,964 Ianuarius / 30,211 Jan \ 30
31st,Thu,964 Ianuarius / 31,211 Jan \ 31
32nd,Fri     New,964 Februarius / 1,211 Feb / 1
33rd,Sat,964 Februarius / 2,211 Feb / 2
34th,Sun,964 Februarius / 3,211 Feb / 3
35th,Mon,964 Februarius / 4,211 Feb / 4
36th,Tue,964 Februarius / 5,211 Feb / 5
36th,Wed,964 Februarius / 6,211 Feb / 6
38th,Thu,964 Februarius / 7,211 Feb / 7
39th,Fri,964 Februarius / 8,211 Feb / 8
40th,Sat,964 Februarius / 9,211 Feb / 9
41st,Sun,964 Februarius / 10,211 Feb / 10
42nd,Mon,964 Februarius / 11,211 Feb / 11
43rd,Tue,964 Februarius / 12,211 Feb / 12
44th,Wed,964 Februarius / 13,211 Feb / 13
45th,Thu,964 Februarius / 14,211 Feb / 14
46th,Fri     Full,964 Februarius / 15,211 Feb / 15
47th,Sat,964 Februarius / 16,211 Feb / 16
48th,Sun,964 Februarius / 17,211 Feb / 17
49th,Mon,964 Februarius / 18,211 Feb / 18
50th,Tue,964 Februarius / 19,211 Feb / 19
51st,Wed,964 Februarius / 20,211 Feb / 20
52nd,Thu,964 Februarius / 21,211 Feb / 21
53rd,Fri,964 Februarius / 22,211 Feb / 22
54th,Sat,964 Februarius / 23,211 Feb / 23
55th,Sun,964 Februarius / 24,211 Feb / 24
56th,Mon,964 Februarius / 25,211 Feb / 25
57th,Tue,964 Februarius / 26,211 Feb / 26
58th,Wed,964 Februarius / 27,211 Feb / 27
59th,Thu,964 Februarius / 28,211 Feb / 28
60th,Fri,964 Martius / 1,211 Mar / 1
61st,Sat     New,964 Martius / 2,211 Mar / 2
62nd,Sun,964 Martius / 3,211 Mar / 3
63rd,Mon,964 Martius / 4,211 Mar / 4
64th,Tue,964 Martius / 5,211 Mar / 5
65th,Wed,964 Martius / 6,211 Mar / 6
66th,Thu,964 Martius / 7,211 Mar / 7
67th,Fri,964 Martius / 8,211 Mar / 8
68th,Sat,964 Martius / 9,211 Mar / 9
69th,Sun,964 Martius / 10,211 Mar / 10
70th,Mon,964 Martius / 11,211 Mar / 11
71st,Tue,964 Martius / 12,211 Mar / 12
72nd,Wed,964 Martius / 13,211 Mar / 13
73rd,Thu,964 Martius / 14,211 Mar / 14
74th,Fri,964 Martius / 15,211 Mar / 15
75th,Sat,964 Martius / 16,211 Mar / 16
76th,Sun     Full,964 Martius / 17,211 Mar / 17
77th,Mon,964 Martius / 18,211 Mar / 18
78th,Tue,964 Martius / 19,211 Mar / 19
79th,Wed,964 Martius / 20,211 Mar / 20
80th EQ,Thu,964 Martius / 21,211 Mar / 21
81st  X,Fri,964 Martius / 22,211 Mar / 22
82nd X,Sat,964 Martius / 23,211 Mar / 23
83rd  X,Sun,964 Martius / 24,211 Mar / 24
84th X,Mon,964 Martius / 25,211 Mar / 25
85th X,Tue,964 Martius / 26,211 Mar / 26
86th X,Wed,964 Martius / 27,211 Mar / 27
87th X,Thu,964 Martius / 28,211 Mar / 28
88th X,Fri,964 Martius / 29,211 Mar / 29
89th X,Sat,964 Martius / 30,211 Mar / 30
90th X,Sun,964 Martius / 31,211 Mar / 31
91st X,Mon     New,964 Aprilis / 1,211 Apr / 1
92nd X,Tue,964 Aprilis / 2,211 Apr / 2
93rd X,Wed,964 Aprilis / 3,211 Apr / 3
94th X,Thu,964 Aprilis / 4,211 Apr / 4
95th X,Fri,964 Aprilis / 5,211 Apr / 5
96th X,Sat,964 Aprilis / 6,211 Apr / 6
97th X,Sun,964 Aprilis / 7,211 Apr / 7
98th X,Mon,964 Aprilis / 8,211 Apr / 8
99th X,Tue,964 Aprilis / 9,211 Apr / 9
100th X,Wed,964 Aprilis / 10,211 Apr / 10
101st X,Thu,964 Aprilis / 11,211 Apr / 11
102nd X,Fri,964 Aprilis / 12,211 Apr / 12
103rd X,Sat,964 Aprilis / 13,211 Apr / 13
104th X,Sun,964 Aprilis / 14,211 Apr / 14
105th X,Mon     Full,964 Aprilis / 15,211 Apr / 15
106th X,Tue,964 Aprilis / 16,211 Apr / 16
107th X,Wed,964 Aprilis / 17,211 Apr / 17
108th X,Thu,964 Aprilis / 18,211 Apr / 18
109th X,Fri,964 Aprilis / 19,211 Apr / 19
110th X,Sat,964 Aprilis / 20,211 Apr / 20
