SOLAR,9950,GREGORIAN 1950
1st,Sun,January 1 st
2nd,Mon,January 2 nd
3rd,Tue,January 3 rd
4th,Wed     Full,January 4 th
5th,Thu,January 5 th
6th,Fri,January 6 th
7th,Sat,January 7 th
8th,Sun,January 8 th
9th,Mon,January 9 th
10th,Tue,January 10 th
11th,Wed,January 11 th
12th,Thu,January 12 th
13th,Fri,January 13 th
14th,Sat,January 14 th
15th,Sun,January 15 th
16th,Mon,January 16 th
17th,Tue,January 17 th
18th,Wed     New,January 18 th
19th,Thu,January 19 th
20th,Fri,January 20 th
21st,Sat,January 21 st
22nd,Sun,January 22 nd
23rd,Mon,January 23 rd
24th,Tue,January 24 th
25th,Wed,January 25 th
26th,Thu,January 26 th
27th,Fri,January 27 th
28th,Sat,January 28 th
29th,Sun,January 29 th
30th,Mon,January 30 th
31st,Tue,January 31 st
32nd,Wed,Febuary 1 st
33rd,Thu     Full,Febuary 2 nd
34th,Fri,Febuary 3 rd
35th,Sat,Febuary 4 th
36th,Sun,Febuary 5 th
36th,Mon,Febuary 6 th
38th,Tue,Febuary 7 th
39th,Wed,Febuary 8 th
40th,Thu,Febuary 9 th
41st,Fri,Febuary 10 th
42nd,Sat,Febuary 11 th
43rd,Sun,Febuary 12 th
44th,Mon,Febuary 13 th
45th,Tue,Febuary 14 th
46th,Wed,Febuary 15 th
47th,Thu     New,Febuary 16 th
48th,Fri,Febuary 17 th
49th,Sat,Febuary 18 th
50th,Sun,Febuary 19 th
51st,Mon,Febuary 20 th
52nd,Tue,Febuary 21 st
53rd,Wed,Febuary 22 nd
54th,Thu,Febuary 23 rd
55th,Fri,Febuary 24 th
56th,Sat,Febuary 25 th
57th,Sun,Febuary 26 th
58th,Mon,Febuary 27 th
59th,Tue,Febuary 28 th
60th,Wed,March 1 st
61st,Thu,March 2 nd
62nd,Fri,March 3 rd
63rd,Sat     Full,March 4 th
64th,Sun,March 5 th
65th,Mon,March 6 th
66th,Tue,March 7 th
67th,Wed,March 8 th
68th,Thu,March 9 th
69th,Fri,March 10 th
70th,Sat,March 11 th
71st,Sun,March 12 th
72nd,Mon,March 13 th
73rd,Tue,March 14 th
74th,Wed,March 15 th
75th,Thu,March 16 th
76th,Fri,March 17 th
77th,Sat     New,March 18 th
78th,Sun,March 19 th
79th,Mon,March 20 th
80th EQ,Tue,March 21 st
81st,Wed,March 22 nd
82nd,Thu,March 23 rd
83rd,Fri,March 24 th
84th,Sat,March 25 th
85th,Sun,March 26 th
86th,Mon,March 27 th
87th,Tue,March 28 th
88th,Wed,March 29 th
89th,Thu,March 30 th
90th,Fri,March 31 st
91st,Sat,April 1 st
92nd,Sun     Full,April 2 nd
93rd,Mon,April 3 rd
94th,Tue,April 4 th
95th,Wed,April 5 th
96th,Thu,April 6 th
97th,Fri,April 7 th
98th,Sat,April 8 th
99th,Sun,April 9 th
100th,Mon,April 10 th
101st,Tue,April 11 th
102nd,Wed,April 12 th
103rd,Thu,April 13 th
104th,Fri,April 14 th
105th,Sat,April 15 th
106th,Sun,April 16 th
107th,Mon     New,April 17 th
108th,Tue,April 18 th
109th,Wed,April 19 th
110th,Thu,April 20 th
111th,Fri,April 21 st
112th,Sat,April 22 nd
113th,Sun,April 23 rd
114th,Mon,April 24 th
115th,Tue,April 25 th
116th,Wed,April 26 th
117th,Thu,April 27 th
118th,Fri,April 28 th
119th,Sat,April 29 th
120th,Sun,April 30 th
121st,Mon,May 1 st
122nd,Tue     Full,May 2 nd
123rd,Wed,May 3 rd
124th,Thu,May 4 th
125th,Fri,May 5 th
126th,Sat,May 6 th
127th,Sun,May 7 th
128th,Mon,May 8 th
129th,Tue,May 9 th
130th,Wed,May 10 th
131st,Thu,May 11 th
132nd,Fri,May 12 th
133rd,Sat,May 13 th
134th,Sun,May 14 th
135th,Mon,May 15 th
136th,Tue,May 16 th
137th,Wed     New,May 17 th
138th,Thu,May 18 th
139th,Fri,May 19 th
140th,Sat,May 20 th
141st,Sun,May 21 st
142nd,Mon,May 22 nd
143rd,Tue,May 23 rd
