SOLAR,9950,GREGORIAN 1950
144th,Wed,May 24 th
145th,Thu,May 25 th
146th,Fri,May 26 th
147th,Sat,May 27 th
148th,Sun,May 28 th
149th,Mon,May 29 th
150th,Tue,May 30 th
151st,Wed     Full,May 31 st
152nd,Thu,June 1 st
153rd,Fri,June 2 nd
154th,Sat,June 3 rd
155th,Sun,June 4 th
156th,Mon,June 5 th
157th,Tue,June 6 th
158th,Wed,June 7 th
159th,Thu,June 8 th
160th S,Fri,June 9 th
161st,Sat,June 10 th
162nd,Sun,June 11 th
163rd,Mon,June 12 th
164th,Tue,June 13 th
165th,Wed,June 14 th
166th,Thu     New,June 15 th
167th,Fri,June 16 th
168th,Sat,June 17 th
169th,Sun,June 18 th
170th,Mon,June 19 th
171st,Tue,June 20 th
172nd,Wed,June 21 st
173rd,Thu,June 22 nd
174th,Fri,June 23 rd
175th,Sat,June 24 th
176th,Sun,June 25 th
177th,Mon,June 26 th
178th,Tue,June 27 th
179th,Wed,June 28 th
180th,Thu     Full,June 29 th
181st,Fri,June 30 th
182nd,Sat,July 1 st
183rd,Sun,July 2 nd
184th,Mon,July 3 rd
185th,Tue,July 4 th
186th,Wed,July 5 th
187th,Thu,July 6 th
188th,Fri,July 7 th
189th,Sat,July 8 th
190th,Sun,July 9 th
191st,Mon,July 10 th
192nd,Tue,July 11 th
193rd,Wed,July 12 th
194th,Thu,July 13 th
195th,Fri,July 14 th
196th,Sat     New,July 15 th
197th,Sun,July 16 th
198th,Mon,July 17 th
199th,Tue,July 18 th
200th,Wed,July 19 th
201st,Thu,July 20 th
202nd,Fri,July 21 st
203rd,Sat,July 22 nd
204th,Sun,July 23 rd
205th,Mon,July 24 th
206th,Tue,July 25 th
207th,Wed,July 26 th
208th,Thu,July 27 th
209th,Fri,July 28 th
210th,Sat     Full,July 29 th
211th,Sun,July 30 th
212th,Mon,July 31 st
213th,Tue,August 1 st
214th,Wed,August 2 nd
215th,Thu,August 3 rd
216th,Fri,August 4 th
217th,Sat,August 5 th
218th,Sun,August 6 th
219th,Mon,August 7 th
220th,Tue,August 8 th
221st,Wed,August 9 th
222nd,Thu,August 10 th
223rd,Fri,August 11 th
224th,Sat,August 12 th
225th,Sun     New,August 13 th
226th,Mon,August 14 th
227th,Tue,August 15 th
228th,Wed,August 16 th
229th,Thu,August 17 th
230th,Fri,August 18 th
231st,Sat,August 19 th
232nd,Sun,August 20 th
233rd,Mon,August 21 st
234th,Tue,August 22 nd
235th,Wed,August 23 rd
236th,Thu,August 24 th
237th,Fri,August 25 th
238th,Sat,August 26 th
239th,Sun     Full,August 27 th
240th,Mon,August 28 th
241st,Tue,August 29 th
242nd,Wed,August 30 th
243rd,Thu,August 31 st
244th,Fri,September 1 st
245th,Sat,September 2 nd
246th,Sun,September 3 rd
247th,Mon,September 4 th
248th,Tue,September 5 th
249th,Wed,September 6 th
250th,Thu,September 7 th
251st,Fri,September 8 th
252nd,Sat,September 9 th
253rd,Sun,September 10 th
254th,Mon,September 11 th
255th,Tue     New,September 12 th
256th,Wed,September 13 th
257th,Thu,September 14 th
258th,Fri,September 15 th
259th,Sat,September 16 th
260th,Sun,September 17 th
261st,Mon,September 18 th
262nd,Tue,September 19 th
263rd,Wed,September 20 th
264th,Thu,September 21 st
265th,Fri,September 22 nd
266th EQ,Sat,September 23 rd
267th,Sun,September 24 th
268th,Mon,September 25 th
269th,Tue     Full,September 26 th
270th,Wed,September 27 th
271st,Thu,September 28 th
272nd,Fri,September 29 th
273rd,Sat,September 30 th
274th,Sun,October 1 st
275th,Mon,October 2 nd
276th,Tue,October 3 rd
277th,Wed,October 4 th
278th,Thu,October 5 th
279th,Fri,October 6 th
280th,Sat,October 7 th
281st,Sun,October 8 th
282nd,Mon,October 9 th
283rd,Tue,October 10 th
284th,Wed     New,October 11 th
285th,Thu,October 12 th
286th,Fri,October 13 th
287th,Sat,October 14 th
288th,Sun,October 15 th
289th,Mon,October 16 th
290th,Tue,October 17 th
291st,Wed,October 18 th
292nd,Thu,October 19 th
293rd,Fri,October 20 th
294th,Sat,October 21 st
295th,Sun,October 22 nd
296th,Mon,October 23 rd
297th,Tue,October 24 th
298th,Wed     Full,October 25 th
299th,Thu,October 26 th
300th,Fri,October 27 th
301st,Sat,October 28 th
302nd,Sun,October 29 th
303rd,Mon,October 30 th
304th,Tue,October 31 st
305th,Wed,November 1 st
306th,Thu,November 2 nd
307th,Fri,November 3 rd
308th,Sat,November 4 th
309th,Sun,November 5 th
310th,Mon,November 6 th
311th,Tue,November 7 th
312th,Wed,November 8 th
313th,Thu     New,November 9 th
314th,Fri,November 10 th
315th,Sat,November 11 th
316th,Sun,November 12 th
317th,Mon,November 13 th
318th,Tue,November 14 th
319th,Wed,November 15 th
320th,Thu,November 16 th
321st,Fri,November 17 th
322nd,Sat,November 18 th
323rd,Sun,November 19 th
324th,Mon,November 20 th
325th,Tue,November 21 st
326th,Wed,November 22 nd
327th,Thu,November 23 rd
328th,Fri     Full,November 24 th
329th,Sat,November 25 th
330th,Sun,November 26 th
331st,Mon,November 27 th
332nd,Tue,November 28 th
333rd,Wed,November 29 th
334th,Thu,November 30 th
335th,Fri,December 1 st
336th,Sat,December 2 nd
337th,Sun,December 3 rd
338th,Mon,December 4 th
339th,Tue,December 5 th
340th,Wed,December 6 th
341st,Thu,December 7 th
342nd,Fri,December 8 th
343rd,Sat     New,December 9 th
344th,Sun,December 10 th
345th,Mon,December 11 th
346th,Tue,December 12 th
347th,Wed,December 13 th
348th,Thu,December 14 th
349th,Fri,December 15 th
350th,Sat,December 16 th
351st,Sun,December 17 th
352nd,Mon,December 18 th
353rd,Tue,December 19 th
354th,Wed,December 20 th
355th,Thu,December 21 st
356th,Fri,December 22 nd
357th,Sat,December 23 rd
358th,Sun     Full,December 24 th
359th,Mon,December 25 th
360th,Tue,December 26 th
361st,Wed,December 27 th
362nd,Thu,December 28 th
363rd,Fri,December 29 th
364th,Sat,December 30 th
365th,Sun,December 31 st
366th,XXXXX,XXXXX
