SOLAR,7643,HISTORICAL
1st,Thu,358 Jan \ 6
2nd,Fri,358 Jan \ 7
3rd,Sat,358 Jan \ 8
4th,Sun,358 Jan \ 9
5th,Mon,358 Jan \ 10
6th,Tue     New,358 Jan \ 11
7th,Wed,358 Jan \ 12
8th,Thu,358 Jan \ 13
9th,Fri,358 Jan \ 14
10th,Sat,358 Jan \ 15
11th,Sun,358 Jan \ 16
12th,Mon,358 Jan \ 17
13th,Tue,358 Jan \ 18
14th,Wed,358 Jan \ 19
15th,Thu,358 Jan \ 20
16th,Fri,358 Jan \ 21
17th,Sat,358 Jan \ 22
18th,Sun,358 Jan \ 23
19th,Mon,358 Jan \ 24
20th,Tue,358 Jan \ 25
21st,Wed     Full,358 Jan \ 26
22nd,Thu,358 Jan \ 27
23rd,Fri,358 Jan \ 28
24th,Sat,358 Jan \ 29
25th,Sun,358 Jan \ 30
26th,Mon,358 Jan \ 31
27th,Tue,358 Feb \ 1
28th,Wed,358 Feb \ 2
29th,Thu,358 Feb \ 3
30th,Fri,358 Feb \ 4
31st,Sat,358 Feb \ 5
32nd,Sun,358 Feb \ 6
33rd,Mon,358 Feb \ 7
34th,Tue,358 Feb \ 8
35th,Wed,358 Feb \ 9
36th,Thu     New,358 Feb \ 10
36th,Fri,358 Feb \ 11
38th,Sat,358 Feb \ 12
39th,Sun,358 Feb \ 13
40th,Mon,358 Feb \ 14
41st,Tue,358 Feb \ 15
42nd,Wed,358 Feb \ 16
43rd,Thu,358 Feb \ 17
44th,Fri,358 Feb \ 18
45th,Sat,358 Feb \ 19
46th,Sun,358 Feb \ 20
47th,Mon,358 Feb \ 21
48th,Tue,358 Feb \ 22
49th,Wed,358 Feb \ 23
50th,Thu,358 Feb \ 24
51st,Fri     Full,358 Feb \ 25
52nd,Sat,358 Feb \ 26
53rd,Sun,358 Feb \ 27
54th,Mon,358 Feb \ 28
55th,Tue,358 Mar \ 1
56th,Wed,358 Mar \ 2
57th,Thu,358 Mar \ 3
58th ,Fri,358 Mar \ 4
59th X,Sat,358 Mar \ 5
60th X,Sun,358 Mar \ 6
61st X,Mon,358 Mar \ 7
62nd X,Tue,358 Mar \ 8
63rd X,Wed,358 Mar \ 9
64th X,Thu,358 Mar \ 10
65th X,Fri     New,358 Mar \ 11
66th X,Sat,358 Mar \ 12
67th X,Sun,358 Mar \ 13
68th X,Mon,358 Mar \ 14
69th X,Tue,358 Mar \ 15
