SOLAR,7643,HISTORICAL
70th X,Wed,358 Mar \ 16
71st X,Thu,358 Mar \ 17
72nd X,Fri,358 Mar \ 18
73rd X,Sat,358 Mar \ 19
74th X,Sun,358 Mar \ 20
75th X,Mon,358 Mar \ 21
76th X,Tue,358 Mar \ 22
77th X,Wed,358 Mar \ 23
78th X,Thu,358 Mar \ 24
79th X,Fri,358 Mar \ 25
80th EQ,Sat,358 Mar \ 26
81st  X,Sun     Full,358 Mar \ 27
82nd X,Mon,358 Mar \ 28
83rd  X,Tue,358 Mar \ 29
84th X,Wed,358 Mar \ 30
85th X,Thu,358 Mar \ 31
86th X,Fri,358 Apr \ 1
87th,Sat,358 Apr \ 2
88th,Sun,358 Apr \ 3
89th,Mon,358 Apr \ 4
90th,Tue,358 Apr \ 5
91st,Wed,358 Apr \ 6
92nd,Thu,358 Apr \ 7
93rd,Fri,358 Apr \ 8
94th,Sat,358 Apr \ 9
95th,Sun     New,358 Apr \ 10
96th,Mon,358 Apr \ 11
97th,Tue,358 Apr \ 12
98th,Wed,358 Apr \ 13
99th,Thu,358 Apr \ 14
100th,Fri,358 Apr \ 15
101st,Sat,358 Apr \ 16
102nd,Sun,358 Apr \ 17
103rd,Mon,358 Apr \ 18
104th,Tue,358 Apr \ 19
105th,Wed,358 Apr \ 20
106th,Thu,358 Apr \ 21
107th,Fri,358 Apr \ 22
108th,Sat,358 Apr \ 23
109th,Sun,358 Apr \ 24
110th,Mon     Full,358 Apr \ 25
111th,Tue,358 Apr \ 26
112th,Wed,358 Apr \ 27
113th,Thu,358 Apr \ 28
114th,Fri,358 Apr \ 29
115th,Sat,358 Apr \ 30
116th,Sun,358 May \ 1
117th,Mon,358 May \ 2
118th,Tue,358 May \ 3
119th,Wed,358 May \ 4
120th,Thu,358 May \ 5
121st,Fri,358 May \ 6
122nd,Sat,358 May \ 7
123rd,Sun,358 May \ 8
124th,Mon     New,358 May \ 9
125th,Tue,358 May \ 10
126th,Wed,358 May \ 11
127th,Thu,358 May \ 12
128th,Fri,358 May \ 13
129th,Sat,358 May \ 14
130th,Sun,358 May \ 15
131st,Mon,358 May \ 16
132nd,Tue,358 May \ 17
133rd,Wed,358 May \ 18
134th,Thu,358 May \ 19
135th,Fri,358 May \ 20
136th,Sat,358 May \ 21
137th,Sun,358 May \ 22
138th,Mon,358 May \ 23
139th,Tue,358 May \ 24
140th,Wed     Full,358 May \ 25
141st,Thu,358 May \ 26
142nd,Fri,358 May \ 27
143rd,Sat,358 May \ 28
144th,Sun,358 May \ 29
145th,Mon,358 May \ 30
146th,Tue,358 May \ 31
147th,Wed,358 Jun / 1
148th,Thu,358 Jun / 2
149th,Fri,358 Jun / 3
150th,Sat,358 Jun / 4
151st,Sun,358 Jun / 5
152nd,Mon,358 Jun / 6
153rd,Tue,358 Jun / 7
154th,Wed     New,358 Jun / 8
155th,Thu,358 Jun / 9
156th,Fri,358 Jun / 10
157th,Sat,358 Jun / 11
158th,Sun,358 Jun / 12
159th,Mon,358 Jun / 13
160th S,Tue,358 Jun / 14
161st,Wed,358 Jun / 15
162nd,Thu,358 Jun / 16
163rd,Fri,358 Jun / 17
164th,Sat,358 Jun / 18
165th,Sun,358 Jun / 19
166th,Mon,358 Jun / 20
167th,Tue,358 Jun / 21
168th,Wed,358 Jun / 22
169th,Thu     Full,358 Jun / 23
170th,Fri,358 Jun / 24
171st,Sat,358 Jun / 25
172nd,Sun,358 Jun / 26
173rd,Mon,358 Jun / 27
174th,Tue,358 Jun / 28
175th,Wed,358 Jun / 29
176th,Thu,358 Jun / 30
177th,Fri,358 Jul / 1
178th,Sat,358 Jul / 2
179th,Sun,358 Jul / 3
180th,Mon,358 Jul / 4
181st,Tue,358 Jul / 5
182nd,Wed,358 Jul / 6
183rd,Thu     New,358 Jul / 7
184th,Fri,358 Jul / 8
185th,Sat,358 Jul / 9
186th,Sun,358 Jul / 10
187th,Mon,358 Jul / 11
188th,Tue,358 Jul / 12
189th,Wed,358 Jul / 13
190th,Thu,358 Jul / 14
191st,Fri,358 Jul / 15
192nd,Sat,358 Jul / 16
193rd,Sun,358 Jul / 17
194th,Mon,358 Jul / 18
195th,Tue,358 Jul / 19
196th,Wed,358 Jul / 20
197th,Thu,358 Jul / 21
198th,Fri     Full,358 Jul / 22
199th,Sat,358 Jul / 23
200th,Sun,358 Jul / 24
201st,Mon,358 Jul / 25
202nd,Tue,358 Jul / 26
203rd,Wed,358 Jul / 27
204th,Thu,358 Jul / 28
205th,Fri,358 Jul / 29
206th,Sat,358 Jul / 30
207th,Sun,358 Jul / 31
208th,Mon,358 Aug / 1
209th,Tue,358 Aug / 2
210th,Wed,358 Aug / 3
211th,Thu,358 Aug / 4
212th,Fri,358 Aug / 5
213th,Sat     New,358 Aug / 6
214th,Sun,358 Aug / 7
215th,Mon,358 Aug / 8
216th,Tue,358 Aug / 9
217th,Wed,358 Aug / 10
218th,Thu,358 Aug / 11
219th,Fri,358 Aug / 12
220th,Sat,358 Aug / 13
221st,Sun,358 Aug / 14
222nd,Mon,358 Aug / 15
223rd,Tue,358 Aug / 16
224th,Wed,358 Aug / 17
225th,Thu,358 Aug / 18
226th,Fri,358 Aug / 19
227th,Sat,358 Aug / 20
228th,Sun     Full,358 Aug / 21
229th,Mon,358 Aug / 22
230th,Tue,358 Aug / 23
231st,Wed,358 Aug / 24
232nd,Thu,358 Aug / 25
233rd,Fri,358 Aug / 26
234th,Sat,358 Aug / 27
235th,Sun,358 Aug / 28
236th,Mon,358 Aug / 29
237th,Tue,358 Aug / 30
238th,Wed,358 Aug / 31
239th,Thu,358 Sep / 1
240th,Fri,358 Sep / 2
241st,Sat,358 Sep / 3
242nd,Sun     New,358 Sep / 4
243rd,Mon,358 Sep / 5
244th,Tue,358 Sep / 6
245th,Wed,358 Sep / 7
246th,Thu,358 Sep / 8
247th,Fri,358 Sep / 9
248th,Sat,358 Sep / 10
249th,Sun,358 Sep / 11
250th,Mon,358 Sep / 12
251st,Tue,358 Sep / 13
252nd,Wed,358 Sep / 14
253rd,Thu,358 Sep / 15
254th,Fri,358 Sep / 16
255th,Sat,358 Sep / 17
256th,Sun,358 Sep / 18
257th,Mon     Full,358 Sep / 19
258th,Tue,358 Sep / 20
259th,Wed,358 Sep / 21
260th,Thu,358 Sep / 22
261st,Fri,358 Sep / 23
262nd,Sat,358 Sep / 24
263rd,Sun,358 Sep / 25
264th,Mon,358 Sep / 26
265th,Tue,358 Sep / 27
266th EQ,Wed,358 Sep / 28
267th,Thu,358 Sep / 29
268th,Fri,358 Sep / 30
269th,Sat,358 Oct / 1
270th,Sun,358 Oct / 2
271st,Mon,358 Oct / 3
272nd,Tue     New,358 Oct / 4
273rd,Wed,358 Oct / 5
274th,Thu,358 Oct / 6
275th,Fri,358 Oct / 7
276th,Sat,358 Oct / 8
277th,Sun,358 Oct / 9
278th,Mon,358 Oct / 10
279th,Tue,358 Oct / 11
280th,Wed,358 Oct / 12
281st,Thu,358 Oct / 13
282nd,Fri,358 Oct / 14
283rd,Sat,358 Oct / 15
284th,Sun,358 Oct / 16
285th,Mon,358 Oct / 17
286th,Tue     Full,358 Oct / 18
287th,Wed,358 Oct / 19
288th,Thu,358 Oct / 20
289th,Fri,358 Oct / 21
290th,Sat,358 Oct / 22
291st,Sun,358 Oct / 23
292nd,Mon,358 Oct / 24
293rd,Tue,358 Oct / 25
294th,Wed,358 Oct / 26
295th,Thu,358 Oct / 27
296th,Fri,358 Oct / 28
297th,Sat,358 Oct / 29
298th,Sun,358 Oct / 30
299th,Mon,358 Oct / 31
300th,Tue,358 Nov / 1
301st,Wed,358 Nov / 2
302nd,Thu     New,358 Nov / 3
303rd,Fri,358 Nov / 4
304th,Sat,358 Nov / 5
305th,Sun,358 Nov / 6
306th,Mon,358 Nov / 7
307th,Tue,358 Nov / 8
308th,Wed,358 Nov / 9
309th,Thu,358 Nov / 10
310th,Fri,358 Nov / 11
311th,Sat,358 Nov / 12
312th,Sun,358 Nov / 13
313th,Mon,358 Nov / 14
314th,Tue,358 Nov / 15
315th,Wed,358 Nov / 16
316th,Thu     Full,358 Nov / 17
317th,Fri,358 Nov / 18
318th,Sat,358 Nov / 19
319th,Sun,358 Nov / 20
320th,Mon,358 Nov / 21
321st,Tue,358 Nov / 22
322nd,Wed,358 Nov / 23
323rd,Thu,358 Nov / 24
324th,Fri,358 Nov / 25
325th,Sat,358 Nov / 26
326th,Sun,358 Nov / 27
327th,Mon,358 Nov / 28
328th,Tue,358 Nov / 29
329th,Wed,358 Nov / 30
330th,Thu,358 Dec / 1
331st,Fri,358 Dec / 2
332nd,Sat     New,358 Dec / 3
333rd,Sun,358 Dec / 4
334th,Mon,358 Dec / 5
335th,Tue,358 Dec / 6
336th,Wed,358 Dec / 7
337th,Thu,358 Dec / 8
338th,Fri,358 Dec / 9
339th,Sat,358 Dec / 10
340th,Sun,358 Dec / 11
341st,Mon,358 Dec / 12
342nd,Tue,358 Dec / 13
343rd,Wed,358 Dec / 14
344th,Thu,358 Dec / 15
345th,Fri,358 Dec / 16
346th,Sat     Full,358 Dec / 17
347th,Sun,358 Dec / 18
348th,Mon,358 Dec / 19
349th,Tue,358 Dec / 20
350th,Wed,358 Dec / 21
351st,Thu,358 Dec / 22
352nd,Fri,358 Dec / 23
353rd,Sat,358 Dec / 24
354th,Sun,358 Dec / 25
355th,Mon,358 Dec / 26
356th So,Tue,358 Dec / 27
357th,Wed,358 Dec / 28
358th,Thu,358 Dec / 29
359th,Fri,358 Dec / 30
360th,Sat,358 Dec / 31
361st,Sun     New,357 L Jan / 1
362nd,Mon,357 L Jan / 2
363rd,Tue,357 L Jan / 3
364th,Wed,357 L Jan / 4
365th,Thu,357 L Jan / 5
366th,XXXXX,XXXXX
