SOLAR,7641,HISTORICAL
1st,Tue,360 Jan \ 6
2nd,Wed,360 Jan \ 7
3rd,Thu,360 Jan \ 8
4th,Fri,360 Jan \ 9
5th,Sat,360 Jan \ 10
6th,Sun,360 Jan \ 11
7th,Mon,360 Jan \ 12
8th,Tue,360 Jan \ 13
9th,Wed,360 Jan \ 14
10th,Thu,360 Jan \ 15
11th,Fri,360 Jan \ 16
12th,Sat,360 Jan \ 17
13th,Sun     Full,360 Jan \ 18
14th,Mon,360 Jan \ 19
15th,Tue,360 Jan \ 20
16th,Wed,360 Jan \ 21
17th,Thu,360 Jan \ 22
18th,Fri,360 Jan \ 23
19th,Sat,360 Jan \ 24
20th,Sun,360 Jan \ 25
21st,Mon,360 Jan \ 26
22nd,Tue,360 Jan \ 27
23rd,Wed,360 Jan \ 28
24th,Thu,360 Jan \ 29
25th,Fri,360 Jan \ 30
26th,Sat,360 Jan \ 31
27th,Sun     New,360 Feb \ 1
28th,Mon,360 Feb \ 2
29th,Tue,360 Feb \ 3
30th,Wed,360 Feb \ 4
31st,Thu,360 Feb \ 5
32nd,Fri,360 Feb \ 6
33rd,Sat,360 Feb \ 7
34th,Sun,360 Feb \ 8
35th,Mon,360 Feb \ 9
36th,Tue,360 Feb \ 10
36th,Wed,360 Feb \ 11
38th,Thu,360 Feb \ 12
39th,Fri,360 Feb \ 13
40th,Sat,360 Feb \ 14
41st,Sun,360 Feb \ 15
42nd,Mon,360 Feb \ 16
43rd,Tue     Full,360 Feb \ 17
44th,Wed,360 Feb \ 18
45th,Thu,360 Feb \ 19
46th,Fri,360 Feb \ 20
47th,Sat,360 Feb \ 21
48th,Sun,360 Feb \ 22
49th,Mon,360 Feb \ 23
50th,Tue,360 Feb \ 24
51st,Wed,360 Feb \ 25
52nd,Thu,360 Feb \ 26
53rd,Fri,360 Feb \ 27
54th,Sat,360 Feb \ 28
55th,Sun,360 Mar \ 1
56th,Mon,360 Mar \ 2
57th,Tue     New,360 Mar \ 3
58th ,Wed,360 Mar \ 4
59th X,Thu,360 Mar \ 5
60th X,Fri,360 Mar \ 6
61st X,Sat,360 Mar \ 7
62nd X,Sun,360 Mar \ 8
