SOLAR,7641,HISTORICAL
63rd X,Mon,360 Mar \ 9
64th X,Tue,360 Mar \ 10
65th X,Wed,360 Mar \ 11
66th X,Thu,360 Mar \ 12
67th X,Fri,360 Mar \ 13
68th X,Sat,360 Mar \ 14
69th X,Sun,360 Mar \ 15
70th X,Mon,360 Mar \ 16
71st X,Tue,360 Mar \ 17
72nd X,Wed     Full,360 Mar \ 18
73rd X,Thu,360 Mar \ 19
74th X,Fri,360 Mar \ 20
75th X,Sat,360 Mar \ 21
76th X,Sun,360 Mar \ 22
77th X,Mon,360 Mar \ 23
78th X,Tue,360 Mar \ 24
79th X,Wed,360 Mar \ 25
80th EQ,Thu,360 Mar \ 26
81st  X,Fri,360 Mar \ 27
82nd X,Sat,360 Mar \ 28
83rd  X,Sun,360 Mar \ 29
84th X,Mon,360 Mar \ 30
85th X,Tue,360 Mar \ 31
86th X,Wed,360 Apr \ 1
87th,Thu     New,360 Apr \ 2
88th,Fri,360 Apr \ 3
89th,Sat,360 Apr \ 4
90th,Sun,360 Apr \ 5
91st,Mon,360 Apr \ 6
92nd,Tue,360 Apr \ 7
93rd,Wed,360 Apr \ 8
94th,Thu,360 Apr \ 9
95th,Fri,360 Apr \ 10
96th,Sat,360 Apr \ 11
97th,Sun,360 Apr \ 12
98th,Mon,360 Apr \ 13
99th,Tue,360 Apr \ 14
100th,Wed,360 Apr \ 15
101st,Thu,360 Apr \ 16
102nd,Fri     Full,360 Apr \ 17
103rd,Sat,360 Apr \ 18
104th,Sun,360 Apr \ 19
105th,Mon,360 Apr \ 20
106th,Tue,360 Apr \ 21
107th,Wed,360 Apr \ 22
108th,Thu,360 Apr \ 23
109th,Fri,360 Apr \ 24
110th,Sat,360 Apr \ 25
111th,Sun,360 Apr \ 26
112th,Mon,360 Apr \ 27
113th,Tue,360 Apr \ 28
114th,Wed,360 Apr \ 29
115th,Thu,360 Apr \ 30
116th,Fri     New,360 May \ 1
117th,Sat,360 May \ 2
118th,Sun,360 May \ 3
119th,Mon,360 May \ 4
120th,Tue,360 May \ 5
121st,Wed,360 May \ 6
122nd,Thu,360 May \ 7
123rd,Fri,360 May \ 8
124th,Sat,360 May \ 9
125th,Sun,360 May \ 10
126th,Mon,360 May \ 11
127th,Tue,360 May \ 12
128th,Wed,360 May \ 13
129th,Thu,360 May \ 14
130th,Fri,360 May \ 15
131st,Sat     Full,360 May \ 16
132nd,Sun,360 May \ 17
133rd,Mon,360 May \ 18
134th,Tue,360 May \ 19
135th,Wed,360 May \ 20
136th,Thu,360 May \ 21
137th,Fri,360 May \ 22
138th,Sat,360 May \ 23
139th,Sun,360 May \ 24
140th,Mon,360 May \ 25
141st,Tue,360 May \ 26
142nd,Wed,360 May \ 27
143rd,Thu,360 May \ 28
144th,Fri,360 May \ 29
145th,Sat,360 May \ 30
146th,Sun     New,360 May \ 31
147th,Mon,360 Jun / 1
148th,Tue,360 Jun / 2
149th,Wed,360 Jun / 3
150th,Thu,360 Jun / 4
151st,Fri,360 Jun / 5
152nd,Sat,360 Jun / 6
153rd,Sun,360 Jun / 7
154th,Mon,360 Jun / 8
155th,Tue,360 Jun / 9
156th,Wed,360 Jun / 10
157th,Thu,360 Jun / 11
158th,Fri,360 Jun / 12
159th,Sat,360 Jun / 13
160th S,Sun     Full,360 Jun / 14
161st,Mon,360 Jun / 15
162nd,Tue,360 Jun / 16
163rd,Wed,360 Jun / 17
164th,Thu,360 Jun / 18
165th,Fri,360 Jun / 19
166th,Sat,360 Jun / 20
167th,Sun,360 Jun / 21
168th,Mon,360 Jun / 22
169th,Tue,360 Jun / 23
170th,Wed,360 Jun / 24
171st,Thu,360 Jun / 25
172nd,Fri,360 Jun / 26
173rd,Sat,360 Jun / 27
174th,Sun,360 Jun / 28
175th,Mon     New,360 Jun / 29
176th,Tue,360 Jun / 30
177th,Wed,360 Jul / 1
178th,Thu,360 Jul / 2
179th,Fri,360 Jul / 3
180th,Sat,360 Jul / 4
181st,Sun,360 Jul / 5
182nd,Mon,360 Jul / 6
183rd,Tue,360 Jul / 7
184th,Wed,360 Jul / 8
185th,Thu,360 Jul / 9
186th,Fri,360 Jul / 10
187th,Sat,360 Jul / 11
188th,Sun,360 Jul / 12
189th,Mon,360 Jul / 13
190th,Tue     Full,360 Jul / 14
191st,Wed,360 Jul / 15
192nd,Thu,360 Jul / 16
193rd,Fri,360 Jul / 17
194th,Sat,360 Jul / 18
195th,Sun,360 Jul / 19
196th,Mon,360 Jul / 20
197th,Tue,360 Jul / 21
198th,Wed,360 Jul / 22
199th,Thu,360 Jul / 23
200th,Fri,360 Jul / 24
201st,Sat,360 Jul / 25
202nd,Sun,360 Jul / 26
203rd,Mon,360 Jul / 27
204th,Tue,360 Jul / 28
205th,Wed     New,360 Jul / 29
206th,Thu,360 Jul / 30
207th,Fri,360 Jul / 31
208th,Sat,360 Aug / 1
209th,Sun,360 Aug / 2
210th,Mon,360 Aug / 3
211th,Tue,360 Aug / 4
212th,Wed,360 Aug / 5
213th,Thu,360 Aug / 6
214th,Fri,360 Aug / 7
215th,Sat,360 Aug / 8
216th,Sun,360 Aug / 9
217th,Mon,360 Aug / 10
218th,Tue,360 Aug / 11
219th,Wed     Full,360 Aug / 12
220th,Thu,360 Aug / 13
221st,Fri,360 Aug / 14
222nd,Sat,360 Aug / 15
223rd,Sun,360 Aug / 16
224th,Mon,360 Aug / 17
225th,Tue,360 Aug / 18
226th,Wed,360 Aug / 19
227th,Thu,360 Aug / 20
228th,Fri,360 Aug / 21
229th,Sat,360 Aug / 22
230th,Sun,360 Aug / 23
231st,Mon,360 Aug / 24
232nd,Tue,360 Aug / 25
233rd,Wed,360 Aug / 26
234th,Thu     New,360 Aug / 27
235th,Fri,360 Aug / 28
236th,Sat,360 Aug / 29
237th,Sun,360 Aug / 30
238th,Mon,360 Aug / 31
239th,Tue,360 Sep / 1
240th,Wed,360 Sep / 2
241st,Thu,360 Sep / 3
242nd,Fri,360 Sep / 4
243rd,Sat,360 Sep / 5
244th,Sun,360 Sep / 6
245th,Mon,360 Sep / 7
246th,Tue,360 Sep / 8
247th,Wed,360 Sep / 9
248th,Thu     Full,360 Sep / 10
249th,Fri,360 Sep / 11
250th,Sat,360 Sep / 12
251st,Sun,360 Sep / 13
252nd,Mon,360 Sep / 14
253rd,Tue,360 Sep / 15
254th,Wed,360 Sep / 16
255th,Thu,360 Sep / 17
256th,Fri,360 Sep / 18
257th,Sat,360 Sep / 19
258th,Sun,360 Sep / 20
259th,Mon,360 Sep / 21
260th,Tue,360 Sep / 22
261st,Wed,360 Sep / 23
262nd,Thu,360 Sep / 24
263rd,Fri,360 Sep / 25
264th,Sat     New,360 Sep / 26
265th,Sun,360 Sep / 27
266th EQ,Mon,360 Sep / 28
267th,Tue,360 Sep / 29
268th,Wed,360 Sep / 30
269th,Thu,360 Oct / 1
270th,Fri,360 Oct / 2
271st,Sat,360 Oct / 3
272nd,Sun,360 Oct / 4
273rd,Mon,360 Oct / 5
274th,Tue,360 Oct / 6
275th,Wed,360 Oct / 7
276th,Thu,360 Oct / 8
277th,Fri,360 Oct / 9
278th,Sat     Full,360 Oct / 10
279th,Sun,360 Oct / 11
280th,Mon,360 Oct / 12
281st,Tue,360 Oct / 13
282nd,Wed,360 Oct / 14
283rd,Thu,360 Oct / 15
284th,Fri,360 Oct / 16
285th,Sat,360 Oct / 17
286th,Sun,360 Oct / 18
287th,Mon,360 Oct / 19
288th,Tue,360 Oct / 20
289th,Wed,360 Oct / 21
290th,Thu,360 Oct / 22
291st,Fri,360 Oct / 23
292nd,Sat,360 Oct / 24
293rd,Sun     New,360 Oct / 25
294th,Mon,360 Oct / 26
295th,Tue,360 Oct / 27
296th,Wed,360 Oct / 28
297th,Thu,360 Oct / 29
298th,Fri,360 Oct / 30
299th,Sat,360 Oct / 31
300th,Sun,360 Nov / 1
301st,Mon,360 Nov / 2
302nd,Tue,360 Nov / 3
303rd,Wed,360 Nov / 4
304th,Thu,360 Nov / 5
305th,Fri,360 Nov / 6
306th,Sat,360 Nov / 7
307th,Sun,360 Nov / 8
308th,Mon     Full,360 Nov / 9
309th,Tue,360 Nov / 10
310th,Wed,360 Nov / 11
311th,Thu,360 Nov / 12
312th,Fri,360 Nov / 13
313th,Sat,360 Nov / 14
314th,Sun,360 Nov / 15
315th,Mon,360 Nov / 16
316th,Tue,360 Nov / 17
317th,Wed,360 Nov / 18
318th,Thu,360 Nov / 19
319th,Fri,360 Nov / 20
320th,Sat,360 Nov / 21
321st,Sun,360 Nov / 22
322nd,Mon,360 Nov / 23
323rd,Tue     New,360 Nov / 24
324th,Wed,360 Nov / 25
325th,Thu,360 Nov / 26
326th,Fri,360 Nov / 27
327th,Sat,360 Nov / 28
328th,Sun,360 Nov / 29
329th,Mon,360 Nov / 30
330th,Tue,360 Dec / 1
331st,Wed,360 Dec / 2
332nd,Thu,360 Dec / 3
333rd,Fri,360 Dec / 4
334th,Sat,360 Dec / 5
335th,Sun,360 Dec / 6
336th,Mon,360 Dec / 7
337th,Tue,360 Dec / 8
338th,Wed     Full,360 Dec / 9
339th,Thu,360 Dec / 10
340th,Fri,360 Dec / 11
341st,Sat,360 Dec / 12
342nd,Sun,360 Dec / 13
343rd,Mon,360 Dec / 14
344th,Tue,360 Dec / 15
345th,Wed,360 Dec / 16
346th,Thu,360 Dec / 17
347th,Fri,360 Dec / 18
348th,Sat,360 Dec / 19
349th,Sun,360 Dec / 20
350th,Mon,360 Dec / 21
351st,Tue,360 Dec / 22
352nd,Wed     New,360 Dec / 23
353rd,Thu,360 Dec / 24
354th,Fri,360 Dec / 25
355th,Sat,360 Dec / 26
356th So,Sun,360 Dec / 27
357th,Mon,360 Dec / 28
358th,Tue,360 Dec / 29
359th,Wed,360 Dec / 30
360th,Thu,360 Dec / 31
361st,Fri,359 Jan / 1
362nd,Sat,359 Jan / 2
363rd,Sun,359 Jan / 3
364th,Mon,359 Jan / 4
365th,Tue,359 Jan / 5
366th,XXXXX,XXXXX
