SOLAR,7646,HISTORICAL
1st,Mon,355 Jan \ 6
2nd,Tue,355 Jan \ 7
3rd,Wed     New,355 Jan \ 8
4th,Thu,355 Jan \ 9
5th,Fri,355 Jan \ 10
6th,Sat,355 Jan \ 11
7th,Sun,355 Jan \ 12
8th,Mon,355 Jan \ 13
9th,Tue,355 Jan \ 14
10th,Wed,355 Jan \ 15
11th,Thu,355 Jan \ 16
12th,Fri,355 Jan \ 17
13th,Sat,355 Jan \ 18
14th,Sun,355 Jan \ 19
15th,Mon,355 Jan \ 20
16th,Tue,355 Jan \ 21
17th,Wed     Full,355 Jan \ 22
18th,Thu,355 Jan \ 23
19th,Fri,355 Jan \ 24
20th,Sat,355 Jan \ 25
21st,Sun,355 Jan \ 26
22nd,Mon,355 Jan \ 27
23rd,Tue,355 Jan \ 28
24th,Wed,355 Jan \ 29
25th,Thu,355 Jan \ 30
26th,Fri,355 Jan \ 31
27th,Sat,355 Feb \ 1
28th,Sun,355 Feb \ 2
29th,Mon,355 Feb \ 3
30th,Tue,355 Feb \ 4
31st,Wed,355 Feb \ 5
32nd,Thu,355 Feb \ 6
33rd,Fri     New,355 Feb \ 7
34th,Sat,355 Feb \ 8
35th,Sun,355 Feb \ 9
36th,Mon,355 Feb \ 10
36th,Tue,355 Feb \ 11
38th,Wed,355 Feb \ 12
39th,Thu,355 Feb \ 13
40th,Fri,355 Feb \ 14
41st,Sat,355 Feb \ 15
42nd,Sun,355 Feb \ 16
43rd,Mon,355 Feb \ 17
44th,Tue,355 Feb \ 18
45th,Wed,355 Feb \ 19
46th,Thu,355 Feb \ 20
47th,Fri     Full,355 Feb \ 21
48th,Sat,355 Feb \ 22
49th,Sun,355 Feb \ 23
50th,Mon,355 Feb \ 24
51st,Tue,355 Feb \ 25
52nd,Wed,355 Feb \ 26
53rd,Thu,355 Feb \ 27
54th,Fri,355 Feb \ 28
55th,Sat,355 Mar \ 1
56th,Sun,355 Mar \ 2
57th,Mon,355 Mar \ 3
58th ,Tue,355 Mar \ 4
59th X,Wed,355 Mar \ 5
60th X,Thu,355 Mar \ 6
