SOLAR,7646,HISTORICAL
61st X,Fri,355 Mar \ 7
62nd X,Sat,355 Mar \ 8
63rd X,Sun     New,355 Mar \ 9
64th X,Mon,355 Mar \ 10
65th X,Tue,355 Mar \ 11
66th X,Wed,355 Mar \ 12
67th X,Thu,355 Mar \ 13
68th X,Fri,355 Mar \ 14
69th X,Sat,355 Mar \ 15
70th X,Sun,355 Mar \ 16
71st X,Mon,355 Mar \ 17
72nd X,Tue,355 Mar \ 18
73rd X,Wed,355 Mar \ 19
74th X,Thu,355 Mar \ 20
75th X,Fri,355 Mar \ 21
76th X,Sat,355 Mar \ 22
77th X,Sun     Full,355 Mar \ 23
78th X,Mon,355 Mar \ 24
79th X,Tue,355 Mar \ 25
80th EQ,Wed,355 Mar \ 26
81st  X,Thu,355 Mar \ 27
82nd X,Fri,355 Mar \ 28
83rd  X,Sat,355 Mar \ 29
84th X,Sun,355 Mar \ 30
85th X,Mon,355 Mar \ 31
86th X,Tue,355 Apr \ 1
87th,Wed,355 Apr \ 2
88th,Thu,355 Apr \ 3
89th,Fri,355 Apr \ 4
90th,Sat,355 Apr \ 5
91st,Sun,355 Apr \ 6
92nd,Mon     New,355 Apr \ 7
93rd,Tue,355 Apr \ 8
94th,Wed,355 Apr \ 9
95th,Thu,355 Apr \ 10
96th,Fri,355 Apr \ 11
97th,Sat,355 Apr \ 12
98th,Sun,355 Apr \ 13
99th,Mon,355 Apr \ 14
100th,Tue,355 Apr \ 15
101st,Wed,355 Apr \ 16
102nd,Thu,355 Apr \ 17
103rd,Fri,355 Apr \ 18
104th,Sat,355 Apr \ 19
105th,Sun,355 Apr \ 20
106th,Mon     Full,355 Apr \ 21
107th,Tue,355 Apr \ 22
108th,Wed,355 Apr \ 23
109th,Thu,355 Apr \ 24
110th,Fri,355 Apr \ 25
111th,Sat,355 Apr \ 26
112th,Sun,355 Apr \ 27
113th,Mon,355 Apr \ 28
114th,Tue,355 Apr \ 29
115th,Wed,355 Apr \ 30
116th,Thu,355 May \ 1
117th,Fri,355 May \ 2
118th,Sat,355 May \ 3
119th,Sun,355 May \ 4
120th,Mon,355 May \ 5
121st,Tue     New,355 May \ 6
122nd,Wed,355 May \ 7
123rd,Thu,355 May \ 8
124th,Fri,355 May \ 9
125th,Sat,355 May \ 10
126th,Sun,355 May \ 11
127th,Mon,355 May \ 12
128th,Tue,355 May \ 13
129th,Wed,355 May \ 14
130th,Thu,355 May \ 15
131st,Fri,355 May \ 16
132nd,Sat,355 May \ 17
133rd,Sun,355 May \ 18
134th,Mon,355 May \ 19
135th,Tue,355 May \ 20
136th,Wed     Full,355 May \ 21
137th,Thu,355 May \ 22
138th,Fri,355 May \ 23
139th,Sat,355 May \ 24
140th,Sun,355 May \ 25
141st,Mon,355 May \ 26
142nd,Tue,355 May \ 27
143rd,Wed,355 May \ 28
144th,Thu,355 May \ 29
145th,Fri,355 May \ 30
146th,Sat,355 May \ 31
147th,Sun,355 Jun / 1
148th,Mon,355 Jun / 2
149th,Tue,355 Jun / 3
150th,Wed,355 Jun / 4
151st,Thu     New,355 Jun / 5
152nd,Fri,355 Jun / 6
153rd,Sat,355 Jun / 7
154th,Sun,355 Jun / 8
155th,Mon,355 Jun / 9
156th,Tue,355 Jun / 10
157th,Wed,355 Jun / 11
158th,Thu,355 Jun / 12
159th,Fri,355 Jun / 13
160th S,Sat,355 Jun / 14
161st,Sun,355 Jun / 15
162nd,Mon,355 Jun / 16
163rd,Tue,355 Jun / 17
164th,Wed,355 Jun / 18
165th,Thu     Full,355 Jun / 19
166th,Fri,355 Jun / 20
167th,Sat,355 Jun / 21
168th,Sun,355 Jun / 22
169th,Mon,355 Jun / 23
170th,Tue,355 Jun / 24
171st,Wed,355 Jun / 25
172nd,Thu,355 Jun / 26
173rd,Fri,355 Jun / 27
174th,Sat,355 Jun / 28
175th,Sun,355 Jun / 29
176th,Mon,355 Jun / 30
177th,Tue,355 Jul / 1
178th,Wed,355 Jul / 2
179th,Thu,355 Jul / 3
180th,Fri     New,355 Jul / 4
181st,Sat,355 Jul / 5
182nd,Sun,355 Jul / 6
183rd,Mon,355 Jul / 7
184th,Tue,355 Jul / 8
185th,Wed,355 Jul / 9
186th,Thu,355 Jul / 10
187th,Fri,355 Jul / 11
188th,Sat,355 Jul / 12
189th,Sun,355 Jul / 13
190th,Mon,355 Jul / 14
191st,Tue,355 Jul / 15
192nd,Wed,355 Jul / 16
193rd,Thu,355 Jul / 17
194th,Fri,355 Jul / 18
195th,Sat     Full,355 Jul / 19
196th,Sun,355 Jul / 20
197th,Mon,355 Jul / 21
198th,Tue,355 Jul / 22
199th,Wed,355 Jul / 23
200th,Thu,355 Jul / 24
201st,Fri,355 Jul / 25
202nd,Sat,355 Jul / 26
203rd,Sun,355 Jul / 27
204th,Mon,355 Jul / 28
205th,Tue,355 Jul / 29
206th,Wed,355 Jul / 30
207th,Thu,355 Jul / 31
208th,Fri,355 Aug / 1
209th,Sat     New,355 Aug / 2
210th,Sun,355 Aug / 3
211th,Mon,355 Aug / 4
212th,Tue,355 Aug / 5
213th,Wed,355 Aug / 6
214th,Thu,355 Aug / 7
215th,Fri,355 Aug / 8
216th,Sat,355 Aug / 9
217th,Sun,355 Aug / 10
218th,Mon,355 Aug / 11
219th,Tue,355 Aug / 12
220th,Wed,355 Aug / 13
221st,Thu,355 Aug / 14
222nd,Fri,355 Aug / 15
223rd,Sat,355 Aug / 16
224th,Sun,355 Aug / 17
225th,Mon     Full,355 Aug / 18
226th,Tue,355 Aug / 19
227th,Wed,355 Aug / 20
228th,Thu,355 Aug / 21
229th,Fri,355 Aug / 22
230th,Sat,355 Aug / 23
231st,Sun,355 Aug / 24
232nd,Mon,355 Aug / 25
233rd,Tue,355 Aug / 26
234th,Wed,355 Aug / 27
235th,Thu,355 Aug / 28
236th,Fri,355 Aug / 29
237th,Sat,355 Aug / 30
238th,Sun,355 Aug / 31
239th,Mon     New,355 Sep / 1
240th,Tue,355 Sep / 2
241st,Wed,355 Sep / 3
242nd,Thu,355 Sep / 4
243rd,Fri,355 Sep / 5
244th,Sat,355 Sep / 6
245th,Sun,355 Sep / 7
246th,Mon,355 Sep / 8
247th,Tue,355 Sep / 9
248th,Wed,355 Sep / 10
249th,Thu,355 Sep / 11
250th,Fri,355 Sep / 12
251st,Sat,355 Sep / 13
252nd,Sun,355 Sep / 14
253rd,Mon,355 Sep / 15
254th,Tue     Full,355 Sep / 16
255th,Wed,355 Sep / 17
256th,Thu,355 Sep / 18
257th,Fri,355 Sep / 19
258th,Sat,355 Sep / 20
259th,Sun,355 Sep / 21
260th,Mon,355 Sep / 22
261st,Tue,355 Sep / 23
262nd,Wed,355 Sep / 24
263rd,Thu,355 Sep / 25
264th,Fri,355 Sep / 26
265th,Sat,355 Sep / 27
266th EQ,Sun,355 Sep / 28
267th,Mon,355 Sep / 29
268th,Tue     New,355 Sep / 30
269th,Wed,355 Oct / 1
270th,Thu,355 Oct / 2
271st,Fri,355 Oct / 3
272nd,Sat,355 Oct / 4
273rd,Sun,355 Oct / 5
274th,Mon,355 Oct / 6
275th,Tue,355 Oct / 7
276th,Wed,355 Oct / 8
277th,Thu,355 Oct / 9
278th,Fri,355 Oct / 10
279th,Sat,355 Oct / 11
280th,Sun,355 Oct / 12
281st,Mon,355 Oct / 13
282nd,Tue,355 Oct / 14
283rd,Wed,355 Oct / 15
284th,Thu     Full,355 Oct / 16
285th,Fri,355 Oct / 17
286th,Sat,355 Oct / 18
287th,Sun,355 Oct / 19
288th,Mon,355 Oct / 20
289th,Tue,355 Oct / 21
290th,Wed,355 Oct / 22
291st,Thu,355 Oct / 23
292nd,Fri,355 Oct / 24
293rd,Sat,355 Oct / 25
294th,Sun,355 Oct / 26
295th,Mon,355 Oct / 27
296th,Tue,355 Oct / 28
297th,Wed,355 Oct / 29
298th,Thu     New,355 Oct / 30
299th,Fri,355 Oct / 31
300th,Sat,355 Nov / 1
301st,Sun,355 Nov / 2
302nd,Mon,355 Nov / 3
303rd,Tue,355 Nov / 4
304th,Wed,355 Nov / 5
305th,Thu,355 Nov / 6
306th,Fri,355 Nov / 7
307th,Sat,355 Nov / 8
308th,Sun,355 Nov / 9
309th,Mon,355 Nov / 10
310th,Tue,355 Nov / 11
311th,Wed,355 Nov / 12
312th,Thu,355 Nov / 13
313th,Fri     Full,355 Nov / 14
314th,Sat,355 Nov / 15
315th,Sun,355 Nov / 16
316th,Mon,355 Nov / 17
317th,Tue,355 Nov / 18
318th,Wed,355 Nov / 19
319th,Thu,355 Nov / 20
320th,Fri,355 Nov / 21
321st,Sat,355 Nov / 22
322nd,Sun,355 Nov / 23
323rd,Mon,355 Nov / 24
324th,Tue,355 Nov / 25
325th,Wed,355 Nov / 26
326th,Thu,355 Nov / 27
327th,Fri,355 Nov / 28
328th,Sat     New,355 Nov / 29
329th,Sun,355 Nov / 30
330th,Mon,355 Dec / 1
331st,Tue,355 Dec / 2
332nd,Wed,355 Dec / 3
333rd,Thu,355 Dec / 4
334th,Fri,355 Dec / 5
335th,Sat,355 Dec / 6
336th,Sun,355 Dec / 7
337th,Mon,355 Dec / 8
338th,Tue,355 Dec / 9
339th,Wed,355 Dec / 10
340th,Thu,355 Dec / 11
341st,Fri,355 Dec / 12
342nd,Sat,355 Dec / 13
343rd,Sun     Full,355 Dec / 14
344th,Mon,355 Dec / 15
345th,Tue,355 Dec / 16
346th,Wed,355 Dec / 17
347th,Thu,355 Dec / 18
348th,Fri,355 Dec / 19
349th,Sat,355 Dec / 20
350th,Sun,355 Dec / 21
351st,Mon,355 Dec / 22
352nd,Tue,355 Dec / 23
353rd,Wed,355 Dec / 24
354th,Thu,355 Dec / 25
355th,Fri,355 Dec / 26
356th So,Sat,355 Dec / 27
357th,Sun     New,355 Dec / 28
358th,Mon,355 Dec / 29
359th,Tue,355 Dec / 30
360th,Wed,355 Dec / 31
361st,Thu,354 Jan / 1
362nd,Fri,354 Jan / 2
363rd,Sat,354 Jan / 3
364th,Sun,354 Jan / 4
365th,Mon,354 Jan / 5
366th,XXXXX,XXXXX
