SOLAR,8219,JULIAN AUC,HISTORICAL
116th,Mon,972 Aprilis / 26,219 Apr / 26
117th,Tue,972 Aprilis / 27,219 Apr / 27
118th,Wed,972 Aprilis / 28,219 Apr / 28
119th,Thu,972 Aprilis / 29,219 Apr / 29
120th,Fri,972 Aprilis / 30,219 Apr / 30
121st,Sat     New,972 Maius / 1,219 May / 1
122nd,Sun,972 Maius / 2,219 May / 2
123rd,Mon,972 Maius / 3,219 May / 3
124th,Tue,972 Maius / 4,219 May / 4
125th,Wed,972 Maius / 5,219 May / 5
126th,Thu,972 Maius / 6,219 May / 6
127th,Fri,972 Maius / 7,219 May / 7
128th,Sat,972 Maius / 8,219 May / 8
129th,Sun,972 Maius / 9,219 May / 9
130th,Mon,972 Maius / 10,219 May / 10
131st,Tue,972 Maius / 11,219 May / 11
132nd,Wed,972 Maius / 12,219 May / 12
133rd,Thu,972 Maius / 13,219 May / 13
134th,Fri,972 Maius / 14,219 May / 14
135th,Sat,972 Maius / 15,219 May / 15
136th,Sun,972 Maius / 16,219 May / 16
137th,Mon     Full,972 Maius / 17,219 May / 17
138th,Tue,972 Maius / 18,219 May / 18
139th,Wed,972 Maius / 19,219 May / 19
140th,Thu,972 Maius / 20,219 May / 20
141st,Fri,972 Maius / 21,219 May / 21
142nd,Sat,972 Maius / 22,219 May / 22
143rd,Sun,972 Maius / 23,219 May / 23
144th,Mon,972 Maius / 24,219 May / 24
145th,Tue,972 Maius / 25,219 May / 25
146th,Wed,972 Maius / 26,219 May / 26
147th,Thu,972 Maius / 27,219 May / 27
148th,Fri,972 Maius / 28,219 May / 28
149th,Sat,972 Maius / 29,219 May / 29
150th,Sun,972 Maius / 30,219 May / 30
151st,Mon     New,972 Maius / 31,219 May / 31
152nd,Tue,972 Iunius / 1,219 Jun / 1
153rd,Wed,972 Iunius / 2,219 Jun / 2
154th,Thu,972 Iunius / 3,219 Jun / 3
155th,Fri,972 Iunius / 4,219 Jun / 4
156th,Sat,972 Iunius / 5,219 Jun / 5
157th,Sun,972 Iunius / 6,219 Jun / 6
158th,Mon,972 Iunius / 7,219 Jun / 7
159th,Tue,972 Iunius / 8,219 Jun / 8
160th S,Wed,972 Iunius / 9,219 Jun / 9
161st,Thu,972 Iunius / 10,219 Jun / 10
162nd,Fri,972 Iunius / 11,219 Jun / 11
163rd,Sat,972 Iunius / 12,219 Jun / 12
164th,Sun,972 Iunius / 13,219 Jun / 13
165th,Mon,972 Iunius / 14,219 Jun / 14
166th,Tue     Full,972 Iunius / 15,219 Jun / 15
167th,Wed,972 Iunius / 16,219 Jun / 16
168th,Thu,972 Iunius / 17,219 Jun / 17
169th,Fri,972 Iunius / 18,219 Jun / 18
170th,Sat,972 Iunius / 19,219 Jun / 19
171st,Sun,972 Iunius / 20,219 Jun / 20
172nd,Mon,972 Iunius / 21,219 Jun / 21
173rd,Tue,972 Iunius / 22,219 Jun / 22
