SOLAR,8213,JULIAN AUC,HISTORICAL
304th,Sun     New,966 Oct / 31,213 Oct / 31
305th,Mon,966 Nov / 1,213 Nov / 1
306th,Tue,966 Nov / 2,213 Nov / 2
307th,Wed,966 Nov / 3,213 Nov / 3
308th,Thu,966 Nov / 4,213 Nov / 4
309th,Fri,966 Nov / 5,213 Nov / 5
310th,Sat,966 Nov / 6,213 Nov / 6
311th,Sun,966 Nov / 7,213 Nov / 7
312th,Mon,966 Nov / 8,213 Nov / 8
313th,Tue,966 Nov / 9,213 Nov / 9
314th,Wed,966 Nov / 10,213 Nov / 10
315th,Thu,966 Nov / 11,213 Nov / 11
316th,Fri,966 Nov / 12,213 Nov / 12
317th,Sat,966 Nov / 13,213 Nov / 13
318th,Sun,966 Nov / 14,213 Nov / 14
319th,Mon     Full,966 Nov / 15,213 Nov / 15
320th,Tue,966 Nov / 16,213 Nov / 16
321st,Wed,966 Nov / 17,213 Nov / 17
322nd,Thu,966 Nov / 18,213 Nov / 18
323rd,Fri,966 Nov / 19,213 Nov / 19
324th,Sat,966 Nov / 20,213 Nov / 20
325th,Sun,966 Nov / 21,213 Nov / 21
326th,Mon,966 Nov / 22,213 Nov / 22
327th,Tue,966 Nov / 23,213 Nov / 23
328th,Wed,966 Nov / 24,213 Nov / 24
329th,Thu,966 Nov / 25,213 Nov / 25
330th,Fri,966 Nov / 26,213 Nov / 26
331st,Sat,966 Nov / 27,213 Nov / 27
332nd,Sun,966 Nov / 28,213 Nov / 28
333rd,Mon     New,966 Nov / 29,213 Nov / 29
334th,Tue,966 Nov / 30,213 Nov / 30
335th,Wed,966 Dec / 1,213 Dec / 1
336th,Thu,966 Dec / 2,213 Dec / 2
337th,Fri,966 Dec / 3,213 Dec / 3
338th,Sat,966 Dec / 4,213 Dec / 4
339th,Sun,966 Dec / 5,213 Dec / 5
340th,Mon,966 Dec / 6,213 Dec / 6
341st,Tue,966 Dec / 7,213 Dec / 7
342nd,Wed,966 Dec / 8,213 Dec / 8
343rd,Thu,966 Dec / 9,213 Dec / 9
344th,Fri,966 Dec / 10,213 Dec / 10
345th,Sat,966 Dec / 11,213 Dec / 11
346th,Sun,966 Dec / 12,213 Dec / 12
347th,Mon,966 Dec / 13,213 Dec / 13
348th,Tue,966 Dec / 14,213 Dec / 14
349th,Wed     Full,966 Dec / 15,213 Dec / 15
350th,Thu,966 Dec / 16,213 Dec / 16
351st,Fri,966 Dec / 17,213 Dec / 17
352nd,Sat,966 Dec / 18,213 Dec / 18
353rd,Sun,966 Dec / 19,213 Dec / 19
354th,Mon,966 Dec / 20,213 Dec / 20
355th,Tue,966 Dec / 21,213 Dec / 21
356th,Wed,966 Dec / 22,213 Dec / 22
357th,Thu,966 Dec / 23,213 Dec / 23
358th,Fri,966 Dec / 24,213 Dec / 24
359th,Sat,966 Dec / 25,213 Dec / 25
360th,Sun,966 Dec / 26,213 Dec / 26
361st,Mon,966 Dec / 27,213 Dec / 27
362nd,Tue,966 Dec / 28,213 Dec / 28
363rd,Wed     New,966 Dec / 29,213 Dec / 29
364th,Thu,966 Dec / 30,213 Dec / 30
365th,Fri,966 Dec / 31,213 Dec / 31
366th,XXXXX,,XXXXX
