SOLAR,8213,JULIAN AUC,HISTORICAL
1st,Fri,966 Ianuarius / 1,213 Jan \ 1
2nd,Sat,966 Ianuarius / 2,213 Jan \ 2
3rd,Sun,966 Ianuarius / 3,213 Jan \ 3
4th,Mon,966 Ianuarius / 4,213 Jan \ 4
5th,Tue,966 Ianuarius / 5,213 Jan \ 5
6th,Wed,966 Ianuarius / 6,213 Jan \ 6
7th,Thu,966 Ianuarius / 7,213 Jan \ 7
8th,Fri,966 Ianuarius / 8,213 Jan \ 8
9th,Sat     New,966 Ianuarius / 9,213 Jan \ 9
10th,Sun,966 Ianuarius / 10,213 Jan \ 10
11th,Mon,966 Ianuarius / 11,213 Jan \ 11
12th,Tue,966 Ianuarius / 12,213 Jan \ 12
13th,Wed,966 Ianuarius / 13,213 Jan \ 13
14th,Thu,966 Ianuarius / 14,213 Jan \ 14
15th,Fri,966 Ianuarius / 15,213 Jan \ 15
16th,Sat,966 Ianuarius / 16,213 Jan \ 16
17th,Sun,966 Ianuarius / 17,213 Jan \ 17
18th,Mon,966 Ianuarius / 18,213 Jan \ 18
19th,Tue,966 Ianuarius / 19,213 Jan \ 19
20th,Wed,966 Ianuarius / 20,213 Jan \ 20
21st,Thu,966 Ianuarius / 21,213 Jan \ 21
22nd,Fri,966 Ianuarius / 22,213 Jan \ 22
23rd,Sat,966 Ianuarius / 23,213 Jan \ 23
24th,Sun     Full,966 Ianuarius / 24,213 Jan \ 24
25th,Mon,966 Ianuarius / 25,213 Jan \ 25
26th,Tue,966 Ianuarius / 26,213 Jan \ 26
27th,Wed,966 Ianuarius / 27,213 Jan \ 27
28th,Thu,966 Ianuarius / 28,213 Jan \ 28
29th,Fri,966 Ianuarius / 29,213 Jan \ 29
30th,Sat,966 Ianuarius / 30,213 Jan \ 30
31st,Sun,966 Ianuarius / 31,213 Jan \ 31
32nd,Mon,966 Februarius / 1,213 Feb / 1
33rd,Tue,966 Februarius / 2,213 Feb / 2
34th,Wed,966 Februarius / 3,213 Feb / 3
35th,Thu,966 Februarius / 4,213 Feb / 4
36th,Fri,966 Februarius / 5,213 Feb / 5
36th,Sat,966 Februarius / 6,213 Feb / 6
38th,Sun,966 Februarius / 7,213 Feb / 7
39th,Mon     New,966 Februarius / 8,213 Feb / 8
40th,Tue,966 Februarius / 9,213 Feb / 9
41st,Wed,966 Februarius / 10,213 Feb / 10
42nd,Thu,966 Februarius / 11,213 Feb / 11
43rd,Fri,966 Februarius / 12,213 Feb / 12
44th,Sat,966 Februarius / 13,213 Feb / 13
45th,Sun,966 Februarius / 14,213 Feb / 14
46th,Mon,966 Februarius / 15,213 Feb / 15
47th,Tue,966 Februarius / 16,213 Feb / 16
48th,Wed,966 Februarius / 17,213 Feb / 17
49th,Thu,966 Februarius / 18,213 Feb / 18
50th,Fri,966 Februarius / 19,213 Feb / 19
51st,Sat,966 Februarius / 20,213 Feb / 20
52nd,Sun,966 Februarius / 21,213 Feb / 21
53rd,Mon     Full,966 Februarius / 22,213 Feb / 22
54th,Tue,966 Februarius / 23,213 Feb / 23
55th,Wed,966 Februarius / 24,213 Feb / 24
56th,Thu,966 Februarius / 25,213 Feb / 25
57th,Fri,966 Februarius / 26,213 Feb / 26
58th,Sat,966 Februarius / 27,213 Feb / 27
59th,Sun,966 Februarius / 28,213 Feb / 28
60th,Mon,966 Martius / 1,213 Mar / 1
61st,Tue,966 Martius / 2,213 Mar / 2
62nd,Wed,966 Martius / 3,213 Mar / 3
63rd,Thu,966 Martius / 4,213 Mar / 4
64th,Fri,966 Martius / 5,213 Mar / 5
65th,Sat,966 Martius / 6,213 Mar / 6
66th,Sun,966 Martius / 7,213 Mar / 7
67th,Mon,966 Martius / 8,213 Mar / 8
68th,Tue,966 Martius / 9,213 Mar / 9
69th,Wed     New,966 Martius / 10,213 Mar / 10
70th,Thu,966 Martius / 11,213 Mar / 11
71st,Fri,966 Martius / 12,213 Mar / 12
72nd,Sat,966 Martius / 13,213 Mar / 13
73rd,Sun,966 Martius / 14,213 Mar / 14
74th,Mon,966 Martius / 15,213 Mar / 15
75th,Tue,966 Martius / 16,213 Mar / 16
76th,Wed,966 Martius / 17,213 Mar / 17
77th,Thu,966 Martius / 18,213 Mar / 18
78th,Fri,966 Martius / 19,213 Mar / 19
79th,Sat,966 Martius / 20,213 Mar / 20
80th EQ,Sun,966 Martius / 21,213 Mar / 21
81st  X,Mon,966 Martius / 22,213 Mar / 22
82nd X,Tue,966 Martius / 23,213 Mar / 23
83rd  X,Wed     Full,966 Martius / 24,213 Mar / 24
84th X,Thu,966 Martius / 25,213 Mar / 25
85th X,Fri,966 Martius / 26,213 Mar / 26
86th X,Sat,966 Martius / 27,213 Mar / 27
87th X,Sun,966 Martius / 28,213 Mar / 28
88th X,Mon,966 Martius / 29,213 Mar / 29
89th X,Tue,966 Martius / 30,213 Mar / 30
90th X,Wed,966 Martius / 31,213 Mar / 31
91st X,Thu,966 Aprilis / 1,213 Apr / 1
92nd X,Fri,966 Aprilis / 2,213 Apr / 2
93rd X,Sat,966 Aprilis / 3,213 Apr / 3
94th X,Sun,966 Aprilis / 4,213 Apr / 4
95th X,Mon,966 Aprilis / 5,213 Apr / 5
96th X,Tue,966 Aprilis / 6,213 Apr / 6
97th X,Wed,966 Aprilis / 7,213 Apr / 7
98th X,Thu     New,966 Aprilis / 8,213 Apr / 8
99th X,Fri,966 Aprilis / 9,213 Apr / 9
100th X,Sat,966 Aprilis / 10,213 Apr / 10
101st X,Sun,966 Aprilis / 11,213 Apr / 11
102nd X,Mon,966 Aprilis / 12,213 Apr / 12
103rd X,Tue,966 Aprilis / 13,213 Apr / 13
104th X,Wed,966 Aprilis / 14,213 Apr / 14
105th X,Thu,966 Aprilis / 15,213 Apr / 15
106th X,Fri,966 Aprilis / 16,213 Apr / 16
107th X,Sat,966 Aprilis / 17,213 Apr / 17
108th X,Sun,966 Aprilis / 18,213 Apr / 18
109th X,Mon,966 Aprilis / 19,213 Apr / 19
110th X,Tue,966 Aprilis / 20,213 Apr / 20
111th X,Wed,966 Aprilis / 21,213 Apr / 21
112th X,Thu     Full,966 Aprilis / 22,213 Apr / 22
113th X,Fri,966 Aprilis / 23,213 Apr / 23
114th X,Sat,966 Aprilis / 24,213 Apr / 24
115th X,Sun,966 Aprilis / 25,213 Apr / 25
116th,Mon,966 Aprilis / 26,213 Apr / 26
117th,Tue,966 Aprilis / 27,213 Apr / 27
118th,Wed,966 Aprilis / 28,213 Apr / 28
119th,Thu,966 Aprilis / 29,213 Apr / 29
120th,Fri,966 Aprilis / 30,213 Apr / 30
121st,Sat,966 Maius / 1,213 May / 1
122nd,Sun,966 Maius / 2,213 May / 2
123rd,Mon,966 Maius / 3,213 May / 3
124th,Tue,966 Maius / 4,213 May / 4
125th,Wed,966 Maius / 5,213 May / 5
126th,Thu,966 Maius / 6,213 May / 6
127th,Fri     New,966 Maius / 7,213 May / 7
128th,Sat,966 Maius / 8,213 May / 8
129th,Sun,966 Maius / 9,213 May / 9
130th,Mon,966 Maius / 10,213 May / 10
131st,Tue,966 Maius / 11,213 May / 11
132nd,Wed,966 Maius / 12,213 May / 12
133rd,Thu,966 Maius / 13,213 May / 13
134th,Fri,966 Maius / 14,213 May / 14
135th,Sat,966 Maius / 15,213 May / 15
136th,Sun,966 Maius / 16,213 May / 16
137th,Mon,966 Maius / 17,213 May / 17
138th,Tue,966 Maius / 18,213 May / 18
139th,Wed,966 Maius / 19,213 May / 19
140th,Thu,966 Maius / 20,213 May / 20
141st,Fri,966 Maius / 21,213 May / 21
142nd,Sat     Full,966 Maius / 22,213 May / 22
143rd,Sun,966 Maius / 23,213 May / 23
144th,Mon,966 Maius / 24,213 May / 24
145th,Tue,966 Maius / 25,213 May / 25
146th,Wed,966 Maius / 26,213 May / 26
147th,Thu,966 Maius / 27,213 May / 27
148th,Fri,966 Maius / 28,213 May / 28
149th,Sat,966 Maius / 29,213 May / 29
150th,Sun,966 Maius / 30,213 May / 30
151st,Mon,966 Maius / 31,213 May / 31
152nd,Tue,966 Iunius / 1,213 Jun / 1
153rd,Wed,966 Iunius / 2,213 Jun / 2
154th,Thu,966 Iunius / 3,213 Jun / 3
155th,Fri,966 Iunius / 4,213 Jun / 4
156th,Sat,966 Iunius / 5,213 Jun / 5
157th,Sun     New,966 Iunius / 6,213 Jun / 6
158th,Mon,966 Iunius / 7,213 Jun / 7
159th,Tue,966 Iunius / 8,213 Jun / 8
160th S,Wed,966 Iunius / 9,213 Jun / 9
161st,Thu,966 Iunius / 10,213 Jun / 10
162nd,Fri,966 Iunius / 11,213 Jun / 11
163rd,Sat,966 Iunius / 12,213 Jun / 12
164th,Sun,966 Iunius / 13,213 Jun / 13
165th,Mon,966 Iunius / 14,213 Jun / 14
166th,Tue,966 Iunius / 15,213 Jun / 15
167th,Wed,966 Iunius / 16,213 Jun / 16
168th,Thu,966 Iunius / 17,213 Jun / 17
169th,Fri,966 Iunius / 18,213 Jun / 18
170th,Sat,966 Iunius / 19,213 Jun / 19
171st,Sun     Full,966 Iunius / 20,213 Jun / 20
172nd,Mon,966 Iunius / 21,213 Jun / 21
173rd,Tue,966 Iunius / 22,213 Jun / 22
174th,Wed,966 Iunius / 23,213 Jun / 23
175th,Thu,966 Iunius / 24,213 Jun / 24
176th,Fri,966 Iunius / 25,213 Jun / 25
177th,Sat,966 Iunius / 26,213 Jun / 26
178th,Sun,966 Iunius / 27,213 Jun / 27
179th,Mon,966 Iunius / 28,213 Jun / 28
180th,Tue,966 Iunius / 29,213 Jun / 29
181st,Wed,966 Iunius / 30,213 Jun / 30
182nd,Thu,966 Iulius / 1,213 Jul / 1
183rd,Fri,966 Iulius / 2,213 Jul / 2
184th,Sat,966 Iulius / 3,213 Jul / 3
185th,Sun,966 Iulius / 4,213 Jul / 4
186th,Mon     New,966 Iulius / 5,213 Jul / 5
187th,Tue,966 Iulius / 6,213 Jul / 6
188th,Wed,966 Iulius / 7,213 Jul / 7
189th,Thu,966 Iulius / 8,213 Jul / 8
190th,Fri,966 Iulius / 9,213 Jul / 9
191st,Sat,966 Iulius / 10,213 Jul / 10
192nd,Sun,966 Iulius / 11,213 Jul / 11
193rd,Mon,966 Iulius / 12,213 Jul / 12
194th,Tue,966 Iulius / 13,213 Jul / 13
195th,Wed,966 Iulius / 14,213 Jul / 14
196th,Thu,966 Iulius / 15,213 Jul / 15
197th,Fri,966 Iulius / 16,213 Jul / 16
198th,Sat,966 Iulius / 17,213 Jul / 17
199th,Sun,966 Iulius / 18,213 Jul / 18
200th,Mon,966 Iulius / 19,213 Jul / 19
201st,Tue     Full,966 Iulius / 20,213 Jul / 20
202nd,Wed,966 Iulius / 21,213 Jul / 21
203rd,Thu,966 Iulius / 22,213 Jul / 22
204th,Fri,966 Iulius / 23,213 Jul / 23
205th,Sat,966 Iulius / 24,213 Jul / 24
206th,Sun,966 Iulius / 25,213 Jul / 25
207th,Mon,966 Iulius / 26,213 Jul / 26
208th,Tue,966 Iulius / 27,213 Jul / 27
209th,Wed,966 Iulius / 28,213 Jul / 28
210th,Thu,966 Iulius / 29,213 Jul / 29
211th,Fri,966 Iulius / 30,213 Jul / 30
212th,Sat,966 Iulius / 31,213 Jul / 31
213th,Sun,966 Augustus / 1,213 Aug / 1
214th,Mon,966 Augustus / 2,213 Aug / 2
215th,Tue     New,966 Augustus / 3,213 Aug / 3
216th,Wed,966 Augustus / 4,213 Aug / 4
217th,Thu,966 Augustus / 5,213 Aug / 5
218th,Fri,966 Augustus / 6,213 Aug / 6
219th,Sat,966 Augustus / 7,213 Aug / 7
220th,Sun,966 Augustus / 8,213 Aug / 8
221st,Mon,966 Augustus / 9,213 Aug / 9
222nd,Tue,966 Augustus / 10,213 Aug / 10
223rd,Wed,966 Augustus / 11,213 Aug / 11
224th,Thu,966 Augustus / 12,213 Aug / 12
225th,Fri,966 Augustus / 13,213 Aug / 13
226th,Sat,966 Augustus / 14,213 Aug / 14
227th,Sun,966 Augustus / 15,213 Aug / 15
228th,Mon,966 Augustus / 16,213 Aug / 16
229th,Tue,966 Augustus / 17,213 Aug / 17
230th,Wed,966 Augustus / 18,213 Aug / 18
231st,Thu     Full,966 Augustus / 19,213 Aug / 19
232nd,Fri,966 Augustus / 20,213 Aug / 20
233rd,Sat,966 Augustus / 21,213 Aug / 21
234th,Sun,966 Augustus / 22,213 Aug / 22
235th,Mon,966 Augustus / 23,213 Aug / 23
236th,Tue,966 Augustus / 24,213 Aug / 24
237th,Wed,966 Augustus / 25,213 Aug / 25
238th,Thu,966 Augustus / 26,213 Aug / 26
239th,Fri,966 Augustus / 27,213 Aug / 27
240th,Sat,966 Augustus / 28,213 Aug / 28
241st,Sun,966 Augustus / 29,213 Aug / 29
242nd,Mon,966 Augustus / 30,213 Aug / 30
243rd,Tue,966 Augustus / 31,213 Aug / 31
244th,Wed,966 Sep / 1,213 Sep / 1
245th,Thu     New,966 Sep / 2,213 Sep / 2
246th,Fri,966 Sep / 3,213 Sep / 3
247th,Sat,966 Sep / 4,213 Sep / 4
248th,Sun,966 Sep / 5,213 Sep / 5
249th,Mon,966 Sep / 6,213 Sep / 6
250th,Tue,966 Sep / 7,213 Sep / 7
251st,Wed,966 Sep / 8,213 Sep / 8
252nd,Thu,966 Sep / 9,213 Sep / 9
253rd,Fri,966 Sep / 10,213 Sep / 10
254th,Sat,966 Sep / 11,213 Sep / 11
255th,Sun,966 Sep / 12,213 Sep / 12
256th,Mon,966 Sep / 13,213 Sep / 13
257th,Tue,966 Sep / 14,213 Sep / 14
258th,Wed,966 Sep / 15,213 Sep / 15
259th,Thu,966 Sep / 16,213 Sep / 16
260th,Fri     Full,966 Sep / 17,213 Sep / 17
261st,Sat,966 Sep / 18,213 Sep / 18
262nd,Sun,966 Sep / 19,213 Sep / 19
263rd,Mon,966 Sep / 20,213 Sep / 20
264th,Tue,966 Sep / 21,213 Sep / 21
265th,Wed,966 Sep / 22,213 Sep / 22
266th EQ,Thu,966 Sep / 23,213 Sep / 23
267th,Fri,966 Sep / 24,213 Sep / 24
268th,Sat,966 Sep / 25,213 Sep / 25
269th,Sun,966 Sep / 26,213 Sep / 26
270th,Mon,966 Sep / 27,213 Sep / 27
271st,Tue,966 Sep / 28,213 Sep / 28
272nd,Wed,966 Sep / 29,213 Sep / 29
273rd,Thu,966 Sep / 30,213 Sep / 30
274th,Fri     New,966 Oct / 1,213 Oct / 1
275th,Sat,966 Oct / 2,213 Oct / 2
276th,Sun,966 Oct / 3,213 Oct / 3
277th,Mon,966 Oct / 4,213 Oct / 4
278th,Tue,966 Oct / 5,213 Oct / 5
279th,Wed,966 Oct / 6,213 Oct / 6
280th,Thu,966 Oct / 7,213 Oct / 7
281st,Fri,966 Oct / 8,213 Oct / 8
282nd,Sat,966 Oct / 9,213 Oct / 9
283rd,Sun,966 Oct / 10,213 Oct / 10
284th,Mon,966 Oct / 11,213 Oct / 11
285th,Tue,966 Oct / 12,213 Oct / 12
286th,Wed,966 Oct / 13,213 Oct / 13
287th,Thu,966 Oct / 14,213 Oct / 14
288th,Fri,966 Oct / 15,213 Oct / 15
289th,Sat,966 Oct / 16,213 Oct / 16
290th,Sun     Full,966 Oct / 17,213 Oct / 17
291st,Mon,966 Oct / 18,213 Oct / 18
292nd,Tue,966 Oct / 19,213 Oct / 19
293rd,Wed,966 Oct / 20,213 Oct / 20
294th,Thu,966 Oct / 21,213 Oct / 21
295th,Fri,966 Oct / 22,213 Oct / 22
296th,Sat,966 Oct / 23,213 Oct / 23
297th,Sun,966 Oct / 24,213 Oct / 24
298th,Mon,966 Oct / 25,213 Oct / 25
299th,Tue,966 Oct / 26,213 Oct / 26
300th,Wed,966 Oct / 27,213 Oct / 27
301st,Thu,966 Oct / 28,213 Oct / 28
302nd,Fri,966 Oct / 29,213 Oct / 29
303rd,Sat,966 Oct / 30,213 Oct / 30
