SOLAR,8214,JULIAN AUC,HISTORICAL
171st,Mon,967 Iunius / 20,214 Jun / 20
172nd,Tue,967 Iunius / 21,214 Jun / 21
173rd,Wed,967 Iunius / 22,214 Jun / 22
174th,Thu,967 Iunius / 23,214 Jun / 23
175th,Fri,967 Iunius / 24,214 Jun / 24
176th,Sat     New,967 Iunius / 25,214 Jun / 25
177th,Sun,967 Iunius / 26,214 Jun / 26
178th,Mon,967 Iunius / 27,214 Jun / 27
179th,Tue,967 Iunius / 28,214 Jun / 28
180th,Wed,967 Iunius / 29,214 Jun / 29
181st,Thu,967 Iunius / 30,214 Jun / 30
182nd,Fri,967 Iulius / 1,214 Jul / 1
183rd,Sat,967 Iulius / 2,214 Jul / 2
184th,Sun,967 Iulius / 3,214 Jul / 3
185th,Mon,967 Iulius / 4,214 Jul / 4
186th,Tue,967 Iulius / 5,214 Jul / 5
187th,Wed,967 Iulius / 6,214 Jul / 6
188th,Thu,967 Iulius / 7,214 Jul / 7
189th,Fri,967 Iulius / 8,214 Jul / 8
190th,Sat     Full,967 Iulius / 9,214 Jul / 9
191st,Sun,967 Iulius / 10,214 Jul / 10
192nd,Mon,967 Iulius / 11,214 Jul / 11
193rd,Tue,967 Iulius / 12,214 Jul / 12
194th,Wed,967 Iulius / 13,214 Jul / 13
195th,Thu,967 Iulius / 14,214 Jul / 14
196th,Fri,967 Iulius / 15,214 Jul / 15
197th,Sat,967 Iulius / 16,214 Jul / 16
198th,Sun,967 Iulius / 17,214 Jul / 17
199th,Mon,967 Iulius / 18,214 Jul / 18
200th,Tue,967 Iulius / 19,214 Jul / 19
201st,Wed,967 Iulius / 20,214 Jul / 20
202nd,Thu,967 Iulius / 21,214 Jul / 21
203rd,Fri,967 Iulius / 22,214 Jul / 22
204th,Sat,967 Iulius / 23,214 Jul / 23
205th,Sun     New,967 Iulius / 24,214 Jul / 24
206th,Mon,967 Iulius / 25,214 Jul / 25
207th,Tue,967 Iulius / 26,214 Jul / 26
208th,Wed,967 Iulius / 27,214 Jul / 27
209th,Thu,967 Iulius / 28,214 Jul / 28
210th,Fri,967 Iulius / 29,214 Jul / 29
211th,Sat,967 Iulius / 30,214 Jul / 30
212th,Sun,967 Iulius / 31,214 Jul / 31
213th,Mon,967 Augustus / 1,214 Aug / 1
214th,Tue,967 Augustus / 2,214 Aug / 2
215th,Wed,967 Augustus / 3,214 Aug / 3
216th,Thu,967 Augustus / 4,214 Aug / 4
217th,Fri,967 Augustus / 5,214 Aug / 5
218th,Sat,967 Augustus / 6,214 Aug / 6
219th,Sun,967 Augustus / 7,214 Aug / 7
220th,Mon     Full,967 Augustus / 8,214 Aug / 8
221st,Tue,967 Augustus / 9,214 Aug / 9
222nd,Wed,967 Augustus / 10,214 Aug / 10
223rd,Thu,967 Augustus / 11,214 Aug / 11
224th,Fri,967 Augustus / 12,214 Aug / 12
225th,Sat,967 Augustus / 13,214 Aug / 13
226th,Sun,967 Augustus / 14,214 Aug / 14
227th,Mon,967 Augustus / 15,214 Aug / 15
228th,Tue,967 Augustus / 16,214 Aug / 16
229th,Wed,967 Augustus / 17,214 Aug / 17
230th,Thu,967 Augustus / 18,214 Aug / 18
231st,Fri,967 Augustus / 19,214 Aug / 19
232nd,Sat,967 Augustus / 20,214 Aug / 20
233rd,Sun,967 Augustus / 21,214 Aug / 21
234th,Mon     New,967 Augustus / 22,214 Aug / 22
235th,Tue,967 Augustus / 23,214 Aug / 23
236th,Wed,967 Augustus / 24,214 Aug / 24
237th,Thu,967 Augustus / 25,214 Aug / 25
238th,Fri,967 Augustus / 26,214 Aug / 26
239th,Sat,967 Augustus / 27,214 Aug / 27
240th,Sun,967 Augustus / 28,214 Aug / 28
241st,Mon,967 Augustus / 29,214 Aug / 29
242nd,Tue,967 Augustus / 30,214 Aug / 30
243rd,Wed,967 Augustus / 31,214 Aug / 31
244th,Thu,967 Sep / 1,214 Sep / 1
245th,Fri,967 Sep / 2,214 Sep / 2
246th,Sat,967 Sep / 3,214 Sep / 3
247th,Sun,967 Sep / 4,214 Sep / 4
248th,Mon,967 Sep / 5,214 Sep / 5
249th,Tue     Full,967 Sep / 6,214 Sep / 6
250th,Wed,967 Sep / 7,214 Sep / 7
251st,Thu,967 Sep / 8,214 Sep / 8
252nd,Fri,967 Sep / 9,214 Sep / 9
253rd,Sat,967 Sep / 10,214 Sep / 10
254th,Sun,967 Sep / 11,214 Sep / 11
255th,Mon,967 Sep / 12,214 Sep / 12
256th,Tue,967 Sep / 13,214 Sep / 13
257th,Wed,967 Sep / 14,214 Sep / 14
258th,Thu,967 Sep / 15,214 Sep / 15
259th,Fri,967 Sep / 16,214 Sep / 16
260th,Sat,967 Sep / 17,214 Sep / 17
261st,Sun,967 Sep / 18,214 Sep / 18
262nd,Mon,967 Sep / 19,214 Sep / 19
263rd,Tue,967 Sep / 20,214 Sep / 20
264th,Wed     New,967 Sep / 21,214 Sep / 21
265th,Thu,967 Sep / 22,214 Sep / 22
266th EQ,Fri,967 Sep / 23,214 Sep / 23
267th,Sat,967 Sep / 24,214 Sep / 24
268th,Sun,967 Sep / 25,214 Sep / 25
269th,Mon,967 Sep / 26,214 Sep / 26
270th,Tue,967 Sep / 27,214 Sep / 27
271st,Wed,967 Sep / 28,214 Sep / 28
272nd,Thu,967 Sep / 29,214 Sep / 29
273rd,Fri,967 Sep / 30,214 Sep / 30
274th,Sat,967 Oct / 1,214 Oct / 1
275th,Sun,967 Oct / 2,214 Oct / 2
276th,Mon,967 Oct / 3,214 Oct / 3
277th,Tue,967 Oct / 4,214 Oct / 4
278th,Wed,967 Oct / 5,214 Oct / 5
279th,Thu     Full,967 Oct / 6,214 Oct / 6
280th,Fri,967 Oct / 7,214 Oct / 7
281st,Sat,967 Oct / 8,214 Oct / 8
282nd,Sun,967 Oct / 9,214 Oct / 9
283rd,Mon,967 Oct / 10,214 Oct / 10
284th,Tue,967 Oct / 11,214 Oct / 11
285th,Wed,967 Oct / 12,214 Oct / 12
286th,Thu,967 Oct / 13,214 Oct / 13
287th,Fri,967 Oct / 14,214 Oct / 14
288th,Sat,967 Oct / 15,214 Oct / 15
289th,Sun,967 Oct / 16,214 Oct / 16
290th,Mon,967 Oct / 17,214 Oct / 17
291st,Tue,967 Oct / 18,214 Oct / 18
292nd,Wed,967 Oct / 19,214 Oct / 19
293rd,Thu     New,967 Oct / 20,214 Oct / 20
294th,Fri,967 Oct / 21,214 Oct / 21
295th,Sat,967 Oct / 22,214 Oct / 22
296th,Sun,967 Oct / 23,214 Oct / 23
297th,Mon,967 Oct / 24,214 Oct / 24
298th,Tue,967 Oct / 25,214 Oct / 25
299th,Wed,967 Oct / 26,214 Oct / 26
300th,Thu,967 Oct / 27,214 Oct / 27
301st,Fri,967 Oct / 28,214 Oct / 28
302nd,Sat,967 Oct / 29,214 Oct / 29
303rd,Sun,967 Oct / 30,214 Oct / 30
304th,Mon,967 Oct / 31,214 Oct / 31
305th,Tue,967 Nov / 1,214 Nov / 1
306th,Wed,967 Nov / 2,214 Nov / 2
307th,Thu,967 Nov / 3,214 Nov / 3
308th,Fri,967 Nov / 4,214 Nov / 4
309th,Sat     Full,967 Nov / 5,214 Nov / 5
310th,Sun,967 Nov / 6,214 Nov / 6
311th,Mon,967 Nov / 7,214 Nov / 7
312th,Tue,967 Nov / 8,214 Nov / 8
313th,Wed,967 Nov / 9,214 Nov / 9
314th,Thu,967 Nov / 10,214 Nov / 10
315th,Fri,967 Nov / 11,214 Nov / 11
316th,Sat,967 Nov / 12,214 Nov / 12
317th,Sun,967 Nov / 13,214 Nov / 13
318th,Mon,967 Nov / 14,214 Nov / 14
319th,Tue,967 Nov / 15,214 Nov / 15
320th,Wed,967 Nov / 16,214 Nov / 16
321st,Thu,967 Nov / 17,214 Nov / 17
322nd,Fri,967 Nov / 18,214 Nov / 18
323rd,Sat     New,967 Nov / 19,214 Nov / 19
324th,Sun,967 Nov / 20,214 Nov / 20
325th,Mon,967 Nov / 21,214 Nov / 21
326th,Tue,967 Nov / 22,214 Nov / 22
327th,Wed,967 Nov / 23,214 Nov / 23
328th,Thu,967 Nov / 24,214 Nov / 24
329th,Fri,967 Nov / 25,214 Nov / 25
330th,Sat,967 Nov / 26,214 Nov / 26
331st,Sun,967 Nov / 27,214 Nov / 27
332nd,Mon,967 Nov / 28,214 Nov / 28
333rd,Tue,967 Nov / 29,214 Nov / 29
334th,Wed,967 Nov / 30,214 Nov / 30
335th,Thu,967 Dec / 1,214 Dec / 1
336th,Fri,967 Dec / 2,214 Dec / 2
337th,Sat,967 Dec / 3,214 Dec / 3
338th,Sun     Full,967 Dec / 4,214 Dec / 4
339th,Mon,967 Dec / 5,214 Dec / 5
340th,Tue,967 Dec / 6,214 Dec / 6
341st,Wed,967 Dec / 7,214 Dec / 7
342nd,Thu,967 Dec / 8,214 Dec / 8
343rd,Fri,967 Dec / 9,214 Dec / 9
344th,Sat,967 Dec / 10,214 Dec / 10
345th,Sun,967 Dec / 11,214 Dec / 11
346th,Mon,967 Dec / 12,214 Dec / 12
347th,Tue,967 Dec / 13,214 Dec / 13
348th,Wed,967 Dec / 14,214 Dec / 14
349th,Thu,967 Dec / 15,214 Dec / 15
350th,Fri,967 Dec / 16,214 Dec / 16
351st,Sat,967 Dec / 17,214 Dec / 17
352nd,Sun     New,967 Dec / 18,214 Dec / 18
353rd,Mon,967 Dec / 19,214 Dec / 19
354th,Tue,967 Dec / 20,214 Dec / 20
355th,Wed,967 Dec / 21,214 Dec / 21
356th,Thu,967 Dec / 22,214 Dec / 22
357th,Fri,967 Dec / 23,214 Dec / 23
358th,Sat,967 Dec / 24,214 Dec / 24
359th,Sun,967 Dec / 25,214 Dec / 25
360th,Mon,967 Dec / 26,214 Dec / 26
361st,Tue,967 Dec / 27,214 Dec / 27
362nd,Wed,967 Dec / 28,214 Dec / 28
363rd,Thu,967 Dec / 29,214 Dec / 29
364th,Fri,967 Dec / 30,214 Dec / 30
365th,Sat,967 Dec / 31,214 Dec / 31
366th,XXXXX,,XXXXX
