SOLAR,8214,JULIAN AUC,HISTORICAL
1st,Sat,967 Ianuarius / 1,214 Jan \ 1
2nd,Sun,967 Ianuarius / 2,214 Jan \ 2
3rd,Mon,967 Ianuarius / 3,214 Jan \ 3
4th,Tue,967 Ianuarius / 4,214 Jan \ 4
5th,Wed,967 Ianuarius / 5,214 Jan \ 5
6th,Thu,967 Ianuarius / 6,214 Jan \ 6
7th,Fri,967 Ianuarius / 7,214 Jan \ 7
8th,Sat,967 Ianuarius / 8,214 Jan \ 8
9th,Sun,967 Ianuarius / 9,214 Jan \ 9
10th,Mon,967 Ianuarius / 10,214 Jan \ 10
11th,Tue,967 Ianuarius / 11,214 Jan \ 11
12th,Wed,967 Ianuarius / 12,214 Jan \ 12
13th,Thu     Full,967 Ianuarius / 13,214 Jan \ 13
14th,Fri,967 Ianuarius / 14,214 Jan \ 14
15th,Sat,967 Ianuarius / 15,214 Jan \ 15
16th,Sun,967 Ianuarius / 16,214 Jan \ 16
17th,Mon,967 Ianuarius / 17,214 Jan \ 17
18th,Tue,967 Ianuarius / 18,214 Jan \ 18
19th,Wed,967 Ianuarius / 19,214 Jan \ 19
20th,Thu,967 Ianuarius / 20,214 Jan \ 20
21st,Fri,967 Ianuarius / 21,214 Jan \ 21
22nd,Sat,967 Ianuarius / 22,214 Jan \ 22
23rd,Sun,967 Ianuarius / 23,214 Jan \ 23
24th,Mon,967 Ianuarius / 24,214 Jan \ 24
25th,Tue,967 Ianuarius / 25,214 Jan \ 25
26th,Wed,967 Ianuarius / 26,214 Jan \ 26
27th,Thu,967 Ianuarius / 27,214 Jan \ 27
28th,Fri     New,967 Ianuarius / 28,214 Jan \ 28
29th,Sat,967 Ianuarius / 29,214 Jan \ 29
30th,Sun,967 Ianuarius / 30,214 Jan \ 30
31st,Mon,967 Ianuarius / 31,214 Jan \ 31
32nd,Tue,967 Februarius / 1,214 Feb / 1
33rd,Wed,967 Februarius / 2,214 Feb / 2
34th,Thu,967 Februarius / 3,214 Feb / 3
35th,Fri,967 Februarius / 4,214 Feb / 4
36th,Sat,967 Februarius / 5,214 Feb / 5
36th,Sun,967 Februarius / 6,214 Feb / 6
38th,Mon,967 Februarius / 7,214 Feb / 7
39th,Tue,967 Februarius / 8,214 Feb / 8
40th,Wed,967 Februarius / 9,214 Feb / 9
41st,Thu,967 Februarius / 10,214 Feb / 10
42nd,Fri,967 Februarius / 11,214 Feb / 11
43rd,Sat     Full,967 Februarius / 12,214 Feb / 12
44th,Sun,967 Februarius / 13,214 Feb / 13
45th,Mon,967 Februarius / 14,214 Feb / 14
46th,Tue,967 Februarius / 15,214 Feb / 15
47th,Wed,967 Februarius / 16,214 Feb / 16
48th,Thu,967 Februarius / 17,214 Feb / 17
49th,Fri,967 Februarius / 18,214 Feb / 18
50th,Sat,967 Februarius / 19,214 Feb / 19
51st,Sun,967 Februarius / 20,214 Feb / 20
52nd,Mon,967 Februarius / 21,214 Feb / 21
53rd,Tue,967 Februarius / 22,214 Feb / 22
54th,Wed,967 Februarius / 23,214 Feb / 23
55th,Thu,967 Februarius / 24,214 Feb / 24
56th,Fri,967 Februarius / 25,214 Feb / 25
57th,Sat,967 Februarius / 26,214 Feb / 26
58th,Sun     New,967 Februarius / 27,214 Feb / 27
59th,Mon,967 Februarius / 28,214 Feb / 28
60th,Tue,967 Martius / 1,214 Mar / 1
61st,Wed,967 Martius / 2,214 Mar / 2
62nd,Thu,967 Martius / 3,214 Mar / 3
63rd,Fri,967 Martius / 4,214 Mar / 4
64th,Sat,967 Martius / 5,214 Mar / 5
65th,Sun,967 Martius / 6,214 Mar / 6
66th,Mon,967 Martius / 7,214 Mar / 7
67th,Tue,967 Martius / 8,214 Mar / 8
68th,Wed,967 Martius / 9,214 Mar / 9
69th,Thu,967 Martius / 10,214 Mar / 10
70th,Fri,967 Martius / 11,214 Mar / 11
71st,Sat,967 Martius / 12,214 Mar / 12
72nd,Sun     Full,967 Martius / 13,214 Mar / 13
73rd,Mon,967 Martius / 14,214 Mar / 14
74th,Tue,967 Martius / 15,214 Mar / 15
75th,Wed,967 Martius / 16,214 Mar / 16
76th,Thu,967 Martius / 17,214 Mar / 17
77th,Fri,967 Martius / 18,214 Mar / 18
78th,Sat,967 Martius / 19,214 Mar / 19
79th,Sun,967 Martius / 20,214 Mar / 20
80th EQ,Mon,967 Martius / 21,214 Mar / 21
81st  X,Tue,967 Martius / 22,214 Mar / 22
82nd X,Wed,967 Martius / 23,214 Mar / 23
83rd  X,Thu,967 Martius / 24,214 Mar / 24
84th X,Fri,967 Martius / 25,214 Mar / 25
85th X,Sat,967 Martius / 26,214 Mar / 26
86th X,Sun,967 Martius / 27,214 Mar / 27
87th X,Mon     New,967 Martius / 28,214 Mar / 28
88th X,Tue,967 Martius / 29,214 Mar / 29
89th X,Wed,967 Martius / 30,214 Mar / 30
90th X,Thu,967 Martius / 31,214 Mar / 31
91st X,Fri,967 Aprilis / 1,214 Apr / 1
92nd X,Sat,967 Aprilis / 2,214 Apr / 2
93rd X,Sun,967 Aprilis / 3,214 Apr / 3
94th X,Mon,967 Aprilis / 4,214 Apr / 4
95th X,Tue,967 Aprilis / 5,214 Apr / 5
96th X,Wed,967 Aprilis / 6,214 Apr / 6
97th X,Thu,967 Aprilis / 7,214 Apr / 7
98th X,Fri,967 Aprilis / 8,214 Apr / 8
99th X,Sat,967 Aprilis / 9,214 Apr / 9
100th X,Sun,967 Aprilis / 10,214 Apr / 10
101st X,Mon     Full,967 Aprilis / 11,214 Apr / 11
102nd X,Tue,967 Aprilis / 12,214 Apr / 12
103rd X,Wed,967 Aprilis / 13,214 Apr / 13
104th X,Thu,967 Aprilis / 14,214 Apr / 14
105th X,Fri,967 Aprilis / 15,214 Apr / 15
106th X,Sat,967 Aprilis / 16,214 Apr / 16
107th X,Sun,967 Aprilis / 17,214 Apr / 17
108th X,Mon,967 Aprilis / 18,214 Apr / 18
109th X,Tue,967 Aprilis / 19,214 Apr / 19
110th X,Wed,967 Aprilis / 20,214 Apr / 20
111th X,Thu,967 Aprilis / 21,214 Apr / 21
112th X,Fri,967 Aprilis / 22,214 Apr / 22
113th X,Sat,967 Aprilis / 23,214 Apr / 23
114th X,Sun,967 Aprilis / 24,214 Apr / 24
115th X,Mon,967 Aprilis / 25,214 Apr / 25
116th,Tue,967 Aprilis / 26,214 Apr / 26
117th,Wed     New,967 Aprilis / 27,214 Apr / 27
118th,Thu,967 Aprilis / 28,214 Apr / 28
119th,Fri,967 Aprilis / 29,214 Apr / 29
120th,Sat,967 Aprilis / 30,214 Apr / 30
121st,Sun,967 Maius / 1,214 May / 1
122nd,Mon,967 Maius / 2,214 May / 2
123rd,Tue,967 Maius / 3,214 May / 3
124th,Wed,967 Maius / 4,214 May / 4
125th,Thu,967 Maius / 5,214 May / 5
126th,Fri,967 Maius / 6,214 May / 6
127th,Sat,967 Maius / 7,214 May / 7
128th,Sun,967 Maius / 8,214 May / 8
129th,Mon,967 Maius / 9,214 May / 9
130th,Tue,967 Maius / 10,214 May / 10
131st,Wed     Full,967 Maius / 11,214 May / 11
132nd,Thu,967 Maius / 12,214 May / 12
133rd,Fri,967 Maius / 13,214 May / 13
134th,Sat,967 Maius / 14,214 May / 14
135th,Sun,967 Maius / 15,214 May / 15
136th,Mon,967 Maius / 16,214 May / 16
137th,Tue,967 Maius / 17,214 May / 17
138th,Wed,967 Maius / 18,214 May / 18
139th,Thu,967 Maius / 19,214 May / 19
140th,Fri,967 Maius / 20,214 May / 20
141st,Sat,967 Maius / 21,214 May / 21
142nd,Sun,967 Maius / 22,214 May / 22
143rd,Mon,967 Maius / 23,214 May / 23
144th,Tue,967 Maius / 24,214 May / 24
145th,Wed,967 Maius / 25,214 May / 25
146th,Thu     New,967 Maius / 26,214 May / 26
147th,Fri,967 Maius / 27,214 May / 27
148th,Sat,967 Maius / 28,214 May / 28
149th,Sun,967 Maius / 29,214 May / 29
150th,Mon,967 Maius / 30,214 May / 30
151st,Tue,967 Maius / 31,214 May / 31
152nd,Wed,967 Iunius / 1,214 Jun / 1
153rd,Thu,967 Iunius / 2,214 Jun / 2
154th,Fri,967 Iunius / 3,214 Jun / 3
155th,Sat,967 Iunius / 4,214 Jun / 4
156th,Sun,967 Iunius / 5,214 Jun / 5
157th,Mon,967 Iunius / 6,214 Jun / 6
158th,Tue,967 Iunius / 7,214 Jun / 7
159th,Wed,967 Iunius / 8,214 Jun / 8
160th S,Thu     Full,967 Iunius / 9,214 Jun / 9
161st,Fri,967 Iunius / 10,214 Jun / 10
162nd,Sat,967 Iunius / 11,214 Jun / 11
163rd,Sun,967 Iunius / 12,214 Jun / 12
164th,Mon,967 Iunius / 13,214 Jun / 13
165th,Tue,967 Iunius / 14,214 Jun / 14
166th,Wed,967 Iunius / 15,214 Jun / 15
167th,Thu,967 Iunius / 16,214 Jun / 16
168th,Fri,967 Iunius / 17,214 Jun / 17
169th,Sat,967 Iunius / 18,214 Jun / 18
170th,Sun,967 Iunius / 19,214 Jun / 19
