SOLAR,7645,HISTORICAL
1st,Sun,356 Jan \ 6
2nd,Mon,356 Jan \ 7
3rd,Tue,356 Jan \ 8
4th,Wed,356 Jan \ 9
5th,Thu,356 Jan \ 10
6th,Fri,356 Jan \ 11
7th,Sat,356 Jan \ 12
8th,Sun,356 Jan \ 13
9th,Mon,356 Jan \ 14
10th,Tue,356 Jan \ 15
11th,Wed,356 Jan \ 16
12th,Thu,356 Jan \ 17
13th,Fri,356 Jan \ 18
14th,Sat     New,356 Jan \ 19
15th,Sun,356 Jan \ 20
16th,Mon,356 Jan \ 21
17th,Tue,356 Jan \ 22
18th,Wed,356 Jan \ 23
19th,Thu,356 Jan \ 24
20th,Fri,356 Jan \ 25
21st,Sat,356 Jan \ 26
22nd,Sun,356 Jan \ 27
23rd,Mon,356 Jan \ 28
24th,Tue,356 Jan \ 29
25th,Wed,356 Jan \ 30
26th,Thu,356 Jan \ 31
27th,Fri,356 Feb \ 1
28th,Sat     Full,356 Feb \ 2
29th,Sun,356 Feb \ 3
30th,Mon,356 Feb \ 4
31st,Tue,356 Feb \ 5
32nd,Wed,356 Feb \ 6
33rd,Thu,356 Feb \ 7
34th,Fri,356 Feb \ 8
35th,Sat,356 Feb \ 9
36th,Sun,356 Feb \ 10
36th,Mon,356 Feb \ 11
38th,Tue,356 Feb \ 12
39th,Wed,356 Feb \ 13
40th,Thu,356 Feb \ 14
41st,Fri,356 Feb \ 15
42nd,Sat,356 Feb \ 16
43rd,Sun,356 Feb \ 17
44th,Mon     New,356 Feb \ 18
45th,Tue,356 Feb \ 19
46th,Wed,356 Feb \ 20
47th,Thu,356 Feb \ 21
48th,Fri,356 Feb \ 22
49th,Sat,356 Feb \ 23
50th,Sun,356 Feb \ 24
51st,Mon,356 Feb \ 25
52nd,Tue,356 Feb \ 26
53rd,Wed,356 Feb \ 27
54th,Thu,356 Feb \ 28
55th,Fri,356 Mar \ 1
56th,Sat,356 Mar \ 2
57th,Sun,356 Mar \ 3
58th ,Mon     Full,356 Mar \ 4
59th X,Tue,356 Mar \ 5
60th X,Wed,356 Mar \ 6
61st X,Thu,356 Mar \ 7
62nd X,Fri,356 Mar \ 8
63rd X,Sat,356 Mar \ 9
64th X,Sun,356 Mar \ 10
65th X,Mon,356 Mar \ 11
66th X,Tue,356 Mar \ 12
67th X,Wed,356 Mar \ 13
68th X,Thu,356 Mar \ 14
69th X,Fri,356 Mar \ 15
70th X,Sat,356 Mar \ 16
71st X,Sun,356 Mar \ 17
72nd X,Mon,356 Mar \ 18
73rd X,Tue     New,356 Mar \ 19
74th X,Wed,356 Mar \ 20
75th X,Thu,356 Mar \ 21
76th X,Fri,356 Mar \ 22
77th X,Sat,356 Mar \ 23
78th X,Sun,356 Mar \ 24
79th X,Mon,356 Mar \ 25
80th EQ,Tue,356 Mar \ 26
81st  X,Wed,356 Mar \ 27
82nd X,Thu,356 Mar \ 28
83rd  X,Fri,356 Mar \ 29
84th X,Sat,356 Mar \ 30
85th X,Sun,356 Mar \ 31
86th X,Mon,356 Apr \ 1
87th,Tue     Full,356 Apr \ 2
88th,Wed,356 Apr \ 3
89th,Thu,356 Apr \ 4
90th,Fri,356 Apr \ 5
91st,Sat,356 Apr \ 6
92nd,Sun,356 Apr \ 7
93rd,Mon,356 Apr \ 8
94th,Tue,356 Apr \ 9
95th,Wed,356 Apr \ 10
96th,Thu,356 Apr \ 11
97th,Fri,356 Apr \ 12
98th,Sat,356 Apr \ 13
99th,Sun,356 Apr \ 14
100th,Mon,356 Apr \ 15
101st,Tue,356 Apr \ 16
102nd,Wed     New,356 Apr \ 17
103rd,Thu,356 Apr \ 18
104th,Fri,356 Apr \ 19
105th,Sat,356 Apr \ 20
106th,Sun,356 Apr \ 21
107th,Mon,356 Apr \ 22
108th,Tue,356 Apr \ 23
109th,Wed,356 Apr \ 24
110th,Thu,356 Apr \ 25
111th,Fri,356 Apr \ 26
112th,Sat,356 Apr \ 27
113th,Sun,356 Apr \ 28
114th,Mon,356 Apr \ 29
115th,Tue,356 Apr \ 30
116th,Wed,356 May / 1
117th,Thu     Full,356 May / 2
118th,Fri,356 May / 3
119th,Sat,356 May / 4
120th,Sun,356 May / 5
121st,Mon,356 May / 6
122nd,Tue,356 May / 7
123rd,Wed,356 May / 8
124th,Thu,356 May / 9
125th,Fri,356 May / 10
126th,Sat,356 May / 11
127th,Sun,356 May / 12
128th,Mon,356 May / 13
129th,Tue,356 May / 14
130th,Wed,356 May / 15
131st,Thu,356 May / 16
132nd,Fri     New,356 May / 17
133rd,Sat,356 May / 18
134th,Sun,356 May / 19
135th,Mon,356 May / 20
136th,Tue,356 May / 21
137th,Wed,356 May / 22
138th,Thu,356 May / 23
139th,Fri,356 May / 24
140th,Sat,356 May / 25
141st,Sun,356 May / 26
142nd,Mon,356 May / 27
143rd,Tue,356 May / 28
144th,Wed,356 May / 29
145th,Thu,356 May / 30
146th,Fri,356 May / 31
147th,Sat     Full,356 Jun / 1
148th,Sun,356 Jun / 2
149th,Mon,356 Jun / 3
150th,Tue,356 Jun / 4
151st,Wed,356 Jun / 5
152nd,Thu,356 Jun / 6
153rd,Fri,356 Jun / 7
154th,Sat,356 Jun / 8
155th,Sun,356 Jun / 9
156th,Mon,356 Jun / 10
157th,Tue,356 Jun / 11
158th,Wed,356 Jun / 12
159th,Thu,356 Jun / 13
160th S,Fri,356 Jun / 14
161st,Sat     New,356 Jun / 15
162nd,Sun,356 Jun / 16
163rd,Mon,356 Jun / 17
164th,Tue,356 Jun / 18
165th,Wed,356 Jun / 19
166th,Thu,356 Jun / 20
167th,Fri,356 Jun / 21
168th,Sat,356 Jun / 22
169th,Sun,356 Jun / 23
170th,Mon,356 Jun / 24
171st,Tue,356 Jun / 25
172nd,Wed,356 Jun / 26
173rd,Thu,356 Jun / 27
174th,Fri,356 Jun / 28
175th,Sat,356 Jun / 29
176th,Sun     Full,356 Jun / 30
177th,Mon,356 Jul / 1
178th,Tue,356 Jul / 2
179th,Wed,356 Jul / 3
180th,Thu,356 Jul / 4
181st,Fri,356 Jul / 5
182nd,Sat,356 Jul / 6
183rd,Sun,356 Jul / 7
184th,Mon,356 Jul / 8
185th,Tue,356 Jul / 9
186th,Wed,356 Jul / 10
187th,Thu,356 Jul / 11
188th,Fri,356 Jul / 12
189th,Sat,356 Jul / 13
190th,Sun     New,356 Jul / 14
191st,Mon,356 Jul / 15
192nd,Tue,356 Jul / 16
193rd,Wed,356 Jul / 17
194th,Thu,356 Jul / 18
195th,Fri,356 Jul / 19
196th,Sat,356 Jul / 20
197th,Sun,356 Jul / 21
198th,Mon,356 Jul / 22
199th,Tue,356 Jul / 23
200th,Wed,356 Jul / 24
201st,Thu,356 Jul / 25
202nd,Fri,356 Jul / 26
203rd,Sat,356 Jul / 27
204th,Sun,356 Jul / 28
205th,Mon,356 Jul / 29
206th,Tue     Full,356 Jul / 30
207th,Wed,356 Jul / 31
208th,Thu,356 Aug / 1
209th,Fri,356 Aug / 2
210th,Sat,356 Aug / 3
211th,Sun,356 Aug / 4
212th,Mon,356 Aug / 5
213th,Tue,356 Aug / 6
214th,Wed,356 Aug / 7
215th,Thu,356 Aug / 8
216th,Fri,356 Aug / 9
217th,Sat,356 Aug / 10
218th,Sun,356 Aug / 11
219th,Mon,356 Aug / 12
220th,Tue     New,356 Aug / 13
221st,Wed,356 Aug / 14
222nd,Thu,356 Aug / 15
223rd,Fri,356 Aug / 16
224th,Sat,356 Aug / 17
225th,Sun,356 Aug / 18
226th,Mon,356 Aug / 19
227th,Tue,356 Aug / 20
228th,Wed,356 Aug / 21
229th,Thu,356 Aug / 22
230th,Fri,356 Aug / 23
231st,Sat,356 Aug / 24
232nd,Sun,356 Aug / 25
233rd,Mon,356 Aug / 26
234th,Tue,356 Aug / 27
235th,Wed     Full,356 Aug / 28
236th,Thu,356 Aug / 29
237th,Fri,356 Aug / 30
238th,Sat,356 Aug / 31
239th,Sun,356 Sep / 1
240th,Mon,356 Sep / 2
241st,Tue,356 Sep / 3
242nd,Wed,356 Sep / 4
243rd,Thu,356 Sep / 5
244th,Fri,356 Sep / 6
245th,Sat,356 Sep / 7
246th,Sun,356 Sep / 8
247th,Mon,356 Sep / 9
248th,Tue,356 Sep / 10
249th,Wed     New,356 Sep / 11
250th,Thu,356 Sep / 12
251st,Fri,356 Sep / 13
252nd,Sat,356 Sep / 14
