SOLAR,7645,HISTORICAL
253rd,Sun,356 Sep / 15
254th,Mon,356 Sep / 16
255th,Tue,356 Sep / 17
256th,Wed,356 Sep / 18
257th,Thu,356 Sep / 19
258th,Fri,356 Sep / 20
259th,Sat,356 Sep / 21
260th,Sun,356 Sep / 22
261st,Mon,356 Sep / 23
262nd,Tue,356 Sep / 24
263rd,Wed,356 Sep / 25
264th,Thu,356 Sep / 26
265th,Fri     Full,356 Sep / 27
266th EQ,Sat,356 Sep / 28
267th,Sun,356 Sep / 29
268th,Mon,356 Sep / 30
269th,Tue,356 Oct / 1
270th,Wed,356 Oct / 2
271st,Thu,356 Oct / 3
272nd,Fri,356 Oct / 4
273rd,Sat,356 Oct / 5
274th,Sun,356 Oct / 6
275th,Mon,356 Oct / 7
276th,Tue,356 Oct / 8
277th,Wed,356 Oct / 9
278th,Thu,356 Oct / 10
279th,Fri     New,356 Oct / 11
280th,Sat,356 Oct / 12
281st,Sun,356 Oct / 13
282nd,Mon,356 Oct / 14
283rd,Tue,356 Oct / 15
284th,Wed,356 Oct / 16
285th,Thu,356 Oct / 17
286th,Fri,356 Oct / 18
287th,Sat,356 Oct / 19
288th,Sun,356 Oct / 20
289th,Mon,356 Oct / 21
290th,Tue,356 Oct / 22
291st,Wed,356 Oct / 23
292nd,Thu,356 Oct / 24
293rd,Fri,356 Oct / 25
294th,Sat     Full,356 Oct / 26
295th,Sun,356 Oct / 27
296th,Mon,356 Oct / 28
297th,Tue,356 Oct / 29
298th,Wed,356 Oct / 30
299th,Thu,356 Oct / 31
300th,Fri,356 Nov / 1
301st,Sat,356 Nov / 2
302nd,Sun,356 Nov / 3
303rd,Mon,356 Nov / 4
304th,Tue,356 Nov / 5
305th,Wed,356 Nov / 6
306th,Thu,356 Nov / 7
307th,Fri,356 Nov / 8
308th,Sat,356 Nov / 9
309th,Sun     New,356 Nov / 10
310th,Mon,356 Nov / 11
311th,Tue,356 Nov / 12
312th,Wed,356 Nov / 13
313th,Thu,356 Nov / 14
314th,Fri,356 Nov / 15
315th,Sat,356 Nov / 16
316th,Sun,356 Nov / 17
317th,Mon,356 Nov / 18
318th,Tue,356 Nov / 19
319th,Wed,356 Nov / 20
320th,Thu,356 Nov / 21
321st,Fri,356 Nov / 22
322nd,Sat,356 Nov / 23
323rd,Sun,356 Nov / 24
324th,Mon     Full,356 Nov / 25
325th,Tue,356 Nov / 26
326th,Wed,356 Nov / 27
327th,Thu,356 Nov / 28
328th,Fri,356 Nov / 29
329th,Sat,356 Nov / 30
330th,Sun,356 Dec / 1
331st,Mon,356 Dec / 2
332nd,Tue,356 Dec / 3
333rd,Wed,356 Dec / 4
334th,Thu,356 Dec / 5
335th,Fri,356 Dec / 6
336th,Sat,356 Dec / 7
337th,Sun,356 Dec / 8
338th,Mon,356 Dec / 9
339th,Tue     New,356 Dec / 10
340th,Wed,356 Dec / 11
341st,Thu,356 Dec / 12
342nd,Fri,356 Dec / 13
343rd,Sat,356 Dec / 14
344th,Sun,356 Dec / 15
345th,Mon,356 Dec / 16
346th,Tue,356 Dec / 17
347th,Wed,356 Dec / 18
348th,Thu,356 Dec / 19
349th,Fri,356 Dec / 20
350th,Sat,356 Dec / 21
351st,Sun,356 Dec / 22
352nd,Mon,356 Dec / 23
353rd,Tue     Full,356 Dec / 24
354th,Wed,356 Dec / 25
355th,Thu,356 Dec / 26
356th So,Fri,356 Dec / 27
357th,Sat,356 Dec / 28
358th,Sun,356 Dec / 29
359th,Mon,356 Dec / 30
360th,Tue,356 Dec / 31
361st,Wed,355 Jan / 1
362nd,Thu,355 Jan / 2
363rd,Fri,355 Jan / 3
364th,Sat,355 Jan / 4
365th,Sun,355 Jan / 5
366th,XXXXX,XXXXX
