SOLAR,7650,HISTORICAL
1st,Sat,351 Jan \ 6
2nd,Sun,351 Jan \ 7
3rd,Mon,351 Jan \ 8
4th,Tue     Full,351 Jan \ 9
5th,Wed,351 Jan \ 10
6th,Thu,351 Jan \ 11
7th,Fri,351 Jan \ 12
8th,Sat,351 Jan \ 13
9th,Sun,351 Jan \ 14
10th,Mon,351 Jan \ 15
11th,Tue,351 Jan \ 16
12th,Wed,351 Jan \ 17
13th,Thu,351 Jan \ 18
14th,Fri,351 Jan \ 19
15th,Sat,351 Jan \ 20
16th,Sun,351 Jan \ 21
17th,Mon,351 Jan \ 22
18th,Tue     New,351 Jan \ 23
19th,Wed,351 Jan \ 24
20th,Thu,351 Jan \ 25
21st,Fri,351 Jan \ 26
22nd,Sat,351 Jan \ 27
23rd,Sun,351 Jan \ 28
24th,Mon,351 Jan \ 29
25th,Tue,351 Jan \ 30
26th,Wed,351 Jan \ 31
27th,Thu,351 Feb \ 1
28th,Fri,351 Feb \ 2
29th,Sat,351 Feb \ 3
30th,Sun,351 Feb \ 4
31st,Mon,351 Feb \ 5
32nd,Tue,351 Feb \ 6
33rd,Wed,351 Feb \ 7
34th,Thu     Full,351 Feb \ 8
35th,Fri,351 Feb \ 9
36th,Sat,351 Feb \ 10
36th,Sun,351 Feb \ 11
38th,Mon,351 Feb \ 12
39th,Tue,351 Feb \ 13
40th,Wed,351 Feb \ 14
41st,Thu,351 Feb \ 15
42nd,Fri,351 Feb \ 16
43rd,Sat,351 Feb \ 17
44th,Sun,351 Feb \ 18
45th,Mon,351 Feb \ 19
46th,Tue,351 Feb \ 20
47th,Wed,351 Feb \ 21
48th,Thu     New,351 Feb \ 22
49th,Fri,351 Feb \ 23
50th,Sat,351 Feb \ 24
51st,Sun,351 Feb \ 25
52nd,Mon,351 Feb \ 26
53rd,Tue,351 Feb \ 27
54th,Wed,351 Feb \ 28
55th,Thu,351 Mar \ 1
56th,Fri,351 Mar \ 2
57th,Sat,351 Mar \ 3
58th ,Sun,351 Mar \ 4
59th X,Mon,351 Mar \ 5
60th X,Tue,351 Mar \ 6
61st X,Wed,351 Mar \ 7
62nd X,Thu,351 Mar \ 8
63rd X,Fri     Full,351 Mar \ 9
64th X,Sat,351 Mar \ 10
65th X,Sun,351 Mar \ 11
66th X,Mon,351 Mar \ 12
67th X,Tue,351 Mar \ 13
68th X,Wed,351 Mar \ 14
69th X,Thu,351 Mar \ 15
70th X,Fri,351 Mar \ 16
71st X,Sat,351 Mar \ 17
72nd X,Sun,351 Mar \ 18
73rd X,Mon,351 Mar \ 19
74th X,Tue,351 Mar \ 20
75th X,Wed,351 Mar \ 21
76th X,Thu,351 Mar \ 22
77th X,Fri     New,351 Mar \ 23
78th X,Sat,351 Mar \ 24
79th X,Sun,351 Mar \ 25
80th EQ,Mon,351 Mar \ 26
81st  X,Tue,351 Mar \ 27
82nd X,Wed,351 Mar \ 28
83rd  X,Thu,351 Mar \ 29
84th X,Fri,351 Mar \ 30
85th X,Sat,351 Mar \ 31
86th X,Sun,351 Apr \ 1
87th,Mon,351 Apr \ 2
88th,Tue,351 Apr \ 3
89th,Wed,351 Apr \ 4
90th,Thu,351 Apr \ 5
91st,Fri,351 Apr \ 6
92nd,Sat,351 Apr \ 7
93rd,Sun     Full,351 Apr \ 8
94th,Mon,351 Apr \ 9
95th,Tue,351 Apr \ 10
96th,Wed,351 Apr \ 11
97th,Thu,351 Apr \ 12
98th,Fri,351 Apr \ 13
99th,Sat,351 Apr \ 14
100th,Sun,351 Apr \ 15
101st,Mon,351 Apr \ 16
102nd,Tue,351 Apr \ 17
103rd,Wed,351 Apr \ 18
104th,Thu,351 Apr \ 19
105th,Fri,351 Apr \ 20
106th,Sat,351 Apr \ 21
107th,Sun     New,351 Apr \ 22
108th,Mon,351 Apr \ 23
109th,Tue,351 Apr \ 24
110th,Wed,351 Apr \ 25
111th,Thu,351 Apr \ 26
112th,Fri,351 Apr \ 27
113th,Sat,351 Apr \ 28
114th,Sun,351 Apr \ 29
115th,Mon,351 Apr \ 30
116th,Tue,351 May / 1
117th,Wed,351 May / 2
118th,Thu,351 May / 3
119th,Fri,351 May / 4
120th,Sat,351 May / 5
121st,Sun,351 May / 6
122nd,Mon     Full,351 May / 7
123rd,Tue,351 May / 8
124th,Wed,351 May / 9
125th,Thu,351 May / 10
126th,Fri,351 May / 11
127th,Sat,351 May / 12
128th,Sun,351 May / 13
129th,Mon,351 May / 14
130th,Tue,351 May / 15
131st,Wed,351 May / 16
132nd,Thu,351 May / 17
133rd,Fri,351 May / 18
134th,Sat,351 May / 19
135th,Sun,351 May / 20
136th,Mon,351 May / 21
137th,Tue     New,351 May / 22
138th,Wed,351 May / 23
139th,Thu,351 May / 24
140th,Fri,351 May / 25
141st,Sat,351 May / 26
142nd,Sun,351 May / 27
143rd,Mon,351 May / 28
144th,Tue,351 May / 29
145th,Wed,351 May / 30
146th,Thu,351 May / 31
147th,Fri,351 Jun / 1
148th,Sat,351 Jun / 2
149th,Sun,351 Jun / 3
150th,Mon,351 Jun / 4
151st,Tue     Full,351 Jun / 5
152nd,Wed,351 Jun / 6
153rd,Thu,351 Jun / 7
154th,Fri,351 Jun / 8
155th,Sat,351 Jun / 9
156th,Sun,351 Jun / 10
157th,Mon,351 Jun / 11
158th,Tue,351 Jun / 12
159th,Wed,351 Jun / 13
160th S,Thu,351 Jun / 14
161st,Fri,351 Jun / 15
162nd,Sat,351 Jun / 16
163rd,Sun,351 Jun / 17
164th,Mon,351 Jun / 18
165th,Tue,351 Jun / 19
