SOLAR,9949,GREGORIAN 1949
1st,Sat,January 1 st
2nd,Sun,January 2 nd
3rd,Mon,January 3 rd
4th,Tue,January 4 th
5th,Wed,January 5 th
6th,Thu,January 6 th
7th,Fri,January 7 th
8th,Sat,January 8 th
9th,Sun,January 9 th
10th,Mon,January 10 th
11th,Tue,January 11 th
12th,Wed,January 12 th
13th,Thu,January 13 th
14th,Fri     Full,January 14 th
15th,Sat,January 15 th
16th,Sun,January 16 th
17th,Mon,January 17 th
18th,Tue,January 18 th
19th,Wed,January 19 th
20th,Thu,January 20 th
21st,Fri,January 21 st
22nd,Sat,January 22 nd
23rd,Sun,January 23 rd
24th,Mon,January 24 th
25th,Tue,January 25 th
26th,Wed,January 26 th
27th,Thu,January 27 th
28th,Fri,January 28 th
29th,Sat     New,January 29 th
30th,Sun,January 30 th
31st,Mon,January 31 st
32nd,Tue,Febuary 1 st
33rd,Wed,Febuary 2 nd
34th,Thu,Febuary 3 rd
35th,Fri,Febuary 4 th
36th,Sat,Febuary 5 th
36th,Sun,Febuary 6 th
38th,Mon,Febuary 7 th
39th,Tue,Febuary 8 th
40th,Wed,Febuary 9 th
41st,Thu,Febuary 10 th
42nd,Fri,Febuary 11 th
43rd,Sat,Febuary 12 th
44th,Sun     Full,Febuary 13 th
45th,Mon,Febuary 14 th
46th,Tue,Febuary 15 th
47th,Wed,Febuary 16 th
48th,Thu,Febuary 17 th
49th,Fri,Febuary 18 th
50th,Sat,Febuary 19 th
51st,Sun,Febuary 20 th
52nd,Mon,Febuary 21 st
53rd,Tue,Febuary 22 nd
54th,Wed,Febuary 23 rd
55th,Thu,Febuary 24 th
56th,Fri,Febuary 25 th
57th,Sat,Febuary 26 th
58th,Sun     New,Febuary 27 th
59th,Mon,Febuary 28 th
60th,Tue,March 1 st
61st,Wed,March 2 nd
62nd,Thu,March 3 rd
63rd,Fri,March 4 th
64th,Sat,March 5 th
65th,Sun,March 6 th
66th,Mon,March 7 th
67th,Tue,March 8 th
68th,Wed,March 9 th
69th,Thu,March 10 th
70th,Fri,March 11 th
71st,Sat,March 12 th
72nd,Sun,March 13 th
73rd,Mon     Full,March 14 th
74th,Tue,March 15 th
75th,Wed,March 16 th
76th,Thu,March 17 th
77th,Fri,March 18 th
78th,Sat,March 19 th
79th,Sun,March 20 th
80th EQ,Mon,March 21 st
81st,Tue,March 22 nd
82nd,Wed,March 23 rd
83rd,Thu,March 24 th
84th,Fri,March 25 th
85th,Sat,March 26 th
86th,Sun,March 27 th
87th,Mon,March 28 th
88th,Tue     New,March 29 th
89th,Wed,March 30 th
90th,Thu,March 31 st
91st,Fri,April 1 st
92nd,Sat,April 2 nd
93rd,Sun,April 3 rd
94th,Mon,April 4 th
95th,Tue,April 5 th
96th,Wed,April 6 th
97th,Thu,April 7 th
98th,Fri,April 8 th
99th,Sat,April 9 th
100th,Sun,April 10 th
101st,Mon,April 11 th
102nd,Tue,April 12 th
103rd,Wed     Full,April 13 th
104th,Thu,April 14 th
105th,Fri,April 15 th
106th,Sat,April 16 th
107th,Sun,April 17 th
108th,Mon,April 18 th
109th,Tue,April 19 th
110th,Wed,April 20 th
111th,Thu,April 21 st
112th,Fri,April 22 nd
113th,Sat,April 23 rd
114th,Sun,April 24 th
115th,Mon,April 25 th
116th,Tue,April 26 th
117th,Wed,April 27 th
118th,Thu     New,April 28 th
119th,Fri,April 29 th
120th,Sat,April 30 th
121st,Sun,May 1 st
122nd,Mon,May 2 nd
123rd,Tue,May 3 rd
124th,Wed,May 4 th
125th,Thu,May 5 th
126th,Fri,May 6 th
127th,Sat,May 7 th
128th,Sun,May 8 th
129th,Mon,May 9 th
130th,Tue,May 10 th
131st,Wed,May 11 th
132nd,Thu     Full,May 12 th
133rd,Fri,May 13 th
134th,Sat,May 14 th
135th,Sun,May 15 th
136th,Mon,May 16 th
137th,Tue,May 17 th
138th,Wed,May 18 th
139th,Thu,May 19 th
140th,Fri,May 20 th
141st,Sat,May 21 st
142nd,Sun,May 22 nd
143rd,Mon,May 23 rd
144th,Tue,May 24 th
145th,Wed,May 25 th
146th,Thu,May 26 th
147th,Fri     New,May 27 th
148th,Sat,May 28 th
149th,Sun,May 29 th
150th,Mon,May 30 th
151st,Tue,May 31 st
152nd,Wed,June 1 st
153rd,Thu,June 2 nd
154th,Fri,June 3 rd
155th,Sat,June 4 th
156th,Sun,June 5 th
157th,Mon,June 6 th
158th,Tue,June 7 th
159th,Wed,June 8 th
160th S,Thu,June 9 th
161st,Fri     Full,June 10 th
162nd,Sat,June 11 th
163rd,Sun,June 12 th
164th,Mon,June 13 th
165th,Tue,June 14 th
166th,Wed,June 15 th
167th,Thu,June 16 th
168th,Fri,June 17 th
169th,Sat,June 18 th
170th,Sun,June 19 th
171st,Mon,June 20 th
172nd,Tue,June 21 st
173rd,Wed,June 22 nd
174th,Thu,June 23 rd
175th,Fri,June 24 th
176th,Sat,June 25 th
177th,Sun     New,June 26 th
178th,Mon,June 27 th
179th,Tue,June 28 th
180th,Wed,June 29 th
181st,Thu,June 30 th
182nd,Fri,July 1 st
183rd,Sat,July 2 nd
184th,Sun,July 3 rd
185th,Mon,July 4 th
186th,Tue,July 5 th
187th,Wed,July 6 th
188th,Thu,July 7 th
189th,Fri,July 8 th
190th,Sat,July 9 th
191st,Sun     Full,July 10 th
192nd,Mon,July 11 th
193rd,Tue,July 12 th
194th,Wed,July 13 th
195th,Thu,July 14 th
196th,Fri,July 15 th
197th,Sat,July 16 th
198th,Sun,July 17 th
199th,Mon,July 18 th
200th,Tue,July 19 th
201st,Wed,July 20 th
202nd,Thu,July 21 st
203rd,Fri,July 22 nd
204th,Sat,July 23 rd
205th,Sun,July 24 th
206th,Mon     New,July 25 th
