SOLAR,7395,Exile,HISTORICAL
1st,Thu     Full,,606 Jan \ 8
2nd,Fri,,606 Jan \ 9
3rd,Sat,,606 Jan \ 10
4th,Sun,,606 Jan \ 11
5th,Mon,,606 Jan \ 12
6th,Tue,,606 Jan \ 13
7th,Wed,,606 Jan \ 14
8th,Thu,,606 Jan \ 15
9th,Fri,,606 Jan \ 16
10th,Sat,,606 Jan \ 17
11th,Sun,,606 Jan \ 18
12th,Mon,,606 Jan \ 19
13th,Tue,,606 Jan \ 20
14th,Wed,,606 Jan \ 21
15th,Thu,,606 Jan \ 22
16th,Fri     New,,606 Jan \ 23
17th,Sat,,606 Jan \ 24
18th,Sun,,606 Jan \ 25
19th,Mon,,606 Jan \ 26
20th,Tue,,606 Jan \ 27
21st,Wed,,606 Jan \ 28
22nd,Thu,,606 Jan \ 29
23rd,Fri,,606 Jan \ 30
24th,Sat,,606 Jan \ 31
25th,Sun,,606 Feb \ 1
26th,Mon,,606 Feb \ 2
27th,Tue,,606 Feb \ 3
28th,Wed,,606 Feb \ 4
29th,Thu,,606 Feb \ 5
30th,Fri,,606 Feb \ 6
31st,Sat     Full,,606 Feb \ 7
32nd,Sun,,606 Feb \ 8
33rd,Mon,,606 Feb \ 9
34th,Tue,,606 Feb \ 10
35th,Wed,,606 Feb \ 11
36th,Thu,,606 Feb \ 12
36th,Fri,,606 Feb \ 13
38th,Sat,,606 Feb \ 14
39th,Sun,,606 Feb \ 15
40th,Mon,,606 Feb \ 16
41st,Tue,,606 Feb \ 17
42nd,Wed,,606 Feb \ 18
43rd,Thu,,606 Feb \ 19
44th,Fri,,606 Feb \ 20
45th,Sat     New,,606 Feb \ 21
46th,Sun,,606 Feb \ 22
47th,Mon,,606 Feb \ 23
48th,Tue,,606 Feb \ 24
49th,Wed,,606 Feb \ 25
50th,Thu,,606 Feb \ 26
51st,Fri,,606 Feb \ 27
52nd,Sat,,606 Feb \ 28
53rd,Sun,,606 Mar \ 1
54th,Mon,,606 Mar \ 2
55th,Tue,,606 Mar \ 3
56th,Wed,,606 Mar \ 4
57th,Thu,,606 Mar \ 5
58th,Fri,,606 Mar \ 6
59th X,Sat,,606 Mar \ 7
60th X,Sun,,606 Mar \ 8
61st X,Mon     Full,,606 Mar \ 9
62nd X,Tue,,606 Mar \ 10
63rd X,Wed,,606 Mar \ 11
64th X,Thu,,606 Mar \ 12
65th X,Fri,,606 Mar \ 13
66th X,Sat,,606 Mar \ 14
67th X,Sun,,606 Mar \ 15
68th X,Mon,,606 Mar \ 16
69th X,Tue,,606 Mar \ 17
70th X,Wed,,606 Mar \ 18
71st X,Thu,,606 Mar \ 19
72nd X,Fri,,606 Mar \ 20
73rd X,Sat,,606 Mar \ 21
74th X,Sun,,606 Mar \ 22
75th X,Mon     New,,606 Mar \ 23
76th X,Tue,,606 Mar \ 24
77th X,Wed,,606 Mar \ 25
78th X,Thu,,606 Mar \ 26
79th X,Fri,,606 Mar \ 27
80th EQ,Sat,,606 Mar \ 28
81st  X,Sun,,606 Mar \ 29
82nd X,Mon,,606 Mar \ 30
83rd  X,Tue,,606 Mar \ 31
84th X,Wed,,606 Apr \ 1
85th X,Thu,,606 Apr \ 2
86th X,Fri,,606 Apr \ 3
87th X,Sat,,606 Apr \ 4
88th X,Sun,,606 Apr \ 5
89th X,Mon,,606 Apr \ 6
90th X,Tue     Full,,606 Apr \ 7
91st X,Wed,,606 Apr \ 8
92nd X,Thu,,606 Apr \ 9
93rd X,Fri,,606 Apr \ 10
94th X,Sat,,606 Apr \ 11
95th X,Sun,,606 Apr \ 12
96th X,Mon,,606 Apr \ 13
97th X,Tue,,606 Apr \ 14
98th X,Wed,,606 Apr \ 15
99th X,Thu,,606 Apr \ 16
100th X,Fri,,606 Apr \ 17
101st X,Sat,,606 Apr \ 18
102nd X,Sun,,606 Apr \ 19
103rd X,Mon,,606 Apr \ 20
104th X,Tue     New,,606 Apr \ 21
105th X,Wed,,606 Apr \ 22
106th X,Thu,,606 Apr \ 23
107th X,Fri,,606 Apr \ 24
108th X,Sat,,606 Apr \ 25
109th X,Sun,,606 Apr \ 26
110th X,Mon,,606 Apr \ 27
111th X,Tue,,606 Apr \ 28
112th X,Wed,,606 Apr \ 29
113th X,Thu,,606 Apr \ 30
114th X,Fri,,606 May \ 1
115th X,Sat,,606 May \ 2
116th,Sun,,606 May \ 3
117th,Mon,,606 May \ 4
118th,Tue,,606 May \ 5
119th,Wed,,606 May \ 6
120th,Thu     Full,,606 May \ 7
121st,Fri,,606 May \ 8
122nd,Sat,,606 May \ 9
123rd,Sun,,606 May \ 10
124th,Mon,,606 May \ 11
125th,Tue,,606 May \ 12
126th,Wed,,606 May \ 13
127th,Thu,,606 May \ 14
128th,Fri,,606 May \ 15
129th,Sat,,606 May \ 16
130th,Sun,,606 May \ 17
131st,Mon,,606 May \ 18
132nd,Tue,,606 May \ 19
133rd,Wed,,606 May \ 20
134th,Thu     New,,606 May \ 21
135th,Fri,,606 May \ 22
136th,Sat,,606 May \ 23
137th,Sun,,606 May \ 24
138th,Mon,,606 May \ 25
139th,Tue,,606 May \ 26
140th,Wed,,606 May \ 27
141st,Thu,,606 May \ 28
142nd,Fri,,606 May \ 29
143rd,Sat,,606 May \ 30
144th,Sun,,606 May \ 31
145th,Mon,,606 Jun / 1
146th,Tue,,606 Jun / 2
147th,Wed,,606 Jun / 3
148th,Thu,,606 Jun / 4
149th,Fri     Full,,606 Jun / 5
150th,Sat,,606 Jun / 6
151st,Sun,,606 Jun / 7
152nd,Mon,,606 Jun / 8
153rd,Tue,,606 Jun / 9
154th,Wed,,606 Jun / 10
155th,Thu,,606 Jun / 11
156th,Fri,,606 Jun / 12
157th,Sat,,606 Jun / 13
158th,Sun,,606 Jun / 14
159th,Mon,,606 Jun / 15
160th S,Tue,,606 Jun / 16
161st,Wed,,606 Jun / 17
162nd,Thu,,606 Jun / 18
163rd,Fri     New,,606 Jun / 19
164th,Sat,,606 Jun / 20
165th,Sun,,606 Jun / 21
166th,Mon,,606 Jun / 22
167th,Tue,,606 Jun / 23
168th,Wed,,606 Jun / 24
169th,Thu,,606 Jun / 25
170th,Fri,,606 Jun / 26
171st,Sat,,606 Jun / 27
172nd,Sun,,606 Jun / 28
173rd,Mon,,606 Jun / 29
174th,Tue,,606 Jun / 30
175th,Wed,,606 Jul / 1
176th,Thu,,606 Jul / 2
177th,Fri,,606 Jul / 3
178th,Sat     Full,,606 Jul / 4
179th,Sun,,606 Jul / 5
180th,Mon,,606 Jul / 6
181st,Tue,,606 Jul / 7
182nd,Wed,,606 Jul / 8
183rd,Thu,,606 Jul / 9
184th,Fri,,606 Jul / 10
185th,Sat,,606 Jul / 11
186th,Sun,,606 Jul / 12
187th,Mon,,606 Jul / 13
188th,Tue,,606 Jul / 14
189th,Wed,,606 Jul / 15
190th,Thu,,606 Jul / 16
191st,Fri,,606 Jul / 17
192nd,Sat,,606 Jul / 18
193rd,Sun     New,,606 Jul / 19
194th,Mon,,606 Jul / 20
195th,Tue,,606 Jul / 21
196th,Wed,,606 Jul / 22
197th,Thu,,606 Jul / 23
198th,Fri,Exile year 1 day 1,606 Jul / 24
199th,Sat,Exile year 1 day 2,606 Jul / 25
200th,Sun,Exile year 1 day 3,606 Jul / 26
201st,Mon,Exile year 1 day 4,606 Jul / 27
202nd,Tue,Exile year 1 day 5,606 Jul / 28
203rd,Wed,Exile year 1 day 6,606 Jul / 29
204th,Thu,Exile year 1 day 7,606 Jul / 30
205th,Fri,Exile year 1 day 8,606 Jul / 31
206th,Sat,Exile year 1 day 9,606 Aug / 1
207th,Sun,Exile year 1 day 10,606 Aug / 2
208th,Mon     Full,Exile year 1 day 11,606 Aug / 3
209th,Tue,Exile year 1 day 12,606 Aug / 4
210th,Wed,Exile year 1 day 13,606 Aug / 5
211th,Thu,Exile year 1 day 14,606 Aug / 6
212th,Fri,Exile year 1 day 15,606 Aug / 7
213th,Sat,Exile year 1 day 16,606 Aug / 8
214th,Sun,Exile year 1 day 17,606 Aug / 9
215th,Mon,Exile year 1 day 18,606 Aug / 10
216th,Tue,Exile year 1 day 19,606 Aug / 11
217th,Wed,Exile year 1 day 20,606 Aug / 12
218th,Thu,Exile year 1 day 21,606 Aug / 13
219th,Fri,Exile year 1 day 22,606 Aug / 14
220th,Sat,Exile year 1 day 23,606 Aug / 15
221st,Sun,Exile year 1 day 24,606 Aug / 16
222nd,Mon,Exile year 1 day 25,606 Aug / 17
223rd,Tue     New,Exile year 1 day 26,606 Aug / 18
224th,Wed,Exile year 1 day 27,606 Aug / 19
225th,Thu,Exile year 1 day 28,606 Aug / 20
226th,Fri,Exile year 1 day 29,606 Aug / 21
227th,Sat,Exile year 1 day 30,606 Aug / 22
228th,Sun,Exile year 1 day 31,606 Aug / 23
229th,Mon,Exile year 1 day 32,606 Aug / 24
230th,Tue,Exile year 1 day 33,606 Aug / 25
231st,Wed,Exile year 1 day 34,606 Aug / 26
232nd,Thu,Exile year 1 day 35,606 Aug / 27
233rd,Fri,Exile year 1 day 36,606 Aug / 28
234th,Sat,Exile year 1 day 37,606 Aug / 29
235th,Sun,Exile year 1 day 38,606 Aug / 30
236th,Mon,Exile year 1 day 39,606 Aug / 31
237th,Tue     Full,Exile year 1 day 40,606 Sep / 1
238th,Wed,Exile year 1 day 41,606 Sep / 2
239th,Thu,Exile year 1 day 42,606 Sep / 3
