SOLAR,7395,Exile,HISTORICAL
240th,Fri,Exile year 1 day 43,606 Sep / 4
241st,Sat,Exile year 1 day 44,606 Sep / 5
242nd,Sun,Exile year 1 day 45,606 Sep / 6
243rd,Mon,Exile year 1 day 46,606 Sep / 7
244th,Tue,Exile year 1 day 47,606 Sep / 8
245th,Wed,Exile year 1 day 48,606 Sep / 9
246th,Thu,Exile year 1 day 49,606 Sep / 10
247th,Fri,Exile year 1 day 50,606 Sep / 11
248th,Sat,Exile year 1 day 51,606 Sep / 12
249th,Sun,Exile year 1 day 52,606 Sep / 13
250th,Mon,Exile year 1 day 53,606 Sep / 14
251st,Tue,Exile year 1 day 54,606 Sep / 15
252nd,Wed     New,Exile year 1 day 55,606 Sep / 16
253rd,Thu,Exile year 1 day 56,606 Sep / 17
254th,Fri,Exile year 1 day 57,606 Sep / 18
255th,Sat,Exile year 1 day 58,606 Sep / 19
256th,Sun,Exile year 1 day 59,606 Sep / 20
257th,Mon,Exile year 1 day 60,606 Sep / 21
258th,Tue,Exile year 1 day 61,606 Sep / 22
259th,Wed,Exile year 1 day 62,606 Sep / 23
260th,Thu,Exile year 1 day 63,606 Sep / 24
261st,Fri,Exile year 1 day 64,606 Sep / 25
262nd,Sat,Exile year 1 day 65,606 Sep / 26
263rd,Sun,Exile year 1 day 66,606 Sep / 27
264th,Mon,Exile year 1 day 67,606 Sep / 28
265th,Tue,Exile year 1 day 68,606 Sep / 29
266th EQ,Wed,Exile year 1 day 69,606 Sep / 30
267th,Thu     Full,Exile year 1 day 70,606 Oct / 1
268th,Fri,Exile year 1 day 71,606 Oct / 2
269th,Sat,Exile year 1 day 72,606 Oct / 3
270th,Sun,Exile year 1 day 73,606 Oct / 4
271st,Mon,Exile year 1 day 74,606 Oct / 5
272nd,Tue,Exile year 1 day 75,606 Oct / 6
273rd,Wed,Exile year 1 day 76,606 Oct / 7
274th,Thu,Exile year 1 day 77,606 Oct / 8
275th,Fri,Exile year 1 day 78,606 Oct / 9
276th,Sat,Exile year 1 day 79,606 Oct / 10
277th,Sun,Exile year 1 day 80,606 Oct / 11
278th,Mon,Exile year 1 day 81,606 Oct / 12
279th,Tue,Exile year 1 day 82,606 Oct / 13
280th,Wed,Exile year 1 day 83,606 Oct / 14
281st,Thu,Exile year 1 day 84,606 Oct / 15
282nd,Fri     New,Exile year 1 day 85,606 Oct / 16
283rd,Sat,Exile year 1 day 86,606 Oct / 17
284th,Sun,Exile year 1 day 87,606 Oct / 18
285th,Mon,Exile year 1 day 88,606 Oct / 19
286th,Tue,Exile year 1 day 89,606 Oct / 20
287th,Wed,Exile year 1 day 90,606 Oct / 21
288th,Thu,Exile year 1 day 91,606 Oct / 22
289th,Fri,Exile year 1 day 92,606 Oct / 23
290th,Sat,Exile year 1 day 93,606 Oct / 24
291st,Sun,Exile year 1 day 94,606 Oct / 25
292nd,Mon,Exile year 1 day 95,606 Oct / 26
293rd,Tue,Exile year 1 day 96,606 Oct / 27
294th,Wed,Exile year 1 day 97,606 Oct / 28
295th,Thu,Exile year 1 day 98,606 Oct / 29
296th,Fri     Full,Exile year 1 day 99,606 Oct / 30
297th,Sat,Exile year 1 day 100,606 Oct / 31
298th,Sun,Exile year 1 day 101,606 Nov / 1
299th,Mon,Exile year 1 day 102,606 Nov / 2
300th,Tue,Exile year 1 day 103,606 Nov / 3
301st,Wed,Exile year 1 day 104,606 Nov / 4
302nd,Thu,Exile year 1 day 105,606 Nov / 5
303rd,Fri,Exile year 1 day 106,606 Nov / 6
304th,Sat,Exile year 1 day 107,606 Nov / 7
305th,Sun,Exile year 1 day 108,606 Nov / 8
306th,Mon,Exile year 1 day 109,606 Nov / 9
307th,Tue,Exile year 1 day 110,606 Nov / 10
308th,Wed,Exile year 1 day 111,606 Nov / 11
309th,Thu,Exile year 1 day 112,606 Nov / 12
310th,Fri,Exile year 1 day 113,606 Nov / 13
311th,Sat,Exile year 1 day 114,606 Nov / 14
312th,Sun     New,Exile year 1 day 115,606 Nov / 15
313th,Mon,Exile year 1 day 116,606 Nov / 16
314th,Tue,Exile year 1 day 117,606 Nov / 17
315th,Wed,Exile year 1 day 118,606 Nov / 18
316th,Thu,Exile year 1 day 119,606 Nov / 19
317th,Fri,Exile year 1 day 120,606 Nov / 20
318th,Sat,Exile year 1 day 121,606 Nov / 21
319th,Sun,Exile year 1 day 122,606 Nov / 22
320th,Mon,Exile year 1 day 123,606 Nov / 23
321st,Tue,Exile year 1 day 124,606 Nov / 24
322nd,Wed,Exile year 1 day 125,606 Nov / 25
323rd,Thu,Exile year 1 day 126,606 Nov / 26
324th,Fri,Exile year 1 day 127,606 Nov / 27
325th,Sat,Exile year 1 day 128,606 Nov / 28
326th,Sun     Full,Exile year 1 day 129,606 Nov / 29
327th,Mon,Exile year 1 day 130,606 Nov / 30
328th,Tue,Exile year 1 day 131,606 Dec / 1
329th,Wed,Exile year 1 day 132,606 Dec / 2
330th,Thu,Exile year 1 day 133,606 Dec / 3
331st,Fri,Exile year 1 day 134,606 Dec / 4
332nd,Sat,Exile year 1 day 135,606 Dec / 5
333rd,Sun,Exile year 1 day 136,606 Dec / 6
334th,Mon,Exile year 1 day 137,606 Dec / 7
335th,Tue,Exile year 1 day 138,606 Dec / 8
336th,Wed,Exile year 1 day 139,606 Dec / 9
337th,Thu,Exile year 1 day 140,606 Dec / 10
338th,Fri,Exile year 1 day 141,606 Dec / 11
339th,Sat,Exile year 1 day 142,606 Dec / 12
340th,Sun,Exile year 1 day 143,606 Dec / 13
341st,Mon     New,Exile year 1 day 144,606 Dec / 14
342nd,Tue,Exile year 1 day 145,606 Dec / 15
343rd,Wed,Exile year 1 day 146,606 Dec / 16
344th,Thu,Exile year 1 day 147,606 Dec / 17
345th,Fri,Exile year 1 day 148,606 Dec / 18
346th,Sat,Exile year 1 day 149,606 Dec / 19
347th,Sun,Exile year 1 day 150,606 Dec / 20
348th,Mon,Exile year 1 day 151,606 Dec / 21
349th,Tue,Exile year 1 day 152,606 Dec / 22
350th,Wed,Exile year 1 day 153,606 Dec / 23
351st,Thu,Exile year 1 day 154,606 Dec / 24
352nd,Fri,Exile year 1 day 155,606 Dec / 25
353rd,Sat,Exile year 1 day 156,606 Dec / 26
354th,Sun,Exile year 1 day 157,606 Dec / 27
355th,Mon     Full,Exile year 1 day 158,606 Dec / 28
356th SO,Tue,Exile year 1 day 159,606 Dec / 29
357th,Wed,Exile year 1 day 160,606 Dec / 30
358th,Thu,Exile year 1 day 161,606 Dec / 31
359th,Fri,Exile year 1 day 162,605 L Jan / 1
360th,Sat,Exile year 1 day 163,605 L Jan / 2
361st,Sun,Exile year 1 day 164,605 L Jan / 3
362nd,Mon,Exile year 1 day 165,605 L Jan / 4
363rd,Tue,Exile year 1 day 166,605 L Jan / 5
364th,Wed,Exile year 1 day 167,605 L Jan / 6
365th,Thu,Exile year 1 day 168,605 L Jan / 7
366th,XXXXX,,
