SOLAR,8031,HEBREW,SELEUCID ERA,NABATAEAN,EGYPTIAN CIVIL,JULIAN AUC,HISTORICAL
31st,Fri,3791 Shevat / 21,342 Peritios / 20,Teveth / 20,Peret Mechir 19,784 Februarius / 2,31 Feb \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-294,,,,,
32nd,Sat,3791 Shevat / 22,342 Peritios / 21,Teveth / 21,Peret Mechir 20,784 Februarius / 3,31 Feb \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-295,,,,,
33rd,Sun,3791 Shevat / 23,342 Peritios / 22,Teveth / 22,Peret Mechir 21,784 Februarius / 4,31 Feb \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-296,,,,,
34th,Mon,3791 Shevat / 24,342 Peritios / 23,Teveth / 23,Peret Mechir 22,784 Februarius / 5,31 Feb \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-297,,,,,
35th,Tue,3791 Shevat / 25,342 Peritios / 24,Teveth / 24,Peret Mechir 23,784 Februarius / 6,31 Feb \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-298,,,,,
36th,Wed,3791 Shevat / 26,342 Peritios / 25,Teveth / 25,Peret Mechir 24,784 Februarius / 7,31 Feb \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-299,,,,,
37th,Thu,3791 Shevat / 27,342 Peritios / 26,Teveth / 26,Peret Mechir 25,784 Februarius / 8,31 Feb \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-300,,,,,
38th,Fri,3791 Shevat / 28,342 Peritios / 27,Teveth / 27,Peret Mechir 26,784 Februarius / 9,31 Feb \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-301,,,,,
39th,Sat     New,3791 Shevat / 29,342 Peritios / 28,Teveth / 28,Peret Mechir 27,784 Februarius / 10,31 Feb \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-302,,,,,
40th,Sun,3791 Shevat / 30,342 Peritios / 29,Teveth / 29,Peret Mechir 28,784 Februarius / 11,31 Feb \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-303,,,,,
41st,Mon,3791 Adar / 1,342 Dystros / 1,Shevat / 1,Peret Mechir 29,784 Februarius / 12,31 Feb \ 12
