SOLAR,8031,HEBREW,SELEUCID ERA,NABATAEAN,EGYPTIAN CIVIL,JULIAN AUC,HISTORICAL
130th,Sat,3791 Sivan / 1,342 Daisios / 1,Iyyar / 1,Shemu Pachons 28,784 Maius / 12,31 May \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-33,,,,,
131st,Sun,3791 Sivan / 2,342 Daisios / 2,Iyyar / 2,Shemu Pachons 29,784 Maius / 13,31 May \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-34,,,,,
132nd,Mon,3791 Sivan / 3,342 Daisios / 3,Iyyar / 3,Shemu Pachons 30,784 Maius / 14,31 May \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-35,,,,,
133rd,Tue,3791 Sivan / 4,342 Daisios / 4,Iyyar / 4,Shemu Payni 1,784 Maius / 15,31 May \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-36,,,,,
134th,Wed,3791 Sivan / 5,342 Daisios / 5,Iyyar / 5,Shemu Payni 2,784 Maius / 16,31 May \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-37,,,,,
135th,Thu,3791 Sivan / 6,342 Daisios / 6,Iyyar / 6,Shemu Payni 3,784 Maius / 17,31 May \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-38,,,,,
136th,Fri,3791 Sivan / 7,342 Daisios / 7,Iyyar / 7,Shemu Payni 4,784 Maius / 18,31 May \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-39,,,,,
137th,Sat,3791 Sivan / 8,342 Daisios / 8,Iyyar / 8,Shemu Payni 5,784 Maius / 19,31 May \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-40,,,,,
138th,Sun,3791 Sivan / 9,342 Daisios / 9,Iyyar / 9,Shemu Payni 6,784 Maius / 20,31 May \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-41,,,,,
139th,Mon,3791 Sivan / 10,342 Daisios / 10,Iyyar / 10,Shemu Payni 7,784 Maius / 21,31 May \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-42,,,,,
140th,Tue,3791 Sivan / 11,342 Daisios / 11,Iyyar / 11,Shemu Payni 8,784 Maius / 22,31 May \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-43,,,,,
141st,Wed,3791 Sivan / 12,342 Daisios / 12,Iyyar / 12,Shemu Payni 9,784 Maius / 23,31 May \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-44,,,,,
142nd,Thu,3791 Sivan / 13,342 Daisios / 13,Iyyar / 13,Shemu Payni 10,784 Maius / 24,31 May \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-45,,,,,
143rd,Fri     Full,3791 Sivan / 14,342 Daisios / 14,Iyyar / 14,Shemu Payni 11,784 Maius / 25,31 May \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-46,,,,,
144th,Sat,3791 Sivan / 15,342 Daisios / 15,Iyyar / 15,Shemu Payni 12,784 Maius / 26,31 May \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-47,,,,,
145th,Sun,3791 Sivan / 16,342 Daisios / 16,Iyyar / 16,Shemu Payni 13,784 Maius / 27,31 May \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-48,,,,,
146th,Mon,3791 Sivan / 17,342 Daisios / 17,Iyyar / 17,Shemu Payni 14,784 Maius / 28,31 May \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-49,,,,,
147th,Tue,3791 Sivan / 18,342 Daisios / 18,Iyyar / 18,Shemu Payni 15,784 Maius / 29,31 May \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-50,,,,,
148th,Wed,3791 Sivan / 19,342 Daisios / 19,Iyyar / 19,Shemu Payni 16,784 Maius / 30,31 May \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-51,,,,,
149th,Thu,3791 Sivan / 20,342 Daisios / 20,Iyyar / 20,Shemu Payni 17,784 Maius / 31,31 May \ 31
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-52,,,,,
150th,Fri,3791 Sivan / 21,342 Daisios / 21,Iyyar / 21,Shemu Payni 18,784 Iunius / 1,31 Jun \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-53,,,,,
151st,Sat,3791 Sivan / 22,342 Daisios / 22,Iyyar / 22,Shemu Payni 19,784 Iunius / 2,31 Jun \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-54,,,,,
152nd,Sun,3791 Sivan / 23,342 Daisios / 23,Iyyar / 23,Shemu Payni 20,784 Iunius / 3,31 Jun \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-55,,,,,
153rd,Mon,3791 Sivan / 24,342 Daisios / 24,Iyyar / 24,Shemu Payni 21,784 Iunius / 4,31 Jun \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-56,,,,,
154th,Tue,3791 Sivan / 25,342 Daisios / 25,Iyyar / 25,Shemu Payni 22,784 Iunius / 5,31 Jun \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-57,,,,,
155th,Wed,3791 Sivan / 26,342 Daisios / 26,Iyyar / 26,Shemu Payni 23,784 Iunius / 6,31 Jun \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-58,,,,,
156th,Thu,3791 Sivan / 27,342 Daisios / 27,Iyyar / 27,Shemu Payni 24,784 Iunius / 7,31 Jun \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-59,,,,,
157th,Fri     New,3791 Sivan / 28,342 Daisios / 28,Iyyar / 28,Shemu Payni 25,784 Iunius / 8,31 Jun \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-60,,,,,
158th,Sat,3791 Sivan / 29,342 Daisios / 29,Iyyar / 29,Shemu Payni 26,784 Iunius / 9,31 Jun \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-61,,,,,
159th,Sun,3791 Tammuz / 1,342 Daisios / 30,Iyyar / 30,Shemu Payni 27,784 Iunius / 10,31 Jun \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-62,,,,,
160th S,Mon,3791 Tammuz / 2,342 Panemos / 1,Sivan / 1,Shemu Payni 28,784 Iunius / 11,31 Jun \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-63,,,,,
161st,Tue,3791 Tammuz / 3,342 Panemos / 2,Sivan / 2,Shemu Payni 29,784 Iunius / 12,31 Jun \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-64,,,,,
162nd,Wed,3791 Tammuz / 4,342 Panemos / 3,Sivan / 3,Shemu Payni 30,784 Iunius / 13,31 Jun \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-65,,,,,
163rd,Thu,3791 Tammuz / 5,342 Panemos / 4,Sivan / 4,Shemu Epiphi 1,784 Iunius / 14,31 Jun \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-66,,,,,
164th,Fri,3791 Tammuz / 6,342 Panemos / 5,Sivan / 5,Shemu Epiphi 2,784 Iunius / 15,31 Jun \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-67,,,,,
165th,Sat,3791 Tammuz / 7,342 Panemos / 6,Sivan / 6,Shemu Epiphi 3,784 Iunius / 16,31 Jun \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-68,,,,,
166th,Sun,3791 Tammuz / 8,342 Panemos / 7,Sivan / 7,Shemu Epiphi 4,784 Iunius / 17,31 Jun \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-69,,,,,
167th,Mon,3791 Tammuz / 9,342 Panemos / 8,Sivan / 8,Shemu Epiphi 5,784 Iunius / 18,31 Jun \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-70,,,,,
168th,Tue,3791 Tammuz / 10,342 Panemos / 9,Sivan / 9,Shemu Epiphi 6,784 Iunius / 19,31 Jun \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-71,,,,,
169th,Wed,3791 Tammuz / 11,342 Panemos / 10,Sivan / 10,Shemu Epiphi 7,784 Iunius / 20,31 Jun \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-72,,,,,
170th,Thu,3791 Tammuz / 12,342 Panemos / 11,Sivan / 11,Shemu Epiphi 8,784 Iunius / 21,31 Jun \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-73,,,,,
171st,Fri,3791 Tammuz / 13,342 Panemos / 12,Sivan / 12,Shemu Epiphi 9,784 Iunius / 22,31 Jun \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-74,,,,,
172nd,Sat     Full,3791 Tammuz / 14,342 Panemos / 13,Sivan / 13,Shemu Epiphi 10,784 Iunius / 23,31 Jun \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-75,,,,,
173rd,Sun,3791 Tammuz / 15,342 Panemos / 14,Sivan / 14,Shemu Epiphi 11,784 Iunius / 24,31 Jun \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-76,,,,,
174th,Mon,3791 Tammuz / 16,342 Panemos / 15,Sivan / 15,Shemu Epiphi 12,784 Iunius / 25,31 Jun \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-77,,,,,
175th,Tue,3791 Tammuz / 17,342 Panemos / 16,Sivan / 16,Shemu Epiphi 13,784 Iunius / 26,31 Jun \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-78,,,,,
176th,Wed,3791 Tammuz / 18,342 Panemos / 17,Sivan / 17,Shemu Epiphi 14,784 Iunius / 27,31 Jun \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-79,,,,,
177th,Thu,3791 Tammuz / 19,342 Panemos / 18,Sivan / 18,Shemu Epiphi 15,784 Iunius / 28,31 Jun \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-80,,,,,
178th,Fri,3791 Tammuz / 20,342 Panemos / 19,Sivan / 19,Shemu Epiphi 16,784 Iunius / 29,31 Jun \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-81,,,,,
179th,Sat,3791 Tammuz / 21,342 Panemos / 20,Sivan / 20,Shemu Epiphi 17,784 Iunius / 30,31 Jun \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-82,,,,,
180th,Sun,3791 Tammuz / 22,342 Panemos / 21,Sivan / 21,Shemu Epiphi 18,784 Julius / 1,31 Jul \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-83,,,,,
181st,Mon,3791 Tammuz / 23,342 Panemos / 22,Sivan / 22,Shemu Epiphi 19,784 Julius / 2,31 Jul \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-84,,,,,
182nd,Tue,3791 Tammuz / 24,342 Panemos / 23,Sivan / 23,Shemu Epiphi 20,784 Julius / 3,31 Jul \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-85,,,,,
183rd,Wed,3791 Tammuz / 25,342 Panemos / 24,Sivan / 24,Shemu Epiphi 21,784 Julius / 4,31 Jul \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-86,,,,,
184th,Thu,3791 Tammuz / 26,342 Panemos / 25,Sivan / 25,Shemu Epiphi 22,784 Julius / 5,31 Jul \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-87,,,,,
185th,Fri,3791 Tammuz / 27,342 Panemos / 26,Sivan / 26,Shemu Epiphi 23,784 Julius / 6,31 Jul \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-88,,,,,
186th,Sat,3791 Tammuz / 28,342 Panemos / 27,Sivan / 27,Shemu Epiphi 24,784 Julius / 7,31 Jul \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-89,,,,,
187th,Sun     New,3791 Tammuz / 29,342 Panemos / 28,Sivan / 28,Shemu Epiphi 25,784 Julius / 8,31 Jul \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-90,,,,,
188th,Mon,3791 Av / 1,342 Panemos / 29,Sivan / 29,Shemu Epiphi 26,784 Julius / 9,31 Jul \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-91,,,,,
189th,Tue,3791 Av / 2,342 Loos / 1,Tammuz / 1,Shemu Epiphi 27,784 Julius / 10,31 Jul \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-92,,,,,
190th,Wed,3791 Av / 3,342 Loos / 2,Tammuz / 2,Shemu Epiphi 28,784 Julius / 11,31 Jul \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-93,,,,,
191st,Thu,3791 Av / 4,342 Loos / 3,Tammuz / 3,Shemu Epiphi 29,784 Julius / 12,31 Jul \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-94,,,,,
192nd,Fri,3791 Av / 5,342 Loos / 4,Tammuz / 4,Shemu Epiphi 30,784 Julius / 13,31 Jul \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-95,,,,,
193rd,Sat,3791 Av / 6,342 Loos / 5,Tammuz / 5,Shemu Mesore 1,784 Julius / 14,31 Jul \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-96,,,,,
194th,Sun,3791 Av / 7,342 Loos / 6,Tammuz / 6,Shemu Mesore 2,784 Julius / 15,31 Jul \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-97,,,,,
195th,Mon,3791 Av / 8,342 Loos / 7,Tammuz / 7,Shemu Mesore 3,784 Julius / 16,31 Jul \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-98,,,,,
196th,Tue,3791 Av / 9,342 Loos / 8,Tammuz / 8,Shemu Mesore 4,784 Julius / 17,31 Jul \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-99,,,,,
197th,Wed,3791 Av / 10,342 Loos / 9,Tammuz / 9,Shemu Mesore 5,784 Julius / 18,31 Jul \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-100,,,,,
198th,Thu,3791 Av / 11,342 Loos / 10,Tammuz / 10,Shemu Mesore 6,784 Julius / 19,31 Jul \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-101,,,,,
199th,Fri,3791 Av / 12,342 Loos / 11,Tammuz / 11,Shemu Mesore 7,784 Julius / 20,31 Jul \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-102,,,,,
200th,Sat,3791 Av / 13,342 Loos / 12,Tammuz / 12,Shemu Mesore 8,784 Julius / 21,31 Jul \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-103,,,,,
201st,Sun     Full,3791 Av / 14,342 Loos / 13,Tammuz / 13,Shemu Mesore 9,784 Julius / 22,31 Jul \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-104,,,,,
202nd,Mon,3791 Av / 15,342 Loos / 14,Tammuz / 14,Shemu Mesore 10,784 Julius / 23,31 Jul \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-105,,,,,
203rd,Tue,3791 Av / 16,342 Loos / 15,Tammuz / 15,Shemu Mesore 11,784 Julius / 24,31 Jul \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-106,,,,,
204th,Wed,3791 Av / 17,342 Loos / 16,Tammuz / 16,Shemu Mesore 12,784 Julius / 25,31 Jul \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-107,,,,,
205th,Thu,3791 Av / 18,342 Loos / 17,Tammuz / 17,Shemu Mesore 13,784 Julius / 26,31 Jul \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-108,,,,,
206th,Fri,3791 Av / 19,342 Loos / 18,Tammuz / 18,Shemu Mesore 14,784 Julius / 27,31 Jul \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-109,,,,,
207th,Sat,3791 Av / 20,342 Loos / 19,Tammuz / 19,Shemu Mesore 15,784 Julius / 28,31 Jul \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-110,,,,,
208th,Sun,3791 Av / 21,342 Loos / 20,Tammuz / 20,Shemu Mesore 16,784 Julius / 29,31 Jul \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-111,,,,,
209th,Mon,3791 Av / 22,342 Loos / 21,Tammuz / 21,Shemu Mesore 17,784 Julius / 30,31 Jul \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-112,,,,,
210th,Tue,3791 Av / 23,342 Loos / 22,Tammuz / 22,Shemu Mesore 18,784 Julius / 31,31 Jul \ 31
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-113,,,,,
211th,Wed,3791 Av / 24,342 Loos / 23,Tammuz / 23,Shemu Mesore 19,784 Augustus / 1,31 Aug \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-114,,,,,
212th,Thu,3791 Av / 25,342 Loos / 24,Tammuz / 24,Shemu Mesore 20,784 Augustus / 2,31 Aug \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-115,,,,,
213th,Fri,3791 Av / 26,342 Loos / 25,Tammuz / 25,Shemu Mesore 21,784 Augustus / 3,31 Aug \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-116,,,,,
214th,Sat,3791 Av / 27,342 Loos / 26,Tammuz / 26,Shemu Mesore 22,784 Augustus / 4,31 Aug \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-117,,,,,
215th,Sun,3791 Av / 28,342 Loos / 27,Tammuz / 27,Shemu Mesore 23,784 Augustus / 5,31 Aug \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-118,,,,,
216th,Mon     New,3791 Av / 29,342 Loos / 28,Tammuz / 28,Shemu Mesore 24,784 Augustus / 6,31 Aug \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-119,,,,,
217th,Tue,3791 Av / 30,342 Loos / 29,Tammuz / 29,Shemu Mesore 25,784 Augustus / 7,31 Aug \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-120,,,,,
218th,Wed,3791 Elul / 1,342 Loos / 30,Tammuz / 30,Shemu Mesore 26,784 Augustus / 8,31 Aug \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-121,,,,,
219th,Thu,3791 Elul / 2,342 Gorpiaios / 1,Ab / 1,Shemu Mesore 27,784 Augustus / 9,31 Aug \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-122,,,,,
220th,Fri,3791 Elul / 3,342 Gorpiaios / 2,Ab / 2,Shemu Mesore 28,784 Augustus / 10,31 Aug \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-123,,,,,
221st,Sat,3791 Elul / 4,342 Gorpiaios / 3,Ab / 3,Shemu Mesore 29,784 Augustus / 11,31 Aug \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-124,,,,,
222nd,Sun,3791 Elul / 5,342 Gorpiaios / 4,Ab / 4,Shemu Mesore 30,784 Augustus / 12,31 Aug \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-125,,,,,
223rd,Mon,3791 Elul / 6,342 Gorpiaios / 5,Ab / 5,Birth of Osiris,784 Augustus / 13,31 Aug \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-126,,,,,
224th,Tue,3791 Elul / 7,342 Gorpiaios / 6,Ab / 6,Birth of Horus,784 Augustus / 14,31 Aug \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-127,,,,,
225th,Wed,3791 Elul / 8,342 Gorpiaios / 7,Ab / 7,Birth of Seth,784 Augustus / 15,31 Aug \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-128,,,,,
226th,Thu,3791 Elul / 9,342 Gorpiaios / 8,Ab / 8,Birth of Isis,784 Augustus / 16,31 Aug \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-129,,,,,
227th,Fri,3791 Elul / 10,342 Gorpiaios / 9,Ab / 9,Birth of Nephthys,784 Augustus / 17,31 Aug \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-130,,,,,
228th,Sat,3791 Elul / 11,342 Gorpiaios / 10,Ab / 10,Akhet Thoth 1,784 Augustus / 18,31 Aug \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-131,,,|-----Aulus Avilius Flavius Roman made prefect of EGYPT ,,
,,,,,|-----Amanitore Queen of Kush 26 years,,
229th,Sun,3791 Elul / 12,342 Gorpiaios / 11,Ab / 11,Akhet Thoth 2,784 Augustus / 19,31 Aug \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-132,,,,,
230th,Mon,3791 Elul / 13,342 Gorpiaios / 12,Ab / 12,Akhet Thoth 3,784 Augustus / 20,31 Aug \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-133,,,,,
231st,Tue     Full,3791 Elul / 14,342 Gorpiaios / 13,Ab / 13,Akhet Thoth 4,784 Augustus / 21,31 Aug \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-134,,,,,
232nd,Wed,3791 Elul / 15,342 Gorpiaios / 14,Ab / 14,Akhet Thoth 5,784 Augustus / 22,31 Aug \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-135,,,,,
233rd,Thu,3791 Elul / 16,342 Gorpiaios / 15,Ab / 15,Akhet Thoth 6,784 Augustus / 23,31 Aug \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-136,,,,,
234th,Fri,3791 Elul / 17,342 Gorpiaios / 16,Ab / 16,Akhet Thoth 7,784 Augustus / 24,31 Aug \ 24
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-137,,,,,
235th,Sat,3791 Elul / 18,342 Gorpiaios / 17,Ab / 17,Akhet Thoth 8,784 Augustus / 25,31 Aug \ 25
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-138,,,,,
236th,Sun,3791 Elul / 19,342 Gorpiaios / 18,Ab / 18,Akhet Thoth 9,784 Augustus / 26,31 Aug \ 26
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-139,,,,,
237th,Mon,3791 Elul / 20,342 Gorpiaios / 19,Ab / 19,Akhet Thoth 10,784 Augustus / 27,31 Aug \ 27
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-140,,,,,
238th,Tue,3791 Elul / 21,342 Gorpiaios / 20,Ab / 20,Akhet Thoth 11,784 Augustus / 28,31 Aug \ 28
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-141,,,,,
239th,Wed,3791 Elul / 22,342 Gorpiaios / 21,Ab / 21,Akhet Thoth 12,784 Augustus / 29,31 Aug \ 29
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-142,,,,,
240th,Thu,3791 Elul / 23,342 Gorpiaios / 22,Ab / 22,Akhet Thoth 13,784 Augustus / 30,31 Aug \ 30
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-143,,,,,
241st,Fri,3791 Elul / 24,342 Gorpiaios / 23,Ab / 23,Akhet Thoth 14,784 Augustus / 31,31 Aug \ 31
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-144,,,,,
242nd,Sat,3791 Elul / 25,342 Gorpiaios / 24,Ab / 24,Akhet Thoth 15,784 September / 1,31 Sep \ 1
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-145,,,,,
243rd,Sun,3791 Elul / 26,342 Gorpiaios / 25,Ab / 25,Akhet Thoth 16,784 September / 2,31 Sep \ 2
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-146,,,,,
244th,Mon,3791 Elul / 27,342 Gorpiaios / 26,Ab / 26,Akhet Thoth 17,784 September / 3,31 Sep \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-147,,,,,
245th,Tue,3791 Elul / 28,342 Gorpiaios / 27,Ab / 27,Akhet Thoth 18,784 September / 4,31 Sep \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-148,,,,,
246th,Wed     New,3791 Elul / 29,342 Gorpiaios / 28,Ab / 28,Akhet Thoth 19,784 September / 5,31 Sep \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-149,,,,,
247th,Thu,3792 Tishri / 1 New Year,342 Gorpiaios / 29,Ab / 29,Akhet Thoth 20,784 September / 6,31 Sep \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-150,,,,,
248th,Fri,3792 Tishri / 2,342 Hyperberetaios / 1,Elul / 1,Akhet Thoth 21,784 September / 7,31 Sep \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-151,,,,,
249th,Sat,3792 Tishri / 3,342 Hyperberetaios / 2,Elul / 2,Akhet Thoth 22,784 September / 8,31 Sep \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-152,,,,,
250th,Sun,3792 Tishri / 4,342 Hyperberetaios / 3,Elul / 3,Akhet Thoth 23,784 September / 9,31 Sep \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-153,,,,,
251st,Mon,3792 Tishri / 5,342 Hyperberetaios / 4,Elul / 4,Akhet Thoth 24,784 September / 10,31 Sep \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-154,,,,,
252nd,Tue,3792 Tishri / 6,342 Hyperberetaios / 5,Elul / 5,Akhet Thoth 25,784 September / 11,31 Sep \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-155,,,,,
253rd,Wed,3792 Tishri / 7,342 Hyperberetaios / 6,Elul / 6,Akhet Thoth 26,784 September / 12,31 Sep \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-156,,,,,
254th,Thu,3792 Tishri / 8,342 Hyperberetaios / 7,Elul / 7,Akhet Thoth 27,784 September / 13,31 Sep \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-157,,,,,
255th,Fri,3792 Tishri / 9,342 Hyperberetaios / 8,Elul / 8,Akhet Thoth 28,784 September / 14,31 Sep \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-158,,,,,
256th,Sat,3792 Tishri / 10,342 Hyperberetaios / 9,Elul / 9,Akhet Thoth 29,784 September / 15,31 Sep \ 15
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-159,,,,,
257th,Sun,3792 Tishri / 11,342 Hyperberetaios / 10,Elul / 10,Akhet Thoth 30,784 September / 16,31 Sep \ 16
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-160,,,,,
258th,Mon,3792 Tishri / 12,342 Hyperberetaios / 11,Elul / 11,Akhet Phaophi 1,784 September / 17,31 Sep \ 17
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-161,,,,,
259th,Tue,3792 Tishri / 13,342 Hyperberetaios / 12,Elul / 12,Akhet Phaophi 2,784 September / 18,31 Sep \ 18
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-162,,,,,
260th,Wed     Full,3792 Tishri / 14,342 Hyperberetaios / 13,Elul / 13,Akhet Phaophi 3,784 September / 19,31 Sep \ 19
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-163,,,,,
261st,Thu,3792 Tishri / 15,342 Hyperberetaios / 14,Elul / 14,Akhet Phaophi 4,784 September / 20,31 Sep \ 20
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-164,,,,,
262nd,Fri,3792 Tishri / 16,342 Hyperberetaios / 15,Elul / 15,Akhet Phaophi 5,784 September / 21,31 Sep \ 21
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-165,,,,,
263rd,Sat,3792 Tishri / 17,342 Hyperberetaios / 16,Elul / 16,Akhet Phaophi 6,784 September / 22,31 Sep \ 22
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-166,,,,,
264th,Sun,3792 Tishri / 18,342 Hyperberetaios / 17,Elul / 17,Akhet Phaophi 7,784 September / 23,31 Sep \ 23
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-167,,,,,
