SOLAR,8220 L,JULIAN AUC,HISTORICAL
193rd,Tue,973 L Iulius / 11,220 L Jul / 11
194th,Wed,973 L Iulius / 12,220 L Jul / 12
195th,Thu,973 L Iulius / 13,220 L Jul / 13
196th,Fri,973 L Iulius / 14,220 L Jul / 14
197th,Sat,973 L Iulius / 15,220 L Jul / 15
198th,Sun,973 L Iulius / 16,220 L Jul / 16
199th,Mon     New,973 L Iulius / 17,220 L Jul / 17
200th,Tue,973 L Iulius / 18,220 L Jul / 18
201st,Wed,973 L Iulius / 19,220 L Jul / 19
202nd,Thu,973 L Iulius / 20,220 L Jul / 20
203rd,Fri,973 L Iulius / 21,220 L Jul / 21
204th,Sat,973 L Iulius / 22,220 L Jul / 22
205th,Sun,973 L Iulius / 23,220 L Jul / 23
206th,Mon,973 L Iulius / 24,220 L Jul / 24
207th,Tue,973 L Iulius / 25,220 L Jul / 25
208th,Wed,973 L Iulius / 26,220 L Jul / 26
209th,Thu,973 L Iulius / 27,220 L Jul / 27
210th,Fri,973 L Iulius / 28,220 L Jul / 28
211th,Sat,973 L Iulius / 29,220 L Jul / 29
212th,Sun,973 L Iulius / 30,220 L Jul / 30
213th,Mon,973 L Iulius / 31,220 L Jul / 31
214th,Tue     Full,973 L Augustus / 1,220 L Aug / 1
215th,Wed,973 L Augustus / 2,220 L Aug / 2
216th,Thu,973 L Augustus / 3,220 L Aug / 3
217th,Fri,973 L Augustus / 4,220 L Aug / 4
218th,Sat,973 L Augustus / 5,220 L Aug / 5
219th,Sun,973 L Augustus / 6,220 L Aug / 6
220th,Mon,973 L Augustus / 7,220 L Aug / 7
221st,Tue,973 L Augustus / 8,220 L Aug / 8
222nd,Wed,973 L Augustus / 9,220 L Aug / 9
223rd,Thu,973 L Augustus / 10,220 L Aug / 10
224th,Fri,973 L Augustus / 11,220 L Aug / 11
225th,Sat,973 L Augustus / 12,220 L Aug / 12
226th,Sun,973 L Augustus / 13,220 L Aug / 13
227th,Mon,973 L Augustus / 14,220 L Aug / 14
228th,Tue     New,973 L Augustus / 15,220 L Aug / 15
229th,Wed,973 L Augustus / 16,220 L Aug / 16
230th,Thu,973 L Augustus / 17,220 L Aug / 17
231st,Fri,973 L Augustus / 18,220 L Aug / 18
232nd,Sat,973 L Augustus / 19,220 L Aug / 19
233rd,Sun,973 L Augustus / 20,220 L Aug / 20
234th,Mon,973 L Augustus / 21,220 L Aug / 21
235th,Tue,973 L Augustus / 22,220 L Aug / 22
236th,Wed,973 L Augustus / 23,220 L Aug / 23
237th,Thu,973 L Augustus / 24,220 L Aug / 24
238th,Fri,973 L Augustus / 25,220 L Aug / 25
239th,Sat,973 L Augustus / 26,220 L Aug / 26
240th,Sun,973 L Augustus / 27,220 L Aug / 27
241st,Mon,973 L Augustus / 28,220 L Aug / 28
242nd,Tue,973 L Augustus / 29,220 L Aug / 29
243rd,Wed,973 L Augustus / 30,220 L Aug / 30
244th,Thu     Full,973 L Augustus / 31,220 L Aug / 31
245th,Fri,973 L Sep / 1,220 L Sep / 1
246th,Sat,973 L Sep / 2,220 L Sep / 2
247th,Sun,973 L Sep / 3,220 L Sep / 3
248th,Mon,973 L Sep / 4,220 L Sep / 4
249th,Tue,973 L Sep / 5,220 L Sep / 5
250th,Wed,973 L Sep / 6,220 L Sep / 6
251st,Thu,973 L Sep / 7,220 L Sep / 7
252nd,Fri,973 L Sep / 8,220 L Sep / 8
253rd,Sat,973 L Sep / 9,220 L Sep / 9
254th,Sun,973 L Sep / 10,220 L Sep / 10
255th,Mon,973 L Sep / 11,220 L Sep / 11
256th,Tue,973 L Sep / 12,220 L Sep / 12
257th,Wed,973 L Sep / 13,220 L Sep / 13
258th,Thu     New,973 L Sep / 14,220 L Sep / 14
259th,Fri,973 L Sep / 15,220 L Sep / 15
260th,Sat,973 L Sep / 16,220 L Sep / 16
261st,Sun,973 L Sep / 17,220 L Sep / 17
262nd,Mon,973 L Sep / 18,220 L Sep / 18
263rd,Tue,973 L Sep / 19,220 L Sep / 19
264th,Wed,973 L Sep / 20,220 L Sep / 20
265th,Thu,973 L Sep / 21,220 L Sep / 21
266th EQ,Fri,973 L Sep / 22,220 L Sep / 22
267th,Sat,973 L Sep / 23,220 L Sep / 23
268th,Sun,973 L Sep / 24,220 L Sep / 24
269th,Mon,973 L Sep / 25,220 L Sep / 25
270th,Tue,973 L Sep / 26,220 L Sep / 26
271st,Wed,973 L Sep / 27,220 L Sep / 27
272nd,Thu,973 L Sep / 28,220 L Sep / 28
273rd,Fri     Full,973 L Sep / 29,220 L Sep / 29
274th,Sat,973 L Sep / 30,220 L Sep / 30
275th,Sun,973 L Oct / 1,220 L Oct / 1
276th,Mon,973 L Oct / 2,220 L Oct / 2
277th,Tue,973 L Oct / 3,220 L Oct / 3
278th,Wed,973 L Oct / 4,220 L Oct / 4
279th,Thu,973 L Oct / 5,220 L Oct / 5
280th,Fri,973 L Oct / 6,220 L Oct / 6
281st,Sat,973 L Oct / 7,220 L Oct / 7
282nd,Sun,973 L Oct / 8,220 L Oct / 8
283rd,Mon,973 L Oct / 9,220 L Oct / 9
284th,Tue,973 L Oct / 10,220 L Oct / 10
285th,Wed,973 L Oct / 11,220 L Oct / 11
286th,Thu,973 L Oct / 12,220 L Oct / 12
287th,Fri,973 L Oct / 13,220 L Oct / 13
288th,Sat     New,973 L Oct / 14,220 L Oct / 14
289th,Sun,973 L Oct / 15,220 L Oct / 15
290th,Mon,973 L Oct / 16,220 L Oct / 16
291st,Tue,973 L Oct / 17,220 L Oct / 17
292nd,Wed,973 L Oct / 18,220 L Oct / 18
293rd,Thu,973 L Oct / 19,220 L Oct / 19
294th,Fri,973 L Oct / 20,220 L Oct / 20
295th,Sat,973 L Oct / 21,220 L Oct / 21
296th,Sun,973 L Oct / 22,220 L Oct / 22
297th,Mon,973 L Oct / 23,220 L Oct / 23
298th,Tue,973 L Oct / 24,220 L Oct / 24
299th,Wed,973 L Oct / 25,220 L Oct / 25
300th,Thu,973 L Oct / 26,220 L Oct / 26
301st,Fri,973 L Oct / 27,220 L Oct / 27
302nd,Sat,973 L Oct / 28,220 L Oct / 28
303rd,Sun     Full,973 L Oct / 29,220 L Oct / 29
304th,Mon,973 L Oct / 30,220 L Oct / 30
305th,Tue,973 L Oct / 31,220 L Oct / 31
306th,Wed,973 L Nov / 1,220 L Nov / 1
307th,Thu,973 L Nov / 2,220 L Nov / 2
308th,Fri,973 L Nov / 3,220 L Nov / 3
309th,Sat,973 L Nov / 4,220 L Nov / 4
310th,Sun,973 L Nov / 5,220 L Nov / 5
311th,Mon,973 L Nov / 6,220 L Nov / 6
312th,Tue,973 L Nov / 7,220 L Nov / 7
313th,Wed,973 L Nov / 8,220 L Nov / 8
314th,Thu,973 L Nov / 9,220 L Nov / 9
315th,Fri,973 L Nov / 10,220 L Nov / 10
316th,Sat,973 L Nov / 11,220 L Nov / 11
317th,Sun     New,973 L Nov / 12,220 L Nov / 12
318th,Mon,973 L Nov / 13,220 L Nov / 13
319th,Tue,973 L Nov / 14,220 L Nov / 14
320th,Wed,973 L Nov / 15,220 L Nov / 15
321st,Thu,973 L Nov / 16,220 L Nov / 16
322nd,Fri,973 L Nov / 17,220 L Nov / 17
323rd,Sat,973 L Nov / 18,220 L Nov / 18
324th,Sun,973 L Nov / 19,220 L Nov / 19
325th,Mon,973 L Nov / 20,220 L Nov / 20
326th,Tue,973 L Nov / 21,220 L Nov / 21
327th,Wed,973 L Nov / 22,220 L Nov / 22
328th,Thu,973 L Nov / 23,220 L Nov / 23
329th,Fri,973 L Nov / 24,220 L Nov / 24
330th,Sat,973 L Nov / 25,220 L Nov / 25
331st,Sun,973 L Nov / 26,220 L Nov / 26
332nd,Mon     Full,973 L Nov / 27,220 L Nov / 27
333rd,Tue,973 L Nov / 28,220 L Nov / 28
334th,Wed,973 L Nov / 29,220 L Nov / 29
335th,Thu,973 L Nov / 30,220 L Nov / 30
336th,Fri,973 L Dec / 1,220 L Dec / 1
337th,Sat,973 L Dec / 2,220 L Dec / 2
338th,Sun,973 L Dec / 3,220 L Dec / 3
339th,Mon,973 L Dec / 4,220 L Dec / 4
340th,Tue,973 L Dec / 5,220 L Dec / 5
341st,Wed,973 L Dec / 6,220 L Dec / 6
342nd,Thu,973 L Dec / 7,220 L Dec / 7
343rd,Fri,973 L Dec / 8,220 L Dec / 8
344th,Sat,973 L Dec / 9,220 L Dec / 9
345th,Sun,973 L Dec / 10,220 L Dec / 10
346th,Mon,973 L Dec / 11,220 L Dec / 11
347th,Tue     New,973 L Dec / 12,220 L Dec / 12
348th,Wed,973 L Dec / 13,220 L Dec / 13
349th,Thu,973 L Dec / 14,220 L Dec / 14
350th,Fri,973 L Dec / 15,220 L Dec / 15
351st,Sat,973 L Dec / 16,220 L Dec / 16
352nd,Sun,973 L Dec / 17,220 L Dec / 17
353rd,Mon,973 L Dec / 18,220 L Dec / 18
354th,Tue,973 L Dec / 19,220 L Dec / 19
355th,Wed,973 L Dec / 20,220 L Dec / 20
356th,Thu,973 L Dec / 21,220 L Dec / 21
357th,Fri,973 L Dec / 22,220 L Dec / 22
358th,Sat,973 L Dec / 23,220 L Dec / 23
359th,Sun,973 L Dec / 24,220 L Dec / 24
360th,Mon,973 L Dec / 25,220 L Dec / 25
361st,Tue,973 L Dec / 26,220 L Dec / 26
362nd,Wed     Full,973 L Dec / 27,220 L Dec / 27
363rd,Thu,973 L Dec / 28,220 L Dec / 28
364th,Fri,973 L Dec / 29,220 L Dec / 29
365th,Sat,973 L Dec / 30,220 L Dec / 30
366th,Sun,973 L Dec / 31,220 L Dec / 31
