SOLAR,8220 L,JULIAN AUC,HISTORICAL
1st,Sat,973 L Ianuarius / 1,220 L Jan \ 1
2nd,Sun,973 L Ianuarius / 2,220 L Jan \ 2
3rd,Mon,973 L Ianuarius / 3,220 L Jan \ 3
4th,Tue,973 L Ianuarius / 4,220 L Jan \ 4
5th,Wed,973 L Ianuarius / 5,220 L Jan \ 5
6th,Thu,973 L Ianuarius / 6,220 L Jan \ 6
7th,Fri     Full,973 L Ianuarius / 7,220 L Jan \ 7
8th,Sat,973 L Ianuarius / 8,220 L Jan \ 8
9th,Sun,973 L Ianuarius / 9,220 L Jan \ 9
10th,Mon,973 L Ianuarius / 10,220 L Jan \ 10
11th,Tue,973 L Ianuarius / 11,220 L Jan \ 11
12th,Wed,973 L Ianuarius / 12,220 L Jan \ 12
13th,Thu,973 L Ianuarius / 13,220 L Jan \ 13
14th,Fri,973 L Ianuarius / 14,220 L Jan \ 14
15th,Sat,973 L Ianuarius / 15,220 L Jan \ 15
16th,Sun,973 L Ianuarius / 16,220 L Jan \ 16
17th,Mon,973 L Ianuarius / 17,220 L Jan \ 17
18th,Tue,973 L Ianuarius / 18,220 L Jan \ 18
19th,Wed,973 L Ianuarius / 19,220 L Jan \ 19
20th,Thu,973 L Ianuarius / 20,220 L Jan \ 20
21st,Fri,973 L Ianuarius / 21,220 L Jan \ 21
22nd,Sat,973 L Ianuarius / 22,220 L Jan \ 22
23rd,Sun     New,973 L Ianuarius / 23,220 L Jan \ 23
24th,Mon,973 L Ianuarius / 24,220 L Jan \ 24
25th,Tue,973 L Ianuarius / 25,220 L Jan \ 25
26th,Wed,973 L Ianuarius / 26,220 L Jan \ 26
27th,Thu,973 L Ianuarius / 27,220 L Jan \ 27
28th,Fri,973 L Ianuarius / 28,220 L Jan \ 28
29th,Sat,973 L Ianuarius / 29,220 L Jan \ 29
30th,Sun,973 L Ianuarius / 30,220 L Jan \ 30
31st,Mon,973 L Ianuarius / 31,220 L Jan \ 31
32nd,Tue,973 L Februarius / 1,220 L Feb / 1
33rd,Wed,973 L Februarius / 2,220 L Feb / 2
34th,Thu,973 L Februarius / 3,220 L Feb / 3
35th,Fri,973 L Februarius / 4,220 L Feb / 4
36th,Sat,973 L Februarius / 5,220 L Feb / 5
36th,Sun     Full,973 L Februarius / 6,220 L Feb / 6
38th,Mon,973 L Februarius / 7,220 L Feb / 7
39th,Tue,973 L Februarius / 8,220 L Feb / 8
40th,Wed,973 L Februarius / 9,220 L Feb / 9
41st,Thu,973 L Februarius / 10,220 L Feb / 10
42nd,Fri,973 L Februarius / 11,220 L Feb / 11
43rd,Sat,973 L Februarius / 12,220 L Feb / 12
44th,Sun,973 L Februarius / 13,220 L Feb / 13
45th,Mon,973 L Februarius / 14,220 L Feb / 14
46th,Tue,973 L Februarius / 15,220 L Feb / 15
47th,Wed,973 L Februarius / 16,220 L Feb / 16
48th,Thu,973 L Februarius / 17,220 L Feb / 17
49th,Fri,973 L Februarius / 18,220 L Feb / 18
50th,Sat,973 L Februarius / 19,220 L Feb / 19
51st,Sun,973 L Februarius / 20,220 L Feb / 20
52nd,Mon     New,973 L Februarius / 21,220 L Feb / 21
53rd,Tue,973 L Februarius / 22,220 L Feb / 22
54th,Wed,973 L Februarius / 23,220 L Feb / 23
55th,Thu,973 L Februarius / 24,220 L Feb / 24
56th,Fri,973 L Februarius / 25,220 L Feb / 25
57th,Sat,973 L Februarius / 26,220 L Feb / 26
58th,Sun,973 L Februarius / 27,220 L Feb / 27
59th,Mon,973 L Februarius / 28,220 L Feb / 28
60th,Tue,973 L Februarius / 29,220 L Feb / 29
61st,Wed,973 L Martius / 1,220 L Mar / 1
62nd,Thu,973 L Martius / 2,220 L Mar / 2
63rd,Fri,973 L Martius / 3,220 L Mar / 3
64th,Sat,973 L Martius / 4,220 L Mar / 4
65th,Sun,973 L Martius / 5,220 L Mar / 5
66th,Mon     Full,973 L Martius / 6,220 L Mar / 6
67th,Tue,973 L Martius / 7,220 L Mar / 7
68th,Wed,973 L Martius / 8,220 L Mar / 8
69th,Thu,973 L Martius / 9,220 L Mar / 9
70th,Fri,973 L Martius / 10,220 L Mar / 10
71st,Sat,973 L Martius / 11,220 L Mar / 11
72nd,Sun,973 L Martius / 12,220 L Mar / 12
73rd,Mon,973 L Martius / 13,220 L Mar / 13
74th,Tue,973 L Martius / 14,220 L Mar / 14
75th,Wed,973 L Martius / 15,220 L Mar / 15
76th,Thu,973 L Martius / 16,220 L Mar / 16
77th,Fri,973 L Martius / 17,220 L Mar / 17
78th,Sat,973 L Martius / 18,220 L Mar / 18
79th,Sun,973 L Martius / 19,220 L Mar / 19
80th EQ,Mon,973 L Martius / 20,220 L Mar / 20
81st  X,Tue,973 L Martius / 21,220 L Mar / 21
82nd X,Wed     New,973 L Martius / 22,220 L Mar / 22
83rd  X,Thu,973 L Martius / 23,220 L Mar / 23
84th X,Fri,973 L Martius / 24,220 L Mar / 24
85th X,Sat,973 L Martius / 25,220 L Mar / 25
86th X,Sun,973 L Martius / 26,220 L Mar / 26
87th X,Mon,973 L Martius / 27,220 L Mar / 27
88th X,Tue,973 L Martius / 28,220 L Mar / 28
89th X,Wed,973 L Martius / 29,220 L Mar / 29
90th X,Thu,973 L Martius / 30,220 L Mar / 30
91st X,Fri,973 L Martius / 31,220 L Mar / 31
92nd X,Sat,973 L Aprilis / 1,220 L Apr / 1
93rd X,Sun,973 L Aprilis / 2,220 L Apr / 2
94th X,Mon,973 L Aprilis / 3,220 L Apr / 3
95th X,Tue,973 L Aprilis / 4,220 L Apr / 4
96th X,Wed     Full,973 L Aprilis / 5,220 L Apr / 5
97th X,Thu,973 L Aprilis / 6,220 L Apr / 6
98th X,Fri,973 L Aprilis / 7,220 L Apr / 7
99th X,Sat,973 L Aprilis / 8,220 L Apr / 8
100th X,Sun,973 L Aprilis / 9,220 L Apr / 9
101st X,Mon,973 L Aprilis / 10,220 L Apr / 10
102nd X,Tue,973 L Aprilis / 11,220 L Apr / 11
103rd X,Wed,973 L Aprilis / 12,220 L Apr / 12
104th X,Thu,973 L Aprilis / 13,220 L Apr / 13
105th X,Fri,973 L Aprilis / 14,220 L Apr / 14
106th X,Sat,973 L Aprilis / 15,220 L Apr / 15
107th X,Sun,973 L Aprilis / 16,220 L Apr / 16
108th X,Mon,973 L Aprilis / 17,220 L Apr / 17
109th X,Tue,973 L Aprilis / 18,220 L Apr / 18
110th X,Wed,973 L Aprilis / 19,220 L Apr / 19
111th X,Thu     New,973 L Aprilis / 20,220 L Apr / 20
112th X,Fri,973 L Aprilis / 21,220 L Apr / 21
113th X,Sat,973 L Aprilis / 22,220 L Apr / 22
114th X,Sun,973 L Aprilis / 23,220 L Apr / 23
115th X,Mon,973 L Aprilis / 24,220 L Apr / 24
116th,Tue,973 L Aprilis / 25,220 L Apr / 25
117th,Wed,973 L Aprilis / 26,220 L Apr / 26
118th,Thu,973 L Aprilis / 27,220 L Apr / 27
119th,Fri,973 L Aprilis / 28,220 L Apr / 28
120th,Sat,973 L Aprilis / 29,220 L Apr / 29
121st,Sun,973 L Aprilis / 30,220 L Apr / 30
122nd,Mon,973 L Maius / 1,220 L May / 1
123rd,Tue,973 L Maius / 2,220 L May / 2
124th,Wed,973 L Maius / 3,220 L May / 3
125th,Thu,973 L Maius / 4,220 L May / 4
126th,Fri     Full,973 L Maius / 5,220 L May / 5
127th,Sat,973 L Maius / 6,220 L May / 6
128th,Sun,973 L Maius / 7,220 L May / 7
129th,Mon,973 L Maius / 8,220 L May / 8
130th,Tue,973 L Maius / 9,220 L May / 9
131st,Wed,973 L Maius / 10,220 L May / 10
132nd,Thu,973 L Maius / 11,220 L May / 11
133rd,Fri,973 L Maius / 12,220 L May / 12
134th,Sat,973 L Maius / 13,220 L May / 13
135th,Sun,973 L Maius / 14,220 L May / 14
136th,Mon,973 L Maius / 15,220 L May / 15
137th,Tue,973 L Maius / 16,220 L May / 16
138th,Wed,973 L Maius / 17,220 L May / 17
139th,Thu,973 L Maius / 18,220 L May / 18
140th,Fri     New,973 L Maius / 19,220 L May / 19
141st,Sat,973 L Maius / 20,220 L May / 20
142nd,Sun,973 L Maius / 21,220 L May / 21
143rd,Mon,973 L Maius / 22,220 L May / 22
144th,Tue,973 L Maius / 23,220 L May / 23
145th,Wed,973 L Maius / 24,220 L May / 24
146th,Thu,973 L Maius / 25,220 L May / 25
147th,Fri,973 L Maius / 26,220 L May / 26
148th,Sat,973 L Maius / 27,220 L May / 27
149th,Sun,973 L Maius / 28,220 L May / 28
150th,Mon,973 L Maius / 29,220 L May / 29
151st,Tue,973 L Maius / 30,220 L May / 30
152nd,Wed,973 L Maius / 31,220 L May / 31
153rd,Thu,973 L Iunius / 1,220 L Jun / 1
154th,Fri,973 L Iunius / 2,220 L Jun / 2
155th,Sat     Full,973 L Iunius / 3,220 L Jun / 3
156th,Sun,973 L Iunius / 4,220 L Jun / 4
157th,Mon,973 L Iunius / 5,220 L Jun / 5
158th,Tue,973 L Iunius / 6,220 L Jun / 6
159th,Wed,973 L Iunius / 7,220 L Jun / 7
160th S,Thu,973 L Iunius / 8,220 L Jun / 8
161st,Fri,973 L Iunius / 9,220 L Jun / 9
162nd,Sat,973 L Iunius / 10,220 L Jun / 10
163rd,Sun,973 L Iunius / 11,220 L Jun / 11
164th,Mon,973 L Iunius / 12,220 L Jun / 12
165th,Tue,973 L Iunius / 13,220 L Jun / 13
166th,Wed,973 L Iunius / 14,220 L Jun / 14
167th,Thu,973 L Iunius / 15,220 L Jun / 15
168th,Fri,973 L Iunius / 16,220 L Jun / 16
169th,Sat     New,973 L Iunius / 17,220 L Jun / 17
170th,Sun,973 L Iunius / 18,220 L Jun / 18
171st,Mon,973 L Iunius / 19,220 L Jun / 19
172nd,Tue,973 L Iunius / 20,220 L Jun / 20
173rd,Wed,973 L Iunius / 21,220 L Jun / 21
174th,Thu,973 L Iunius / 22,220 L Jun / 22
175th,Fri,973 L Iunius / 23,220 L Jun / 23
176th,Sat,973 L Iunius / 24,220 L Jun / 24
177th,Sun,973 L Iunius / 25,220 L Jun / 25
178th,Mon,973 L Iunius / 26,220 L Jun / 26
179th,Tue,973 L Iunius / 27,220 L Jun / 27
180th,Wed,973 L Iunius / 28,220 L Jun / 28
181st,Thu,973 L Iunius / 29,220 L Jun / 29
182nd,Fri,973 L Iunius / 30,220 L Jun / 30
183rd,Sat,973 L Iulius / 1,220 L Jul / 1
184th,Sun,973 L Iulius / 2,220 L Jul / 2
185th,Mon     Full,973 L Iulius / 3,220 L Jul / 3
186th,Tue,973 L Iulius / 4,220 L Jul / 4
187th,Wed,973 L Iulius / 5,220 L Jul / 5
188th,Thu,973 L Iulius / 6,220 L Jul / 6
189th,Fri,973 L Iulius / 7,220 L Jul / 7
190th,Sat,973 L Iulius / 8,220 L Jul / 8
191st,Sun,973 L Iulius / 9,220 L Jul / 9
192nd,Mon,973 L Iulius / 10,220 L Jul / 10
