SOLAR,9934,Ezekiel,GREGORIAN 1934
1st,Mon,4884,January 1 st
2nd,Tue,4885,January 2 nd
3rd,Wed,4886,January 3 rd
4th,Thu,4887,January 4 th
5th,Fri,4888,January 5 th
6th,Sat,4889,January 6 th
7th,Sun,4890,January 7 th
8th,Mon,4891,January 8 th
9th,Tue,4892,January 9 th
10th,Wed,4893,January 10 th
11th,Thu,4894,January 11 th
12th,Fri,4895,January 12 th
13th,Sat,4896,January 13 th
14th,Sun,4897,January 14 th
15th,Mon     New,4898,January 15 th
16th,Tue,4899,January 16 th
17th,Wed,4900,January 17 th
18th,Thu,4901,January 18 th
19th,Fri,4902,January 19 th
20th,Sat,4903,January 20 th
21st,Sun,4904,January 21 st
22nd,Mon,4905,January 22 nd
23rd,Tue,4906,January 23 rd
24th,Wed,4907,January 24 th
25th,Thu,4908,January 25 th
26th,Fri,4909,January 26 th
27th,Sat,4910,January 27 th
28th,Sun,4911,January 28 th
29th,Mon,4912,January 29 th
30th,Tue     Full,4913,January 30 th
31st,Wed,4914,January 31 st
32nd,Thu,4915,Febuary 1 st
33rd,Fri,4916,Febuary 2 nd
34th,Sat,4917,Febuary 3 rd
35th,Sun,4918,Febuary 4 th
36th,Mon,4919,Febuary 5 th
36th,Tue,4920,Febuary 6 th
38th,Wed,4921,Febuary 7 th
39th,Thu,4922,Febuary 8 th
40th,Fri,4923,Febuary 9 th
41st,Sat,4924,Febuary 10 th
42nd,Sun,4925,Febuary 11 th
43rd,Mon,4926,Febuary 12 th
44th,Tue,4927,Febuary 13 th
45th,Wed     New,4928,Febuary 14 th
46th,Thu,4929,Febuary 15 th
47th,Fri,4930,Febuary 16 th
48th,Sat,4931,Febuary 17 th
49th,Sun,4932,Febuary 18 th
50th,Mon,4933,Febuary 19 th
51st,Tue,4934,Febuary 20 th
52nd,Wed,4935,Febuary 21 st
53rd,Thu,4936,Febuary 22 nd
54th,Fri,4937,Febuary 23 rd
55th,Sat,4938,Febuary 24 th
56th,Sun,4939,Febuary 25 th
57th,Mon,4940,Febuary 26 th
58th,Tue,4941,Febuary 27 th
59th,Wed,4942,Febuary 28 th
60th,Thu     Full,4943,March 1 st
61st,Fri,4944,March 2 nd
62nd,Sat,4945,March 3 rd
63rd,Sun,4946,March 4 th
64th,Mon,4947,March 5 th
65th,Tue,4948,March 6 th
66th,Wed,4949,March 7 th
67th,Thu,4950,March 8 th
68th,Fri,4951,March 9 th
69th,Sat,4952,March 10 th
70th,Sun,4953,March 11 th
71st,Mon,4954,March 12 th
72nd,Tue,4955,March 13 th
73rd,Wed,4956,March 14 th
74th,Thu     New,4957,March 15 th
75th,Fri,4958,March 16 th
76th,Sat,4959,March 17 th
77th,Sun,4960,March 18 th
78th,Mon,4961,March 19 th
79th,Tue,4962,March 20 th
80th EQ,Wed,4963,March 21 st
81st,Thu,4964,March 22 nd
82nd,Fri,4965,March 23 rd
83rd,Sat,4966,March 24 th
84th,Sun,4967,March 25 th
85th,Mon,4968,March 26 th
86th,Tue,4969,March 27 th
87th,Wed,4970,March 28 th
88th,Thu,4971,March 29 th
89th,Fri,4972,March 30 th
90th,Sat     Full,4973,March 31 st
91st,Sun,4974,April 1 st
92nd,Mon,4975,April 2 nd
93rd,Tue,4976,April 3 rd
94th,Wed,4977,April 4 th
95th,Thu,4978,April 5 th
96th,Fri,4979,April 6 th
97th,Sat,4980,April 7 th
98th,Sun,4981,April 8 th
99th,Mon,4982,April 9 th
100th,Tue,4983,April 10 th
101st,Wed,4984,April 11 th
102nd,Thu,4985,April 12 th
103rd,Fri     New,4986,April 13 th
104th,Sat,4987,April 14 th
105th,Sun,4988,April 15 th
106th,Mon,4989,April 16 th
107th,Tue,4990,April 17 th
108th,Wed,4991,April 18 th
109th,Thu,4992,April 19 th
110th,Fri,4993,April 20 th
111th,Sat,4994,April 21 st
112th,Sun,4995,April 22 nd
113th,Mon,4996,April 23 rd
114th,Tue,4997,April 24 th
115th,Wed,4998,April 25 th
116th,Thu,4999,April 26 th
117th,Fri,5000,April 27 th
118th,Sat,5001,April 28 th
119th,Sun     Full,5002,April 29 th
120th,Mon,5003,April 30 th
121st,Tue,5004,May 1 st
122nd,Wed,5005,May 2 nd
123rd,Thu,5006,May 3 rd
124th,Fri,5007,May 4 th
125th,Sat,5008,May 5 th
126th,Sun,5009,May 6 th
127th,Mon,5010,May 7 th
128th,Tue,5011,May 8 th
129th,Wed,5012,May 9 th
130th,Thu,5013,May 10 th
131st,Fri,5014,May 11 th
132nd,Sat,5015,May 12 th
133rd,Sun     New,5016,May 13 th
134th,Mon,5017,May 14 th
135th,Tue,5018,May 15 th
136th,Wed,5019,May 16 th
137th,Thu,5020,May 17 th
138th,Fri,5021,May 18 th
139th,Sat,5022,May 19 th
140th,Sun,5023,May 20 th
141st,Mon,5024,May 21 st
142nd,Tue,5025,May 22 nd
143rd,Wed,5026,May 23 rd
144th,Thu,5027,May 24 th
145th,Fri,5028,May 25 th
146th,Sat,5029,May 26 th
147th,Sun,5030,May 27 th
148th,Mon     Full,5031,May 28 th
149th,Tue,5032,May 29 th
150th,Wed,5033,May 30 th
151st,Thu,5034,May 31 st
152nd,Fri,5035,June 1 st
153rd,Sat,5036,June 2 nd
154th,Sun,5037,June 3 rd
155th,Mon,5038,June 4 th
156th,Tue,5039,June 5 th
157th,Wed,5040,June 6 th
158th,Thu,5041,June 7 th
159th,Fri,5042,June 8 th
160th S,Sat,5043,June 9 th
161st,Sun,5044,June 10 th
162nd,Mon,5045,June 11 th
163rd,Tue     New,5046,June 12 th
164th,Wed,5047,June 13 th
165th,Thu,5048,June 14 th
166th,Fri,5049,June 15 th
167th,Sat,5050,June 16 th
168th,Sun,5051,June 17 th
169th,Mon,5052,June 18 th
170th,Tue,5053,June 19 th
171st,Wed,5054,June 20 th
172nd,Thu,5055,June 21 st
173rd,Fri,5056,June 22 nd
174th,Sat,5057,June 23 rd
175th,Sun,5058,June 24 th
176th,Mon,5059,June 25 th
177th,Tue,5060,June 26 th
178th,Wed     Full,5061,June 27 th
179th,Thu,5062,June 28 th
180th,Fri,5063,June 29 th
181st,Sat,5064,June 30 th
182nd,Sun,5065,July 1 st
183rd,Mon,5066,July 2 nd
184th,Tue,5067,July 3 rd
185th,Wed,5068,July 4 th
186th,Thu,5069,July 5 th
187th,Fri,5070,July 6 th
188th,Sat,5071,July 7 th
