SOLAR,8212 L,JULIAN AUC,HISTORICAL
162nd,Wed,965 L Iunius / 10,212 L Jun / 10
163rd,Thu,965 L Iunius / 11,212 L Jun / 11
164th,Fri,965 L Iunius / 12,212 L Jun / 12
165th,Sat,965 L Iunius / 13,212 L Jun / 13
166th,Sun,965 L Iunius / 14,212 L Jun / 14
167th,Mon,965 L Iunius / 15,212 L Jun / 15
168th,Tue     New,965 L Iunius / 16,212 L Jun / 16
169th,Wed,965 L Iunius / 17,212 L Jun / 17
170th,Thu,965 L Iunius / 18,212 L Jun / 18
171st,Fri,965 L Iunius / 19,212 L Jun / 19
172nd,Sat,965 L Iunius / 20,212 L Jun / 20
173rd,Sun,965 L Iunius / 21,212 L Jun / 21
174th,Mon,965 L Iunius / 22,212 L Jun / 22
175th,Tue,965 L Iunius / 23,212 L Jun / 23
176th,Wed,965 L Iunius / 24,212 L Jun / 24
177th,Thu,965 L Iunius / 25,212 L Jun / 25
178th,Fri,965 L Iunius / 26,212 L Jun / 26
179th,Sat,965 L Iunius / 27,212 L Jun / 27
180th,Sun,965 L Iunius / 28,212 L Jun / 28
181st,Mon,965 L Iunius / 29,212 L Jun / 29
182nd,Tue,965 L Iunius / 30,212 L Jun / 30
183rd,Wed     Full,965 L Iulius / 1,212 L Jul / 1
184th,Thu,965 L Iulius / 2,212 L Jul / 2
185th,Fri,965 L Iulius / 3,212 L Jul / 3
186th,Sat,965 L Iulius / 4,212 L Jul / 4
187th,Sun,965 L Iulius / 5,212 L Jul / 5
188th,Mon,965 L Iulius / 6,212 L Jul / 6
189th,Tue,965 L Iulius / 7,212 L Jul / 7
190th,Wed,965 L Iulius / 8,212 L Jul / 8
191st,Thu,965 L Iulius / 9,212 L Jul / 9
192nd,Fri,965 L Iulius / 10,212 L Jul / 10
193rd,Sat,965 L Iulius / 11,212 L Jul / 11
194th,Sun,965 L Iulius / 12,212 L Jul / 12
195th,Mon,965 L Iulius / 13,212 L Jul / 13
196th,Tue,965 L Iulius / 14,212 L Jul / 14
197th,Wed     New,965 L Iulius / 15,212 L Jul / 15
198th,Thu,965 L Iulius / 16,212 L Jul / 16
199th,Fri,965 L Iulius / 17,212 L Jul / 17
200th,Sat,965 L Iulius / 18,212 L Jul / 18
201st,Sun,965 L Iulius / 19,212 L Jul / 19
202nd,Mon,965 L Iulius / 20,212 L Jul / 20
203rd,Tue,965 L Iulius / 21,212 L Jul / 21
204th,Wed,965 L Iulius / 22,212 L Jul / 22
205th,Thu,965 L Iulius / 23,212 L Jul / 23
206th,Fri,965 L Iulius / 24,212 L Jul / 24
207th,Sat,965 L Iulius / 25,212 L Jul / 25
208th,Sun,965 L Iulius / 26,212 L Jul / 26
209th,Mon,965 L Iulius / 27,212 L Jul / 27
210th,Tue,965 L Iulius / 28,212 L Jul / 28
211th,Wed,965 L Iulius / 29,212 L Jul / 29
212th,Thu,965 L Iulius / 30,212 L Jul / 30
213th,Fri     Full,965 L Iulius / 31,212 L Jul / 31
214th,Sat,965 L Augustus / 1,212 L Aug / 1
215th,Sun,965 L Augustus / 2,212 L Aug / 2
216th,Mon,965 L Augustus / 3,212 L Aug / 3
217th,Tue,965 L Augustus / 4,212 L Aug / 4
218th,Wed,965 L Augustus / 5,212 L Aug / 5
219th,Thu,965 L Augustus / 6,212 L Aug / 6
220th,Fri,965 L Augustus / 7,212 L Aug / 7
221st,Sat,965 L Augustus / 8,212 L Aug / 8
222nd,Sun,965 L Augustus / 9,212 L Aug / 9
223rd,Mon,965 L Augustus / 10,212 L Aug / 10
224th,Tue,965 L Augustus / 11,212 L Aug / 11
225th,Wed,965 L Augustus / 12,212 L Aug / 12
226th,Thu,965 L Augustus / 13,212 L Aug / 13
227th,Fri     New,965 L Augustus / 14,212 L Aug / 14
228th,Sat,965 L Augustus / 15,212 L Aug / 15
229th,Sun,965 L Augustus / 16,212 L Aug / 16
230th,Mon,965 L Augustus / 17,212 L Aug / 17
231st,Tue,965 L Augustus / 18,212 L Aug / 18
232nd,Wed,965 L Augustus / 19,212 L Aug / 19
233rd,Thu,965 L Augustus / 20,212 L Aug / 20
234th,Fri,965 L Augustus / 21,212 L Aug / 21
235th,Sat,965 L Augustus / 22,212 L Aug / 22
236th,Sun,965 L Augustus / 23,212 L Aug / 23
237th,Mon,965 L Augustus / 24,212 L Aug / 24
238th,Tue,965 L Augustus / 25,212 L Aug / 25
239th,Wed,965 L Augustus / 26,212 L Aug / 26
240th,Thu,965 L Augustus / 27,212 L Aug / 27
241st,Fri,965 L Augustus / 28,212 L Aug / 28
242nd,Sat     Full,965 L Augustus / 29,212 L Aug / 29
243rd,Sun,965 L Augustus / 30,212 L Aug / 30
244th,Mon,965 L Augustus / 31,212 L Aug / 31
245th,Tue,965 L Sep / 1,212 L Sep / 1
246th,Wed,965 L Sep / 2,212 L Sep / 2
247th,Thu,965 L Sep / 3,212 L Sep / 3
248th,Fri,965 L Sep / 4,212 L Sep / 4
249th,Sat,965 L Sep / 5,212 L Sep / 5
250th,Sun,965 L Sep / 6,212 L Sep / 6
251st,Mon,965 L Sep / 7,212 L Sep / 7
252nd,Tue,965 L Sep / 8,212 L Sep / 8
253rd,Wed,965 L Sep / 9,212 L Sep / 9
254th,Thu,965 L Sep / 10,212 L Sep / 10
255th,Fri,965 L Sep / 11,212 L Sep / 11
256th,Sat     New,965 L Sep / 12,212 L Sep / 12
257th,Sun,965 L Sep / 13,212 L Sep / 13
258th,Mon,965 L Sep / 14,212 L Sep / 14
259th,Tue,965 L Sep / 15,212 L Sep / 15
260th,Wed,965 L Sep / 16,212 L Sep / 16
261st,Thu,965 L Sep / 17,212 L Sep / 17
262nd,Fri,965 L Sep / 18,212 L Sep / 18
263rd,Sat,965 L Sep / 19,212 L Sep / 19
264th,Sun,965 L Sep / 20,212 L Sep / 20
265th,Mon,965 L Sep / 21,212 L Sep / 21
266th EQ,Tue,965 L Sep / 22,212 L Sep / 22
267th,Wed,965 L Sep / 23,212 L Sep / 23
268th,Thu,965 L Sep / 24,212 L Sep / 24
269th,Fri,965 L Sep / 25,212 L Sep / 25
270th,Sat,965 L Sep / 26,212 L Sep / 26
271st,Sun,965 L Sep / 27,212 L Sep / 27
272nd,Mon     Full,965 L Sep / 28,212 L Sep / 28
273rd,Tue,965 L Sep / 29,212 L Sep / 29
274th,Wed,965 L Sep / 30,212 L Sep / 30
