SOLAR,8216 L,JULIAN AUC,HISTORICAL
1st,Tue,969 L Ianuarius / 1,216 L Jan \ 1
2nd,Wed,969 L Ianuarius / 2,216 L Jan \ 2
3rd,Thu,969 L Ianuarius / 3,216 L Jan \ 3
4th,Fri,969 L Ianuarius / 4,216 L Jan \ 4
5th,Sat,969 L Ianuarius / 5,216 L Jan \ 5
6th,Sun     New,969 L Ianuarius / 6,216 L Jan \ 6
7th,Mon,969 L Ianuarius / 7,216 L Jan \ 7
8th,Tue,969 L Ianuarius / 8,216 L Jan \ 8
9th,Wed,969 L Ianuarius / 9,216 L Jan \ 9
10th,Thu,969 L Ianuarius / 10,216 L Jan \ 10
11th,Fri,969 L Ianuarius / 11,216 L Jan \ 11
12th,Sat,969 L Ianuarius / 12,216 L Jan \ 12
13th,Sun,969 L Ianuarius / 13,216 L Jan \ 13
14th,Mon,969 L Ianuarius / 14,216 L Jan \ 14
15th,Tue,969 L Ianuarius / 15,216 L Jan \ 15
16th,Wed,969 L Ianuarius / 16,216 L Jan \ 16
17th,Thu,969 L Ianuarius / 17,216 L Jan \ 17
18th,Fri,969 L Ianuarius / 18,216 L Jan \ 18
19th,Sat,969 L Ianuarius / 19,216 L Jan \ 19
20th,Sun,969 L Ianuarius / 20,216 L Jan \ 20
21st,Mon,969 L Ianuarius / 21,216 L Jan \ 21
22nd,Tue     Full,969 L Ianuarius / 22,216 L Jan \ 22
23rd,Wed,969 L Ianuarius / 23,216 L Jan \ 23
24th,Thu,969 L Ianuarius / 24,216 L Jan \ 24
25th,Fri,969 L Ianuarius / 25,216 L Jan \ 25
26th,Sat,969 L Ianuarius / 26,216 L Jan \ 26
27th,Sun,969 L Ianuarius / 27,216 L Jan \ 27
28th,Mon,969 L Ianuarius / 28,216 L Jan \ 28
29th,Tue,969 L Ianuarius / 29,216 L Jan \ 29
30th,Wed,969 L Ianuarius / 30,216 L Jan \ 30
31st,Thu,969 L Ianuarius / 31,216 L Jan \ 31
32nd,Fri,969 L Februarius / 1,216 L Feb / 1
33rd,Sat,969 L Februarius / 2,216 L Feb / 2
34th,Sun,969 L Februarius / 3,216 L Feb / 3
35th,Mon,969 L Februarius / 4,216 L Feb / 4
36th,Tue     New,969 L Februarius / 5,216 L Feb / 5
36th,Wed,969 L Februarius / 6,216 L Feb / 6
38th,Thu,969 L Februarius / 7,216 L Feb / 7
39th,Fri,969 L Februarius / 8,216 L Feb / 8
40th,Sat,969 L Februarius / 9,216 L Feb / 9
41st,Sun,969 L Februarius / 10,216 L Feb / 10
42nd,Mon,969 L Februarius / 11,216 L Feb / 11
43rd,Tue,969 L Februarius / 12,216 L Feb / 12
44th,Wed,969 L Februarius / 13,216 L Feb / 13
45th,Thu,969 L Februarius / 14,216 L Feb / 14
46th,Fri,969 L Februarius / 15,216 L Feb / 15
47th,Sat,969 L Februarius / 16,216 L Feb / 16
48th,Sun,969 L Februarius / 17,216 L Feb / 17
49th,Mon,969 L Februarius / 18,216 L Feb / 18
50th,Tue,969 L Februarius / 19,216 L Feb / 19
51st,Wed    Full,969 L Februarius / 20,216 L Feb / 20
