SOLAR,8216 L,JULIAN AUC,HISTORICAL
52nd,Thu,969 L Februarius / 21,216 L Feb / 21
53rd,Fri,969 L Februarius / 22,216 L Feb / 22
54th,Sat,969 L Februarius / 23,216 L Feb / 23
55th,Sun,969 L Februarius / 24,216 L Feb / 24
56th,Mon,969 L Februarius / 25,216 L Feb / 25
57th,Tue,969 L Februarius / 26,216 L Feb / 26
58th,Wed,969 L Februarius / 27,216 L Feb / 27
59th,Thu,969 L Februarius / 28,216 L Feb / 28
60th,Fri,969 L Februarius / 29,216 L Feb / 29
61st,Sat,969 L Martius / 1,216 L Mar / 1
62nd,Sun,969 L Martius / 2,216 L Mar / 2
63rd,Mon,969 L Martius / 3,216 L Mar / 3
64th,Tue,969 L Martius / 4,216 L Mar / 4
65th,Wed,969 L Martius / 5,216 L Mar / 5
66th,Thu     New,969 L Martius / 6,216 L Mar / 6
67th,Fri,969 L Martius / 7,216 L Mar / 7
68th,Sat,969 L Martius / 8,216 L Mar / 8
69th,Sun,969 L Martius / 9,216 L Mar / 9
70th,Mon,969 L Martius / 10,216 L Mar / 10
71st,Tue,969 L Martius / 11,216 L Mar / 11
72nd,Wed,969 L Martius / 12,216 L Mar / 12
73rd,Thu,969 L Martius / 13,216 L Mar / 13
74th,Fri,969 L Martius / 14,216 L Mar / 14
75th,Sat,969 L Martius / 15,216 L Mar / 15
76th,Sun,969 L Martius / 16,216 L Mar / 16
77th,Mon,969 L Martius / 17,216 L Mar / 17
78th,Tue,969 L Martius / 18,216 L Mar / 18
79th,Wed,969 L Martius / 19,216 L Mar / 19
80th EQ,Thu,969 L Martius / 20,216 L Mar / 20
81st  X,Fri     Full,969 L Martius / 21,216 L Mar / 21
82nd X,Sat,969 L Martius / 22,216 L Mar / 22
83rd  X,Sun,969 L Martius / 23,216 L Mar / 23
84th X,Mon,969 L Martius / 24,216 L Mar / 24
85th X,Tue,969 L Martius / 25,216 L Mar / 25
86th X,Wed,969 L Martius / 26,216 L Mar / 26
87th X,Thu,969 L Martius / 27,216 L Mar / 27
88th X,Fri,969 L Martius / 28,216 L Mar / 28
89th X,Sat,969 L Martius / 29,216 L Mar / 29
90th X,Sun,969 L Martius / 30,216 L Mar / 30
91st X,Mon,969 L Martius / 31,216 L Mar / 31
92nd X,Tue,969 L Aprilis / 1,216 L Apr / 1
93rd X,Wed,969 L Aprilis / 2,216 L Apr / 2
94th X,Thu,969 L Aprilis / 3,216 L Apr / 3
95th X,Fri     New,969 L Aprilis / 4,216 L Apr / 4
96th X,Sat,969 L Aprilis / 5,216 L Apr / 5
97th X,Sun,969 L Aprilis / 6,216 L Apr / 6
98th X,Mon,969 L Aprilis / 7,216 L Apr / 7
99th X,Tue,969 L Aprilis / 8,216 L Apr / 8
100th X,Wed,969 L Aprilis / 9,216 L Apr / 9
101st X,Thu,969 L Aprilis / 10,216 L Apr / 10
102nd X,Fri,969 L Aprilis / 11,216 L Apr / 11
103rd X,Sat,969 L Aprilis / 12,216 L Apr / 12
104th X,Sun,969 L Aprilis / 13,216 L Apr / 13
105th X,Mon,969 L Aprilis / 14,216 L Apr / 14
106th X,Tue,969 L Aprilis / 15,216 L Apr / 15
107th X,Wed,969 L Aprilis / 16,216 L Apr / 16
108th X,Thu,969 L Aprilis / 17,216 L Apr / 17
109th X,Fri,969 L Aprilis / 18,216 L Apr / 18
110th X,Sat     Full,969 L Aprilis / 19,216 L Apr / 19
111th X,Sun,969 L Aprilis / 20,216 L Apr / 20
112th X,Mon,969 L Aprilis / 21,216 L Apr / 21
113th X,Tue,969 L Aprilis / 22,216 L Apr / 22
114th X,Wed,969 L Aprilis / 23,216 L Apr / 23
115th X,Thu,969 L Aprilis / 24,216 L Apr / 24
116th,Fri,969 L Aprilis / 25,216 L Apr / 25
117th,Sat,969 L Aprilis / 26,216 L Apr / 26
118th,Sun,969 L Aprilis / 27,216 L Apr / 27
119th,Mon,969 L Aprilis / 28,216 L Apr / 28
120th,Tue,969 L Aprilis / 29,216 L Apr / 29
121st,Wed,969 L Aprilis / 30,216 L Apr / 30
122nd,Thu,969 L Maius / 1,216 L May / 1
123rd,Fri,969 L Maius / 2,216 L May / 2
124th,Sat,969 L Maius / 3,216 L May / 3
125th,Sun     New,969 L Maius / 4,216 L May / 4
126th,Mon,969 L Maius / 5,216 L May / 5
127th,Tue,969 L Maius / 6,216 L May / 6
128th,Wed,969 L Maius / 7,216 L May / 7
129th,Thu,969 L Maius / 8,216 L May / 8
130th,Fri,969 L Maius / 9,216 L May / 9
131st,Sat,969 L Maius / 10,216 L May / 10
132nd,Sun,969 L Maius / 11,216 L May / 11
133rd,Mon,969 L Maius / 12,216 L May / 12
134th,Tue,969 L Maius / 13,216 L May / 13
135th,Wed,969 L Maius / 14,216 L May / 14
136th,Thu,969 L Maius / 15,216 L May / 15
137th,Fri,969 L Maius / 16,216 L May / 16
138th,Sat,969 L Maius / 17,216 L May / 17
139th,Sun     Full,969 L Maius / 18,216 L May / 18
140th,Mon,969 L Maius / 19,216 L May / 19
141st,Tue,969 L Maius / 20,216 L May / 20
142nd,Wed,969 L Maius / 21,216 L May / 21
143rd,Thu,969 L Maius / 22,216 L May / 22
144th,Fri,969 L Maius / 23,216 L May / 23
145th,Sat,969 L Maius / 24,216 L May / 24
146th,Sun,969 L Maius / 25,216 L May / 25
147th,Mon,969 L Maius / 26,216 L May / 26
148th,Tue,969 L Maius / 27,216 L May / 27
149th,Wed,969 L Maius / 28,216 L May / 28
150th,Thu,969 L Maius / 29,216 L May / 29
151st,Fri,969 L Maius / 30,216 L May / 30
152nd,Sat,969 L Maius / 31,216 L May / 31
153rd,Sun,969 L Iunius / 1,216 L Jun / 1
154th,Mon     New,969 L Iunius / 2,216 L Jun / 2
155th,Tue,969 L Iunius / 3,216 L Jun / 3
156th,Wed,969 L Iunius / 4,216 L Jun / 4
157th,Thu,969 L Iunius / 5,216 L Jun / 5
158th,Fri,969 L Iunius / 6,216 L Jun / 6
159th,Sat,969 L Iunius / 7,216 L Jun / 7
160th S,Sun,969 L Iunius / 8,216 L Jun / 8
161st,Mon,969 L Iunius / 9,216 L Jun / 9
162nd,Tue,969 L Iunius / 10,216 L Jun / 10
163rd,Wed,969 L Iunius / 11,216 L Jun / 11
164th,Thu,969 L Iunius / 12,216 L Jun / 12
165th,Fri,969 L Iunius / 13,216 L Jun / 13
166th,Sat,969 L Iunius / 14,216 L Jun / 14
167th,Sun,969 L Iunius / 15,216 L Jun / 15
168th,Mon,969 L Iunius / 16,216 L Jun / 16
169th,Tue     Full,969 L Iunius / 17,216 L Jun / 17
170th,Wed,969 L Iunius / 18,216 L Jun / 18
171st,Thu,969 L Iunius / 19,216 L Jun / 19
172nd,Fri,969 L Iunius / 20,216 L Jun / 20
173rd,Sat,969 L Iunius / 21,216 L Jun / 21
174th,Sun,969 L Iunius / 22,216 L Jun / 22
175th,Mon,969 L Iunius / 23,216 L Jun / 23
176th,Tue,969 L Iunius / 24,216 L Jun / 24
177th,Wed,969 L Iunius / 25,216 L Jun / 25
178th,Thu,969 L Iunius / 26,216 L Jun / 26
179th,Fri,969 L Iunius / 27,216 L Jun / 27
180th,Sat,969 L Iunius / 28,216 L Jun / 28
181st,Sun,969 L Iunius / 29,216 L Jun / 29
182nd,Mon,969 L Iunius / 30,216 L Jun / 30
183rd,Tue,969 L Iulius / 1,216 L Jul / 1
184th,Wed     New,969 L Iulius / 2,216 L Jul / 2
185th,Thu,969 L Iulius / 3,216 L Jul / 3
186th,Fri,969 L Iulius / 4,216 L Jul / 4
187th,Sat,969 L Iulius / 5,216 L Jul / 5
188th,Sun,969 L Iulius / 6,216 L Jul / 6
189th,Mon,969 L Iulius / 7,216 L Jul / 7
190th,Tue,969 L Iulius / 8,216 L Jul / 8
191st,Wed,969 L Iulius / 9,216 L Jul / 9
192nd,Thu,969 L Iulius / 10,216 L Jul / 10
193rd,Fri,969 L Iulius / 11,216 L Jul / 11
194th,Sat,969 L Iulius / 12,216 L Jul / 12
195th,Sun,969 L Iulius / 13,216 L Jul / 13
196th,Mon,969 L Iulius / 14,216 L Jul / 14
197th,Tue,969 L Iulius / 15,216 L Jul / 15
198th,Wed     Full,969 L Iulius / 16,216 L Jul / 16
199th,Thu,969 L Iulius / 17,216 L Jul / 17
200th,Fri,969 L Iulius / 18,216 L Jul / 18
201st,Sat,969 L Iulius / 19,216 L Jul / 19
202nd,Sun,969 L Iulius / 20,216 L Jul / 20
203rd,Mon,969 L Iulius / 21,216 L Jul / 21
204th,Tue,969 L Iulius / 22,216 L Jul / 22
205th,Wed,969 L Iulius / 23,216 L Jul / 23
206th,Thu,969 L Iulius / 24,216 L Jul / 24
207th,Fri,969 L Iulius / 25,216 L Jul / 25
208th,Sat,969 L Iulius / 26,216 L Jul / 26
209th,Sun,969 L Iulius / 27,216 L Jul / 27
210th,Mon,969 L Iulius / 28,216 L Jul / 28
211th,Tue,969 L Iulius / 29,216 L Jul / 29
212th,Wed,969 L Iulius / 30,216 L Jul / 30
213th,Thu,969 L Iulius / 31,216 L Jul / 31
214th,Fri     New,969 L Augustus / 1,216 L Aug / 1
215th,Sat,969 L Augustus / 2,216 L Aug / 2
216th,Sun,969 L Augustus / 3,216 L Aug / 3
217th,Mon,969 L Augustus / 4,216 L Aug / 4
218th,Tue,969 L Augustus / 5,216 L Aug / 5
219th,Wed,969 L Augustus / 6,216 L Aug / 6
220th,Thu,969 L Augustus / 7,216 L Aug / 7
221st,Fri,969 L Augustus / 8,216 L Aug / 8
222nd,Sat,969 L Augustus / 9,216 L Aug / 9
223rd,Sun,969 L Augustus / 10,216 L Aug / 10
224th,Mon,969 L Augustus / 11,216 L Aug / 11
225th,Tue,969 L Augustus / 12,216 L Aug / 12
226th,Wed,969 L Augustus / 13,216 L Aug / 13
227th,Thu,969 L Augustus / 14,216 L Aug / 14
228th,Fri     Full,969 L Augustus / 15,216 L Aug / 15
229th,Sat,969 L Augustus / 16,216 L Aug / 16
230th,Sun,969 L Augustus / 17,216 L Aug / 17
231st,Mon,969 L Augustus / 18,216 L Aug / 18
232nd,Tue,969 L Augustus / 19,216 L Aug / 19
233rd,Wed,969 L Augustus / 20,216 L Aug / 20
234th,Thu,969 L Augustus / 21,216 L Aug / 21
235th,Fri,969 L Augustus / 22,216 L Aug / 22
236th,Sat,969 L Augustus / 23,216 L Aug / 23
237th,Sun,969 L Augustus / 24,216 L Aug / 24
238th,Mon,969 L Augustus / 25,216 L Aug / 25
239th,Tue,969 L Augustus / 26,216 L Aug / 26
240th,Wed,969 L Augustus / 27,216 L Aug / 27
241st,Thu,969 L Augustus / 28,216 L Aug / 28
242nd,Fri,969 L Augustus / 29,216 L Aug / 29
243rd,Sat     New,969 L Augustus / 30,216 L Aug / 30
244th,Sun,969 L Augustus / 31,216 L Aug / 31
245th,Mon,969 L Sep / 1,216 L Sep / 1
246th,Tue,969 L Sep / 2,216 L Sep / 2
247th,Wed,969 L Sep / 3,216 L Sep / 3
248th,Thu,969 L Sep / 4,216 L Sep / 4
249th,Fri,969 L Sep / 5,216 L Sep / 5
250th,Sat,969 L Sep / 6,216 L Sep / 6
251st,Sun,969 L Sep / 7,216 L Sep / 7
252nd,Mon,969 L Sep / 8,216 L Sep / 8
253rd,Tue,969 L Sep / 9,216 L Sep / 9
254th,Wed,969 L Sep / 10,216 L Sep / 10
255th,Thu,969 L Sep / 11,216 L Sep / 11
256th,Fri,969 L Sep / 12,216 L Sep / 12
257th,Sat     Full,969 L Sep / 13,216 L Sep / 13
258th,Sun,969 L Sep / 14,216 L Sep / 14
259th,Mon,969 L Sep / 15,216 L Sep / 15
260th,Tue,969 L Sep / 16,216 L Sep / 16
261st,Wed,969 L Sep / 17,216 L Sep / 17
262nd,Thu,969 L Sep / 18,216 L Sep / 18
263rd,Fri,969 L Sep / 19,216 L Sep / 19
264th,Sat,969 L Sep / 20,216 L Sep / 20
265th,Sun,969 L Sep / 21,216 L Sep / 21
266th EQ,Mon,969 L Sep / 22,216 L Sep / 22
267th,Tue,969 L Sep / 23,216 L Sep / 23
268th,Wed,969 L Sep / 24,216 L Sep / 24
269th,Thu,969 L Sep / 25,216 L Sep / 25
270th,Fri,969 L Sep / 26,216 L Sep / 26
271st,Sat,969 L Sep / 27,216 L Sep / 27
272nd,Sun,969 L Sep / 28,216 L Sep / 28
273rd,Mon     New,969 L Sep / 29,216 L Sep / 29
274th,Tue,969 L Sep / 30,216 L Sep / 30
275th,Wed,969 L Oct / 1,216 L Oct / 1
276th,Thu,969 L Oct / 2,216 L Oct / 2
277th,Fri,969 L Oct / 3,216 L Oct / 3
278th,Sat,969 L Oct / 4,216 L Oct / 4
279th,Sun,969 L Oct / 5,216 L Oct / 5
280th,Mon,969 L Oct / 6,216 L Oct / 6
281st,Tue,969 L Oct / 7,216 L Oct / 7
282nd,Wed,969 L Oct / 8,216 L Oct / 8
283rd,Thu,969 L Oct / 9,216 L Oct / 9
284th,Fri,969 L Oct / 10,216 L Oct / 10
285th,Sat,969 L Oct / 11,216 L Oct / 11
286th,Sun,969 L Oct / 12,216 L Oct / 12
287th,Mon     Full,969 L Oct / 13,216 L Oct / 13
288th,Tue,969 L Oct / 14,216 L Oct / 14
289th,Wed,969 L Oct / 15,216 L Oct / 15
290th,Thu,969 L Oct / 16,216 L Oct / 16
291st,Fri,969 L Oct / 17,216 L Oct / 17
292nd,Sat,969 L Oct / 18,216 L Oct / 18
293rd,Sun,969 L Oct / 19,216 L Oct / 19
294th,Mon,969 L Oct / 20,216 L Oct / 20
295th,Tue,969 L Oct / 21,216 L Oct / 21
296th,Wed,969 L Oct / 22,216 L Oct / 22
297th,Thu,969 L Oct / 23,216 L Oct / 23
298th,Fri,969 L Oct / 24,216 L Oct / 24
299th,Sat,969 L Oct / 25,216 L Oct / 25
300th,Sun,969 L Oct / 26,216 L Oct / 26
301st,Mon,969 L Oct / 27,216 L Oct / 27
302nd,Tue     New,969 L Oct / 28,216 L Oct / 28
303rd,Wed,969 L Oct / 29,216 L Oct / 29
304th,Thu,969 L Oct / 30,216 L Oct / 30
305th,Fri,969 L Oct / 31,216 L Oct / 31
306th,Sat,969 L Nov / 1,216 L Nov / 1
307th,Sun,969 L Nov / 2,216 L Nov / 2
308th,Mon,969 L Nov / 3,216 L Nov / 3
309th,Tue,969 L Nov / 4,216 L Nov / 4
310th,Wed,969 L Nov / 5,216 L Nov / 5
311th,Thu,969 L Nov / 6,216 L Nov / 6
312th,Fri,969 L Nov / 7,216 L Nov / 7
313th,Sat,969 L Nov / 8,216 L Nov / 8
314th,Sun,969 L Nov / 9,216 L Nov / 9
315th,Mon,969 L Nov / 10,216 L Nov / 10
316th,Tue     Full,969 L Nov / 11,216 L Nov / 11
317th,Wed,969 L Nov / 12,216 L Nov / 12
318th,Thu,969 L Nov / 13,216 L Nov / 13
319th,Fri,969 L Nov / 14,216 L Nov / 14
320th,Sat,969 L Nov / 15,216 L Nov / 15
321st,Sun,969 L Nov / 16,216 L Nov / 16
322nd,Mon,969 L Nov / 17,216 L Nov / 17
323rd,Tue,969 L Nov / 18,216 L Nov / 18
324th,Wed,969 L Nov / 19,216 L Nov / 19
325th,Thu,969 L Nov / 20,216 L Nov / 20
326th,Fri,969 L Nov / 21,216 L Nov / 21
327th,Sat,969 L Nov / 22,216 L Nov / 22
328th,Sun,969 L Nov / 23,216 L Nov / 23
329th,Mon,969 L Nov / 24,216 L Nov / 24
330th,Tue,969 L Nov / 25,216 L Nov / 25
331st,Wed     New,969 L Nov / 26,216 L Nov / 26
332nd,Thu,969 L Nov / 27,216 L Nov / 27
333rd,Fri,969 L Nov / 28,216 L Nov / 28
334th,Sat,969 L Nov / 29,216 L Nov / 29
335th,Sun,969 L Nov / 30,216 L Nov / 30
336th,Mon,969 L Dec / 1,216 L Dec / 1
337th,Tue,969 L Dec / 2,216 L Dec / 2
338th,Wed,969 L Dec / 3,216 L Dec / 3
339th,Thu,969 L Dec / 4,216 L Dec / 4
340th,Fri,969 L Dec / 5,216 L Dec / 5
341st,Sat,969 L Dec / 6,216 L Dec / 6
342nd,Sun,969 L Dec / 7,216 L Dec / 7
343rd,Mon,969 L Dec / 8,216 L Dec / 8
344th,Tue,969 L Dec / 9,216 L Dec / 9
345th,Wed,969 L Dec / 10,216 L Dec / 10
346th,Thu     Full,969 L Dec / 11,216 L Dec / 11
347th,Fri,969 L Dec / 12,216 L Dec / 12
348th,Sat,969 L Dec / 13,216 L Dec / 13
349th,Sun,969 L Dec / 14,216 L Dec / 14
350th,Mon,969 L Dec / 15,216 L Dec / 15
351st,Tue,969 L Dec / 16,216 L Dec / 16
352nd,Wed,969 L Dec / 17,216 L Dec / 17
353rd,Thu,969 L Dec / 18,216 L Dec / 18
354th,Fri,969 L Dec / 19,216 L Dec / 19
355th,Sat,969 L Dec / 20,216 L Dec / 20
356th,Sun,969 L Dec / 21,216 L Dec / 21
357th,Mon,969 L Dec / 22,216 L Dec / 22
358th,Tue,969 L Dec / 23,216 L Dec / 23
359th,Wed,969 L Dec / 24,216 L Dec / 24
360th,Thu,969 L Dec / 25,216 L Dec / 25
361st,Fri     New,969 L Dec / 26,216 L Dec / 26
362nd,Sat,969 L Dec / 27,216 L Dec / 27
363rd,Sun,969 L Dec / 28,216 L Dec / 28
364th,Mon,969 L Dec / 29,216 L Dec / 29
365th,Tue,969 L Dec / 30,216 L Dec / 30
366th,Wed,969 L Dec / 31,216 L Dec / 31
