SOLAR,7400,Exile,HISTORICAL
1st,Wed,Exile year 5 day 190,601 L Jan \ 8
2nd,Thu,Exile year 5 day 191,601 L Jan \ 9
3rd,Fri,Exile year 5 day 192,601 L Jan \ 10
4th,Sat,Exile year 5 day 193,601 L Jan \ 11
5th,Sun,Exile year 5 day 194,601 L Jan \ 12
6th,Mon     Full,Exile year 5 day 195,601 L Jan \ 13
7th,Tue,Exile year 5 day 196,601 L Jan \ 14
8th,Wed,Exile year 5 day 197,601 L Jan \ 15
9th,Thu,Exile year 5 day 198,601 L Jan \ 16
10th,Fri,Exile year 5 day 199,601 L Jan \ 17
11th,Sat,Exile year 5 day 200,601 L Jan \ 18
12th,Sun,Exile year 5 day 201,601 L Jan \ 19
13th,Mon,Exile year 5 day 202,601 L Jan \ 20
14th,Tue,Exile year 5 day 203,601 L Jan \ 21
15th,Wed,Exile year 5 day 204,601 L Jan \ 22
16th,Thu,Exile year 5 day 205,601 L Jan \ 23
17th,Fri,Exile year 5 day 206,601 L Jan \ 24
18th,Sat,Exile year 5 day 207,601 L Jan \ 25
19th,Sun,Exile year 5 day 208,601 L Jan \ 26
20th,Mon,Exile year 5 day 209,601 L Jan \ 27
21st,Tue     New,Exile year 5 day 210,601 L Jan \ 28
22nd,Wed,Exile year 5 day 211,601 L Jan \ 29
23rd,Thu,Exile year 5 day 212,601 L Jan \ 30
24th,Fri,Exile year 5 day 213,601 L Jan \ 31
25th,Sat,Exile year 5 day 214,601 L Feb \ 1
26th,Sun,Exile year 5 day 215,601 L Feb \ 2
27th,Mon,Exile year 5 day 216,601 L Feb \ 3
28th,Tue,Exile year 5 day 217,601 L Feb \ 4
29th,Wed,Exile year 5 day 218,601 L Feb \ 5
30th,Thu,Exile year 5 day 219,601 L Feb \ 6
31st,Fri,Exile year 5 day 220,601 L Feb \ 7
32nd,Sat,Exile year 5 day 221,601 L Feb \ 8
33rd,Sun,Exile year 5 day 222,601 L Feb \ 9
34th,Mon,Exile year 5 day 223,601 L Feb \ 10
35th,Tue,Exile year 5 day 224,601 L Feb \ 11
36th,Wed     Full,Exile year 5 day 225,601 L Feb \ 12
36th,Thu,Exile year 5 day 226,601 L Feb \ 13
38th,Fri,Exile year 5 day 227,601 L Feb \ 14
39th,Sat,Exile year 5 day 228,601 L Feb \ 15
40th,Sun,Exile year 5 day 229,601 L Feb \ 16
41st,Mon,Exile year 5 day 230,601 L Feb \ 17
42nd,Tue,Exile year 5 day 231,601 L Feb \ 18
43rd,Wed,Exile year 5 day 232,601 L Feb \ 19
44th,Thu,Exile year 5 day 233,601 L Feb \ 20
45th,Fri,Exile year 5 day 234,601 L Feb \ 21
46th,Sat,Exile year 5 day 235,601 L Feb \ 22
47th,Sun,Exile year 5 day 236,601 L Feb \ 23
48th,Mon,Exile year 5 day 237,601 L Feb \ 24
49th,Tue,Exile year 5 day 238,601 L Feb \ 25
50th,Wed,Exile year 5 day 239,601 L Feb \ 26
51st,Thu     New,Exile year 5 day 240,601 L Feb \ 27
52nd,Fri,Exile year 5 day 241,601 L Feb \ 28
53rd,Sat,Exile year 5 day 242,601 L Feb \ 29
54th,Sun,Exile year 5 day 243,601 L Mar \ 1
55th,Mon,Exile year 5 day 244,601 L Mar \ 2
56th,Tue,Exile year 5 day 245,601 L Mar \ 3
57th,Wed,Exile year 5 day 246,601 L Mar \ 4
58th,Thu,Exile year 5 day 247,601 L Mar \ 5
59th X,Fri,Exile year 5 day 248,601 L Mar \ 6
60th X,Sat,Exile year 5 day 249,601 L Mar \ 7
61st X,Sun,Exile year 5 day 250,601 L Mar \ 8
62nd X,Mon,Exile year 5 day 251,601 L Mar \ 9
63rd X,Tue,Exile year 5 day 252,601 L Mar \ 10
64th X,Wed,Exile year 5 day 253,601 L Mar \ 11
65th X,Thu     Full,Exile year 5 day 254,601 L Mar \ 12
66th X,Fri,Exile year 5 day 255,601 L Mar \ 13
67th X,Sat,Exile year 5 day 256,601 L Mar \ 14
68th X,Sun,Exile year 5 day 257,601 L Mar \ 15
69th X,Mon,Exile year 5 day 258,601 L Mar \ 16
70th X,Tue,Exile year 5 day 259,601 L Mar \ 17
71st X,Wed,Exile year 5 day 260,601 L Mar \ 18
72nd X,Thu,Exile year 5 day 261,601 L Mar \ 19
73rd X,Fri,Exile year 5 day 262,601 L Mar \ 20
74th X,Sat,Exile year 5 day 263,601 L Mar \ 21
75th X,Sun,Exile year 5 day 264,601 L Mar \ 22
76th X,Mon,Exile year 5 day 265,601 L Mar \ 23
