SOLAR,7400,Exile,HISTORICAL
77th X,Tue,Exile year 5 day 266,601 L Mar \ 24
78th X,Wed,Exile year 5 day 267,601 L Mar \ 25
79th X,Thu,Exile year 5 day 268,601 L Mar \ 26
80th EQ,Fri     New,Exile year 5 day 269,601 L Mar \ 27
81st  X,Sat,Exile year 5 day 270,601 L Mar \ 28
82nd X,Sun,Exile year 5 day 271,601 L Mar \ 29
83rd  X,Mon,Exile year 5 day 272,601 L Mar \ 30
84th X,Tue,Exile year 5 day 273,601 L Mar \ 31
85th X,Wed,Exile year 5 day 274,601 L Apr \ 1
86th X,Thu,Exile year 5 day 275,601 L Apr \ 2
87th X,Fri,Exile year 5 day 276,601 L Apr \ 3
88th X,Sat,Exile year 5 day 277,601 L Apr \ 4
89th X,Sun,Exile year 5 day 278,601 L Apr \ 5
90th X,Mon,Exile year 5 day 279,601 L Apr \ 6
91st X,Tue,Exile year 5 day 280,601 L Apr \ 7
92nd X,Wed,Exile year 5 day 281,601 L Apr \ 8
93rd X,Thu,Exile year 5 day 282,601 L Apr \ 9
94th X,Fri     Full,Exile year 5 day 283,601 L Apr \ 10
95th X,Sat,Exile year 5 day 284,601 L Apr \ 11
96th X,Sun,Exile year 5 day 285,601 L Apr \ 12
97th X,Mon,Exile year 5 day 286,601 L Apr \ 13
98th X,Tue,Exile year 5 day 287,601 L Apr \ 14
99th X,Wed,Exile year 5 day 288,601 L Apr \ 15
100th X,Thu,Exile year 5 day 289,601 L Apr \ 16
101st X,Fri,Exile year 5 day 290,601 L Apr \ 17
102nd X,Sat,Exile year 5 day 291,601 L Apr \ 18
103rd X,Sun,Exile year 5 day 292,601 L Apr \ 19
104th X,Mon,Exile year 5 day 293,601 L Apr \ 20
105th X,Tue,Exile year 5 day 294,601 L Apr \ 21
106th X,Wed,Exile year 5 day 295,601 L Apr \ 22
107th X,Thu,Exile year 5 day 296,601 L Apr \ 23
108th X,Fri,Exile year 5 day 297,601 L Apr \ 24
109th X,Sat,Exile year 5 day 298,601 L Apr \ 25
110th X,Sun     New,Exile year 5 day 299,601 L Apr \ 26
111th X,Mon,Exile year 5 day 300,601 L Apr \ 27
112th X,Tue,Exile year 5 day 301,601 L Apr \ 28
113th X,Wed,Exile year 5 day 302,601 L Apr \ 29
114th X,Thu,Exile year 5 day 303,601 L Apr \ 30
115th X,Fri,Exile year 5 day 304,601 L May \ 1
116th,Sat,Exile year 5 day 305,601 L May \ 2
117th,Sun,Exile year 5 day 306,601 L May \ 3
118th,Mon,Exile year 5 day 307,601 L May \ 4
119th,Tue,Exile year 5 day 308,601 L May \ 5
120th,Wed,Exile year 5 day 309,601 L May \ 6
121st,Thu,Exile year 5 day 310,601 L May \ 7
122nd,Fri,Exile year 5 day 311,601 L May \ 8
123rd,Sat,Exile year 5 day 312,601 L May \ 9
124th,Sun     Full,Exile year 5 day 313,601 L May \ 10
125th,Mon,Exile year 5 day 314,601 L May \ 11
126th,Tue,Exile year 5 day 315,601 L May \ 12
127th,Wed,Exile year 5 day 316,601 L May \ 13
128th,Thu,Exile year 5 day 317,601 L May \ 14
129th,Fri,Exile year 5 day 318,601 L May \ 15
130th,Sat,Exile year 5 day 319,601 L May \ 16
131st,Sun,Exile year 5 day 320,601 L May \ 17
132nd,Mon,Exile year 5 day 321,601 L May \ 18
133rd,Tue,Exile year 5 day 322,601 L May \ 19
134th,Wed,Exile year 5 day 323,601 L May \ 20
135th,Thu,Exile year 5 day 324,601 L May \ 21
136th,Fri,Exile year 5 day 325,601 L May \ 22
137th,Sat,Exile year 5 day 326,601 L May \ 23
138th,Sun,Exile year 5 day 327,601 L May \ 24
139th,Mon     New,Exile year 5 day 328,601 L May \ 25
140th,Tue,Exile year 5 day 329,601 L May \ 26
141st,Wed,Exile year 5 day 330,601 L May \ 27
142nd,Thu,Exile year 5 day 331,601 L May \ 28
143rd,Fri,Exile year 5 day 332,601 L May \ 29
144th,Sat,Exile year 5 day 333,601 L May \ 30
145th,Sun,Exile year 5 day 334,601 L May \ 31
146th,Mon,Exile year 5 day 335,601 L Jun / 1
147th,Tue,Exile year 5 day 336,601 L Jun / 2
148th,Wed,Exile year 5 day 337,601 L Jun / 3
149th,Thu,Exile year 5 day 338,601 L Jun / 4
150th,Fri,Exile year 5 day 339,601 L Jun / 5
151st,Sat,Exile year 5 day 340,601 L Jun / 6
152nd,Sun,Exile year 5 day 341,601 L Jun / 7
153rd,Mon     Full,Exile year 5 day 342,601 L Jun / 8
154th,Tue,Exile year 5 day 343,601 L Jun / 9
155th,Wed,Exile year 5 day 344,601 L Jun / 10
156th,Thu,Exile year 5 day 345,601 L Jun / 11
157th,Fri,Exile year 5 day 346,601 L Jun / 12
158th,Sat,Exile year 5 day 347,601 L Jun / 13
159th,Sun,Exile year 5 day 348,601 L Jun / 14
160th S,Mon,Exile year 5 day 349,601 L Jun / 15
161st,Tue,Exile year 5 day 350,601 L Jun / 16
162nd,Wed,Exile year 5 day 351,601 L Jun / 17
163rd,Thu,Exile year 5 day 352,601 L Jun / 18
164th,Fri,Exile year 5 day 353,601 L Jun / 19
165th,Sat,Exile year 5 day 354,601 L Jun / 20
166th,Sun,Exile year 5 day 355,601 L Jun / 21
167th,Mon,Exile year 5 day 356,601 L Jun / 22
168th,Tue,Exile year 5 day 357,601 L Jun / 23
169th,Wed     New,Exile year 5 day 358,601 L Jun / 24
170th,Thu,Exile year 5 day 359,601 L Jun / 25
171st,Fri,Exile year 5 day 360,601 L Jun / 26
172nd,Sat,Exile year 6 day 1,601 L Jun / 27
173rd,Sun,Exile year 6 day 2,601 L Jun / 28
174th,Mon,Exile year 6 day 3,601 L Jun / 29
175th,Tue,Exile year 6 day 4,601 L Jun / 30
176th,Wed,Exile year 6 day 5,601 L Jul / 1
177th,Thu,Exile year 6 day 6,601 L Jul / 2
178th,Fri,Exile year 6 day 7,601 L Jul / 3
179th,Sat,Exile year 6 day 8,601 L Jul / 4
180th,Sun,Exile year 6 day 9,601 L Jul / 5
181st,Mon,Exile year 6 day 10,601 L Jul / 6
182nd,Tue,Exile year 6 day 11,601 L Jul / 7
183rd,Wed     Full,Exile year 6 day 12,601 L Jul / 8
184th,Thu,Exile year 6 day 13,601 L Jul / 9
185th,Fri,Exile year 6 day 14,601 L Jul / 10
186th,Sat,Exile year 6 day 15,601 L Jul / 11
187th,Sun,Exile year 6 day 16,601 L Jul / 12
188th,Mon,Exile year 6 day 17,601 L Jul / 13
189th,Tue,Exile year 6 day 18,601 L Jul / 14
190th,Wed,Exile year 6 day 19,601 L Jul / 15
191st,Thu,Exile year 6 day 20,601 L Jul / 16
192nd,Fri,Exile year 6 day 21,601 L Jul / 17
193rd,Sat,Exile year 6 day 22,601 L Jul / 18
194th,Sun,Exile year 6 day 23,601 L Jul / 19
195th,Mon,Exile year 6 day 24,601 L Jul / 20
196th,Tue,Exile year 6 day 25,601 L Jul / 21
197th,Wed,Exile year 6 day 26,601 L Jul / 22
198th,Thu     New,Exile year 6 day 27,601 L Jul / 23
199th,Fri,Exile year 6 day 28,601 L Jul / 24
200th,Sat,Exile year 6 day 29,601 L Jul / 25
201st,Sun,Exile year 6 day 30,601 L Jul / 26
202nd,Mon,Exile year 6 day 31,601 L Jul / 27
203rd,Tue,Exile year 6 day 32,601 L Jul / 28
204th,Wed,Exile year 6 day 33,601 L Jul / 29
205th,Thu,Exile year 6 day 34,601 L Jul / 30
206th,Fri,Exile year 6 day 35,601 L Jul / 31
207th,Sat,Exile year 6 day 36,601 L Aug / 1
208th,Sun,Exile year 6 day 37,601 L Aug / 2
209th,Mon,Exile year 6 day 38,601 L Aug / 3
210th,Tue,Exile year 6 day 39,601 L Aug / 4
211th,Wed,Exile year 6 day 40,601 L Aug / 5
212th,Thu     Full,Exile year 6 day 41,601 L Aug / 6
213th,Fri,Exile year 6 day 42,601 L Aug / 7
214th,Sat,Exile year 6 day 43,601 L Aug / 8
215th,Sun,Exile year 6 day 44,601 L Aug / 9
216th,Mon,Exile year 6 day 45,601 L Aug / 10
217th,Tue,Exile year 6 day 46,601 L Aug / 11
218th,Wed,Exile year 6 day 47,601 L Aug / 12
219th,Thu,Exile year 6 day 48,601 L Aug / 13
220th,Fri,Exile year 6 day 49,601 L Aug / 14
221st,Sat,Exile year 6 day 50,601 L Aug / 15
222nd,Sun,Exile year 6 day 51,601 L Aug / 16
223rd,Mon,Exile year 6 day 52,601 L Aug / 17
224th,Tue,Exile year 6 day 53,601 L Aug / 18
225th,Wed,Exile year 6 day 54,601 L Aug / 19
226th,Thu,Exile year 6 day 55,601 L Aug / 20
227th,Fri     New,Exile year 6 day 56,601 L Aug / 21
228th,Sat,Exile year 6 day 57,601 L Aug / 22
229th,Sun,Exile year 6 day 58,601 L Aug / 23
230th,Mon,Exile year 6 day 59,601 L Aug / 24
231st,Tue,Exile year 6 day 60,601 L Aug / 25
232nd,Wed,Exile year 6 day 61,601 L Aug / 26
233rd,Thu,Exile year 6 day 62,601 L Aug / 27
234th,Fri,Exile year 6 day 63,601 L Aug / 28
235th,Sat,Exile year 6 day 64,601 L Aug / 29
236th,Sun,Exile year 6 day 65,601 L Aug / 30
237th,Mon,Exile year 6 day 66,601 L Aug / 31
238th,Tue,Exile year 6 day 67,601 L Sep / 1
239th,Wed,Exile year 6 day 68,601 L Sep / 2
240th,Thu,Exile year 6 day 69,601 L Sep / 3
241st,Fri,Exile year 6 day 70,601 L Sep / 4
242nd,Sat     Full,Exile year 6 day 71,601 L Sep / 5
243rd,Sun,Exile year 6 day 72,601 L Sep / 6
244th,Mon,Exile year 6 day 73,601 L Sep / 7
245th,Tue,Exile year 6 day 74,601 L Sep / 8
246th,Wed,Exile year 6 day 75,601 L Sep / 9
247th,Thu,Exile year 6 day 76,601 L Sep / 10
248th,Fri,Exile year 6 day 77,601 L Sep / 11
249th,Sat,Exile year 6 day 78,601 L Sep / 12
250th,Sun,Exile year 6 day 79,601 L Sep / 13
251st,Mon,Exile year 6 day 80,601 L Sep / 14
252nd,Tue,Exile year 6 day 81,601 L Sep / 15
253rd,Wed,Exile year 6 day 82,601 L Sep / 16
254th,Thu,Exile year 6 day 83,601 L Sep / 17
255th,Fri,Exile year 6 day 84,601 L Sep / 18
256th,Sat,Exile year 6 day 85,601 L Sep / 19
257th,Sun     New,Exile year 6 day 86,601 L Sep / 20
258th,Mon,Exile year 6 day 87,601 L Sep / 21
259th,Tue,Exile year 6 day 88,601 L Sep / 22
260th,Wed,Exile year 6 day 89,601 L Sep / 23
261st,Thu,Exile year 6 day 90,601 L Sep / 24
262nd,Fri,Exile year 6 day 91,601 L Sep / 25
263rd,Sat,Exile year 6 day 92,601 L Sep / 26
264th,Sun,Exile year 6 day 93,601 L Sep / 27
265th,Mon,Exile year 6 day 94,601 L Sep / 28
266th EQ,Tue,Exile year 6 day 95,601 L Sep / 29
267th,Wed,Exile year 6 day 96,601 L Sep / 30
268th,Thu,Exile year 6 day 97,601 L Oct / 1
269th,Fri,Exile year 6 day 98,601 L Oct / 2
270th,Sat,Exile year 6 day 99,601 L Oct / 3
271st,Sun,Exile year 6 day 100,601 L Oct / 4
272nd,Mon     Full,Exile year 6 day 101,601 L Oct / 5
273rd,Tue,Exile year 6 day 102,601 L Oct / 6
274th,Wed,Exile year 6 day 103,601 L Oct / 7
275th,Thu,Exile year 6 day 104,601 L Oct / 8
276th,Fri,Exile year 6 day 105,601 L Oct / 9
277th,Sat,Exile year 6 day 106,601 L Oct / 10
278th,Sun,Exile year 6 day 107,601 L Oct / 11
279th,Mon,Exile year 6 day 108,601 L Oct / 12
280th,Tue,Exile year 6 day 109,601 L Oct / 13
281st,Wed,Exile year 6 day 110,601 L Oct / 14
282nd,Thu,Exile year 6 day 111,601 L Oct / 15
283rd,Fri,Exile year 6 day 112,601 L Oct / 16
284th,Sat,Exile year 6 day 113,601 L Oct / 17
285th,Sun,Exile year 6 day 114,601 L Oct / 18
286th,Mon     New,Exile year 6 day 115,601 L Oct / 19
287th,Tue,Exile year 6 day 116,601 L Oct / 20
288th,Wed,Exile year 6 day 117,601 L Oct / 21
289th,Thu,Exile year 6 day 118,601 L Oct / 22
290th,Fri,Exile year 6 day 119,601 L Oct / 23
291st,Sat,Exile year 6 day 120,601 L Oct / 24
292nd,Sun,Exile year 6 day 121,601 L Oct / 25
293rd,Mon,Exile year 6 day 122,601 L Oct / 26
294th,Tue,Exile year 6 day 123,601 L Oct / 27
295th,Wed,Exile year 6 day 124,601 L Oct / 28
296th,Thu,Exile year 6 day 125,601 L Oct / 29
297th,Fri,Exile year 6 day 126,601 L Oct / 30
298th,Sat,Exile year 6 day 127,601 L Oct / 31
299th,Sun,Exile year 6 day 128,601 L Nov / 1
300th,Mon,Exile year 6 day 129,601 L Nov / 2
301st,Tue,Exile year 6 day 130,601 L Nov / 3
302nd,Wed     Full,Exile year 6 day 131,601 L Nov / 4
303rd,Thu,Exile year 6 day 132,601 L Nov / 5
304th,Fri,Exile year 6 day 133,601 L Nov / 6
305th,Sat,Exile year 6 day 134,601 L Nov / 7
306th,Sun,Exile year 6 day 135,601 L Nov / 8
307th,Mon,Exile year 6 day 136,601 L Nov / 9
308th,Tue,Exile year 6 day 137,601 L Nov / 10
309th,Wed,Exile year 6 day 138,601 L Nov / 11
310th,Thu,Exile year 6 day 139,601 L Nov / 12
311th,Fri,Exile year 6 day 140,601 L Nov / 13
312th,Sat,Exile year 6 day 141,601 L Nov / 14
313th,Sun,Exile year 6 day 142,601 L Nov / 15
314th,Mon,Exile year 6 day 143,601 L Nov / 16
315th,Tue,Exile year 6 day 144,601 L Nov / 17
316th,Wed     New,Exile year 6 day 145,601 L Nov / 18
317th,Thu,Exile year 6 day 146,601 L Nov / 19
318th,Fri,Exile year 6 day 147,601 L Nov / 20
319th,Sat,Exile year 6 day 148,601 L Nov / 21
320th,Sun,Exile year 6 day 149,601 L Nov / 22
321st,Mon,Exile year 6 day 150,601 L Nov / 23
322nd,Tue,Exile year 6 day 151,601 L Nov / 24
323rd,Wed,Exile year 6 day 152,601 L Nov / 25
324th,Thu,Exile year 6 day 153,601 L Nov / 26
325th,Fri,Exile year 6 day 154,601 L Nov / 27
326th,Sat,Exile year 6 day 155,601 L Nov / 28
327th,Sun,Exile year 6 day 156,601 L Nov / 29
328th,Mon,Exile year 6 day 157,601 L Nov / 30
329th,Tue,Exile year 6 day 158,601 L Dec / 1
330th,Wed,Exile year 6 day 159,601 L Dec / 2
331st,Thu     Full,Exile year 6 day 160,601 L Dec / 3
332nd,Fri,Exile year 6 day 161,601 L Dec / 4
333rd,Sat,Exile year 6 day 162,601 L Dec / 5
334th,Sun,Exile year 6 day 163,601 L Dec / 6
335th,Mon,Exile year 6 day 164,601 L Dec / 7
336th,Tue,Exile year 6 day 165,601 L Dec / 8
337th,Wed,Exile year 6 day 166,601 L Dec / 9
338th,Thu,Exile year 6 day 167,601 L Dec / 10
339th,Fri,Exile year 6 day 168,601 L Dec / 11
340th,Sat,Exile year 6 day 169,601 L Dec / 12
341st,Sun,Exile year 6 day 170,601 L Dec / 13
342nd,Mon,Exile year 6 day 171,601 L Dec / 14
343rd,Tue,Exile year 6 day 172,601 L Dec / 15
344th,Wed,Exile year 6 day 173,601 L Dec / 16
345th,Thu     New,Exile year 6 day 174,601 L Dec / 17
346th,Fri,Exile year 6 day 175,601 L Dec / 18
347th,Sat,Exile year 6 day 176,601 L Dec / 19
348th,Sun,Exile year 6 day 177,601 L Dec / 20
349th,Mon,Exile year 6 day 178,601 L Dec / 21
350th,Tue,Exile year 6 day 179,601 L Dec / 22
351st,Wed,Exile year 6 day 180,601 L Dec / 23
352nd,Thu,Exile year 6 day 181,601 L Dec / 24
353rd,Fri,Exile year 6 day 182,601 L Dec / 25
354th,Sat,Exile year 6 day 183,601 L Dec / 26
355th,Sun,Exile year 6 day 184,601 L Dec / 27
356th SO,Mon,Exile year 6 day 185,601 L Dec / 28
357th,Tue,Exile year 6 day 186,601 L Dec / 29
358th,Wed,Exile year 6 day 187,601 L Dec / 30
359th,Thu,Exile year 6 day 188,601 L Dec / 31
360th,Fri,Exile year 6 day 189,600 Jan / 1
361st,Sat     Full,Exile year 6 day 190,600 Jan / 2
362nd,Sun,Exile year 6 day 191,600 Jan / 3
363rd,Mon,Exile year 6 day 192,600 Jan / 4
364th,Tue,Exile year 6 day 193,600 Jan / 5
365th,Wed,Exile year 6 day 194,600 Jan / 6
366th,XXXXX,,
