SOLAR,8215,JULIAN AUC,HISTORICAL
1st,Sun,968 Ianuarius / 1,215 Jan \ 1
2nd,Mon,968 Ianuarius / 2,215 Jan \ 2
3rd,Tue     Full,968 Ianuarius / 3,215 Jan \ 3
4th,Wed,968 Ianuarius / 4,215 Jan \ 4
5th,Thu,968 Ianuarius / 5,215 Jan \ 5
6th,Fri,968 Ianuarius / 6,215 Jan \ 6
7th,Sat,968 Ianuarius / 7,215 Jan \ 7
8th,Sun,968 Ianuarius / 8,215 Jan \ 8
9th,Mon,968 Ianuarius / 9,215 Jan \ 9
10th,Tue,968 Ianuarius / 10,215 Jan \ 10
11th,Wed,968 Ianuarius / 11,215 Jan \ 11
12th,Thu,968 Ianuarius / 12,215 Jan \ 12
13th,Fri,968 Ianuarius / 13,215 Jan \ 13
14th,Sat,968 Ianuarius / 14,215 Jan \ 14
15th,Sun,968 Ianuarius / 15,215 Jan \ 15
16th,Mon,968 Ianuarius / 16,215 Jan \ 16
17th,Tue     New,968 Ianuarius / 17,215 Jan \ 17
18th,Wed,968 Ianuarius / 18,215 Jan \ 18
19th,Thu,968 Ianuarius / 19,215 Jan \ 19
20th,Fri,968 Ianuarius / 20,215 Jan \ 20
21st,Sat,968 Ianuarius / 21,215 Jan \ 21
22nd,Sun,968 Ianuarius / 22,215 Jan \ 22
23rd,Mon,968 Ianuarius / 23,215 Jan \ 23
24th,Tue,968 Ianuarius / 24,215 Jan \ 24
25th,Wed,968 Ianuarius / 25,215 Jan \ 25
26th,Thu,968 Ianuarius / 26,215 Jan \ 26
27th,Fri,968 Ianuarius / 27,215 Jan \ 27
28th,Sat,968 Ianuarius / 28,215 Jan \ 28
29th,Sun,968 Ianuarius / 29,215 Jan \ 29
30th,Mon,968 Ianuarius / 30,215 Jan \ 30
31st,Tue,968 Ianuarius / 31,215 Jan \ 31
32nd,Wed     Full,968 Februarius / 1,215 Feb / 1
33rd,Thu,968 Februarius / 2,215 Feb / 2
34th,Fri,968 Februarius / 3,215 Feb / 3
35th,Sat,968 Februarius / 4,215 Feb / 4
36th,Sun,968 Februarius / 5,215 Feb / 5
36th,Mon,968 Februarius / 6,215 Feb / 6
38th,Tue,968 Februarius / 7,215 Feb / 7
39th,Wed,968 Februarius / 8,215 Feb / 8
40th,Thu,968 Februarius / 9,215 Feb / 9
41st,Fri,968 Februarius / 10,215 Feb / 10
42nd,Sat,968 Februarius / 11,215 Feb / 11
43rd,Sun,968 Februarius / 12,215 Feb / 12
44th,Mon,968 Februarius / 13,215 Feb / 13
45th,Tue,968 Februarius / 14,215 Feb / 14
46th,Wed,968 Februarius / 15,215 Feb / 15
47th,Thu     New,968 Februarius / 16,215 Feb / 16
48th,Fri,968 Februarius / 17,215 Feb / 17
49th,Sat,968 Februarius / 18,215 Feb / 18
50th,Sun,968 Februarius / 19,215 Feb / 19
51st,Mon,968 Februarius / 20,215 Feb / 20
52nd,Tue,968 Februarius / 21,215 Feb / 21
53rd,Wed,968 Februarius / 22,215 Feb / 22
54th,Thu,968 Februarius / 23,215 Feb / 23
55th,Fri,968 Februarius / 24,215 Feb / 24
56th,Sat,968 Februarius / 25,215 Feb / 25
57th,Sun,968 Februarius / 26,215 Feb / 26
58th,Mon,968 Februarius / 27,215 Feb / 27
59th,Tue,968 Februarius / 28,215 Feb / 28
60th,Wed,968 Martius / 1,215 Mar / 1
