SOLAR,8218,JULIAN AUC,HISTORICAL
116th,Sun,971 Aprilis / 26,218 Apr / 26
117th,Mon,971 Aprilis / 27,218 Apr / 27
118th,Tue     Full,971 Aprilis / 28,218 Apr / 28
119th,Wed,971 Aprilis / 29,218 Apr / 29
120th,Thu,971 Aprilis / 30,218 Apr / 30
121st,Fri,971 Maius / 1,218 May / 1
122nd,Sat,971 Maius / 2,218 May / 2
123rd,Sun,971 Maius / 3,218 May / 3
124th,Mon,971 Maius / 4,218 May / 4
125th,Tue,971 Maius / 5,218 May / 5
126th,Wed,971 Maius / 6,218 May / 6
127th,Thu,971 Maius / 7,218 May / 7
128th,Fri,971 Maius / 8,218 May / 8
129th,Sat,971 Maius / 9,218 May / 9
130th,Sun,971 Maius / 10,218 May / 10
131st,Mon,971 Maius / 11,218 May / 11
132nd,Tue     New,971 Maius / 12,218 May / 12
133rd,Wed,971 Maius / 13,218 May / 13
134th,Thu,971 Maius / 14,218 May / 14
135th,Fri,971 Maius / 15,218 May / 15
136th,Sat,971 Maius / 16,218 May / 16
137th,Sun,971 Maius / 17,218 May / 17
138th,Mon,971 Maius / 18,218 May / 18
139th,Tue,971 Maius / 19,218 May / 19
140th,Wed,971 Maius / 20,218 May / 20
141st,Thu,971 Maius / 21,218 May / 21
142nd,Fri,971 Maius / 22,218 May / 22
143rd,Sat,971 Maius / 23,218 May / 23
144th,Sun,971 Maius / 24,218 May / 24
145th,Mon,971 Maius / 25,218 May / 25
146th,Tue,971 Maius / 26,218 May / 26
147th,Wed     Full,971 Maius / 27,218 May / 27
148th,Thu,971 Maius / 28,218 May / 28
149th,Fri,971 Maius / 29,218 May / 29
150th,Sat,971 Maius / 30,218 May / 30
151st,Sun,971 Maius / 31,218 May / 31
152nd,Mon,971 Iunius / 1,218 Jun / 1
153rd,Tue,971 Iunius / 2,218 Jun / 2
154th,Wed,971 Iunius / 3,218 Jun / 3
155th,Thu,971 Iunius / 4,218 Jun / 4
156th,Fri,971 Iunius / 5,218 Jun / 5
157th,Sat,971 Iunius / 6,218 Jun / 6
158th,Sun,971 Iunius / 7,218 Jun / 7
159th,Mon,971 Iunius / 8,218 Jun / 8
160th S,Tue,971 Iunius / 9,218 Jun / 9
161st,Wed     New,971 Iunius / 10,218 Jun / 10
162nd,Thu,971 Iunius / 11,218 Jun / 11
163rd,Fri,971 Iunius / 12,218 Jun / 12
164th,Sat,971 Iunius / 13,218 Jun / 13
165th,Sun,971 Iunius / 14,218 Jun / 14
166th,Mon,971 Iunius / 15,218 Jun / 15
167th,Tue,971 Iunius / 16,218 Jun / 16
168th,Wed,971 Iunius / 17,218 Jun / 17
169th,Thu,971 Iunius / 18,218 Jun / 18
170th,Fri,971 Iunius / 19,218 Jun / 19
171st,Sat,971 Iunius / 20,218 Jun / 20
172nd,Sun,971 Iunius / 21,218 Jun / 21
173rd,Mon,971 Iunius / 22,218 Jun / 22
174th,Tue,971 Iunius / 23,218 Jun / 23
175th,Wed,971 Iunius / 24,218 Jun / 24
176th,Thu     Full,971 Iunius / 25,218 Jun / 25
177th,Fri,971 Iunius / 26,218 Jun / 26
178th,Sat,971 Iunius / 27,218 Jun / 27
179th,Sun,971 Iunius / 28,218 Jun / 28
180th,Mon,971 Iunius / 29,218 Jun / 29
181st,Tue,971 Iunius / 30,218 Jun / 30
182nd,Wed,971 Iulius / 1,218 Jul / 1
183rd,Thu,971 Iulius / 2,218 Jul / 2
184th,Fri,971 Iulius / 3,218 Jul / 3
185th,Sat,971 Iulius / 4,218 Jul / 4
186th,Sun,971 Iulius / 5,218 Jul / 5
187th,Mon,971 Iulius / 6,218 Jul / 6
188th,Tue,971 Iulius / 7,218 Jul / 7
189th,Wed,971 Iulius / 8,218 Jul / 8
190th,Thu,971 Iulius / 9,218 Jul / 9
191st,Fri     New,971 Iulius / 10,218 Jul / 10
192nd,Sat,971 Iulius / 11,218 Jul / 11
193rd,Sun,971 Iulius / 12,218 Jul / 12
194th,Mon,971 Iulius / 13,218 Jul / 13
195th,Tue,971 Iulius / 14,218 Jul / 14
196th,Wed,971 Iulius / 15,218 Jul / 15
197th,Thu,971 Iulius / 16,218 Jul / 16
198th,Fri,971 Iulius / 17,218 Jul / 17
199th,Sat,971 Iulius / 18,218 Jul / 18
200th,Sun,971 Iulius / 19,218 Jul / 19
201st,Mon,971 Iulius / 20,218 Jul / 20
202nd,Tue,971 Iulius / 21,218 Jul / 21
203rd,Wed,971 Iulius / 22,218 Jul / 22
204th,Thu,971 Iulius / 23,218 Jul / 23
205th,Fri,971 Iulius / 24,218 Jul / 24
206th,Sat     Full,971 Iulius / 25,218 Jul / 25
207th,Sun,971 Iulius / 26,218 Jul / 26
208th,Mon,971 Iulius / 27,218 Jul / 27
209th,Tue,971 Iulius / 28,218 Jul / 28
210th,Wed,971 Iulius / 29,218 Jul / 29
211th,Thu,971 Iulius / 30,218 Jul / 30
212th,Fri,971 Iulius / 31,218 Jul / 31
213th,Sat,971 Augustus / 1,218 Aug / 1
214th,Sun,971 Augustus / 2,218 Aug / 2
215th,Mon,971 Augustus / 3,218 Aug / 3
216th,Tue,971 Augustus / 4,218 Aug / 4
217th,Wed,971 Augustus / 5,218 Aug / 5
218th,Thu,971 Augustus / 6,218 Aug / 6
219th,Fri,971 Augustus / 7,218 Aug / 7
220th,Sat     New,971 Augustus / 8,218 Aug / 8
221st,Sun,971 Augustus / 9,218 Aug / 9
222nd,Mon,971 Augustus / 10,218 Aug / 10
223rd,Tue,971 Augustus / 11,218 Aug / 11
224th,Wed,971 Augustus / 12,218 Aug / 12
225th,Thu,971 Augustus / 13,218 Aug / 13
226th,Fri,971 Augustus / 14,218 Aug / 14
227th,Sat,971 Augustus / 15,218 Aug / 15
228th,Sun,971 Augustus / 16,218 Aug / 16
229th,Mon,971 Augustus / 17,218 Aug / 17
230th,Tue,971 Augustus / 18,218 Aug / 18
231st,Wed,971 Augustus / 19,218 Aug / 19
232nd,Thu,971 Augustus / 20,218 Aug / 20
233rd,Fri,971 Augustus / 21,218 Aug / 21
234th,Sat,971 Augustus / 22,218 Aug / 22
235th,Sun     Full,971 Augustus / 23,218 Aug / 23
236th,Mon,971 Augustus / 24,218 Aug / 24
237th,Tue,971 Augustus / 25,218 Aug / 25
238th,Wed,971 Augustus / 26,218 Aug / 26
239th,Thu,971 Augustus / 27,218 Aug / 27
240th,Fri,971 Augustus / 28,218 Aug / 28
241st,Sat,971 Augustus / 29,218 Aug / 29
242nd,Sun,971 Augustus / 30,218 Aug / 30
243rd,Mon,971 Augustus / 31,218 Aug / 31
244th,Tue,971 Sep / 1,218 Sep / 1
245th,Wed,971 Sep / 2,218 Sep / 2
246th,Thu,971 Sep / 3,218 Sep / 3
247th,Fri,971 Sep / 4,218 Sep / 4
248th,Sat,971 Sep / 5,218 Sep / 5
249th,Sun,971 Sep / 6,218 Sep / 6
250th,Mon     New,971 Sep / 7,218 Sep / 7
251st,Tue,971 Sep / 8,218 Sep / 8
252nd,Wed,971 Sep / 9,218 Sep / 9
253rd,Thu,971 Sep / 10,218 Sep / 10
254th,Fri,971 Sep / 11,218 Sep / 11
255th,Sat,971 Sep / 12,218 Sep / 12
256th,Sun,971 Sep / 13,218 Sep / 13
257th,Mon,971 Sep / 14,218 Sep / 14
258th,Tue,971 Sep / 15,218 Sep / 15
259th,Wed,971 Sep / 16,218 Sep / 16
260th,Thu,971 Sep / 17,218 Sep / 17
261st,Fri,971 Sep / 18,218 Sep / 18
262nd,Sat,971 Sep / 19,218 Sep / 19
263rd,Sun,971 Sep / 20,218 Sep / 20
264th,Mon     Full,971 Sep / 21,218 Sep / 21
265th,Tue,971 Sep / 22,218 Sep / 22
266th EQ,Wed,971 Sep / 23,218 Sep / 23
267th,Thu,971 Sep / 24,218 Sep / 24
268th,Fri,971 Sep / 25,218 Sep / 25
269th,Sat,971 Sep / 26,218 Sep / 26
270th,Sun,971 Sep / 27,218 Sep / 27
271st,Mon,971 Sep / 28,218 Sep / 28
272nd,Tue,971 Sep / 29,218 Sep / 29
273rd,Wed,971 Sep / 30,218 Sep / 30
274th,Thu,971 Oct / 1,218 Oct / 1
275th,Fri,971 Oct / 2,218 Oct / 2
276th,Sat,971 Oct / 3,218 Oct / 3
277th,Sun,971 Oct / 4,218 Oct / 4
278th,Mon,971 Oct / 5,218 Oct / 5
279th,Tue,971 Oct / 6,218 Oct / 6
280th,Wed     New,971 Oct / 7,218 Oct / 7
281st,Thu,971 Oct / 8,218 Oct / 8
282nd,Fri,971 Oct / 9,218 Oct / 9
283rd,Sat,971 Oct / 10,218 Oct / 10
284th,Sun,971 Oct / 11,218 Oct / 11
285th,Mon,971 Oct / 12,218 Oct / 12
286th,Tue,971 Oct / 13,218 Oct / 13
287th,Wed,971 Oct / 14,218 Oct / 14
288th,Thu,971 Oct / 15,218 Oct / 15
289th,Fri,971 Oct / 16,218 Oct / 16
290th,Sat,971 Oct / 17,218 Oct / 17
291st,Sun,971 Oct / 18,218 Oct / 18
292nd,Mon,971 Oct / 19,218 Oct / 19
293rd,Tue,971 Oct / 20,218 Oct / 20
294th,Wed     Full,971 Oct / 21,218 Oct / 21
295th,Thu,971 Oct / 22,218 Oct / 22
296th,Fri,971 Oct / 23,218 Oct / 23
297th,Sat,971 Oct / 24,218 Oct / 24
298th,Sun,971 Oct / 25,218 Oct / 25
299th,Mon,971 Oct / 26,218 Oct / 26
300th,Tue,971 Oct / 27,218 Oct / 27
301st,Wed,971 Oct / 28,218 Oct / 28
302nd,Thu,971 Oct / 29,218 Oct / 29
303rd,Fri,971 Oct / 30,218 Oct / 30
304th,Sat,971 Oct / 31,218 Oct / 31
305th,Sun,971 Nov / 1,218 Nov / 1
306th,Mon,971 Nov / 2,218 Nov / 2
307th,Tue,971 Nov / 3,218 Nov / 3
308th,Wed,971 Nov / 4,218 Nov / 4
309th,Thu     New,971 Nov / 5,218 Nov / 5
310th,Fri,971 Nov / 6,218 Nov / 6
311th,Sat,971 Nov / 7,218 Nov / 7
312th,Sun,971 Nov / 8,218 Nov / 8
313th,Mon,971 Nov / 9,218 Nov / 9
314th,Tue,971 Nov / 10,218 Nov / 10
315th,Wed,971 Nov / 11,218 Nov / 11
316th,Thu,971 Nov / 12,218 Nov / 12
317th,Fri,971 Nov / 13,218 Nov / 13
318th,Sat,971 Nov / 14,218 Nov / 14
319th,Sun,971 Nov / 15,218 Nov / 15
320th,Mon,971 Nov / 16,218 Nov / 16
321st,Tue,971 Nov / 17,218 Nov / 17
322nd,Wed,971 Nov / 18,218 Nov / 18
323rd,Thu,971 Nov / 19,218 Nov / 19
324th,Fri     Full,971 Nov / 20,218 Nov / 20
325th,Sat,971 Nov / 21,218 Nov / 21
326th,Sun,971 Nov / 22,218 Nov / 22
327th,Mon,971 Nov / 23,218 Nov / 23
328th,Tue,971 Nov / 24,218 Nov / 24
329th,Wed,971 Nov / 25,218 Nov / 25
330th,Thu,971 Nov / 26,218 Nov / 26
331st,Fri,971 Nov / 27,218 Nov / 27
332nd,Sat,971 Nov / 28,218 Nov / 28
333rd,Sun,971 Nov / 29,218 Nov / 29
334th,Mon,971 Nov / 30,218 Nov / 30
335th,Tue,971 Dec / 1,218 Dec / 1
336th,Wed,971 Dec / 2,218 Dec / 2
337th,Thu,971 Dec / 3,218 Dec / 3
338th,Fri,971 Dec / 4,218 Dec / 4
339th,Sat     New,971 Dec / 5,218 Dec / 5
340th,Sun,971 Dec / 6,218 Dec / 6
341st,Mon,971 Dec / 7,218 Dec / 7
342nd,Tue,971 Dec / 8,218 Dec / 8
343rd,Wed,971 Dec / 9,218 Dec / 9
344th,Thu,971 Dec / 10,218 Dec / 10
345th,Fri,971 Dec / 11,218 Dec / 11
346th,Sat,971 Dec / 12,218 Dec / 12
347th,Sun,971 Dec / 13,218 Dec / 13
348th,Mon,971 Dec / 14,218 Dec / 14
349th,Tue,971 Dec / 15,218 Dec / 15
350th,Wed,971 Dec / 16,218 Dec / 16
351st,Thu,971 Dec / 17,218 Dec / 17
352nd,Fri,971 Dec / 18,218 Dec / 18
353rd,Sat     Full,971 Dec / 19,218 Dec / 19
354th,Sun,971 Dec / 20,218 Dec / 20
355th,Mon,971 Dec / 21,218 Dec / 21
356th,Tue,971 Dec / 22,218 Dec / 22
357th,Wed,971 Dec / 23,218 Dec / 23
358th,Thu,971 Dec / 24,218 Dec / 24
359th,Fri,971 Dec / 25,218 Dec / 25
360th,Sat,971 Dec / 26,218 Dec / 26
361st,Sun,971 Dec / 27,218 Dec / 27
362nd,Mon,971 Dec / 28,218 Dec / 28
363rd,Tue,971 Dec / 29,218 Dec / 29
364th,Wed,971 Dec / 30,218 Dec / 30
365th,Thu,971 Dec / 31,218 Dec / 31
366th,XXXXX,,XXXXX
