SOLAR,8218,JULIAN AUC,HISTORICAL
1st,Thu,971 Ianuarius / 1,218 Jan \ 1
2nd,Fri,971 Ianuarius / 2,218 Jan \ 2
3rd,Sat,971 Ianuarius / 3,218 Jan \ 3
4th,Sun,971 Ianuarius / 4,218 Jan \ 4
5th,Mon,971 Ianuarius / 5,218 Jan \ 5
6th,Tue,971 Ianuarius / 6,218 Jan \ 6
7th,Wed,971 Ianuarius / 7,218 Jan \ 7
8th,Thu,971 Ianuarius / 8,218 Jan \ 8
9th,Fri,971 Ianuarius / 9,218 Jan \ 9
10th,Sat,971 Ianuarius / 10,218 Jan \ 10
11th,Sun,971 Ianuarius / 11,218 Jan \ 11
12th,Mon,971 Ianuarius / 12,218 Jan \ 12
13th,Tue,971 Ianuarius / 13,218 Jan \ 13
14th,Wed     New,971 Ianuarius / 14,218 Jan \ 14
15th,Thu,971 Ianuarius / 15,218 Jan \ 15
16th,Fri,971 Ianuarius / 16,218 Jan \ 16
17th,Sat,971 Ianuarius / 17,218 Jan \ 17
18th,Sun,971 Ianuarius / 18,218 Jan \ 18
19th,Mon,971 Ianuarius / 19,218 Jan \ 19
20th,Tue,971 Ianuarius / 20,218 Jan \ 20
21st,Wed,971 Ianuarius / 21,218 Jan \ 21
22nd,Thu,971 Ianuarius / 22,218 Jan \ 22
23rd,Fri,971 Ianuarius / 23,218 Jan \ 23
24th,Sat,971 Ianuarius / 24,218 Jan \ 24
25th,Sun,971 Ianuarius / 25,218 Jan \ 25
26th,Mon,971 Ianuarius / 26,218 Jan \ 26
27th,Tue,971 Ianuarius / 27,218 Jan \ 27
28th,Wed,971 Ianuarius / 28,218 Jan \ 28
29th,Thu     Full,971 Ianuarius / 29,218 Jan \ 29
30th,Fri,971 Ianuarius / 30,218 Jan \ 30
31st,Sat,971 Ianuarius / 31,218 Jan \ 31
32nd,Sun,971 Februarius / 1,218 Feb / 1
33rd,Mon,971 Februarius / 2,218 Feb / 2
34th,Tue,971 Februarius / 3,218 Feb / 3
35th,Wed,971 Februarius / 4,218 Feb / 4
36th,Thu,971 Februarius / 5,218 Feb / 5
36th,Fri,971 Februarius / 6,218 Feb / 6
38th,Sat,971 Februarius / 7,218 Feb / 7
39th,Sun,971 Februarius / 8,218 Feb / 8
40th,Mon,971 Februarius / 9,218 Feb / 9
41st,Tue,971 Februarius / 10,218 Feb / 10
42nd,Wed,971 Februarius / 11,218 Feb / 11
43rd,Thu     New,971 Februarius / 12,218 Feb / 12
44th,Fri,971 Februarius / 13,218 Feb / 13
45th,Sat,971 Februarius / 14,218 Feb / 14
46th,Sun,971 Februarius / 15,218 Feb / 15
47th,Mon,971 Februarius / 16,218 Feb / 16
48th,Tue,971 Februarius / 17,218 Feb / 17
49th,Wed,971 Februarius / 18,218 Feb / 18
50th,Thu,971 Februarius / 19,218 Feb / 19
51st,Fri,971 Februarius / 20,218 Feb / 20
52nd,Sat,971 Februarius / 21,218 Feb / 21
53rd,Sun,971 Februarius / 22,218 Feb / 22
54th,Mon,971 Februarius / 23,218 Feb / 23
55th,Tue,971 Februarius / 24,218 Feb / 24
56th,Wed,971 Februarius / 25,218 Feb / 25
57th,Thu,971 Februarius / 26,218 Feb / 26
58th,Fri,971 Februarius / 27,218 Feb / 27
59th,Sat     Full,971 Februarius / 28,218 Feb / 28
60th,Sun,971 Martius / 1,218 Mar / 1
61st,Mon,971 Martius / 2,218 Mar / 2
62nd,Tue,971 Martius / 3,218 Mar / 3
63rd,Wed,971 Martius / 4,218 Mar / 4
64th,Thu,971 Martius / 5,218 Mar / 5
65th,Fri,971 Martius / 6,218 Mar / 6
66th,Sat,971 Martius / 7,218 Mar / 7
67th,Sun,971 Martius / 8,218 Mar / 8
68th,Mon,971 Martius / 9,218 Mar / 9
69th,Tue,971 Martius / 10,218 Mar / 10
70th,Wed,971 Martius / 11,218 Mar / 11
71st,Thu,971 Martius / 12,218 Mar / 12
72nd,Fri,971 Martius / 13,218 Mar / 13
73rd,Sat     New,971 Martius / 14,218 Mar / 14
74th,Sun,971 Martius / 15,218 Mar / 15
75th,Mon,971 Martius / 16,218 Mar / 16
76th,Tue,971 Martius / 17,218 Mar / 17
77th,Wed,971 Martius / 18,218 Mar / 18
78th,Thu,971 Martius / 19,218 Mar / 19
79th,Fri,971 Martius / 20,218 Mar / 20
80th EQ,Sat,971 Martius / 21,218 Mar / 21
81st  X,Sun,971 Martius / 22,218 Mar / 22
82nd X,Mon,971 Martius / 23,218 Mar / 23
83rd  X,Tue,971 Martius / 24,218 Mar / 24
84th X,Wed,971 Martius / 25,218 Mar / 25
85th X,Thu,971 Martius / 26,218 Mar / 26
86th X,Fri,971 Martius / 27,218 Mar / 27
87th X,Sat,971 Martius / 28,218 Mar / 28
88th X,Sun     Full,971 Martius / 29,218 Mar / 29
89th X,Mon,971 Martius / 30,218 Mar / 30
90th X,Tue,971 Martius / 31,218 Mar / 31
91st X,Wed,971 Aprilis / 1,218 Apr / 1
92nd X,Thu,971 Aprilis / 2,218 Apr / 2
93rd X,Fri,971 Aprilis / 3,218 Apr / 3
94th X,Sat,971 Aprilis / 4,218 Apr / 4
95th X,Sun,971 Aprilis / 5,218 Apr / 5
96th X,Mon,971 Aprilis / 6,218 Apr / 6
97th X,Tue,971 Aprilis / 7,218 Apr / 7
98th X,Wed,971 Aprilis / 8,218 Apr / 8
99th X,Thu,971 Aprilis / 9,218 Apr / 9
100th X,Fri,971 Aprilis / 10,218 Apr / 10
101st X,Sat,971 Aprilis / 11,218 Apr / 11
102nd X,Sun     New,971 Aprilis / 12,218 Apr / 12
103rd X,Mon,971 Aprilis / 13,218 Apr / 13
104th X,Tue,971 Aprilis / 14,218 Apr / 14
105th X,Wed,971 Aprilis / 15,218 Apr / 15
106th X,Thu,971 Aprilis / 16,218 Apr / 16
107th X,Fri,971 Aprilis / 17,218 Apr / 17
108th X,Sat,971 Aprilis / 18,218 Apr / 18
109th X,Sun,971 Aprilis / 19,218 Apr / 19
110th X,Mon,971 Aprilis / 20,218 Apr / 20
111th X,Tue,971 Aprilis / 21,218 Apr / 21
112th X,Wed,971 Aprilis / 22,218 Apr / 22
113th X,Thu,971 Aprilis / 23,218 Apr / 23
114th X,Fri,971 Aprilis / 24,218 Apr / 24
115th X,Sat,971 Aprilis / 25,218 Apr / 25
