SOLAR,9947,HEBREW,Ezekiel,ISLAMIC,GREGORIAN 1947
82nd,Sun,5707 Nisan / 2,|-----Ezekiel's 2520 years (year 2519 day 302,1366 L Jumada l-Ula / 1,March 23 rd
83rd,Mon,5707 Nisan / 3,|-----Ezekiel's 2520 years (year 2519 day 303,1366 L Jumada l-Ula / 2,March 24 th
84th,Tue,5707 Nisan / 4,|-----Ezekiel's 2520 years (year 2519 day 304,1366 L Jumada l-Ula / 3,March 25 th
85th,Wed,5707 Nisan / 5,|-----Ezekiel's 2520 years (year 2519 day 305,1366 L Jumada l-Ula / 4,March 26 th
86th,Thu,5707 Nisan / 6,|-----Ezekiel's 2520 years (year 2519 day 306,1366 L Jumada l-Ula / 5,March 27 th
87th,Fri,5707 Nisan / 7,|-----Ezekiel's 2520 years (year 2519 day 307,1366 L Jumada l-Ula / 6,March 28 th
88th,Sat,5707 Nisan / 8,|-----Ezekiel's 2520 years (year 2519 day 308,1366 L Jumada l-Ula / 7,March 29 th
89th,Sun,5707 Nisan / 9,|-----Ezekiel's 2520 years (year 2519 day 309,1366 L Jumada l-Ula / 8,March 30 th
90th,Mon,5707 Nisan / 10,|-----Ezekiel's 2520 years (year 2519 day 310,1366 L Jumada l-Ula / 9,March 31 st
91st,Tue,5707 Nisan / 11,|-----Ezekiel's 2520 years (year 2519 day 311,1366 L Jumada l-Ula / 10,April 1 st
92nd,Wed,5707 Nisan / 12,|-----Ezekiel's 2520 years (year 2519 day 312,1366 L Jumada l-Ula / 11,April 2 nd
93rd,Thu,5707 Nisan / 13,|-----Ezekiel's 2520 years (year 2519 day 313,1366 L Jumada l-Ula / 12,April 3 rd
94th,Fri,5707 Nisan / 14,|-----Ezekiel's 2520 years (year 2519 day 314,1366 L Jumada l-Ula / 13,April 4 th
95th,Sat     Full,5707 Nisan / 15,|-----Ezekiel's 2520 years (year 2519 day 315,1366 L Jumada l-Ula / 14,April 5 th
96th,Sun,5707 Nisan / 16,|-----Ezekiel's 2520 years (year 2519 day 316,1366 L Jumada l-Ula / 15,April 6 th
97th,Mon,5707 Nisan / 17,|-----Ezekiel's 2520 years (year 2519 day 317,1366 L Jumada l-Ula / 16,April 7 th
98th,Tue,5707 Nisan / 18,|-----Ezekiel's 2520 years (year 2519 day 318,1366 L Jumada l-Ula / 17,April 8 th
99th,Wed,5707 Nisan / 19,|-----Ezekiel's 2520 years (year 2519 day 319,1366 L Jumada l-Ula / 18,April 9 th
100th,Thu,5707 Nisan / 20,|-----Ezekiel's 2520 years (year 2519 day 320,1366 L Jumada l-Ula / 19,April 10 th
101st,Fri,5707 Nisan / 21,|-----Ezekiel's 2520 years (year 2519 day 321,1366 L Jumada l-Ula / 20,April 11 th
102nd,Sat,5707 Nisan / 22,|-----Ezekiel's 2520 years (year 2519 day 322,1366 L Jumada l-Ula / 21,April 12 th
103rd,Sun,5707 Nisan / 23,|-----Ezekiel's 2520 years (year 2519 day 323,1366 L Jumada l-Ula / 22,April 13 th
104th,Mon,5707 Nisan / 24,|-----Ezekiel's 2520 years (year 2519 day 324,1366 L Jumada l-Ula / 23,April 14 th
105th,Tue,5707 Nisan / 25,|-----Ezekiel's 2520 years (year 2519 day 325,1366 L Jumada l-Ula / 24,April 15 th
106th,Wed,5707 Nisan / 26,|-----Ezekiel's 2520 years (year 2519 day 326,1366 L Jumada l-Ula / 25,April 16 th
107th,Thu,5707 Nisan / 27,|-----Ezekiel's 2520 years (year 2519 day 327,1366 L Jumada l-Ula / 26,April 17 th
108th,Fri,5707 Nisan / 28,|-----Ezekiel's 2520 years (year 2519 day 328,1366 L Jumada l-Ula / 27,April 18 th
109th,Sat,5707 Nisan / 29,|-----Ezekiel's 2520 years (year 2519 day 329,1366 L Jumada l-Ula / 28,April 19 th
110th,Sun,5707 Nisan / 30,|-----Ezekiel's 2520 years (year 2519 day 330,1366 L Jumada l-Ula / 29,April 20 th
111th,Mon     New,5707 Iyyar / 1,|-----Ezekiel's 2520 years (year 2519 day 331,1366 L Jumada l-Ula / 30,April 21 st
112th,Tue,5707 Iyyar / 2,|-----Ezekiel's 2520 years (year 2519 day 332,1366 L Jumada t-Tania / 1,April 22 nd
113th,Wed,5707 Iyyar / 3,|-----Ezekiel's 2520 years (year 2519 day 333,1366 L Jumada t-Tania / 2,April 23 rd
114th,Thu,5707 Iyyar / 4,|-----Ezekiel's 2520 years (year 2519 day 334,1366 L Jumada t-Tania / 3,April 24 th
115th,Fri,5707 Iyyar / 5,|-----Ezekiel's 2520 years (year 2519 day 335,1366 L Jumada t-Tania / 4,April 25 th
116th,Sat,5707 Iyyar / 6,|-----Ezekiel's 2520 years (year 2519 day 336,1366 L Jumada t-Tania / 5,April 26 th
117th,Sun,5707 Iyyar / 7,|-----Ezekiel's 2520 years (year 2519 day 337,1366 L Jumada t-Tania / 6,April 27 th
118th,Mon,5707 Iyyar / 8,|-----Ezekiel's 2520 years (year 2519 day 338,1366 L Jumada t-Tania / 7,April 28 th
119th,Tue,5707 Iyyar / 9,|-----Ezekiel's 2520 years (year 2519 day 339,1366 L Jumada t-Tania / 8,April 29 th
120th,Wed,5707 Iyyar / 10,|-----Ezekiel's 2520 years (year 2519 day 340,1366 L Jumada t-Tania / 9,April 30 th
121st,Thu,5707 Iyyar / 11,|-----Ezekiel's 2520 years (year 2519 day 341,1366 L Jumada t-Tania / 10,May 1 st
122nd,Fri,5707 Iyyar / 12,|-----Ezekiel's 2520 years (year 2519 day 342,1366 L Jumada t-Tania / 11,May 2 nd
123rd,Sat,5707 Iyyar / 13,|-----Ezekiel's 2520 years (year 2519 day 343,1366 L Jumada t-Tania / 12,May 3 rd
124th,Sun,5707 Iyyar / 14,|-----Ezekiel's 2520 years (year 2519 day 344,1366 L Jumada t-Tania / 13,May 4 th
125th,Mon     Full,5707 Iyyar / 15,|-----Ezekiel's 2520 years (year 2519 day 345,1366 L Jumada t-Tania / 14,May 5 th
126th,Tue,5707 Iyyar / 16,|-----Ezekiel's 2520 years (year 2519 day 346,1366 L Jumada t-Tania / 15,May 6 th
127th,Wed,5707 Iyyar / 17,|-----Ezekiel's 2520 years (year 2519 day 347,1366 L Jumada t-Tania / 16,May 7 th
128th,Thu,5707 Iyyar / 18,|-----Ezekiel's 2520 years (year 2519 day 348,1366 L Jumada t-Tania / 17,May 8 th
129th,Fri,5707 Iyyar / 19,|-----Ezekiel's 2520 years (year 2519 day 349,1366 L Jumada t-Tania / 18,May 9 th
130th,Sat,5707 Iyyar / 20,|-----Ezekiel's 2520 years (year 2519 day 350,1366 L Jumada t-Tania / 19,May 10 th
131st,Sun,5707 Iyyar / 21,|-----Ezekiel's 2520 years (year 2519 day 351,1366 L Jumada t-Tania / 20,May 11 th
132nd,Mon,5707 Iyyar / 22,|-----Ezekiel's 2520 years (year 2519 day 352,1366 L Jumada t-Tania / 21,May 12 th
133rd,Tue,5707 Iyyar / 23,|-----Ezekiel's 2520 years (year 2519 day 353,1366 L Jumada t-Tania / 22,May 13 th
134th,Wed,5707 Iyyar / 24,|-----Ezekiel's 2520 years (year 2519 day 354,1366 L Jumada t-Tania / 23,May 14 th
135th,Thu,5707 Iyyar / 25,|-----Ezekiel's 2520 years (year 2519 day 355,1366 L Jumada t-Tania / 24,May 15 th
136th,Fri,5707 Iyyar / 26,|-----Ezekiel's 2520 years (year 2519 day 356,1366 L Jumada t-Tania / 25,May 16 th
137th,Sat,5707 Iyyar / 27,|-----Ezekiel's 2520 years (year 2519 day 357,1366 L Jumada t-Tania / 26,May 17 th
138th,Sun,5707 Iyyar / 28,|-----Ezekiel's 2520 years (year 2519 day 358,1366 L Jumada t-Tania / 27,May 18 th
139th,Mon,5707 Iyyar / 29,|-----Ezekiel's 2520 years (year 2519 day 359,1366 L Jumada t-Tania / 28,May 19 th
140th,Tue     New,5707 Sivan / 1,|-----Ezekiel's 2520 years (year 2519 day 360,1366 L Jumada t-Tania / 29,May 20 th
141st,Wed,5707 Sivan / 2,|-----Ezekiel's 2520 years (year 2520 day 1,1366 L Rajab / 1,May 21 st
142nd,Thu,5707 Sivan / 3,|-----Ezekiel's 2520 years (year 2520 day 2,1366 L Rajab / 2,May 22 nd
143rd,Fri,5707 Sivan / 4,|-----Ezekiel's 2520 years (year 2520 day 3,1366 L Rajab / 3,May 23 rd
144th,Sat,5707 Sivan / 5,|-----Ezekiel's 2520 years (year 2520 day 4,1366 L Rajab / 4,May 24 th
145th,Sun,5707 Sivan / 6,|-----Ezekiel's 2520 years (year 2520 day 5,1366 L Rajab / 5,May 25 th
146th,Mon,5707 Sivan / 7,|-----Ezekiel's 2520 years (year 2520 day 6,1366 L Rajab / 6,May 26 th
147th,Tue,5707 Sivan / 8,|-----Ezekiel's 2520 years (year 2520 day 7,1366 L Rajab / 7,May 27 th
148th,Wed,5707 Sivan / 9,|-----Ezekiel's 2520 years (year 2520 day 8,1366 L Rajab / 8,May 28 th
149th,Thu,5707 Sivan / 10,|-----Ezekiel's 2520 years (year 2520 day 9,1366 L Rajab / 9,May 29 th
150th,Fri,5707 Sivan / 11,|-----Ezekiel's 2520 years (year 2520 day 10,1366 L Rajab / 10,May 30 th
151st,Sat,5707 Sivan / 12,|-----Ezekiel's 2520 years (year 2520 day 11,1366 L Rajab / 11,May 31 st
152nd,Sun,5707 Sivan / 13,|-----Ezekiel's 2520 years (year 2520 day 12,1366 L Rajab / 12,June 1 st
153rd,Mon,5707 Sivan / 14,|-----Ezekiel's 2520 years (year 2520 day 13,1366 L Rajab / 13,June 2 nd
154th,Tue     Full,5707 Sivan / 15,|-----Ezekiel's 2520 years (year 2520 day 14,1366 L Rajab / 14,June 3 rd
155th,Wed,5707 Sivan / 16,|-----Ezekiel's 2520 years (year 2520 day 15,1366 L Rajab / 15,June 4 th
156th,Thu,5707 Sivan / 17,|-----Ezekiel's 2520 years (year 2520 day 16,1366 L Rajab / 16,June 5 th
157th,Fri,5707 Sivan / 18,|-----Ezekiel's 2520 years (year 2520 day 17,1366 L Rajab / 17,June 6 th
158th,Sat,5707 Sivan / 19,|-----Ezekiel's 2520 years (year 2520 day 18,1366 L Rajab / 18,June 7 th
159th,Sun,5707 Sivan / 20,|-----Ezekiel's 2520 years (year 2520 day 19,1366 L Rajab / 19,June 8 th
160th S,Mon,5707 Sivan / 21,|-----Ezekiel's 2520 years (year 2520 day 20,1366 L Rajab / 20,June 9 th
161st,Tue,5707 Sivan / 22,|-----Ezekiel's 2520 years (year 2520 day 21,1366 L Rajab / 21,June 10 th
162nd,Wed,5707 Sivan / 23,|-----Ezekiel's 2520 years (year 2520 day 22,1366 L Rajab / 22,June 11 th
163rd,Thu,5707 Sivan / 24,|-----Ezekiel's 2520 years (year 2520 day 23,1366 L Rajab / 23,June 12 th
164th,Fri,5707 Sivan / 25,|-----Ezekiel's 2520 years (year 2520 day 24,1366 L Rajab / 24,June 13 th
165th,Sat,5707 Sivan / 26,|-----Ezekiel's 2520 years (year 2520 day 25,1366 L Rajab / 25,June 14 th
166th,Sun,5707 Sivan / 27,|-----Ezekiel's 2520 years (year 2520 day 26,1366 L Rajab / 26,June 15 th
167th,Mon,5707 Sivan / 28,|-----Ezekiel's 2520 years (year 2520 day 27,1366 L Rajab / 27,June 16 th
168th,Tue,5707 Sivan / 29,|-----Ezekiel's 2520 years (year 2520 day 28,1366 L Rajab / 28,June 17 th
169th,Wed     New,5707 Sivan / 30,|-----Ezekiel's 2520 years (year 2520 day 29,1366 L Rajab / 29,June 18 th
170th,Thu,5707 Tammuz / 1,|-----Ezekiel's 2520 years (year 2520 day 30,1366 L Rajab / 30,June 19 th
171st,Fri,5707 Tammuz / 2,|-----Ezekiel's 2520 years (year 2520 day 31,1366 L Sha`ban / 1,June 20 th
172nd,Sat,5707 Tammuz / 3,|-----Ezekiel's 2520 years (year 2520 day 32,1366 L Sha`ban / 2,June 21 st
173rd,Sun,5707 Tammuz / 4,|-----Ezekiel's 2520 years (year 2520 day 33,1366 L Sha`ban / 3,June 22 nd
174th,Mon,5707 Tammuz / 5,|-----Ezekiel's 2520 years (year 2520 day 34,1366 L Sha`ban / 4,June 23 rd
175th,Tue,5707 Tammuz / 6,|-----Ezekiel's 2520 years (year 2520 day 35,1366 L Sha`ban / 5,June 24 th
176th,Wed,5707 Tammuz / 7,|-----Ezekiel's 2520 years (year 2520 day 36,1366 L Sha`ban / 6,June 25 th
177th,Thu,5707 Tammuz / 8,|-----Ezekiel's 2520 years (year 2520 day 37,1366 L Sha`ban / 7,June 26 th
178th,Fri,5707 Tammuz / 9,|-----Ezekiel's 2520 years (year 2520 day 38,1366 L Sha`ban / 8,June 27 th
179th,Sat,5707 Tammuz / 10,|-----Ezekiel's 2520 years (year 2520 day 39,1366 L Sha`ban / 9,June 28 th
180th,Sun,5707 Tammuz / 11,|-----Ezekiel's 2520 years (year 2520 day 40,1366 L Sha`ban / 10,June 29 th
181st,Mon,5707 Tammuz / 12,|-----Ezekiel's 2520 years (year 2520 day 41,1366 L Sha`ban / 11,June 30 th
182nd,Tue,5707 Tammuz / 13,|-----Ezekiel's 2520 years (year 2520 day 42,1366 L Sha`ban / 12,July 1 st
183rd,Wed,5707 Tammuz / 14,|-----Ezekiel's 2520 years (year 2520 day 43,1366 L Sha`ban / 13,July 2 nd
184th,Thu     Full,5707 Tammuz / 15,|-----Ezekiel's 2520 years (year 2520 day 44,1366 L Sha`ban / 14,July 3 rd
185th,Fri,5707 Tammuz / 16,|-----Ezekiel's 2520 years (year 2520 day 45,1366 L Sha`ban / 15,July 4 th
186th,Sat,5707 Tammuz / 17,|-----Ezekiel's 2520 years (year 2520 day 46,1366 L Sha`ban / 16,July 5 th
187th,Sun,5707 Tammuz / 18,|-----Ezekiel's 2520 years (year 2520 day 47,1366 L Sha`ban / 17,July 6 th
188th,Mon,5707 Tammuz / 19,|-----Ezekiel's 2520 years (year 2520 day 48,1366 L Sha`ban / 18,July 7 th
189th,Tue,5707 Tammuz / 20,|-----Ezekiel's 2520 years (year 2520 day 49,1366 L Sha`ban / 19,July 8 th
190th,Wed,5707 Tammuz / 21,|-----Ezekiel's 2520 years (year 2520 day 50,1366 L Sha`ban / 20,July 9 th
191st,Thu,5707 Tammuz / 22,|-----Ezekiel's 2520 years (year 2520 day 51,1366 L Sha`ban / 21,July 10 th
192nd,Fri,5707 Tammuz / 23,|-----Ezekiel's 2520 years (year 2520 day 52,1366 L Sha`ban / 22,July 11 th
193rd,Sat,5707 Tammuz / 24,|-----Ezekiel's 2520 years (year 2520 day 53,1366 L Sha`ban / 23,July 12 th
194th,Sun,5707 Tammuz / 25,|-----Ezekiel's 2520 years (year 2520 day 54,1366 L Sha`ban / 24,July 13 th
195th,Mon,5707 Tammuz / 26,|-----Ezekiel's 2520 years (year 2520 day 55,1366 L Sha`ban / 25,July 14 th
196th,Tue,5707 Tammuz / 27,|-----Ezekiel's 2520 years (year 2520 day 56,1366 L Sha`ban / 26,July 15 th
197th,Wed,5707 Tammuz / 28,|-----Ezekiel's 2520 years (year 2520 day 57,1366 L Sha`ban / 27,July 16 th
198th,Thu,5707 Tammuz / 29,|-----Ezekiel's 2520 years (year 2520 day 58,1366 L Sha`ban / 28,July 17 th
199th,Fri     New,5707 Av / 1,|-----Ezekiel's 2520 years (year 2520 day 59,1366 L Sha`ban / 29,July 18 th
200th,Sat,5707 Av / 2,|-----Ezekiel's 2520 years (year 2520 day 60,1366 L Ramadan / 1,July 19 th
201st,Sun,5707 Av / 3,|-----Ezekiel's 2520 years (year 2520 day 61,1366 L Ramadan / 2,July 20 th
202nd,Mon,5707 Av / 4,|-----Ezekiel's 2520 years (year 2520 day 62,1366 L Ramadan / 3,July 21 st
203rd,Tue,5707 Av / 5,|-----Ezekiel's 2520 years (year 2520 day 63,1366 L Ramadan / 4,July 22 nd
204th,Wed,5707 Av / 6,|-----Ezekiel's 2520 years (year 2520 day 64,1366 L Ramadan / 5,July 23 rd
205th,Thu,5707 Av / 7,|-----Ezekiel's 2520 years (year 2520 day 65,1366 L Ramadan / 6,July 24 th
206th,Fri,5707 Av / 8,|-----Ezekiel's 2520 years (year 2520 day 66,1366 L Ramadan / 7,July 25 th
207th,Sat,5707 Av / 9,|-----Ezekiel's 2520 years (year 2520 day 67,1366 L Ramadan / 8,July 26 th
208th,Sun,5707 Av / 10,|-----Ezekiel's 2520 years (year 2520 day 68,1366 L Ramadan / 9,July 27 th
209th,Mon,5707 Av / 11,|-----Ezekiel's 2520 years (year 2520 day 69,1366 L Ramadan / 10,July 28 th
210th,Tue,5707 Av / 12,|-----Ezekiel's 2520 years (year 2520 day 70,1366 L Ramadan / 11,July 29 th
211th,Wed,5707 Av / 13,|-----Ezekiel's 2520 years (year 2520 day 71,1366 L Ramadan / 12,July 30 th
