SOLAR,8000 L,HEBREW,SELEUCID ERA,CAPPADOCIA,EGYPT Civil,JULIAN AUC,HISTORICAL
122nd,Mon,3760 Iyar / 10,311 Daisios / 10,Sathriore / 19,SHEMU Pachons / 7,753 Maius \ 2,1 BC L May \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-222,,,,,
123rd,Tue,3760 Iyar / 11,311 Daisios / 11,Sathriore / 20,SHEMU Pachons / 8,753 Maius \ 3,1 BC L May \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-223,,,,,
124th,Wed,3760 Iyar / 12,311 Daisios / 12,Sathriore / 21,SHEMU Pachons / 9,753 Maius \ 4,1 BC L May \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-224,,,,,
125th,Thu,3760 Iyar / 13,311 Daisios / 13,Sathriore / 22,SHEMU Pachons / 10,753 Maius \ 5,1 BC L May \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-225,,,,,
126th,Fri     Full Moon,3760 Iyar / 14,311 Daisios / 14,Sathriore / 23,SHEMU Pachons / 11,753 Maius \ 6,1 BC L May \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-226,,,,,
127th,Sat,3760 Iyar / 15,311 Daisios / 15,Sathriore / 24,SHEMU Pachons / 12,753 Maius \ 7,1 BC L May \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-227,,,,,
128th,Sun,3760 Iyar / 16,311 Daisios / 16,Sathriore / 25,SHEMU Pachons / 13,753 Maius \ 8,1 BC L May \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-228,,,,,
129th,Mon,3760 Iyar / 17,311 Daisios / 17,Sathriore / 26,SHEMU Pachons / 14,753 Maius \ 9,1 BC L May \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-229,,,,,
130th,Tue,3760 Iyar / 18,311 Daisios / 18,Sathriore / 27,SHEMU Pachons / 15,753 Maius \ 10,1 BC L May \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-230,,,,,
131st,Wed,3760 Iyar / 19,311 Daisios / 19,Sathriore / 28,SHEMU Pachons / 16,753 Maius \ 11,1 BC L May \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-231,,,,,
132nd,Thu,3760 Iyar / 20,311 Daisios / 20,Sathriore / 29,SHEMU Pachons / 17,753 Maius \ 12,1 BC L May \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-232,,,,,
133rd,Fri,3760 Iyar / 21,311 Daisios / 21,Sathriore / 30,SHEMU Pachons / 18,753 Maius \ 13,1 BC L May \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-233,,,,,
134th,Sat,3760 Iyar / 22,311 Daisios / 22,Mithre / 1,SHEMU Pachons / 19,753 Maius \ 14,1 BC L May \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-234,,,,,
135th,Sun,3760 Iyar / 23,311 Daisios / 23,Mithre / 2,SHEMU Pachons / 20,753 Maius \ 15,1 BC L May \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-235,,,,,
136th,Mon,3760 Iyar / 24,311 Daisios / 24,Mithre / 3,SHEMU Pachons / 21,753 Maius \ 16,1 BC L May \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-236,,,,,
137th,Tue,3760 Iyar / 25,311 Daisios / 25,Mithre / 4,SHEMU Pachons / 22,753 Maius \ 17,1 BC L May \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-237,,,,,
138th,Wed,3760 Iyar / 26,311 Daisios / 26,Mithre / 5,SHEMU Pachons / 23,753 Maius \ 18,1 BC L May \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-238,,,,,
139th,Thu,3760 Iyar / 27,311 Daisios / 27,Mithre / 6,SHEMU Pachons / 24,753 Maius \ 19,1 BC L May \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-239,,,,,
140th,Fri,3760 Iyar / 28,311 Daisios / 28,Mithre / 7,SHEMU Pachons / 25,753 Maius \ 20,1 BC L May \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-240,,,,,
141st,Sat     New Moon,3760 Iyar / 29,311 Daisios / 29,Mithre / 8,SHEMU Pachons / 26,753 Maius \ 21,1 BC L May \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-241,,,,,
142nd,Sun,3760 Sivan / 1,311 Daisios / 30,Mithre / 9,SHEMU Pachons / 27,753 Maius \ 22,1 BC L May \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-242,,,,,
143rd,Mon,3760 Sivan / 2,311 Panemos / 1,Mithre / 10,SHEMU Pachons / 28,753 Maius \ 23,1 BC L May \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-243,,,,,
144th,Tue,3760 Sivan / 3,311 Panemos / 2,Mithre / 11,SHEMU Pachons / 29,753 Maius \ 24,1 BC L May \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-244,,,,,
145th,Wed,3760 Sivan / 4,311 Panemos / 3,Mithre / 12,SHEMU Pachons / 30,753 Maius \ 25,1 BC L May \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-245,,,,,
146th,Thu,3760 Sivan / 5,311 Panemos / 4,Mithre / 13,SHEMU Payni / 1,753 Maius \ 26,1 BC L May \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-246,,,,,
147th,Fri,3760 Sivan / 6,311 Panemos / 5,Mithre / 14,SHEMU Payni / 2,753 Maius \ 27,1 BC L May \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-247,,,,,
148th,Sat,3760 Sivan / 7,311 Panemos / 6,Mithre / 15,SHEMU Payni / 3,753 Maius \ 28,1 BC L May \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-248,,,,,
149th,Sun,3760 Sivan / 8,311 Panemos / 7,Mithre / 16,SHEMU Payni / 4,753 Maius \ 29,1 BC L May \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-249,,,,,
150th,Mon,3760 Sivan / 9,311 Panemos / 8,Mithre / 17,SHEMU Payni / 5,753 Maius \ 30,1 BC L May \ 31
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-250,,,,,
151st,Tue,3760 Sivan / 10,311 Panemos / 9,Mithre / 18,SHEMU Payni / 6,753 Maius \ 31,1 BC L Jun \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-251,,,,,
152nd,Wed,3760 Sivan / 11,311 Panemos / 10,Mithre / 19,SHEMU Payni / 7,753 Iunius \ 1,1 BC L Jun \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-252,,,,,
153rd,Thu,3760 Sivan / 12,311 Panemos / 11,Mithre / 20,SHEMU Payni / 8,753 Iunius \ 2,1 BC L Jun \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-253,,,,,
154th,Fri,3760 Sivan / 13,311 Panemos / 12,Mithre / 21,SHEMU Payni / 9,753 Iunius \ 3,1 BC L Jun \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-254,,,,,
155th,Sat     Full Moon,3760 Sivan / 14,311 Panemos / 13,Mithre / 22,SHEMU Payni / 10,753 Iunius \ 4,1 BC L Jun \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-255,,,,,
156th,Sun,3760 Sivan / 15,311 Panemos / 14,Mithre / 23,SHEMU Payni / 11,753 Iunius \ 5,1 BC L Jun \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-256,,,,,
157th,Mon,3760 Sivan / 16,311 Panemos / 15,Mithre / 24,SHEMU Payni / 12,753 Iunius \ 6,1 BC L Jun \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-257,,,,,
158th,Tue,3760 Sivan / 17,311 Panemos / 16,Mithre / 25,SHEMU Payni / 13,753 Iunius \ 7,1 BC L Jun \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-258,,,,,
159th,Wed,3760 Sivan / 18,311 Panemos / 17,Mithre / 26,SHEMU Payni / 14,753 Iunius \ 8,1 BC L Jun \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-259,,,,,
160th,Thu,3760 Sivan / 19,311 Panemos / 18,Mithre / 27,SHEMU Payni / 15,753 Iunius \ 9,1 BC L Jun \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-260,,,,,
161st,Fri,3760 Sivan / 20,311 Panemos / 19,Mithre / 28,SHEMU Payni / 16,753 Iunius \ 10,1 BC L Jun \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-261,,,,,
162nd,Sat,3760 Sivan / 21,311 Panemos / 20,Mithre / 29,SHEMU Payni / 17,753 Iunius \ 11,1 BC L Jun \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-262,,,,,
163rd,Sun,3760 Sivan / 22,311 Panemos / 21,Mithre / 30,SHEMU Payni / 18,753 Iunius \ 12,1 BC L Jun \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-263,,,,,
164th,Mon,3760 Sivan / 23,311 Panemos / 22,Apomenapa / 1,SHEMU Payni / 19,753 Iunius \ 13,1 BC L Jun \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-264,,,,,
165th,Tue,3760 Sivan / 24,311 Panemos / 23,Apomenapa / 2,SHEMU Payni / 20,753 Iunius \ 14,1 BC L Jun \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-265,,,,,
166th,Wed,3760 Sivan / 25,311 Panemos / 24,Apomenapa / 3,SHEMU Payni / 21,753 Iunius \ 15,1 BC L Jun \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-266,,,,,
167th,Thu,3760 Sivan / 26,311 Panemos / 25,Apomenapa / 4,SHEMU Payni / 22,753 Iunius \ 16,1 BC L Jun \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-267,,,,,
168th,Fri,3760 Sivan / 27,311 Panemos / 26,Apomenapa / 5,SHEMU Payni / 23,753 Iunius \ 17,1 BC L Jun \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-268,,,,,
169th,Sat,3760 Sivan / 28,311 Panemos / 27,Apomenapa / 6,SHEMU Payni / 24,753 Iunius \ 18,1 BC L Jun \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-269,,,,,
170th,Sun     New Moon,3760 Sivan / 29,311 Panemos / 28,Apomenapa / 7,SHEMU Payni / 25,753 Iunius \ 19,1 BC L Jun \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-270,,,,,
171st,Mon,3760 Sivan / 30,311 Panemos / 29,Apomenapa / 8,SHEMU Payni / 26,753 Iunius \ 20,1 BC L Jun \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-271,,,,,
172nd Solstice,Tue,3760 Tammuz / 1,311 Loos / 1,Apomenapa / 9,SHEMU Payni / 27,753 Iunius \ 21,1 BC L Jun \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-272,,,,,
173rd,Wed,3760 Tammuz / 2,311 Loos / 2,Apomenapa / 10,SHEMU Payni / 28,753 Iunius \ 22,1 BC L Jun \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-273,,,,,
174th,Thu,3760 Tammuz / 3,311 Loos / 3,Apomenapa / 11,SHEMU Payni / 29,753 Iunius \ 23,1 BC L Jun \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-274,,,,,
175th,Fri,3760 Tammuz / 4,311 Loos / 4,Apomenapa / 12,SHEMU Payni / 30,753 Iunius \ 24,1 BC L Jun \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-275,,,,,
176th,Sat,3760 Tammuz / 5,311 Loos / 5,Apomenapa / 13,SHEMU Epiphi / 1,753 Iunius \ 25,1 BC L Jun \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-276,,,,,
177th,Sun,3760 Tammuz / 6,311 Loos / 6,Apomenapa / 14,SHEMU Epiphi / 2,753 Iunius \ 26,1 BC L Jun \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-277,,,,,
178th,Mon,3760 Tammuz / 7,311 Loos / 7,Apomenapa / 15,SHEMU Epiphi / 3,753 Iunius \ 27,1 BC L Jun \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-278,,,,,
179th,Tue,3760 Tammuz / 8,311 Loos / 8,Apomenapa / 16,SHEMU Epiphi / 4,753 Iunius \ 28,1 BC L Jun \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-279,,,,,
180th,Wed,3760 Tammuz / 9,311 Loos / 9,Apomenapa / 17,SHEMU Epiphi / 5,753 Iunius \ 29,1 BC L Jun \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-280,,,,,
181st,Thu,3760 Tammuz / 10,311 Loos / 10,Apomenapa / 18,SHEMU Epiphi / 6,753 Iunius \ 30,1 BC L Jul \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-281,,,,,
182nd,Fri,3760 Tammuz / 11,311 Loos / 11,Apomenapa / 19,SHEMU Epiphi / 7,753 Julius \ 1,1 BC L Jul \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-282,,,,,
183rd,Sat,3760 Tammuz / 12,311 Loos / 12,Apomenapa / 20,SHEMU Epiphi / 8,753 Julius \ 2,1 BC L Jul \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-283,,,,,
184th,Sun,3760 Tammuz / 13,311 Loos / 13,Apomenapa / 21,SHEMU Epiphi / 9,753 Julius \ 3,1 BC L Jul \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-284,,,,,
185th,Mon     Full Moon,3760 Tammuz / 14,311 Loos / 14,Apomenapa / 22,SHEMU Epiphi / 10,753 Julius \ 4,1 BC L Jul \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-285,,,,,
186th,Tue,3760 Tammuz / 15,311 Loos / 15,Apomenapa / 23,SHEMU Epiphi / 11,753 Julius \ 5,1 BC L Jul \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-286,,,,,
187th,Wed,3760 Tammuz / 16,311 Loos / 16,Apomenapa / 24,SHEMU Epiphi / 12,753 Julius \ 6,1 BC L Jul \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-287,,,,,
188th,Thu,3760 Tammuz / 17,311 Loos / 17,Apomenapa / 25,SHEMU Epiphi / 13,753 Julius \ 7,1 BC L Jul \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-288,,,,,
189th,Fri,3760 Tammuz / 18,311 Loos / 18,Apomenapa / 26,SHEMU Epiphi / 14,753 Julius \ 8,1 BC L Jul \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-289,,,,,
190th,Sat,3760 Tammuz / 19,311 Loos / 19,Apomenapa / 27,SHEMU Epiphi / 15,753 Julius \ 9,1 BC L Jul \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-290,,,,,
191st,Sun,3760 Tammuz / 20,311 Loos / 20,Apomenapa / 28,SHEMU Epiphi / 16,753 Julius \ 10,1 BC L Jul \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-291,,,,,
192nd,Mon,3760 Tammuz / 21,311 Loos / 21,Apomenapa / 29,SHEMU Epiphi / 17,753 Julius \ 11,1 BC L Jul \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-292,,,,,
193rd,Tue,3760 Tammuz / 22,311 Loos / 22,Apomenapa / 30,SHEMU Epiphi / 18,753 Julius \ 12,1 BC L Jul \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-293,,,,,
194th,Wed,3760 Tammuz / 23,311 Loos / 23,Athra / 1,SHEMU Epiphi / 19,753 Julius \ 13,1 BC L Jul \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-294,,,,,
195th,Thu,3760 Tammuz / 24,311 Loos / 24,Athra / 2,SHEMU Epiphi / 20,753 Julius \ 14,1 BC L Jul \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-295,,,,,
196th,Fri,3760 Tammuz / 25,311 Loos / 25,Athra / 3,SHEMU Epiphi / 21,753 Julius \ 15,1 BC L Jul \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-296,,,,,
197th,Sat,3760 Tammuz / 26,311 Loos / 26,Athra / 4,SHEMU Epiphi / 22,753 Julius \ 16,1 BC L Jul \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-297,,,,,
198th,Sun,3760 Tammuz / 27,311 Loos / 27,Athra / 5,SHEMU Epiphi / 23,753 Julius \ 17,1 BC L Jul \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-298,,,,,
199th,Mon     New Moon,3760 Tammuz / 28,311 Loos / 28,Athra / 6,SHEMU Epiphi / 24,753 Julius \ 18,1 BC L Jul \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-299,,,,,
200th,Tue,3760 Tammuz / 29,311 Loos / 29,Athra / 7,SHEMU Epiphi / 25,753 Julius \ 19,1 BC L Jul \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-300,,,,,
201st,Wed,3760 Av / 1,311 Loos / 30,Athra / 8,SHEMU Epiphi / 26,753 Julius \ 20,1 BC L Jul \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-301,,,,,
202nd,Thu,3760 Av / 2,311 Gorpiaios / 1,Athra / 9,SHEMU Epiphi / 27,753 Julius \ 21,1 BC L Jul \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-302,,,,,
203rd,Fri,3760 Av / 3,311 Gorpiaios / 2,Athra / 10,SHEMU Epiphi / 28,753 Julius \ 22,1 BC L Jul \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-303,,,,,
204th,Sat,3760 Av / 4,311 Gorpiaios / 3,Athra / 11,SHEMU Epiphi / 29,753 Julius \ 23,1 BC L Jul \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-304,,,,,
205th,Sun,3760 Av / 5,311 Gorpiaios / 4,Athra / 12,SHEMU Epiphi / 30,753 Julius \ 24,1 BC L Jul \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-305,,,,,
206th,Mon,3760 Av / 6,311 Gorpiaios / 5,Athra / 13,SHEMU Mesore / 1,753 Julius \ 25,1 BC L Jul \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-306,,,,,
207th,Tue,3760 Av / 7,311 Gorpiaios / 6,Athra / 14,SHEMU Mesore / 2,753 Julius \ 26,1 BC L Jul \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-307,,,,,
208th,Wed,3760 Av / 8,311 Gorpiaios / 7,Athra / 15,SHEMU Mesore / 3,753 Julius \ 27,1 BC L Jul \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-308,,,,,
209th,Thu,3760 Av / 9,311 Gorpiaios / 8,Athra / 16,SHEMU Mesore / 4,753 Julius \ 28,1 BC L Jul \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-309,,,,,
210th,Fri,3760 Av / 10,311 Gorpiaios / 9,Athra / 17,SHEMU Mesore / 5,753 Julius \ 29,1 BC L Jul \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-310,,,,,
211th,Sat,3760 Av / 11,311 Gorpiaios / 10,Athra / 18,SHEMU Mesore / 6,753 Julius \ 30,1 BC L Jul \ 31
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-311,,,,,
212th,Sun,3760 Av / 12,311 Gorpiaios / 11,Athra / 19,SHEMU Mesore / 7,753 Julius \ 31,1 BC L Aug \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-312,,,,,
213th,Mon,3760 Av / 13,311 Gorpiaios / 12,Athra / 20,SHEMU Mesore / 8,753 Augustus \ 1,1 BC L Aug \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-313,,,,,
214th,Tue     Full Moon,3760 Av / 14,311 Gorpiaios / 13,Athra / 21,SHEMU Mesore / 9,753 Augustus \ 2,1 BC L Aug \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-314,,,,,
215th,Wed,3760 Av / 15,311 Gorpiaios / 14,Athra / 22,SHEMU Mesore / 10,753 Augustus \ 3,1 BC L Aug \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-315,,,,,
216th,Thu,3760 Av / 16,311 Gorpiaios / 15,Athra / 23,SHEMU Mesore / 11,753 Augustus \ 4,1 BC L Aug \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-316,,,,,
217th,Fri,3760 Av / 17,311 Gorpiaios / 16,Athra / 24,SHEMU Mesore / 12,753 Augustus \ 5,1 BC L Aug \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-317,,,,,
218th,Sat,3760 Av / 18,311 Gorpiaios / 17,Athra / 25,SHEMU Mesore / 13,753 Augustus \ 6,1 BC L Aug \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-318,,,,,
219th,Sun,3760 Av / 19,311 Gorpiaios / 18,Athra / 26,SHEMU Mesore / 14,753 Augustus \ 7,1 BC L Aug \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-319,,,,,
220th,Mon,3760 Av / 20,311 Gorpiaios / 19,Athra / 27,SHEMU Mesore / 15,753 Augustus \ 8,1 BC L Aug \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-320,,,,,
221st,Tue,3760 Av / 21,311 Gorpiaios / 20,Athra / 28,SHEMU Mesore / 16,753 Augustus \ 9,1 BC L Aug \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-321,,,,,
222nd,Wed,3760 Av / 22,311 Gorpiaios / 21,Athra / 29,SHEMU Mesore / 17,753 Augustus \ 10,1 BC L Aug \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-322,,,,,
223rd,Thu,3760 Av / 23,311 Gorpiaios / 22,Athra / 30,SHEMU Mesore / 18,753 Augustus \ 11,1 BC L Aug \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-323,,,,,
224th,Fri,3760 Av / 24,311 Gorpiaios / 23,Dathusa / 1,SHEMU Mesore / 19,753 Augustus \ 12,1 BC L Aug \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-324,,,,,
225th,Sat,3760 Av / 25,311 Gorpiaios / 24,Dathusa / 2,SHEMU Mesore / 20,753 Augustus \ 13,1 BC L Aug \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-325,,,,,
226th,Sun,3760 Av / 26,311 Gorpiaios / 25,Dathusa / 3,SHEMU Mesore / 21,753 Augustus \ 14,1 BC L Aug \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-326,,,,,
227th,Mon,3760 Av / 27,311 Gorpiaios / 26,Dathusa / 4,SHEMU Mesore / 22,753 Augustus \ 15,1 BC L Aug \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-327,,,,,
228th,Tue,3760 Av / 28,311 Gorpiaios / 27,Dathusa / 5,SHEMU Mesore / 23,753 Augustus \ 16,1 BC L Aug \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-328,,,,,
229th,Wed     New Moon,3760 Av / 29,311 Gorpiaios / 28,Dathusa / 6,SHEMU Mesore / 24,753 Augustus \ 17,1 BC L Aug \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-329,,,,,
230th,Thu,3760 Av / 30,311 Gorpiaios / 29,Dathusa / 7,SHEMU Mesore / 25,753 Augustus \ 18,1 BC L Aug \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-330,,,,,
231st,Fri,3760 Elul / 1,311 Hyperberetaios / 1,Dathusa / 8,SHEMU Mesore / 26,753 Augustus \ 19,1 BC L Aug \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-331,,,,,
232nd,Sat,3760 Elul / 2,311 Hyperberetaios / 2,Dathusa / 9,SHEMU Mesore / 27,753 Augustus \ 20,1 BC L Aug \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-332,,,,,
233rd,Sun,3760 Elul / 3,311 Hyperberetaios / 3,Dathusa / 10,SHEMU Mesore / 28,753 Augustus \ 21,1 BC L Aug \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-333,,,,,
234th,Mon,3760 Elul / 4,311 Hyperberetaios / 4,Dathusa / 11,SHEMU Mesore / 29,753 Augustus \ 22,1 BC L Aug \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-334,,,,,
235th,Tue,3760 Elul / 5,311 Hyperberetaios / 5,Dathusa / 12,SHEMU Mesore / 30,753 Augustus \ 23,1 BC L Aug \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-335,,,,,
236th,Wed,3760 Elul / 6,311 Hyperberetaios / 6,Dathusa / 13,Osiris,753 Augustus \ 24,1 BC L Aug \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-336,,,,,
237th,Thu,3760 Elul / 7,311 Hyperberetaios / 7,Dathusa / 14,Horus,753 Augustus \ 25,1 BC L Aug \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-337,,,,,
238th,Fri,3760 Elul / 8,311 Hyperberetaios / 8,Dathusa / 15,Seth,753 Augustus \ 26,1 BC L Aug \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-338,,,,,
239th,Sat,3760 Elul / 9,311 Hyperberetaios / 9,Dathusa / 16,Isis,753 Augustus \ 27,1 BC L Aug \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-339,,,,,
240th,Sun,3760 Elul / 10,311 Hyperberetaios / 10,Dathusa / 17,Nephthys,753 Augustus \ 28,1 BC L Aug \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-340,,,,,
241st,Mon,3760 Elul / 11,311 Hyperberetaios / 11,Dathusa / 18,AKHET Thoth / 1 New Year,753 Augustus \ 29,1 BC L Aug \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-341,,,,,
242nd,Tue,3760 Elul / 12,311 Hyperberetaios / 12,Dathusa / 19,AKHET Thoth / 2,753 Augustus \ 30,1 BC L Aug \ 31
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-342,,,,,
243rd,Wed,3760 Elul / 13,311 Hyperberetaios / 13,Dathusa / 20,AKHET Thoth / 3,753 Augustus \ 31,1 BC L Sep \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-343,,,,,
244th,Thu     Full Moon,3760 Elul / 14,311 Hyperberetaios / 14,Dathusa / 21,AKHET Thoth / 4,753 Sep \ 1,1 BC L Sep \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-344,,,,,
245th,Fri,3760 Elul / 15,311 Hyperberetaios / 15,Dathusa / 22,AKHET Thoth / 5,753 Sep \ 2,1 BC L Sep \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-345,,,,,
246th,Sat,3760 Elul / 16,311 Hyperberetaios / 16,Dathusa / 23,AKHET Thoth / 6,753 Sep \ 3,1 BC L Sep \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-346,,,,,
247th,Sun,3760 Elul / 17,311 Hyperberetaios / 17,Dathusa / 24,AKHET Thoth / 7,753 Sep \ 4,1 BC L Sep \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-347,,,,,
