SOLAR,8000 L,HEBREW,SELEUCID ERA,CAPPADOCIA,EGYPT Civil,JULIAN AUC,HISTORICAL
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-128,,,,,
29th,Sat,3760 L Adar I / 6,311 Dystros / 5,Ararata / 16,PERET Mechir / 4,753 Ianuarius \ 29,1 BC L Jan \ 31
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-129,,,,,
30th,Sun,3760 L Adar I / 7,311 Dystros / 6,Ararata / 17,PERET Mechir / 5,753 Ianuarius \ 30,1 BC L Feb \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-130,,,,,
31st,Mon,3760 L Adar I / 8,311 Dystros / 7,Ararata / 18,PERET Mechir / 6,753 Ianuarius \ 31,1 BC L Feb \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-131,,,,,
32nd,Tue,3760 L Adar I / 9,311 Dystros / 8,Ararata / 19,PERET Mechir / 7,753 Februarius \ 1,1 BC L Feb \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-132,,,,,
33rd,Wed,3760 L Adar I / 10,311 Dystros / 9,Ararata / 20,PERET Mechir / 8,753 Februarius \ 2,1 BC L Feb \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-133,,,,,
34th,Thu,3760 L Adar I / 11,311 Dystros / 10,Ararata / 21,PERET Mechir / 9,753 Februarius \ 3,1 BC L Feb \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-134,,,,,
35th,Fri,3760 L Adar I / 12,311 Dystros / 11,Ararata / 22,PERET Mechir / 10,753 Februarius \ 4,1 BC L Feb \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-135,,,,,
36th,Sat,3760 L Adar I / 13,311 Dystros / 12,Ararata / 23,PERET Mechir / 11,753 Februarius \ 5,1 BC L Feb \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-136,,,,,
36th,Sun     Full Moon,3760 L Adar I / 14,311 Dystros / 13,Ararata / 24,PERET Mechir / 12,753 Februarius \ 6,1 BC L Feb \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-137,,,,,
38th,Mon,3760 L Adar I / 15,311 Dystros / 14,Ararata / 25,PERET Mechir / 13,753 Februarius \ 7,1 BC L Feb \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-138,,,,,
39th,Tue,3760 L Adar I / 16,311 Dystros / 15,Ararata / 26,PERET Mechir / 14,753 Februarius \ 8,1 BC L Feb \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-139,,,,,
40th,Wed,3760 L Adar I / 17,311 Dystros / 16,Ararata / 27,PERET Mechir / 15,753 Februarius \ 9,1 BC L Feb \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-140,,,,,
41st,Thu,3760 L Adar I / 18,311 Dystros / 17,Ararata / 28,PERET Mechir / 16,753 Februarius \ 10,1 BC L Feb \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-141,,,,,
42nd,Fri,3760 L Adar I / 19,311 Dystros / 18,Ararata / 29,PERET Mechir / 17,753 Februarius \ 11,1 BC L Feb \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-142,,,,,
43rd,Sat,3760 L Adar I / 20,311 Dystros / 19,Ararata / 30,PERET Mechir / 18,753 Februarius \ 12,1 BC L Feb \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-143,,,,,
44th,Sun,3760 L Adar I / 21,311 Dystros / 20,Teiri / 1,PERET Mechir / 19,753 Februarius \ 13,1 BC L Feb \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-144,,,,,
45th,Mon,3760 L Adar I / 22,311 Dystros / 21,Teiri / 2,PERET Mechir / 20,753 Februarius \ 14,1 BC L Feb \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-145,,,,,
46th,Tue,3760 L Adar I / 23,311 Dystros / 22,Teiri / 3,PERET Mechir / 21,753 Februarius \ 15,1 BC L Feb \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-146,,,,,
47th,Wed,3760 L Adar I / 24,311 Dystros / 23,Teiri / 4,PERET Mechir / 22,753 Februarius \ 16,1 BC L Feb \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-147,,,,,
48th,Thu,3760 L Adar I / 25,311 Dystros / 24,Teiri / 5,PERET Mechir / 23,753 Februarius \ 17,1 BC L Feb \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-148,,,,,
49th,Fri,3760 L Adar I / 26,311 Dystros / 25,Teiri / 6,PERET Mechir / 24,753 Februarius \ 18,1 BC L Feb \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-149,,,,,
50th,Sat,3760 L Adar I / 27,311 Dystros / 26,Teiri / 7,PERET Mechir / 25,753 Februarius \ 19,1 BC L Feb \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-150,,,,,
51st,Sun,3760 L Adar I / 28,311 Dystros / 27,Teiri / 8,PERET Mechir / 26,753 Februarius \ 20,1 BC L Feb \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-151,,,,,
52nd,Mon,3760 L Adar I / 29,311 Dystros / 28,Teiri / 9,PERET Mechir / 27,753 Februarius \ 21,1 BC L Feb \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-152,,,,,
