SOLAR,7397,Exile,HISTORICAL
111th X,Fri,Exile year 2 day 285,604 Apr \ 28
112th X,Sat     New,Exile year 2 day 286,604 Apr \ 29
113th X,Sun,Exile year 2 day 287,604 Apr \ 30
114th X,Mon,Exile year 2 day 288,604 May \ 1
115th X,Tue,Exile year 2 day 289,604 May \ 2
116th,Wed,Exile year 2 day 290,604 May \ 3
117th,Thu,Exile year 2 day 291,604 May \ 4
118th,Fri,Exile year 2 day 292,604 May \ 5
119th,Sat,Exile year 2 day 293,604 May \ 6
120th,Sun,Exile year 2 day 294,604 May \ 7
121st,Mon,Exile year 2 day 295,604 May \ 8
122nd,Tue,Exile year 2 day 296,604 May \ 9
123rd,Wed,Exile year 2 day 297,604 May \ 10
124th,Thu,Exile year 2 day 298,604 May \ 11
125th,Fri,Exile year 2 day 299,604 May \ 12
126th,Sat,Exile year 2 day 300,604 May \ 13
127th,Sun     Full,Exile year 2 day 301,604 May \ 14
128th,Mon,Exile year 2 day 302,604 May \ 15
129th,Tue,Exile year 2 day 303,604 May \ 16
130th,Wed,Exile year 2 day 304,604 May \ 17
131st,Thu,Exile year 2 day 305,604 May \ 18
132nd,Fri,Exile year 2 day 306,604 May \ 19
133rd,Sat,Exile year 2 day 307,604 May \ 20
134th,Sun,Exile year 2 day 308,604 May \ 21
135th,Mon,Exile year 2 day 309,604 May \ 22
136th,Tue,Exile year 2 day 310,604 May \ 23
137th,Wed,Exile year 2 day 311,604 May \ 24
138th,Thu,Exile year 2 day 312,604 May \ 25
139th,Fri,Exile year 2 day 313,604 May \ 26
140th,Sat,Exile year 2 day 314,604 May \ 27
141st,Sun     New,Exile year 2 day 315,604 May \ 28
142nd,Mon,Exile year 2 day 316,604 May \ 29
143rd,Tue,Exile year 2 day 317,604 May \ 30
144th,Wed,Exile year 2 day 318,604 May \ 31
145th,Thu,Exile year 2 day 319,604 Jun / 1
146th,Fri,Exile year 2 day 320,604 Jun / 2
147th,Sat,Exile year 2 day 321,604 Jun / 3
148th,Sun,Exile year 2 day 322,604 Jun / 4
149th,Mon,Exile year 2 day 323,604 Jun / 5
150th,Tue,Exile year 2 day 324,604 Jun / 6
151st,Wed,Exile year 2 day 325,604 Jun / 7
152nd,Thu,Exile year 2 day 326,604 Jun / 8
153rd,Fri,Exile year 2 day 327,604 Jun / 9
154th,Sat,Exile year 2 day 328,604 Jun / 10
155th,Sun,Exile year 2 day 329,604 Jun / 11
156th,Mon     Full,Exile year 2 day 330,604 Jun / 12
157th,Tue,Exile year 2 day 331,604 Jun / 13
