SOLAR,9942,GREGORIAN 1942
1st,Thu,January 1 st
2nd,Fri     Full,January 2 nd
3rd,Sat,January 3 rd
4th,Sun,January 4 th
5th,Mon,January 5 th
6th,Tue,January 6 th
7th,Wed,January 7 th
8th,Thu,January 8 th
9th,Fri,January 9 th
10th,Sat,January 10 th
11th,Sun,January 11 th
12th,Mon,January 12 th
13th,Tue,January 13 th
14th,Wed,January 14 th
15th,Thu,January 15 th
16th,Fri     New,January 16 th
17th,Sat,January 17 th
18th,Sun,January 18 th
19th,Mon,January 19 th
20th,Tue,January 20 th
21st,Wed,January 21 st
22nd,Thu,January 22 nd
23rd,Fri,January 23 rd
24th,Sat,January 24 th
25th,Sun,January 25 th
26th,Mon,January 26 th
27th,Tue,January 27 th
28th,Wed,January 28 th
29th,Thu,January 29 th
30th,Fri,January 30 th
31st,Sat,January 31 st
32nd,Sun     Full,Febuary 1 st
33rd,Mon,Febuary 2 nd
34th,Tue,Febuary 3 rd
35th,Wed,Febuary 4 th
36th,Thu,Febuary 5 th
36th,Fri,Febuary 6 th
38th,Sat,Febuary 7 th
39th,Sun,Febuary 8 th
40th,Mon,Febuary 9 th
41st,Tue,Febuary 10 th
42nd,Wed,Febuary 11 th
43rd,Thu,Febuary 12 th
44th,Fri,Febuary 13 th
45th,Sat,Febuary 14 th
46th,Sun     New,Febuary 15 th
47th,Mon,Febuary 16 th
48th,Tue,Febuary 17 th
49th,Wed,Febuary 18 th
50th,Thu,Febuary 19 th
51st,Fri,Febuary 20 th
52nd,Sat,Febuary 21 st
53rd,Sun,Febuary 22 nd
54th,Mon,Febuary 23 rd
55th,Tue,Febuary 24 th
56th,Wed,Febuary 25 th
57th,Thu,Febuary 26 th
58th,Fri,Febuary 27 th
59th,Sat,Febuary 28 th
60th,Sun,March 1 st
61st,Mon,March 2 nd
62nd,Tue     Full,March 3 rd
63rd,Wed,March 4 th
64th,Thu,March 5 th
65th,Fri,March 6 th
66th,Sat,March 7 th
67th,Sun,March 8 th
68th,Mon,March 9 th
69th,Tue,March 10 th
70th,Wed,March 11 th
71st,Thu,March 12 th
72nd,Fri,March 13 th
73rd,Sat,March 14 th
74th,Sun,March 15 th
75th,Mon     New,March 16 th
76th,Tue,March 17 th
77th,Wed,March 18 th
78th,Thu,March 19 th
79th,Fri,March 20 th
80th EQ,Sat,March 21 st
81st,Sun,March 22 nd
82nd,Mon,March 23 rd
83rd,Tue,March 24 th
84th,Wed,March 25 th
85th,Thu,March 26 th
86th,Fri,March 27 th
87th,Sat,March 28 th
88th,Sun,March 29 th
89th,Mon,March 30 th
90th,Tue,March 31 st
91st,Wed     Full,April 1 st
92nd,Thu,April 2 nd
93rd,Fri,April 3 rd
94th,Sat,April 4 th
95th,Sun,April 5 th
96th,Mon,April 6 th
97th,Tue,April 7 th
98th,Wed,April 8 th
99th,Thu,April 9 th
100th,Fri,April 10 th
101st,Sat,April 11 th
102nd,Sun,April 12 th
103rd,Mon,April 13 th
104th,Tue,April 14 th
105th,Wed     New,April 15 th
106th,Thu,April 16 th
107th,Fri,April 17 th
108th,Sat,April 18 th
109th,Sun,April 19 th
110th,Mon,April 20 th
111th,Tue,April 21 st
112th,Wed,April 22 nd
113th,Thu,April 23 rd
114th,Fri,April 24 th
115th,Sat,April 25 th
116th,Sun,April 26 th
117th,Mon,April 27 th
118th,Tue,April 28 th
119th,Wed,April 29 th
120th,Thu     Full,April 30 th
121st,Fri,May 1 st
122nd,Sat,May 2 nd
123rd,Sun,May 3 rd
124th,Mon,May 4 th
125th,Tue,May 5 th
126th,Wed,May 6 th
127th,Thu,May 7 th
128th,Fri,May 8 th
129th,Sat,May 9 th
130th,Sun,May 10 th
131st,Mon,May 11 th
132nd,Tue,May 12 th
133rd,Wed,May 13 th
134th,Thu,May 14 th
135th,Fri     New,May 15 th
136th,Sat,May 16 th
137th,Sun,May 17 th
138th,Mon,May 18 th
139th,Tue,May 19 th
140th,Wed,May 20 th
141st,Thu,May 21 st
142nd,Fri,May 22 nd
143rd,Sat,May 23 rd
144th,Sun,May 24 th
145th,Mon,May 25 th
146th,Tue,May 26 th
147th,Wed,May 27 th
148th,Thu,May 28 th
149th,Fri,May 29 th
150th,Sat     Full,May 30 th
151st,Sun,May 31 st
152nd,Mon,June 1 st
153rd,Tue,June 2 nd
154th,Wed,June 3 rd
155th,Thu,June 4 th
156th,Fri,June 5 th
157th,Sat,June 6 th
158th,Sun,June 7 th
159th,Mon,June 8 th
160th S,Tue,June 9 th
161st,Wed,June 10 th
162nd,Thu,June 11 th
163rd,Fri,June 12 th
164th,Sat     New,June 13 th
165th,Sun,June 14 th
166th,Mon,June 15 th
167th,Tue,June 16 th
168th,Wed,June 17 th
