SOLAR,7396 L,Exile,HISTORICAL
271st,Tue     New,Exile year 2 day 79,605 L Oct / 4
272nd,Wed,Exile year 2 day 80,605 L Oct / 5
273rd,Thu,Exile year 2 day 81,605 L Oct / 6
274th,Fri,Exile year 2 day 82,605 L Oct / 7
275th,Sat,Exile year 2 day 83,605 L Oct / 8
276th,Sun,Exile year 2 day 84,605 L Oct / 9
277th,Mon,Exile year 2 day 85,605 L Oct / 10
278th,Tue,Exile year 2 day 86,605 L Oct / 11
279th,Wed,Exile year 2 day 87,605 L Oct / 12
280th,Thu,Exile year 2 day 88,605 L Oct / 13
281st,Fri,Exile year 2 day 89,605 L Oct / 14
282nd,Sat,Exile year 2 day 90,605 L Oct / 15
283rd,Sun,Exile year 2 day 91,605 L Oct / 16
284th,Mon,Exile year 2 day 92,605 L Oct / 17
285th,Tue,Exile year 2 day 93,605 L Oct / 18
286th,Wed     Full,Exile year 2 day 94,605 L Oct / 19
287th,Thu,Exile year 2 day 95,605 L Oct / 20
288th,Fri,Exile year 2 day 96,605 L Oct / 21
289th,Sat,Exile year 2 day 97,605 L Oct / 22
290th,Sun,Exile year 2 day 98,605 L Oct / 23
291st,Mon,Exile year 2 day 99,605 L Oct / 24
292nd,Tue,Exile year 2 day 100,605 L Oct / 25
293rd,Wed,Exile year 2 day 101,605 L Oct / 26
294th,Thu,Exile year 2 day 102,605 L Oct / 27
295th,Fri,Exile year 2 day 103,605 L Oct / 28
296th,Sat,Exile year 2 day 104,605 L Oct / 29
297th,Sun,Exile year 2 day 105,605 L Oct / 30
298th,Mon,Exile year 2 day 106,605 L Oct / 31
299th,Tue,Exile year 2 day 107,605 L Nov / 1
300th,Wed,Exile year 2 day 108,605 L Nov / 2
301st,Thu     New,Exile year 2 day 109,605 L Nov / 3
302nd,Fri,Exile year 2 day 110,605 L Nov / 4
303rd,Sat,Exile year 2 day 111,605 L Nov / 5
304th,Sun,Exile year 2 day 112,605 L Nov / 6
305th,Mon,Exile year 2 day 113,605 L Nov / 7
306th,Tue,Exile year 2 day 114,605 L Nov / 8
307th,Wed,Exile year 2 day 115,605 L Nov / 9
308th,Thu,Exile year 2 day 116,605 L Nov / 10
309th,Fri,Exile year 2 day 117,605 L Nov / 11
310th,Sat,Exile year 2 day 118,605 L Nov / 12
311th,Sun,Exile year 2 day 119,605 L Nov / 13
312th,Mon,Exile year 2 day 120,605 L Nov / 14
313th,Tue,Exile year 2 day 121,605 L Nov / 15
314th,Wed,Exile year 2 day 122,605 L Nov / 16
315th,Thu     Full,Exile year 2 day 123,605 L Nov / 17
316th,Fri,Exile year 2 day 124,605 L Nov / 18
317th,Sat,Exile year 2 day 125,605 L Nov / 19
318th,Sun,Exile year 2 day 126,605 L Nov / 20
319th,Mon,Exile year 2 day 127,605 L Nov / 21
320th,Tue,Exile year 2 day 128,605 L Nov / 22
321st,Wed,Exile year 2 day 129,605 L Nov / 23
322nd,Thu,Exile year 2 day 130,605 L Nov / 24
323rd,Fri,Exile year 2 day 131,605 L Nov / 25
324th,Sat,Exile year 2 day 132,605 L Nov / 26
325th,Sun,Exile year 2 day 133,605 L Nov / 27
326th,Mon,Exile year 2 day 134,605 L Nov / 28
327th,Tue,Exile year 2 day 135,605 L Nov / 29
328th,Wed,Exile year 2 day 136,605 L Nov / 30
329th,Thu,Exile year 2 day 137,605 L Dec / 1
330th,Fri,Exile year 2 day 138,605 L Dec / 2
331st,Sat     New,Exile year 2 day 139,605 L Dec / 3
332nd,Sun,Exile year 2 day 140,605 L Dec / 4
333rd,Mon,Exile year 2 day 141,605 L Dec / 5
334th,Tue,Exile year 2 day 142,605 L Dec / 6
335th,Wed,Exile year 2 day 143,605 L Dec / 7
336th,Thu,Exile year 2 day 144,605 L Dec / 8
337th,Fri,Exile year 2 day 145,605 L Dec / 9
338th,Sat,Exile year 2 day 146,605 L Dec / 10
339th,Sun,Exile year 2 day 147,605 L Dec / 11
340th,Mon,Exile year 2 day 148,605 L Dec / 12
341st,Tue,Exile year 2 day 149,605 L Dec / 13
342nd,Wed,Exile year 2 day 150,605 L Dec / 14
343rd,Thu,Exile year 2 day 151,605 L Dec / 15
344th,Fri,Exile year 2 day 152,605 L Dec / 16
345th,Sat     Full,Exile year 2 day 153,605 L Dec / 17
346th,Sun,Exile year 2 day 154,605 L Dec / 18
347th,Mon,Exile year 2 day 155,605 L Dec / 19
348th,Tue,Exile year 2 day 156,605 L Dec / 20
349th,Wed,Exile year 2 day 157,605 L Dec / 21
350th,Thu,Exile year 2 day 158,605 L Dec / 22
351st,Fri,Exile year 2 day 159,605 L Dec / 23
352nd,Sat,Exile year 2 day 160,605 L Dec / 24
353rd,Sun,Exile year 2 day 161,605 L Dec / 25
354th,Mon,Exile year 2 day 162,605 L Dec / 26
355th,Tue,Exile year 2 day 163,605 L Dec / 27
356th SO,Wed,Exile year 2 day 164,605 L Dec / 28
357th,Thu,Exile year 2 day 165,605 L Dec / 29
358th,Fri,Exile year 2 day 166,605 L Dec / 30
359th,Sat,Exile year 2 day 167,605 L Dec / 31
360th,Sun     New,Exile year 2 day 168,604 Jan / 1
361st,Mon,Exile year 2 day 169,604 Jan / 2
362nd,Tue,Exile year 2 day 170,604 Jan / 3
363rd,Wed,Exile year 2 day 171,604 Jan / 4
364th,Thu,Exile year 2 day 172,604 Jan / 5
365th,Fri,Exile year 2 day 173,604 Jan / 6
366th,Sat,Exile year 2 day 174,604 Jan / 7
