SOLAR,9932 L,Ezekiel,GREGORIAN 1932
1st,Fri,5614,January 1 st
2nd,Sat,5615,January 2 nd
3rd,Sun,5616,January 3 rd
4th,Mon,5617,January 4 th
5th,Tue,5618,January 5 th
6th,Wed,5619,January 6 th
7th,Thu     New,5620,January 7 th
8th,Fri,5621,January 8 th
9th,Sat,5622,January 9 th
10th,Sun,5623,January 10 th
11th,Mon,5624,January 11 th
12th,Tue,5625,January 12 th
13th,Wed,5626,January 13 th
14th,Thu,5627,January 14 th
15th,Fri,5628,January 15 th
16th,Sat,5629,January 16 th
17th,Sun,5630,January 17 th
18th,Mon,5631,January 18 th
19th,Tue,5632,January 19 th
20th,Wed,5633,January 20 th
21st,Thu,5634,January 21 st
22nd,Fri,5635,January 22 nd
23rd,Sat     Full,5636,January 23 rd
24th,Sun,5637,January 24 th
25th,Mon,5638,January 25 th
26th,Tue,5639,January 26 th
27th,Wed,5640,January 27 th
28th,Thu,5641,January 28 th
29th,Fri,5642,January 29 th
30th,Sat,5643,January 30 th
31st,Sun,5644,January 31 st
32nd,Mon,5645,Febuary 1 st
33rd,Tue,5646,Febuary 2 nd
34th,Wed,5647,Febuary 3 rd
35th,Thu,5648,Febuary 4 th
36th,Fri,5649,Febuary 5 th
36th,Sat     New,5650,Febuary 6 th
38th,Sun,5651,Febuary 7 th
39th,Mon,5652,Febuary 8 th
40th,Tue,5653,Febuary 9 th
41st,Wed,5654,Febuary 10 th
42nd,Thu,5655,Febuary 11 th
43rd,Fri,5656,Febuary 12 th
44th,Sat,5657,Febuary 13 th
45th,Sun,5658,Febuary 14 th
46th,Mon,5659,Febuary 15 th
47th,Tue,5660,Febuary 16 th
48th,Wed,5661,Febuary 17 th
49th,Thu,5662,Febuary 18 th
50th,Fri,5663,Febuary 19 th
51st,Sat,5664,Febuary 20 th
52nd,Sun,5665,Febuary 21 st
53rd,Mon     Full,5666,Febuary 22 nd
54th,Tue,5667,Febuary 23 rd
55th,Wed,5668,Febuary 24 th
56th,Thu,5669,Febuary 25 th
57th,Fri,5670,Febuary 26 th
58th,Sat,5671,Febuary 27 th
59th,Sun,5672,Febuary 28 th
60th,Mon,5673,Febuary 29 th
61st,Tue,5674,March 1 st
62nd,Wed,5675,March 2 nd
63rd,Thu,5676,March 3 rd
64th,Fri,5677,March 4 th
65th,Sat,5678,March 5 th
66th,Sun,5679,March 6 th
67th,Mon     New,5680,March 7 th
68th,Tue,5681,March 8 th
69th,Wed,5682,March 9 th
70th,Thu,5683,March 10 th
71st,Fri,5684,March 11 th
72nd,Sat,5685,March 12 th
73rd,Sun,5686,March 13 th
74th,Mon,5687,March 14 th
75th,Tue,5688,March 15 th
76th,Wed,5689,March 16 th
77th,Thu,5690,March 17 th
78th,Fri,5691,March 18 th
79th,Sat,5692,March 19 th
80th EQ,Sun,5693,March 20 th
81st,Mon,5694,March 21 st
82nd,Tue     Full,5695,March 22 nd
83rd,Wed,5696,March 23 rd
84th,Thu,5697,March 24 th
85th,Fri,5698,March 25 th
86th,Sat,5699,March 26 th
87th,Sun,5700,March 27 th
88th,Mon,5701,March 28 th
89th,Tue,5702,March 29 th
90th,Wed,5703,March 30 th
91st,Thu,5704,March 31 st
92nd,Fri,5705,April 1 st
93rd,Sat,5706,April 2 nd
94th,Sun,5707,April 3 rd
95th,Mon,5708,April 4 th
96th,Tue,5709,April 5 th
97th,Wed     New,5710,April 6 th
98th,Thu,5711,April 7 th
99th,Fri,5712,April 8 th
100th,Sat,5713,April 9 th
101st,Sun,5714,April 10 th
102nd,Mon,5715,April 11 th
103rd,Tue,5716,April 12 th
104th,Wed,5717,April 13 th
105th,Thu,5718,April 14 th
106th,Fri,5719,April 15 th
107th,Sat,5720,April 16 th
108th,Sun,5721,April 17 th
109th,Mon,5722,April 18 th
110th,Tue,5723,April 19 th
111th,Wed     Full,5724,April 20 th
112th,Thu,5725,April 21 st
113th,Fri,5726,April 22 nd
114th,Sat,5727,April 23 rd
115th,Sun,5728,April 24 th
116th,Mon,5729,April 25 th
117th,Tue,5730,April 26 th
118th,Wed,5731,April 27 th
119th,Thu,5732,April 28 th
120th,Fri,5733,April 29 th
121st,Sat,5734,April 30 th
122nd,Sun,5735,May 1 st
123rd,Mon,5736,May 2 nd
124th,Tue,5737,May 3 rd
125th,Wed,5738,May 4 th
126th,Thu     New,5739,May 5 th
127th,Fri,5740,May 6 th
128th,Sat,5741,May 7 th
129th,Sun,5742,May 8 th
130th,Mon,5743,May 9 th
131st,Tue,5744,May 10 th
132nd,Wed,5745,May 11 th
133rd,Thu,5746,May 12 th
134th,Fri,5747,May 13 th
135th,Sat,5748,May 14 th
136th,Sun,5749,May 15 th
137th,Mon,5750,May 16 th
138th,Tue,5751,May 17 th
139th,Wed,5752,May 18 th
140th,Thu,5753,May 19 th
141st,Fri     Full,5754,May 20 th
142nd,Sat,5755,May 21 st
143rd,Sun,5756,May 22 nd
144th,Mon,5757,May 23 rd
145th,Tue,5758,May 24 th
146th,Wed,5759,May 25 th
147th,Thu,5760,May 26 th
148th,Fri,5761,May 27 th
149th,Sat,5762,May 28 th
150th,Sun,5763,May 29 th
151st,Mon,5764,May 30 th
152nd,Tue,5765,May 31 st
153rd,Wed,5766,June 1 st
154th,Thu,5767,June 2 nd
155th,Fri,5768,June 3 rd
156th,Sat     New,5769,June 4 th
157th,Sun,5770,June 5 th
158th,Mon,5771,June 6 th
159th,Tue,5772,June 7 th
160th S,Wed,5773,June 8 th
161st,Thu,5774,June 9 th
162nd,Fri,5775,June 10 th
163rd,Sat,5776,June 11 th
164th,Sun,5777,June 12 th
165th,Mon,5778,June 13 th
166th,Tue,5779,June 14 th
167th,Wed,5780,June 15 th
168th,Thu,5781,June 16 th
169th,Fri,5782,June 17 th
170th,Sat     Full,5783,June 18 th
171st,Sun,5784,June 19 th
172nd,Mon,5785,June 20 th
173rd,Tue,5786,June 21 st
174th,Wed,5787,June 22 nd
175th,Thu,5788,June 23 rd
176th,Fri,5789,June 24 th
177th,Sat,5790,June 25 th
178th,Sun,5791,June 26 th
179th,Mon,5792,June 27 th
180th,Tue,5793,June 28 th
181st,Wed,5794,June 29 th
182nd,Thu,5795,June 30 th
183rd,Fri,5796,July 1 st
184th,Sat,5797,July 2 nd
185th,Sun     New,5798,July 3 rd
186th,Mon,5799,July 4 th
187th,Tue,5800,July 5 th
188th,Wed,5801,July 6 th
189th,Thu,5802,July 7 th
190th,Fri,5803,July 8 th
191st,Sat,5804,July 9 th
192nd,Sun,5805,July 10 th
193rd,Mon,5806,July 11 th
194th,Tue,5807,July 12 th
195th,Wed,5808,July 13 th
196th,Thu,5809,July 14 th
197th,Fri,5810,July 15 th
198th,Sat,5811,July 16 th
199th,Sun     Full,5812,July 17 th
200th,Mon,5813,July 18 th
201st,Tue,5814,July 19 th
202nd,Wed,5815,July 20 th
203rd,Thu,5816,July 21 st
204th,Fri,5817,July 22 nd
