SOLAR,9939,Ezekiel,GREGORIAN 1939
1st,Sun,3058,January 1 st
2nd,Mon,3059,January 2 nd
3rd,Tue,3060,January 3 rd
4th,Wed,3061,January 4 th
5th,Thu     Full,3062,January 5 th
6th,Fri,3063,January 6 th
7th,Sat,3064,January 7 th
8th,Sun,3065,January 8 th
9th,Mon,3066,January 9 th
10th,Tue,3067,January 10 th
11th,Wed,3068,January 11 th
12th,Thu,3069,January 12 th
13th,Fri,3070,January 13 th
14th,Sat,3071,January 14 th
15th,Sun,3072,January 15 th
16th,Mon,3073,January 16 th
17th,Tue,3074,January 17 th
18th,Wed,3075,January 18 th
19th,Thu,3076,January 19 th
20th,Fri     New,3077,January 20 th
21st,Sat,3078,January 21 st
22nd,Sun,3079,January 22 nd
23rd,Mon,3080,January 23 rd
24th,Tue,3081,January 24 th
25th,Wed,3082,January 25 th
26th,Thu,3083,January 26 th
27th,Fri,3084,January 27 th
28th,Sat,3085,January 28 th
29th,Sun,3086,January 29 th
30th,Mon,3087,January 30 th
31st,Tue,3088,January 31 st
32nd,Wed,3089,Febuary 1 st
33rd,Thu,3090,Febuary 2 nd
34th,Fri,3091,Febuary 3 rd
35th,Sat     Full,3092,Febuary 4 th
36th,Sun,3093,Febuary 5 th
36th,Mon,3094,Febuary 6 th
38th,Tue,3095,Febuary 7 th
39th,Wed,3096,Febuary 8 th
40th,Thu,3097,Febuary 9 th
41st,Fri,3098,Febuary 10 th
42nd,Sat,3099,Febuary 11 th
43rd,Sun,3100,Febuary 12 th
44th,Mon,3101,Febuary 13 th
45th,Tue,3102,Febuary 14 th
46th,Wed,3103,Febuary 15 th
47th,Thu,3104,Febuary 16 th
48th,Fri,3105,Febuary 17 th
49th,Sat,3106,Febuary 18 th
50th,Sun     New,3107,Febuary 19 th
51st,Mon,3108,Febuary 20 th
52nd,Tue,3109,Febuary 21 st
53rd,Wed,3110,Febuary 22 nd
54th,Thu,3111,Febuary 23 rd
55th,Fri,3112,Febuary 24 th
56th,Sat,3113,Febuary 25 th
57th,Sun,3114,Febuary 26 th
58th,Mon,3115,Febuary 27 th
59th,Tue,3116,Febuary 28 th
60th,Wed,3117,March 1 st
61st,Thu,3118,March 2 nd
62nd,Fri,3119,March 3 rd
63rd,Sat,3120,March 4 th
64th,Sun     Full,3121,March 5 th
