SOLAR,9948 L,HEBREW,ISLAMIC,GREGORIAN 1948
48th,Tue,5708 L Adar I / 7,1367 Rabi ath-Thani / 6,February / 17
,,|Ezekiel's 2520 years (year 2520 day 273,,
49th,Wed,5708 L Adar I / 8,1367 Rabi ath-Thani / 7,February / 18
,,|Ezekiel's 2520 years (year 2520 day 274,,
50th,Thu,5708 L Adar I / 9,1367 Rabi ath-Thani / 8,February / 19
,,|Ezekiel's 2520 years (year 2520 day 275,,
51st,Fri,5708 L Adar I / 10,1367 Rabi ath-Thani / 9,February / 20
,,|Ezekiel's 2520 years (year 2520 day 276,,
52nd,Sat,5708 L Adar I / 11,1367 Rabi ath-Thani / 10,February / 21
,,|Ezekiel's 2520 years (year 2520 day 277,,
53rd,Sun,5708 L Adar I / 12,1367 Rabi ath-Thani / 11,February / 22
,,|Ezekiel's 2520 years (year 2520 day 278,,
54th,Mon,5708 L Adar I / 13,1367 Rabi ath-Thani / 12,February / 23
,,[-----1st Ben Yehuda bombing in Jerusalem,,
,,|Ezekiel's 2520 years (year 2520 day 279,,
55th,Tue     Full,5708 L Adar I / 14,1367 Rabi ath-Thani / 13,February / 24
,,|Ezekiel's 2520 years (year 2520 day 280,,
56th,Wed,5708 L Adar I / 15,1367 Rabi ath-Thani / 14,February / 25
,,|Ezekiel's 2520 years (year 2520 day 281,,
57th,Thu,5708 L Adar I / 16,1367 Rabi ath-Thani / 15,February / 26
,,|Ezekiel's 2520 years (year 2520 day 282,,
58th,Fri,5708 L Adar I / 17,1367 Rabi ath-Thani / 16,February / 27
,,|Ezekiel's 2520 years (year 2520 day 283,,
59th,Sat,5708 L Adar I / 18,1367 Rabi ath-Thani / 17,February / 28
,,|Ezekiel's 2520 years (year 2520 day 284,,
60th,Sun,5708 L Adar I / 19,1367 Rabi ath-Thani / 18,February / 29
,,|Ezekiel's 2520 years (year 2520 day 285,,
61st,Mon,5708 L Adar I / 20,1367 Rabi ath-Thani / 19,March / 1
,,|Ezekiel's 2520 years (year 2520 day 286,,
62nd,Tue,5708 L Adar I / 21,1367 Rabi ath-Thani / 20,March / 2
,,|Ezekiel's 2520 years (year 2520 day 287,,
63rd,Wed,5708 L Adar I / 22,1367 Rabi ath-Thani / 21,March / 3
,,|Ezekiel's 2520 years (year 2520 day 288,,
64th,Thu,5708 L Adar I / 23,1367 Rabi ath-Thani / 22,March / 4
,,|Ezekiel's 2520 years (year 2520 day 289,,
65th,Fri,5708 L Adar I / 24,1367 Rabi ath-Thani / 23,March / 5
,,|Ezekiel's 2520 years (year 2520 day 290,,
66th,Sat,5708 L Adar I / 25,1367 Rabi ath-Thani / 24,March / 6
,,|Ezekiel's 2520 years (year 2520 day 291,,
67th,Sun,5708 L Adar I / 26,1367 Rabi ath-Thani / 25,March / 7
,,|Ezekiel's 2520 years (year 2520 day 292,,
68th,Mon,5708 L Adar I / 27,1367 Rabi ath-Thani / 26,March / 8
,,|Ezekiel's 2520 years (year 2520 day 293,,
,,,,[United States Supreme Court rules religious instruction violates U.S. Constitution
69th,Tue,5708 L Adar I / 28,1367 Rabi ath-Thani / 27,March / 9
,,|Ezekiel's 2520 years (year 2520 day 294,,
70th,Wed     New,5708 L Adar I / 29,1367 Rabi ath-Thani / 28,March / 10
,,|Ezekiel's 2520 years (year 2520 day 295,,
71st,Thu,5708 L Adar I / 30,1367 Rabi ath-Thani / 29,March / 11
,,|Ezekiel's 2520 years (year 2520 day 296,,
72nd,Fri,5708 L Veadar / 1,1367 Jumada l-Ula / 1,March / 12
,,|Ezekiel's 2520 years (year 2520 day 297,,
73rd,Sat,5708 L Veadar / 2,1367 Jumada l-Ula / 2,March / 13
,,|Ezekiel's 2520 years (year 2520 day 298,,
74th,Sun,5708 L Veadar / 3,1367 Jumada l-Ula / 3,March / 14
,,|Ezekiel's 2520 years (year 2520 day 299,,
75th,Mon,5708 L Veadar / 4,1367 Jumada l-Ula / 4,March / 15
,,|Ezekiel's 2520 years (year 2520 day 300,,
76th,Tue,5708 L Veadar / 5,1367 Jumada l-Ula / 5,March / 16
,,|Ezekiel's 2520 years (year 2520 day 301,,
77th,Wed,5708 L Veadar / 6,1367 Jumada l-Ula / 6,March / 17
,,|Ezekiel's 2520 years (year 2520 day 302,,
78th,Thu,5708 L Veadar / 7,1367 Jumada l-Ula / 7,March / 18
,,|Ezekiel's 2520 years (year 2520 day 303,,
79th,Fri,5708 L Veadar / 8,1367 Jumada l-Ula / 8,March / 19
,,|Ezekiel's 2520 years (year 2520 day 304,,
80th EQ,Sat,5708 L Veadar / 9,1367 Jumada l-Ula / 9,March / 20
,,|Ezekiel's 2520 years (year 2520 day 305,,
81st,Sun,5708 L Veadar / 10,1367 Jumada l-Ula / 10,March / 21
,,|Ezekiel's 2520 years (year 2520 day 306,,
82nd,Mon,5708 L Veadar / 11,1367 Jumada l-Ula / 11,March / 22
,,|Ezekiel's 2520 years (year 2520 day 307,,
83rd,Tue,5708 L Veadar / 12,1367 Jumada l-Ula / 12,March / 23
,,|Ezekiel's 2520 years (year 2520 day 308,,
