SOLAR,9935,Ezekiel,GREGORIAN 1935
1st,Tue,4519,January 1 st
2nd,Wed,4520,January 2 nd
3rd,Thu,4521,January 3 rd
4th,Fri,4522,January 4 th
5th,Sat     New,4523,January 5 th
6th,Sun,4524,January 6 th
7th,Mon,4525,January 7 th
8th,Tue,4526,January 8 th
9th,Wed,4527,January 9 th
10th,Thu,4528,January 10 th
11th,Fri,4529,January 11 th
12th,Sat,4530,January 12 th
13th,Sun,4531,January 13 th
14th,Mon,4532,January 14 th
15th,Tue,4533,January 15 th
16th,Wed,4534,January 16 th
17th,Thu,4535,January 17 th
18th,Fri,4536,January 18 th
19th,Sat     Full,4537,January 19 th
20th,Sun,4538,January 20 th
21st,Mon,4539,January 21 st
22nd,Tue,4540,January 22 nd
23rd,Wed,4541,January 23 rd
24th,Thu,4542,January 24 th
25th,Fri,4543,January 25 th
26th,Sat,4544,January 26 th
27th,Sun,4545,January 27 th
28th,Mon,4546,January 28 th
29th,Tue,4547,January 29 th
30th,Wed,4548,January 30 th
31st,Thu,4549,January 31 st
32nd,Fri,4550,Febuary 1 st
33rd,Sat,4551,Febuary 2 nd
34th,Sun     New,4552,Febuary 3 rd
35th,Mon,4553,Febuary 4 th
36th,Tue,4554,Febuary 5 th
36th,Wed,4555,Febuary 6 th
38th,Thu,4556,Febuary 7 th
39th,Fri,4557,Febuary 8 th
40th,Sat,4558,Febuary 9 th
41st,Sun,4559,Febuary 10 th
42nd,Mon,4560,Febuary 11 th
43rd,Tue,4561,Febuary 12 th
44th,Wed,4562,Febuary 13 th
45th,Thu,4563,Febuary 14 th
46th,Fri,4564,Febuary 15 th
47th,Sat,4565,Febuary 16 th
48th,Sun,4566,Febuary 17 th
49th,Mon     Full,4567,Febuary 18 th
50th,Tue,4568,Febuary 19 th
51st,Wed,4569,Febuary 20 th
52nd,Thu,4570,Febuary 21 st
53rd,Fri,4571,Febuary 22 nd
54th,Sat,4572,Febuary 23 rd
55th,Sun,4573,Febuary 24 th
56th,Mon,4574,Febuary 25 th
57th,Tue,4575,Febuary 26 th
58th,Wed,4576,Febuary 27 th
59th,Thu,4577,Febuary 28 th
60th,Fri,4578,March 1 st
61st,Sat,4579,March 2 nd
62nd,Sun,4580,March 3 rd
63rd,Mon,4581,March 4 th
64th,Tue     New,4582,March 5 th
65th,Wed,4583,March 6 th
66th,Thu,4584,March 7 th
67th,Fri,4585,March 8 th
68th,Sat,4586,March 9 th
69th,Sun,4587,March 10 th
70th,Mon,4588,March 11 th
71st,Tue,4589,March 12 th
72nd,Wed,4590,March 13 th
73rd,Thu,4591,March 14 th
74th,Fri,4592,March 15 th
75th,Sat,4593,March 16 th
76th,Sun,4594,March 17 th
77th,Mon,4595,March 18 th
78th,Tue,4596,March 19 th
79th,Wed     Full,4597,March 20 th
80th EQ,Thu,4598,March 21 st
81st,Fri,4599,March 22 nd
82nd,Sat,4600,March 23 rd
83rd,Sun,4601,March 24 th
84th,Mon,4602,March 25 th
85th,Tue,4603,March 26 th
86th,Wed,4604,March 27 th
87th,Thu,4605,March 28 th
88th,Fri,4606,March 29 th
89th,Sat,4607,March 30 th
90th,Sun,4608,March 31 st
91st,Mon,4609,April 1 st
92nd,Tue,4610,April 2 nd
93rd,Wed     New,4611,April 3 rd
94th,Thu,4612,April 4 th
95th,Fri,4613,April 5 th
96th,Sat,4614,April 6 th
97th,Sun,4615,April 7 th
98th,Mon,4616,April 8 th
99th,Tue,4617,April 9 th
100th,Wed,4618,April 10 th
101st,Thu,4619,April 11 th
102nd,Fri,4620,April 12 th
103rd,Sat,4621,April 13 th
104th,Sun,4622,April 14 th
105th,Mon,4623,April 15 th
106th,Tue,4624,April 16 th
107th,Wed,4625,April 17 th
108th,Thu     Full,4626,April 18 th
109th,Fri,4627,April 19 th
110th,Sat,4628,April 20 th
111th,Sun,4629,April 21 st
112th,Mon,4630,April 22 nd
113th,Tue,4631,April 23 rd
114th,Wed,4632,April 24 th
115th,Thu,4633,April 25 th
116th,Fri,4634,April 26 th
117th,Sat,4635,April 27 th
118th,Sun,4636,April 28 th
119th,Mon,4637,April 29 th
120th,Tue,4638,April 30 th
121st,Wed,4639,May 1 st
122nd,Thu     New,4640,May 2 nd
123rd,Fri,4641,May 3 rd
124th,Sat,4642,May 4 th
125th,Sun,4643,May 5 th
126th,Mon,4644,May 6 th
127th,Tue,4645,May 7 th
128th,Wed,4646,May 8 th
129th,Thu,4647,May 9 th
130th,Fri,4648,May 10 th
131st,Sat,4649,May 11 th
132nd,Sun,4650,May 12 th
133rd,Mon,4651,May 13 th
134th,Tue,4652,May 14 th
135th,Wed,4653,May 15 th
136th,Thu,4654,May 16 th
137th,Fri,4655,May 17 th
138th,Sat     Full,4656,May 18 th
139th,Sun,4657,May 19 th
140th,Mon,4658,May 20 th
141st,Tue,4659,May 21 st
142nd,Wed,4660,May 22 nd
143rd,Thu,4661,May 23 rd
144th,Fri,4662,May 24 th
145th,Sat,4663,May 25 th
146th,Sun,4664,May 26 th
147th,Mon,4665,May 27 th
148th,Tue,4666,May 28 th
149th,Wed,4667,May 29 th
150th,Thu,4668,May 30 th
151st,Fri,4669,May 31 st
152nd,Sat     New,4670,June 1 st
153rd,Sun,4671,June 2 nd
154th,Mon,4672,June 3 rd
155th,Tue,4673,June 4 th
156th,Wed,4674,June 5 th
157th,Thu,4675,June 6 th
158th,Fri,4676,June 7 th
159th,Sat,4677,June 8 th
160th S,Sun,4678,June 9 th
161st,Mon,4679,June 10 th
162nd,Tue,4680,June 11 th
163rd,Wed,4681,June 12 th
164th,Thu,4682,June 13 th
165th,Fri,4683,June 14 th
166th,Sat,4684,June 15 th
167th,Sun     Full,4685,June 16 th
168th,Mon,4686,June 17 th
169th,Tue,4687,June 18 th
170th,Wed,4688,June 19 th
171st,Thu,4689,June 20 th
172nd,Fri,4690,June 21 st
173rd,Sat,4691,June 22 nd
174th,Sun,4692,June 23 rd
175th,Mon,4693,June 24 th
176th,Tue,4694,June 25 th
177th,Wed,4695,June 26 th
178th,Thu,4696,June 27 th
179th,Fri,4697,June 28 th
180th,Sat,4698,June 29 th
181st,Sun     New,4699,June 30 th
182nd,Mon,4700,July 1 st
183rd,Tue,4701,July 2 nd
184th,Wed,4702,July 3 rd
185th,Thu,4703,July 4 th
186th,Fri,4704,July 5 th
187th,Sat,4705,July 6 th
188th,Sun,4706,July 7 th
189th,Mon,4707,July 8 th
190th,Tue,4708,July 9 th
191st,Wed,4709,July 10 th
192nd,Thu,4710,July 11 th
193rd,Fri,4711,July 12 th
194th,Sat,4712,July 13 th
195th,Sun,4713,July 14 th
196th,Mon,4714,July 15 th
197th,Tue     Full,4715,July 16 th
198th,Wed,4716,July 17 th
199th,Thu,4717,July 18 th
200th,Fri,4718,July 19 th
201st,Sat,4719,July 20 th
202nd,Sun,4720,July 21 st
203rd,Mon,4721,July 22 nd
204th,Tue,4722,July 23 rd
