SOLAR,9937,Ezekiel,GREGORIAN 1937
156th,Sat,3943,June 5 th
157th,Sun,3944,June 6 th
158th,Mon,3945,June 7 th
159th,Tue     New,3946,June 8 th
160th S,Wed,3947,June 9 th
161st,Thu,3948,June 10 th
162nd,Fri,3949,June 11 th
163rd,Sat,3950,June 12 th
164th,Sun,3951,June 13 th
165th,Mon,3952,June 14 th
166th,Tue,3953,June 15 th
167th,Wed,3954,June 16 th
168th,Thu,3955,June 17 th
169th,Fri,3956,June 18 th
170th,Sat,3957,June 19 th
171st,Sun,3958,June 20 th
172nd,Mon,3959,June 21 st
173rd,Tue,3960,June 22 nd
174th,Wed     Full,3961,June 23 rd
175th,Thu,3962,June 24 th
176th,Fri,3963,June 25 th
177th,Sat,3964,June 26 th
178th,Sun,3965,June 27 th
179th,Mon,3966,June 28 th
180th,Tue,3967,June 29 th
181st,Wed,3968,June 30 th
182nd,Thu,3969,July 1 st
183rd,Fri,3970,July 2 nd
184th,Sat,3971,July 3 rd
185th,Sun,3972,July 4 th
186th,Mon,3973,July 5 th
187th,Tue,3974,July 6 th
188th,Wed,3975,July 7 th
189th,Thu     New,3976,July 8 th
190th,Fri,3977,July 9 th
191st,Sat,3978,July 10 th
192nd,Sun,3979,July 11 th
193rd,Mon,3980,July 12 th
194th,Tue,3981,July 13 th
195th,Wed,3982,July 14 th
196th,Thu,3983,July 15 th
197th,Fri,3984,July 16 th
198th,Sat,3985,July 17 th
199th,Sun,3986,July 18 th
200th,Mon,3987,July 19 th
201st,Tue,3988,July 20 th
202nd,Wed,3989,July 21 st
203rd,Thu,3990,July 22 nd
204th,Fri     Full,3991,July 23 rd
205th,Sat,3992,July 24 th
206th,Sun,3993,July 25 th
207th,Mon,3994,July 26 th
208th,Tue,3995,July 27 th
209th,Wed,3996,July 28 th
210th,Thu,3997,July 29 th
211th,Fri,3998,July 30 th
212th,Sat,3999,July 31 st
213th,Sun,4000,August 1 st
214th,Mon,4001,August 2 nd
215th,Tue,4002,August 3 rd
216th,Wed,4003,August 4 th
217th,Thu,4004,August 5 th
218th,Fri     New,4005,August 6 th
219th,Sat,4006,August 7 th
220th,Sun,4007,August 8 th
221st,Mon,4008,August 9 th
222nd,Tue,4009,August 10 th
223rd,Wed,4010,August 11 th
224th,Thu,4011,August 12 th
225th,Fri,4012,August 13 th
226th,Sat,4013,August 14 th
227th,Sun,4014,August 15 th
228th,Mon,4015,August 16 th
229th,Tue,4016,August 17 th
230th,Wed,4017,August 18 th
231st,Thu,4018,August 19 th
232nd,Fri,4019,August 20 th
233rd,Sat,4020,August 21 st
234th,Sun     Full,4021,August 22 nd
235th,Mon,4022,August 23 rd
236th,Tue,4023,August 24 th
237th,Wed,4024,August 25 th
238th,Thu,4025,August 26 th
239th,Fri,4026,August 27 th
240th,Sat,4027,August 28 th
241st,Sun,4028,August 29 th
242nd,Mon,4029,August 30 th
243rd,Tue,4030,August 31 st
244th,Wed,4031,September 1 st
245th,Thu,4032,September 2 nd
246th,Fri,4033,September 3 rd
247th,Sat     New,4034,September 4 th
248th,Sun,4035,September 5 th
249th,Mon,4036,September 6 th
250th,Tue,4037,September 7 th
251st,Wed,4038,September 8 th
252nd,Thu,4039,September 9 th
253rd,Fri,4040,September 10 th
254th,Sat,4041,September 11 th
255th,Sun,4042,September 12 th
256th,Mon,4043,September 13 th
257th,Tue,4044,September 14 th
258th,Wed,4045,September 15 th
259th,Thu,4046,September 16 th
260th,Fri,4047,September 17 th
261st,Sat,4048,September 18 th
262nd,Sun,4049,September 19 th
263rd,Mon     Full,4050,September 20 th
264th,Tue,4051,September 21 st
265th,Wed,4052,September 22 nd
266th EQ,Thu,4053,September 23 rd
267th,Fri,4054,September 24 th
268th,Sat,4055,September 25 th
269th,Sun,4056,September 26 th
270th,Mon,4057,September 27 th
271st,Tue,4058,September 28 th
272nd,Wed,4059,September 29 th
273rd,Thu,4060,September 30 th
274th,Fri,4061,October 1 st
275th,Sat,4062,October 2 nd
276th,Sun,4063,October 3 rd
277th,Mon     New,4064,October 4 th
278th,Tue,4065,October 5 th
279th,Wed,4066,October 6 th
280th,Thu,4067,October 7 th
281st,Fri,4068,October 8 th
282nd,Sat,4069,October 9 th
283rd,Sun,4070,October 10 th
284th,Mon,4071,October 11 th
285th,Tue,4072,October 12 th
286th,Wed,4073,October 13 th
287th,Thu,4074,October 14 th
288th,Fri,4075,October 15 th
289th,Sat,4076,October 16 th
290th,Sun,4077,October 17 th
291st,Mon,4078,October 18 th
292nd,Tue     Full,4079,October 19 th
293rd,Wed,4080,October 20 th
294th,Thu,4081,October 21 st
295th,Fri,4082,October 22 nd
296th,Sat,4083,October 23 rd
297th,Sun,4084,October 24 th
298th,Mon,4085,October 25 th
299th,Tue,4086,October 26 th
300th,Wed,4087,October 27 th
301st,Thu,4088,October 28 th
302nd,Fri,4089,October 29 th
303rd,Sat,4090,October 30 th
304th,Sun,4091,October 31 st
305th,Mon,4092,November 1 st
306th,Tue,4093,November 2 nd
307th,Wed     New,4094,November 3 rd
308th,Thu,4095,November 4 th
309th,Fri,4096,November 5 th
310th,Sat,4097,November 6 th
311th,Sun,4098,November 7 th
312th,Mon,4099,November 8 th
313th,Tue,4100,November 9 th
314th,Wed,4101,November 10 th
315th,Thu,4102,November 11 th
316th,Fri,4103,November 12 th
317th,Sat,4104,November 13 th
318th,Sun,4105,November 14 th
319th,Mon,4106,November 15 th
320th,Tue,4107,November 16 th
321st,Wed,4108,November 17 th
322nd,Thu     Full,4109,November 18 th
323rd,Fri,4110,November 19 th
324th,Sat,4111,November 20 th
325th,Sun,4112,November 21 st
326th,Mon,4113,November 22 nd
327th,Tue,4114,November 23 rd
328th,Wed,4115,November 24 th
329th,Thu,4116,November 25 th
330th,Fri,4117,November 26 th
331st,Sat,4118,November 27 th
332nd,Sun,4119,November 28 th
333rd,Mon,4120,November 29 th
334th,Tue,4121,November 30 th
335th,Wed,4122,December 1 st
336th,Thu     New,4123,December 2 nd
337th,Fri,4124,December 3 rd
338th,Sat,4125,December 4 th
339th,Sun,4126,December 5 th
340th,Mon,4127,December 6 th
341st,Tue,4128,December 7 th
342nd,Wed,4129,December 8 th
343rd,Thu,4130,December 9 th
344th,Fri,4131,December 10 th
345th,Sat,4132,December 11 th
346th,Sun,4133,December 12 th
347th,Mon,4134,December 13 th
348th,Tue,4135,December 14 th
349th,Wed,4136,December 15 th
350th,Thu,4137,December 16 th
351st,Fri     Full,4138,December 17 th
352nd,Sat,4139,December 18 th
353rd,Sun,4140,December 19 th
354th,Mon,4141,December 20 th
355th,Tue,4142,December 21 st
356th,Wed,4143,December 22 nd
357th,Thu,4144,December 23 rd
358th,Fri,4145,December 24 th
359th,Sat,4146,December 25 th
360th,Sun,4147,December 26 th
361st,Mon,4148,December 27 th
362nd,Tue,4149,December 28 th
363rd,Wed,4150,December 29 th
364th,Thu,4151,December 30 th
365th,Fri,4152,December 31 st
366th,XXXXX,,XXXXX
