SOLAR,9937,Ezekiel,GREGORIAN 1937
1st,Fri,3788,January 1 st
2nd,Sat,3789,January 2 nd
3rd,Sun,3790,January 3 rd
4th,Mon,3791,January 4 th
5th,Tue,3792,January 5 th
6th,Wed,3793,January 6 th
7th,Thu,3794,January 7 th
8th,Fri,3795,January 8 th
9th,Sat,3796,January 9 th
10th,Sun,3797,January 10 th
11th,Mon,3798,January 11 th
12th,Tue     New,3799,January 12 th
13th,Wed,3800,January 13 th
14th,Thu,3801,January 14 th
15th,Fri,3802,January 15 th
16th,Sat,3803,January 16 th
17th,Sun,3804,January 17 th
18th,Mon,3805,January 18 th
19th,Tue,3806,January 19 th
20th,Wed,3807,January 20 th
21st,Thu,3808,January 21 st
22nd,Fri,3809,January 22 nd
23rd,Sat,3810,January 23 rd
24th,Sun,3811,January 24 th
25th,Mon,3812,January 25 th
26th,Tue     Full,3813,January 26 th
27th,Wed,3814,January 27 th
28th,Thu,3815,January 28 th
29th,Fri,3816,January 29 th
30th,Sat,3817,January 30 th
31st,Sun,3818,January 31 st
32nd,Mon,3819,Febuary 1 st
33rd,Tue,3820,Febuary 2 nd
34th,Wed,3821,Febuary 3 rd
35th,Thu,3822,Febuary 4 th
36th,Fri,3823,Febuary 5 th
36th,Sat,3824,Febuary 6 th
38th,Sun,3825,Febuary 7 th
39th,Mon,3826,Febuary 8 th
40th,Tue,3827,Febuary 9 th
41st,Wed,3828,Febuary 10 th
42nd,Thu     New,3829,Febuary 11 th
43rd,Fri,3830,Febuary 12 th
44th,Sat,3831,Febuary 13 th
45th,Sun,3832,Febuary 14 th
46th,Mon,3833,Febuary 15 th
47th,Tue,3834,Febuary 16 th
48th,Wed,3835,Febuary 17 th
49th,Thu,3836,Febuary 18 th
50th,Fri,3837,Febuary 19 th
51st,Sat,3838,Febuary 20 th
52nd,Sun,3839,Febuary 21 st
53rd,Mon,3840,Febuary 22 nd
54th,Tue,3841,Febuary 23 rd
55th,Wed,3842,Febuary 24 th
56th,Thu     Full,3843,Febuary 25 th
57th,Fri,3844,Febuary 26 th
58th,Sat,3845,Febuary 27 th
59th,Sun,3846,Febuary 28 th
60th,Mon,3847,March 1 st
61st,Tue,3848,March 2 nd
62nd,Wed,3849,March 3 rd
63rd,Thu,3850,March 4 th
64th,Fri,3851,March 5 th
65th,Sat,3852,March 6 th
66th,Sun,3853,March 7 th
67th,Mon,3854,March 8 th
68th,Tue,3855,March 9 th
69th,Wed,3856,March 10 th
70th,Thu,3857,March 11 th
71st,Fri     New,3858,March 12 th
72nd,Sat,3859,March 13 th
73rd,Sun,3860,March 14 th
74th,Mon,3861,March 15 th
75th,Tue,3862,March 16 th
76th,Wed,3863,March 17 th
77th,Thu,3864,March 18 th
78th,Fri,3865,March 19 th
79th,Sat,3866,March 20 th
80th EQ,Sun,3867,March 21 st
81st,Mon,3868,March 22 nd
82nd,Tue,3869,March 23 rd
83rd,Wed,3870,March 24 th
84th,Thu,3871,March 25 th
85th,Fri     Full,3872,March 26 th
86th,Sat,3873,March 27 th
87th,Sun,3874,March 28 th
88th,Mon,3875,March 29 th
89th,Tue,3876,March 30 th
90th,Wed,3877,March 31 st
91st,Thu,3878,April 1 st
92nd,Fri,3879,April 2 nd
93rd,Sat,3880,April 3 rd
94th,Sun,3881,April 4 th
95th,Mon,3882,April 5 th
96th,Tue,3883,April 6 th
97th,Wed,3884,April 7 th
98th,Thu,3885,April 8 th
99th,Fri,3886,April 9 th
100th,Sat,3887,April 10 th
101st,Sun     New,3888,April 11 th
102nd,Mon,3889,April 12 th
103rd,Tue,3890,April 13 th
104th,Wed,3891,April 14 th
105th,Thu,3892,April 15 th
106th,Fri,3893,April 16 th
107th,Sat,3894,April 17 th
108th,Sun,3895,April 18 th
109th,Mon,3896,April 19 th
110th,Tue,3897,April 20 th
111th,Wed,3898,April 21 st
112th,Thu,3899,April 22 nd
113th,Fri,3900,April 23 rd
114th,Sat,3901,April 24 th
115th,Sun     Full,3902,April 25 th
116th,Mon,3903,April 26 th
117th,Tue,3904,April 27 th
118th,Wed,3905,April 28 th
119th,Thu,3906,April 29 th
120th,Fri,3907,April 30 th
121st,Sat,3908,May 1 st
122nd,Sun,3909,May 2 nd
123rd,Mon,3910,May 3 rd
124th,Tue,3911,May 4 th
125th,Wed,3912,May 5 th
126th,Thu,3913,May 6 th
127th,Fri,3914,May 7 th
128th,Sat,3915,May 8 th
129th,Sun,3916,May 9 th
130th,Mon     New,3917,May 10 th
131st,Tue,3918,May 11 th
132nd,Wed,3919,May 12 th
133rd,Thu,3920,May 13 th
134th,Fri,3921,May 14 th
135th,Sat,3922,May 15 th
136th,Sun,3923,May 16 th
137th,Mon,3924,May 17 th
138th,Tue,3925,May 18 th
139th,Wed,3926,May 19 th
140th,Thu,3927,May 20 th
141st,Fri,3928,May 21 st
142nd,Sat,3929,May 22 nd
143rd,Sun,3930,May 23 rd
144th,Mon,3931,May 24 th
145th,Tue     Full,3932,May 25 th
146th,Wed,3933,May 26 th
147th,Thu,3934,May 27 th
148th,Fri,3935,May 28 th
149th,Sat,3936,May 29 th
150th,Sun,3937,May 30 th
151st,Mon,3938,May 31 st
152nd,Tue,3939,June 1 st
153rd,Wed,3940,June 2 nd
154th,Thu,3941,June 3 rd
155th,Fri,3942,June 4 th
