SOLAR,7391,HISTORICAL
1st,Sat,610 Jan \ 8
2nd,Sun,610 Jan \ 9
3rd,Mon,610 Jan \ 10
4th,Tue,610 Jan \ 11
5th,Wed,610 Jan \ 12
6th,Thu,610 Jan \ 13
7th,Fri,610 Jan \ 14
8th,Sat,610 Jan \ 15
9th,Sun,610 Jan \ 16
10th,Mon,610 Jan \ 17
11th,Tue,610 Jan \ 18
12th,Wed,610 Jan \ 19
13th,Thu,610 Jan \ 20
14th,Fri,610 Jan \ 21
15th,Sat     Full,610 Jan \ 22
16th,Sun,610 Jan \ 23
17th,Mon,610 Jan \ 24
18th,Tue,610 Jan \ 25
19th,Wed,610 Jan \ 26
20th,Thu,610 Jan \ 27
21st,Fri,610 Jan \ 28
22nd,Sat,610 Jan \ 29
23rd,Sun,610 Jan \ 30
24th,Mon,610 Jan \ 31
25th,Tue,610 Feb \ 1
26th,Wed,610 Feb \ 2
27th,Thu,610 Feb \ 3
28th,Fri,610 Feb \ 4
29th,Sat,610 Feb \ 5
30th,Sun     New,610 Feb \ 6
31st,Mon,610 Feb \ 7
32nd,Tue,610 Feb \ 8
33rd,Wed,610 Feb \ 9
34th,Thu,610 Feb \ 10
35th,Fri,610 Feb \ 11
36th,Sat,610 Feb \ 12
36th,Sun,610 Feb \ 13
38th,Mon,610 Feb \ 14
39th,Tue,610 Feb \ 15
40th,Wed,610 Feb \ 16
41st,Thu,610 Feb \ 17
42nd,Fri,610 Feb \ 18
43rd,Sat,610 Feb \ 19
44th,Sun,610 Feb \ 20
45th,Mon     Full,610 Feb \ 21
46th,Tue,610 Feb \ 22
47th,Wed,610 Feb \ 23
48th,Thu,610 Feb \ 24
49th,Fri,610 Feb \ 25
50th,Sat,610 Feb \ 26
51st,Sun,610 Feb \ 27
52nd,Mon,610 Feb \ 28
53rd,Tue,610 Mar \ 1
54th,Wed,610 Mar \ 2
55th,Thu,610 Mar \ 3
56th,Fri,610 Mar \ 4
57th,Sat,610 Mar \ 5
58th,Sun,610 Mar \ 6
59th X,Mon,610 Mar \ 7
60th X,Tue     New,610 Mar \ 8
61st X,Wed,610 Mar \ 9
62nd X,Thu,610 Mar \ 10
63rd X,Fri,610 Mar \ 11
64th X,Sat,610 Mar \ 12
65th X,Sun,610 Mar \ 13
66th X,Mon,610 Mar \ 14
67th X,Tue,610 Mar \ 15
68th X,Wed,610 Mar \ 16
69th X,Thu,610 Mar \ 17
70th X,Fri,610 Mar \ 18
71st X,Sat,610 Mar \ 19
72nd X,Sun,610 Mar \ 20
73rd X,Mon,610 Mar \ 21
74th X,Tue     Full,610 Mar \ 22
75th X,Wed,610 Mar \ 23
76th X,Thu,610 Mar \ 24
77th X,Fri,610 Mar \ 25
78th X,Sat,610 Mar \ 26
79th X,Sun,610 Mar \ 27
80th EQ,Mon,610 Mar \ 28
81st  X,Tue,610 Mar \ 29
82nd X,Wed,610 Mar \ 30
