SOLAR,7391,HISTORICAL
83rd  X,Thu,610 Mar \ 31
84th X,Fri,610 Apr \ 1
85th X,Sat,610 Apr \ 2
86th X,Sun,610 Apr \ 3
87th X,Mon,610 Apr \ 4
88th X,Tue,610 Apr \ 5
89th X,Wed,610 Apr \ 6
90th X,Thu     New,610 Apr \ 7
91st X,Fri,610 Apr \ 8
92nd X,Sat,610 Apr \ 9
93rd X,Sun,610 Apr \ 10
94th X,Mon,610 Apr \ 11
95th X,Tue,610 Apr \ 12
96th X,Wed,610 Apr \ 13
97th X,Thu,610 Apr \ 14
98th X,Fri,610 Apr \ 15
99th X,Sat,610 Apr \ 16
100th X,Sun,610 Apr \ 17
101st X,Mon,610 Apr \ 18
102nd X,Tue,610 Apr \ 19
103rd X,Wed     Full,610 Apr \ 20
104th X,Thu,610 Apr \ 21
105th X,Fri,610 Apr \ 22
106th X,Sat,610 Apr \ 23
107th X,Sun,610 Apr \ 24
108th X,Mon,610 Apr \ 25
109th X,Tue,610 Apr \ 26
110th X,Wed,610 Apr \ 27
111th X,Thu,610 Apr \ 28
112th X,Fri,610 Apr \ 29
113th X,Sat,610 Apr \ 30
114th X,Sun,610 May \ 1
115th X,Mon,610 May \ 2
116th,Tue,610 May \ 3
117th,Wed,610 May \ 4
118th,Thu,610 May \ 5
119th,Fri     New,610 May \ 6
120th,Sat,610 May \ 7
121st,Sun,610 May \ 8
122nd,Mon,610 May \ 9
123rd,Tue,610 May \ 10
124th,Wed,610 May \ 11
125th,Thu,610 May \ 12
126th,Fri,610 May \ 13
127th,Sat,610 May \ 14
128th,Sun,610 May \ 15
129th,Mon,610 May \ 16
130th,Tue,610 May \ 17
131st,Wed,610 May \ 18
132nd,Thu,610 May \ 19
133rd,Fri     Full,610 May \ 20
134th,Sat,610 May \ 21
135th,Sun,610 May \ 22
136th,Mon,610 May \ 23
137th,Tue,610 May \ 24
138th,Wed,610 May \ 25
139th,Thu,610 May \ 26
140th,Fri,610 May \ 27
141st,Sat,610 May \ 28
142nd,Sun,610 May \ 29
143rd,Mon,610 May \ 30
144th,Tue,610 May \ 31
145th,Wed,610 Jun / 1
146th,Thu,610 Jun / 2
147th,Fri,610 Jun / 3
148th,Sat     New,610 Jun / 4
149th,Sun,610 Jun / 5
150th,Mon,610 Jun / 6
151st,Tue,610 Jun / 7
152nd,Wed,610 Jun / 8
153rd,Thu,610 Jun / 9
154th,Fri,610 Jun / 10
155th,Sat,610 Jun / 11
156th,Sun,610 Jun / 12
157th,Mon,610 Jun / 13
158th,Tue,610 Jun / 14
159th,Wed,610 Jun / 15
160th S,Thu,610 Jun / 16
161st,Fri,610 Jun / 17
162nd,Sat     Full,610 Jun / 18
163rd,Sun,610 Jun / 19
164th,Mon,610 Jun / 20
165th,Tue,610 Jun / 21
166th,Wed,610 Jun / 22
167th,Thu,610 Jun / 23
168th,Fri,610 Jun / 24
169th,Sat,610 Jun / 25
170th,Sun,610 Jun / 26
171st,Mon,610 Jun / 27
172nd,Tue,610 Jun / 28
173rd,Wed,610 Jun / 29
174th,Thu,610 Jun / 30
175th,Fri,610 Jul / 1
176th,Sat,610 Jul / 2
177th,Sun,610 Jul / 3
178th,Mon     New,610 Jul / 4
179th,Tue,610 Jul / 5
180th,Wed,610 Jul / 6
181st,Thu,610 Jul / 7
182nd,Fri,610 Jul / 8
183rd,Sat,610 Jul / 9
184th,Sun,610 Jul / 10
185th,Mon,610 Jul / 11
186th,Tue,610 Jul / 12
187th,Wed,610 Jul / 13
188th,Thu,610 Jul / 14
189th,Fri,610 Jul / 15
190th,Sat,610 Jul / 16
191st,Sun,610 Jul / 17
192nd,Mon     Full,610 Jul / 18
193rd,Tue,610 Jul / 19
194th,Wed,610 Jul / 20
195th,Thu,610 Jul / 21
196th,Fri,610 Jul / 22
197th,Sat,610 Jul / 23
198th,Sun,610 Jul / 24
199th,Mon,610 Jul / 25
200th,Tue,610 Jul / 26
201st,Wed,610 Jul / 27
202nd,Thu,610 Jul / 28
203rd,Fri,610 Jul / 29
204th,Sat,610 Jul / 30
205th,Sun,610 Jul / 31
206th,Mon,610 Aug / 1
207th,Tue     New,610 Aug / 2
208th,Wed,610 Aug / 3
209th,Thu,610 Aug / 4
210th,Fri,610 Aug / 5
211th,Sat,610 Aug / 6
212th,Sun,610 Aug / 7
213th,Mon,610 Aug / 8
214th,Tue,610 Aug / 9
215th,Wed,610 Aug / 10
216th,Thu,610 Aug / 11
217th,Fri,610 Aug / 12
218th,Sat,610 Aug / 13
219th,Sun,610 Aug / 14
220th,Mon,610 Aug / 15
221st,Tue,610 Aug / 16
222nd,Wed     Full,610 Aug / 17
223rd,Thu,610 Aug / 18
224th,Fri,610 Aug / 19
225th,Sat,610 Aug / 20
226th,Sun,610 Aug / 21
227th,Mon,610 Aug / 22
228th,Tue,610 Aug / 23
229th,Wed,610 Aug / 24
230th,Thu,610 Aug / 25
231st,Fri,610 Aug / 26
232nd,Sat,610 Aug / 27
233rd,Sun,610 Aug / 28
234th,Mon,610 Aug / 29
235th,Tue,610 Aug / 30
236th,Wed     New,610 Aug / 31
237th,Thu,610 Sep / 1
238th,Fri,610 Sep / 2
239th,Sat,610 Sep / 3
240th,Sun,610 Sep / 4
241st,Mon,610 Sep / 5
242nd,Tue,610 Sep / 6
243rd,Wed,610 Sep / 7
244th,Thu,610 Sep / 8
245th,Fri,610 Sep / 9
246th,Sat,610 Sep / 10
247th,Sun,610 Sep / 11
248th,Mon,610 Sep / 12
249th,Tue,610 Sep / 13
250th,Wed,610 Sep / 14
251st,Thu     Full,610 Sep / 15
252nd,Fri,610 Sep / 16
253rd,Sat,610 Sep / 17
254th,Sun,610 Sep / 18
255th,Mon,610 Sep / 19
256th,Tue,610 Sep / 20
257th,Wed,610 Sep / 21
258th,Thu,610 Sep / 22
259th,Fri,610 Sep / 23
260th,Sat,610 Sep / 24
261st,Sun,610 Sep / 25
262nd,Mon,610 Sep / 26
263rd,Tue,610 Sep / 27
264th,Wed,610 Sep / 28
265th,Thu,610 Sep / 29
266th EQ,Fri     New,610 Sep / 30
267th,Sat,610 Oct / 1
268th,Sun,610 Oct / 2
269th,Mon,610 Oct / 3
270th,Tue,610 Oct / 4
271st,Wed,610 Oct / 5
272nd,Thu,610 Oct / 6
273rd,Fri,610 Oct / 7
274th,Sat,610 Oct / 8
275th,Sun,610 Oct / 9
276th,Mon,610 Oct / 10
277th,Tue,610 Oct / 11
278th,Wed,610 Oct / 12
279th,Thu,610 Oct / 13
280th,Fri,610 Oct / 14
281st,Sat     Full,610 Oct / 15
282nd,Sun,610 Oct / 16
283rd,Mon,610 Oct / 17
284th,Tue,610 Oct / 18
285th,Wed,610 Oct / 19
286th,Thu,610 Oct / 20
287th,Fri,610 Oct / 21
288th,Sat,610 Oct / 22
289th,Sun,610 Oct / 23
290th,Mon,610 Oct / 24
291st,Tue,610 Oct / 25
292nd,Wed,610 Oct / 26
293rd,Thu,610 Oct / 27
294th,Fri,610 Oct / 28
295th,Sat     New,610 Oct / 29
296th,Sun,610 Oct / 30
297th,Mon,610 Oct / 31
298th,Tue,610 Nov / 1
299th,Wed,610 Nov / 2
300th,Thu,610 Nov / 3
301st,Fri,610 Nov / 4
302nd,Sat,610 Nov / 5
303rd,Sun,610 Nov / 6
304th,Mon,610 Nov / 7
305th,Tue,610 Nov / 8
306th,Wed,610 Nov / 9
307th,Thu,610 Nov / 10
308th,Fri,610 Nov / 11
309th,Sat,610 Nov / 12
310th,Sun,610 Nov / 13
311th,Mon     Full,610 Nov / 14
312th,Tue,610 Nov / 15
313th,Wed,610 Nov / 16
314th,Thu,610 Nov / 17
315th,Fri,610 Nov / 18
316th,Sat,610 Nov / 19
317th,Sun,610 Nov / 20
318th,Mon,610 Nov / 21
319th,Tue,610 Nov / 22
320th,Wed,610 Nov / 23
321st,Thu,610 Nov / 24
322nd,Fri,610 Nov / 25
323rd,Sat,610 Nov / 26
324th,Sun,610 Nov / 27
325th,Mon     New,610 Nov / 28
326th,Tue,610 Nov / 29
327th,Wed,610 Nov / 30
328th,Thu,610 Dec / 1
329th,Fri,610 Dec / 2
330th,Sat,610 Dec / 3
331st,Sun,610 Dec / 4
332nd,Mon,610 Dec / 5
333rd,Tue,610 Dec / 6
334th,Wed,610 Dec / 7
335th,Thu,610 Dec / 8
336th,Fri,610 Dec / 9
337th,Sat,610 Dec / 10
338th,Sun,610 Dec / 11
339th,Mon,610 Dec / 12
340th,Tue     Full,610 Dec / 13
341st,Wed,610 Dec / 14
342nd,Thu,610 Dec / 15
343rd,Fri,610 Dec / 16
344th,Sat,610 Dec / 17
345th,Sun,610 Dec / 18
346th,Mon,610 Dec / 19
347th,Tue,610 Dec / 20
348th,Wed,610 Dec / 21
349th,Thu,610 Dec / 22
350th,Fri,610 Dec / 23
351st,Sat,610 Dec / 24
352nd,Sun,610 Dec / 25
353rd,Mon,610 Dec / 26
354th,Tue     New,610 Dec / 27
355th,Wed,610 Dec / 28
356th SO,Thu,610 Dec / 29
357th,Fri,610 Dec / 30
358th,Sat,610 Dec / 31
359th,Sun,609 L Jan / 1
360th,Mon,609 L Jan / 2
361st,Tue,609 L Jan / 3
362nd,Wed,609 L Jan / 4
363rd,Thu,609 L Jan / 5
364th,Fri,609 L Jan / 6
365th,Sat,609 L Jan / 7
366th,XXXXX,
