SOLAR,7399,Exile,HISTORICAL
1st,Tue,Exile year 4 day 185,602 Jan \ 8
2nd,Wed     New,Exile year 4 day 186,602 Jan \ 9
3rd,Thu,Exile year 4 day 187,602 Jan \ 10
4th,Fri,Exile year 4 day 188,602 Jan \ 11
5th,Sat,Exile year 4 day 189,602 Jan \ 12
6th,Sun,Exile year 4 day 190,602 Jan \ 13
7th,Mon,Exile year 4 day 191,602 Jan \ 14
8th,Tue,Exile year 4 day 192,602 Jan \ 15
9th,Wed,Exile year 4 day 193,602 Jan \ 16
10th,Thu,Exile year 4 day 194,602 Jan \ 17
11th,Fri,Exile year 4 day 195,602 Jan \ 18
12th,Sat,Exile year 4 day 196,602 Jan \ 19
13th,Sun,Exile year 4 day 197,602 Jan \ 20
14th,Mon,Exile year 4 day 198,602 Jan \ 21
15th,Tue,Exile year 4 day 199,602 Jan \ 22
16th,Wed,Exile year 4 day 200,602 Jan \ 23
17th,Thu     Full,Exile year 4 day 201,602 Jan \ 24
18th,Fri,Exile year 4 day 202,602 Jan \ 25
19th,Sat,Exile year 4 day 203,602 Jan \ 26
20th,Sun,Exile year 4 day 204,602 Jan \ 27
21st,Mon,Exile year 4 day 205,602 Jan \ 28
22nd,Tue,Exile year 4 day 206,602 Jan \ 29
23rd,Wed,Exile year 4 day 207,602 Jan \ 30
24th,Thu,Exile year 4 day 208,602 Jan \ 31
25th,Fri,Exile year 4 day 209,602 Feb \ 1
26th,Sat,Exile year 4 day 210,602 Feb \ 2
27th,Sun,Exile year 4 day 211,602 Feb \ 3
28th,Mon,Exile year 4 day 212,602 Feb \ 4
29th,Tue,Exile year 4 day 213,602 Feb \ 5
30th,Wed,Exile year 4 day 214,602 Feb \ 6
31st,Thu,Exile year 4 day 215,602 Feb \ 7
32nd,Fri     New,Exile year 4 day 216,602 Feb \ 8
33rd,Sat,Exile year 4 day 217,602 Feb \ 9
34th,Sun,Exile year 4 day 218,602 Feb \ 10
35th,Mon,Exile year 4 day 219,602 Feb \ 11
36th,Tue,Exile year 4 day 220,602 Feb \ 12
36th,Wed,Exile year 4 day 221,602 Feb \ 13
38th,Thu,Exile year 4 day 222,602 Feb \ 14
39th,Fri,Exile year 4 day 223,602 Feb \ 15
40th,Sat,Exile year 4 day 224,602 Feb \ 16
41st,Sun,Exile year 4 day 225,602 Feb \ 17
42nd,Mon,Exile year 4 day 226,602 Feb \ 18
43rd,Tue,Exile year 4 day 227,602 Feb \ 19
44th,Wed,Exile year 4 day 228,602 Feb \ 20
45th,Thu,Exile year 4 day 229,602 Feb \ 21
46th,Fri     Full,Exile year 4 day 230,602 Feb \ 22
47th,Sat,Exile year 4 day 231,602 Feb \ 23
48th,Sun,Exile year 4 day 232,602 Feb \ 24
49th,Mon,Exile year 4 day 233,602 Feb \ 25
50th,Tue,Exile year 4 day 234,602 Feb \ 26
51st,Wed,Exile year 4 day 235,602 Feb \ 27
52nd,Thu,Exile year 4 day 236,602 Feb \ 28
53rd,Fri,Exile year 4 day 237,602 Mar \ 1
54th,Sat,Exile year 4 day 238,602 Mar \ 2
55th,Sun,Exile year 4 day 239,602 Mar \ 3
56th,Mon,Exile year 4 day 240,602 Mar \ 4
57th,Tue,Exile year 4 day 241,602 Mar \ 5
58th,Wed,Exile year 4 day 242,602 Mar \ 6
59th X,Thu,Exile year 4 day 243,602 Mar \ 7
60th X,Fri,Exile year 4 day 244,602 Mar \ 8
61st X,Sat,Exile year 4 day 245,602 Mar \ 9
62nd X,Sun     New,Exile year 4 day 246,602 Mar \ 10
63rd X,Mon,Exile year 4 day 247,602 Mar \ 11
64th X,Tue,Exile year 4 day 248,602 Mar \ 12
65th X,Wed,Exile year 4 day 249,602 Mar \ 13
66th X,Thu,Exile year 4 day 250,602 Mar \ 14
67th X,Fri,Exile year 4 day 251,602 Mar \ 15
68th X,Sat,Exile year 4 day 252,602 Mar \ 16
69th X,Sun,Exile year 4 day 253,602 Mar \ 17
