SOLAR,7399,Exile,HISTORICAL
70th X,Mon,Exile year 4 day 254,602 Mar \ 18
71st X,Tue,Exile year 4 day 255,602 Mar \ 19
72nd X,Wed,Exile year 4 day 256,602 Mar \ 20
73rd X,Thu,Exile year 4 day 257,602 Mar \ 21
74th X,Fri,Exile year 4 day 258,602 Mar \ 22
75th X,Sat,Exile year 4 day 259,602 Mar \ 23
76th X,Sun     Full,Exile year 4 day 260,602 Mar \ 24
77th X,Mon,Exile year 4 day 261,602 Mar \ 25
78th X,Tue,Exile year 4 day 262,602 Mar \ 26
79th X,Wed,Exile year 4 day 263,602 Mar \ 27
80th EQ,Thu,Exile year 4 day 264,602 Mar \ 28
81st  X,Fri,Exile year 4 day 265,602 Mar \ 29
82nd X,Sat,Exile year 4 day 266,602 Mar \ 30
83rd  X,Sun,Exile year 4 day 267,602 Mar \ 31
84th X,Mon,Exile year 4 day 268,602 Apr \ 1
85th X,Tue,Exile year 4 day 269,602 Apr \ 2
86th X,Wed,Exile year 4 day 270,602 Apr \ 3
87th X,Thu,Exile year 4 day 271,602 Apr \ 4
88th X,Fri,Exile year 4 day 272,602 Apr \ 5
89th X,Sat,Exile year 4 day 273,602 Apr \ 6
90th X,Sun,Exile year 4 day 274,602 Apr \ 7
91st X,Mon     New,Exile year 4 day 275,602 Apr \ 8
92nd X,Tue,Exile year 4 day 276,602 Apr \ 9
93rd X,Wed,Exile year 4 day 277,602 Apr \ 10
94th X,Thu,Exile year 4 day 278,602 Apr \ 11
95th X,Fri,Exile year 4 day 279,602 Apr \ 12
96th X,Sat,Exile year 4 day 280,602 Apr \ 13
97th X,Sun,Exile year 4 day 281,602 Apr \ 14
98th X,Mon,Exile year 4 day 282,602 Apr \ 15
99th X,Tue,Exile year 4 day 283,602 Apr \ 16
100th X,Wed,Exile year 4 day 284,602 Apr \ 17
101st X,Thu,Exile year 4 day 285,602 Apr \ 18
102nd X,Fri,Exile year 4 day 286,602 Apr \ 19
103rd X,Sat,Exile year 4 day 287,602 Apr \ 20
104th X,Sun,Exile year 4 day 288,602 Apr \ 21
105th X,Mon     Full,Exile year 4 day 289,602 Apr \ 22
106th X,Tue,Exile year 4 day 290,602 Apr \ 23
107th X,Wed,Exile year 4 day 291,602 Apr \ 24
108th X,Thu,Exile year 4 day 292,602 Apr \ 25
109th X,Fri,Exile year 4 day 293,602 Apr \ 26
110th X,Sat,Exile year 4 day 294,602 Apr \ 27
111th X,Sun,Exile year 4 day 295,602 Apr \ 28
112th X,Mon,Exile year 4 day 296,602 Apr \ 29
113th X,Tue,Exile year 4 day 297,602 Apr \ 30
114th X,Wed,Exile year 4 day 298,602 May \ 1
115th X,Thu,Exile year 4 day 299,602 May \ 2
116th,Fri,Exile year 4 day 300,602 May \ 3
117th,Sat,Exile year 4 day 301,602 May \ 4
118th,Sun,Exile year 4 day 302,602 May \ 5
119th,Mon,Exile year 4 day 303,602 May \ 6
120th,Tue     New,Exile year 4 day 304,602 May \ 7
121st,Wed,Exile year 4 day 305,602 May \ 8
122nd,Thu,Exile year 4 day 306,602 May \ 9
123rd,Fri,Exile year 4 day 307,602 May \ 10
124th,Sat,Exile year 4 day 308,602 May \ 11
125th,Sun,Exile year 4 day 309,602 May \ 12
126th,Mon,Exile year 4 day 310,602 May \ 13
127th,Tue,Exile year 4 day 311,602 May \ 14
128th,Wed,Exile year 4 day 312,602 May \ 15
129th,Thu,Exile year 4 day 313,602 May \ 16
130th,Fri,Exile year 4 day 314,602 May \ 17
131st,Sat,Exile year 4 day 315,602 May \ 18
132nd,Sun,Exile year 4 day 316,602 May \ 19
133rd,Mon,Exile year 4 day 317,602 May \ 20
134th,Tue,Exile year 4 day 318,602 May \ 21
135th,Wed     Full,Exile year 4 day 319,602 May \ 22
136th,Thu,Exile year 4 day 320,602 May \ 23
137th,Fri,Exile year 4 day 321,602 May \ 24
138th,Sat,Exile year 4 day 322,602 May \ 25
139th,Sun,Exile year 4 day 323,602 May \ 26
140th,Mon,Exile year 4 day 324,602 May \ 27
141st,Tue,Exile year 4 day 325,602 May \ 28
142nd,Wed,Exile year 4 day 326,602 May \ 29
143rd,Thu,Exile year 4 day 327,602 May \ 30
144th,Fri,Exile year 4 day 328,602 May \ 31
145th,Sat,Exile year 4 day 329,602 Jun / 1
146th,Sun,Exile year 4 day 330,602 Jun / 2
147th,Mon,Exile year 4 day 331,602 Jun / 3
148th,Tue,Exile year 4 day 332,602 Jun / 4
149th,Wed,Exile year 4 day 333,602 Jun / 5
150th,Thu     New,Exile year 4 day 334,602 Jun / 6
151st,Fri,Exile year 4 day 335,602 Jun / 7
152nd,Sat,Exile year 4 day 336,602 Jun / 8
153rd,Sun,Exile year 4 day 337,602 Jun / 9
154th,Mon,Exile year 4 day 338,602 Jun / 10
155th,Tue,Exile year 4 day 339,602 Jun / 11
156th,Wed,Exile year 4 day 340,602 Jun / 12
157th,Thu,Exile year 4 day 341,602 Jun / 13
158th,Fri,Exile year 4 day 342,602 Jun / 14
159th,Sat,Exile year 4 day 343,602 Jun / 15
160th S,Sun,Exile year 4 day 344,602 Jun / 16
161st,Mon,Exile year 4 day 345,602 Jun / 17
162nd,Tue,Exile year 4 day 346,602 Jun / 18
163rd,Wed,Exile year 4 day 347,602 Jun / 19
164th,Thu     Full,Exile year 4 day 348,602 Jun / 20
165th,Fri,Exile year 4 day 349,602 Jun / 21
166th,Sat,Exile year 4 day 350,602 Jun / 22
167th,Sun,Exile year 4 day 351,602 Jun / 23
168th,Mon,Exile year 4 day 352,602 Jun / 24
169th,Tue,Exile year 4 day 353,602 Jun / 25
170th,Wed,Exile year 4 day 354,602 Jun / 26
171st,Thu,Exile year 4 day 355,602 Jun / 27
172nd,Fri,Exile year 4 day 356,602 Jun / 28
173rd,Sat,Exile year 4 day 357,602 Jun / 29
174th,Sun,Exile year 4 day 358,602 Jun / 30
175th,Mon,Exile year 4 day 359,602 Jul / 1
176th,Tue,Exile year 4 day 360,602 Jul / 2
177th,Wed,Exile year 5 day 1,602 Jul / 3
178th,Thu,Exile year 5 day 2,602 Jul / 4
179th,Fri     New,Exile year 5 day 3,602 Jul / 5
180th,Sat,Exile year 5 day 4,602 Jul / 6
181st,Sun,Exile year 5 day 5,602 Jul / 7
182nd,Mon,Exile year 5 day 6,602 Jul / 8
183rd,Tue,Exile year 5 day 7,602 Jul / 9
184th,Wed,Exile year 5 day 8,602 Jul / 10
185th,Thu,Exile year 5 day 9,602 Jul / 11
186th,Fri,Exile year 5 day 10,602 Jul / 12
187th,Sat,Exile year 5 day 11,602 Jul / 13
188th,Sun,Exile year 5 day 12,602 Jul / 14
189th,Mon,Exile year 5 day 13,602 Jul / 15
190th,Tue,Exile year 5 day 14,602 Jul / 16
191st,Wed,Exile year 5 day 15,602 Jul / 17
192nd,Thu,Exile year 5 day 16,602 Jul / 18
193rd,Fri,Exile year 5 day 17,602 Jul / 19
194th,Sat     Full,Exile year 5 day 18,602 Jul / 20
195th,Sun,Exile year 5 day 19,602 Jul / 21
196th,Mon,Exile year 5 day 20,602 Jul / 22
197th,Tue,Exile year 5 day 21,602 Jul / 23
198th,Wed,Exile year 5 day 22,602 Jul / 24
199th,Thu,Exile year 5 day 23,602 Jul / 25
200th,Fri,Exile year 5 day 24,602 Jul / 26
201st,Sat,Exile year 5 day 25,602 Jul / 27
202nd,Sun,Exile year 5 day 26,602 Jul / 28
203rd,Mon,Exile year 5 day 27,602 Jul / 29
204th,Tue,Exile year 5 day 28,602 Jul / 30
205th,Wed,Exile year 5 day 29,602 Jul / 31
206th,Thu,Exile year 5 day 30,602 Aug / 1
207th,Fri,Exile year 5 day 31,602 Aug / 2
208th,Sat     New,Exile year 5 day 32,602 Aug / 3
209th,Sun,Exile year 5 day 33,602 Aug / 4
210th,Mon,Exile year 5 day 34,602 Aug / 5
211th,Tue,Exile year 5 day 35,602 Aug / 6
212th,Wed,Exile year 5 day 36,602 Aug / 7
213th,Thu,Exile year 5 day 37,602 Aug / 8
214th,Fri,Exile year 5 day 38,602 Aug / 9
215th,Sat,Exile year 5 day 39,602 Aug / 10
216th,Sun,Exile year 5 day 40,602 Aug / 11
217th,Mon,Exile year 5 day 41,602 Aug / 12
218th,Tue,Exile year 5 day 42,602 Aug / 13
219th,Wed,Exile year 5 day 43,602 Aug / 14
220th,Thu,Exile year 5 day 44,602 Aug / 15
221st,Fri,Exile year 5 day 45,602 Aug / 16
222nd,Sat,Exile year 5 day 46,602 Aug / 17
223rd,Sun     Full,Exile year 5 day 47,602 Aug / 18
224th,Mon,Exile year 5 day 48,602 Aug / 19
225th,Tue,Exile year 5 day 49,602 Aug / 20
226th,Wed,Exile year 5 day 50,602 Aug / 21
227th,Thu,Exile year 5 day 51,602 Aug / 22
228th,Fri,Exile year 5 day 52,602 Aug / 23
229th,Sat,Exile year 5 day 53,602 Aug / 24
230th,Sun,Exile year 5 day 54,602 Aug / 25
231st,Mon,Exile year 5 day 55,602 Aug / 26
232nd,Tue,Exile year 5 day 56,602 Aug / 27
233rd,Wed,Exile year 5 day 57,602 Aug / 28
234th,Thu,Exile year 5 day 58,602 Aug / 29
235th,Fri,Exile year 5 day 59,602 Aug / 30
236th,Sat,Exile year 5 day 60,602 Aug / 31
237th,Sun,Exile year 5 day 61,602 Sep / 1
238th,Mon     New,Exile year 5 day 62,602 Sep / 2
239th,Tue,Exile year 5 day 63,602 Sep / 3
240th,Wed,Exile year 5 day 64,602 Sep / 4
241st,Thu,Exile year 5 day 65,602 Sep / 5
242nd,Fri,Exile year 5 day 66,602 Sep / 6
243rd,Sat,Exile year 5 day 67,602 Sep / 7
244th,Sun,Exile year 5 day 68,602 Sep / 8
245th,Mon,Exile year 5 day 69,602 Sep / 9
246th,Tue,Exile year 5 day 70,602 Sep / 10
247th,Wed,Exile year 5 day 71,602 Sep / 11
248th,Thu,Exile year 5 day 72,602 Sep / 12
249th,Fri,Exile year 5 day 73,602 Sep / 13
250th,Sat,Exile year 5 day 74,602 Sep / 14
251st,Sun,Exile year 5 day 75,602 Sep / 15
252nd,Mon,Exile year 5 day 76,602 Sep / 16
253rd,Tue     Full,Exile year 5 day 77,602 Sep / 17
254th,Wed,Exile year 5 day 78,602 Sep / 18
255th,Thu,Exile year 5 day 79,602 Sep / 19
256th,Fri,Exile year 5 day 80,602 Sep / 20
257th,Sat,Exile year 5 day 81,602 Sep / 21
258th,Sun,Exile year 5 day 82,602 Sep / 22
259th,Mon,Exile year 5 day 83,602 Sep / 23
260th,Tue,Exile year 5 day 84,602 Sep / 24
261st,Wed,Exile year 5 day 85,602 Sep / 25
262nd,Thu,Exile year 5 day 86,602 Sep / 26
263rd,Fri,Exile year 5 day 87,602 Sep / 27
264th,Sat,Exile year 5 day 88,602 Sep / 28
265th,Sun,Exile year 5 day 89,602 Sep / 29
266th EQ,Mon,Exile year 5 day 90,602 Sep / 30
267th,Tue     New,Exile year 5 day 91,602 Oct / 1
268th,Wed,Exile year 5 day 92,602 Oct / 2
269th,Thu,Exile year 5 day 93,602 Oct / 3
270th,Fri,Exile year 5 day 94,602 Oct / 4
271st,Sat,Exile year 5 day 95,602 Oct / 5
272nd,Sun,Exile year 5 day 96,602 Oct / 6
273rd,Mon,Exile year 5 day 97,602 Oct / 7
274th,Tue,Exile year 5 day 98,602 Oct / 8
275th,Wed,Exile year 5 day 99,602 Oct / 9
276th,Thu,Exile year 5 day 100,602 Oct / 10
277th,Fri,Exile year 5 day 101,602 Oct / 11
278th,Sat,Exile year 5 day 102,602 Oct / 12
279th,Sun,Exile year 5 day 103,602 Oct / 13
280th,Mon,Exile year 5 day 104,602 Oct / 14
281st,Tue,Exile year 5 day 105,602 Oct / 15
282nd,Wed,Exile year 5 day 106,602 Oct / 16
283rd,Thu     Full,Exile year 5 day 107,602 Oct / 17
284th,Fri,Exile year 5 day 108,602 Oct / 18
285th,Sat,Exile year 5 day 109,602 Oct / 19
286th,Sun,Exile year 5 day 110,602 Oct / 20
287th,Mon,Exile year 5 day 111,602 Oct / 21
288th,Tue,Exile year 5 day 112,602 Oct / 22
289th,Wed,Exile year 5 day 113,602 Oct / 23
290th,Thu,Exile year 5 day 114,602 Oct / 24
291st,Fri,Exile year 5 day 115,602 Oct / 25
292nd,Sat,Exile year 5 day 116,602 Oct / 26
293rd,Sun,Exile year 5 day 117,602 Oct / 27
294th,Mon,Exile year 5 day 118,602 Oct / 28
295th,Tue,Exile year 5 day 119,602 Oct / 29
296th,Wed,Exile year 5 day 120,602 Oct / 30
297th,Thu     New,Exile year 5 day 121,602 Oct / 31
298th,Fri,Exile year 5 day 122,602 Nov / 1
299th,Sat,Exile year 5 day 123,602 Nov / 2
300th,Sun,Exile year 5 day 124,602 Nov / 3
301st,Mon,Exile year 5 day 125,602 Nov / 4
302nd,Tue,Exile year 5 day 126,602 Nov / 5
303rd,Wed,Exile year 5 day 127,602 Nov / 6
304th,Thu,Exile year 5 day 128,602 Nov / 7
305th,Fri,Exile year 5 day 129,602 Nov / 8
306th,Sat,Exile year 5 day 130,602 Nov / 9
307th,Sun,Exile year 5 day 131,602 Nov / 10
308th,Mon,Exile year 5 day 132,602 Nov / 11
309th,Tue,Exile year 5 day 133,602 Nov / 12
310th,Wed,Exile year 5 day 134,602 Nov / 13
311th,Thu,Exile year 5 day 135,602 Nov / 14
312th,Fri     Full,Exile year 5 day 136,602 Nov / 15
313th,Sat,Exile year 5 day 137,602 Nov / 16
314th,Sun,Exile year 5 day 138,602 Nov / 17
315th,Mon,Exile year 5 day 139,602 Nov / 18
316th,Tue,Exile year 5 day 140,602 Nov / 19
317th,Wed,Exile year 5 day 141,602 Nov / 20
318th,Thu,Exile year 5 day 142,602 Nov / 21
319th,Fri,Exile year 5 day 143,602 Nov / 22
320th,Sat,Exile year 5 day 144,602 Nov / 23
321st,Sun,Exile year 5 day 145,602 Nov / 24
322nd,Mon,Exile year 5 day 146,602 Nov / 25
323rd,Tue,Exile year 5 day 147,602 Nov / 26
324th,Wed,Exile year 5 day 148,602 Nov / 27
325th,Thu,Exile year 5 day 149,602 Nov / 28
326th,Fri     New,Exile year 5 day 150,602 Nov / 29
327th,Sat,Exile year 5 day 151,602 Nov / 30
328th,Sun,Exile year 5 day 152,602 Dec / 1
329th,Mon,Exile year 5 day 153,602 Dec / 2
330th,Tue,Exile year 5 day 154,602 Dec / 3
331st,Wed,Exile year 5 day 155,602 Dec / 4
332nd,Thu,Exile year 5 day 156,602 Dec / 5
333rd,Fri,Exile year 5 day 157,602 Dec / 6
334th,Sat,Exile year 5 day 158,602 Dec / 7
335th,Sun,Exile year 5 day 159,602 Dec / 8
336th,Mon,Exile year 5 day 160,602 Dec / 9
337th,Tue,Exile year 5 day 161,602 Dec / 10
338th,Wed,Exile year 5 day 162,602 Dec / 11
339th,Thu,Exile year 5 day 163,602 Dec / 12
340th,Fri,Exile year 5 day 164,602 Dec / 13
341st,Sat,Exile year 5 day 165,602 Dec / 14
342nd,Sun     Full,Exile year 5 day 166,602 Dec / 15
343rd,Mon,Exile year 5 day 167,602 Dec / 16
344th,Tue,Exile year 5 day 168,602 Dec / 17
345th,Wed,Exile year 5 day 169,602 Dec / 18
346th,Thu,Exile year 5 day 170,602 Dec / 19
347th,Fri,Exile year 5 day 171,602 Dec / 20
348th,Sat,Exile year 5 day 172,602 Dec / 21
349th,Sun,Exile year 5 day 173,602 Dec / 22
350th,Mon,Exile year 5 day 174,602 Dec / 23
351st,Tue,Exile year 5 day 175,602 Dec / 24
352nd,Wed,Exile year 5 day 176,602 Dec / 25
353rd,Thu,Exile year 5 day 177,602 Dec / 26
354th,Fri,Exile year 5 day 178,602 Dec / 27
355th,Sat,Exile year 5 day 179,602 Dec / 28
356th SO,Sun     New,Exile year 5 day 180,602 Dec / 29
357th,Mon,Exile year 5 day 181,602 Dec / 30
358th,Tue,Exile year 5 day 182,602 Dec / 31
359th,Wed,Exile year 5 day 183,601 L Jan / 1
360th,Thu,Exile year 5 day 184,601 L Jan / 2
361st,Fri,Exile year 5 day 185,601 L Jan / 3
362nd,Sat,Exile year 5 day 186,601 L Jan / 4
363rd,Sun,Exile year 5 day 187,601 L Jan / 5
364th,Mon,Exile year 5 day 188,601 L Jan / 6
365th,Tue,Exile year 5 day 189,601 L Jan / 7
366th,XXXXX,,
