SOLAR,7393,HISTORICAL
99th X,Tue,608 Apr \ 16
100th X,Wed,608 Apr \ 17
101st X,Thu,608 Apr \ 18
102nd X,Fri,608 Apr \ 19
103rd X,Sat,608 Apr \ 20
104th X,Sun,608 Apr \ 21
105th X,Mon,608 Apr \ 22
106th X,Tue,608 Apr \ 23
107th X,Wed,608 Apr \ 24
108th X,Thu,608 Apr \ 25
109th X,Fri,608 Apr \ 26
110th X,Sat,608 Apr \ 27
111th X,Sun     Full,608 Apr \ 28
112th X,Mon,608 Apr \ 29
113th X,Tue,608 Apr \ 30
114th X,Wed,608 May \ 1
115th X,Thu,608 May \ 2
116th,Fri,608 May \ 3
117th,Sat,608 May \ 4
118th,Sun,608 May \ 5
119th,Mon,608 May \ 6
120th,Tue,608 May \ 7
121st,Wed,608 May \ 8
122nd,Thu,608 May \ 9
123rd,Fri,608 May \ 10
124th,Sat,608 May \ 11
125th,Sun,608 May \ 12
126th,Mon     New,608 May \ 13
127th,Tue,608 May \ 14
128th,Wed,608 May \ 15
129th,Thu,608 May \ 16
130th,Fri,608 May \ 17
131st,Sat,608 May \ 18
132nd,Sun,608 May \ 19
133rd,Mon,608 May \ 20
134th,Tue,608 May \ 21
135th,Wed,608 May \ 22
136th,Thu,608 May \ 23
137th,Fri,608 May \ 24
138th,Sat,608 May \ 25
139th,Sun,608 May \ 26
140th,Mon     Full,608 May \ 27
141st,Tue,608 May \ 28
142nd,Wed,608 May \ 29
143rd,Thu,608 May \ 30
144th,Fri,608 May \ 31
145th,Sat,608 Jun / 1
146th,Sun,608 Jun / 2
147th,Mon,608 Jun / 3
148th,Tue,608 Jun / 4
149th,Wed,608 Jun / 5
150th,Thu,608 Jun / 6
151st,Fri,608 Jun / 7
152nd,Sat,608 Jun / 8
153rd,Sun,608 Jun / 9
154th,Mon,608 Jun / 10
155th,Tue,608 Jun / 11
156th,Wed     New,608 Jun / 12
157th,Thu,608 Jun / 13
158th,Fri,608 Jun / 14
159th,Sat,608 Jun / 15
160th S,Sun,608 Jun / 16
161st,Mon,608 Jun / 17
162nd,Tue,608 Jun / 18
163rd,Wed,608 Jun / 19
164th,Thu,608 Jun / 20
165th,Fri,608 Jun / 21
166th,Sat,608 Jun / 22
167th,Sun,608 Jun / 23
168th,Mon,608 Jun / 24
169th,Tue,608 Jun / 25
170th,Wed     Full,608 Jun / 26
171st,Thu,608 Jun / 27
172nd,Fri,608 Jun / 28
173rd,Sat,608 Jun / 29
174th,Sun,608 Jun / 30
175th,Mon,608 Jul / 1
176th,Tue,608 Jul / 2
177th,Wed,608 Jul / 3
178th,Thu,608 Jul / 4
179th,Fri,608 Jul / 5
180th,Sat,608 Jul / 6
181st,Sun,608 Jul / 7
182nd,Mon,608 Jul / 8
183rd,Tue,608 Jul / 9
184th,Wed,608 Jul / 10
185th,Thu     New,608 Jul / 11
186th,Fri,608 Jul / 12
187th,Sat,608 Jul / 13
188th,Sun,608 Jul / 14
189th,Mon,608 Jul / 15
190th,Tue,608 Jul / 16
191st,Wed,608 Jul / 17
192nd,Thu,608 Jul / 18
193rd,Fri,608 Jul / 19
194th,Sat,608 Jul / 20
195th,Sun,608 Jul / 21
196th,Mon,608 Jul / 22
197th,Tue,608 Jul / 23
198th,Wed,608 Jul / 24
199th,Thu     Full,608 Jul / 25
200th,Fri,608 Jul / 26
201st,Sat,608 Jul / 27
202nd,Sun,608 Jul / 28
203rd,Mon,608 Jul / 29
204th,Tue,608 Jul / 30
205th,Wed,608 Jul / 31
206th,Thu,608 Aug / 1
207th,Fri,608 Aug / 2
208th,Sat,608 Aug / 3
209th,Sun,608 Aug / 4
210th,Mon,608 Aug / 5
211th,Tue,608 Aug / 6
212th,Wed,608 Aug / 7
213th,Thu,608 Aug / 8
214th,Fri,608 Aug / 9
215th,Sat     New,608 Aug / 10
216th,Sun,608 Aug / 11
217th,Mon,608 Aug / 12
218th,Tue,608 Aug / 13
219th,Wed,608 Aug / 14
220th,Thu,608 Aug / 15
221st,Fri,608 Aug / 16
222nd,Sat,608 Aug / 17
223rd,Sun,608 Aug / 18
224th,Mon,608 Aug / 19
225th,Tue,608 Aug / 20
226th,Wed,608 Aug / 21
227th,Thu,608 Aug / 22
228th,Fri,608 Aug / 23
229th,Sat     Full,608 Aug / 24
230th,Sun,608 Aug / 25
231st,Mon,608 Aug / 26
232nd,Tue,608 Aug / 27
233rd,Wed,608 Aug / 28
234th,Thu,608 Aug / 29
235th,Fri,608 Aug / 30
236th,Sat,608 Aug / 31
237th,Sun,608 Sep / 1
238th,Mon,608 Sep / 2
239th,Tue,608 Sep / 3
240th,Wed,608 Sep / 4
241st,Thu,608 Sep / 5
242nd,Fri,608 Sep / 6
243rd,Sat,608 Sep / 7
244th,Sun     New,608 Sep / 8
245th,Mon,608 Sep / 9
246th,Tue,608 Sep / 10
247th,Wed,608 Sep / 11
248th,Thu,608 Sep / 12
249th,Fri,608 Sep / 13
250th,Sat,608 Sep / 14
251st,Sun,608 Sep / 15
252nd,Mon,608 Sep / 16
253rd,Tue,608 Sep / 17
254th,Wed,608 Sep / 18
255th,Thu,608 Sep / 19
256th,Fri,608 Sep / 20
257th,Sat,608 Sep / 21
258th,Sun     Full,608 Sep / 22
259th,Mon,608 Sep / 23
260th,Tue,608 Sep / 24
261st,Wed,608 Sep / 25
262nd,Thu,608 Sep / 26
263rd,Fri,608 Sep / 27
264th,Sat,608 Sep / 28
265th,Sun,608 Sep / 29
266th EQ,Mon,608 Sep / 30
267th,Tue,608 Oct / 1
268th,Wed,608 Oct / 2
269th,Thu,608 Oct / 3
270th,Fri,608 Oct / 4
271st,Sat,608 Oct / 5
272nd,Sun,608 Oct / 6
273rd,Mon,608 Oct / 7
274th,Tue     New,608 Oct / 8
275th,Wed,608 Oct / 9
276th,Thu,608 Oct / 10
277th,Fri,608 Oct / 11
278th,Sat,608 Oct / 12
279th,Sun,608 Oct / 13
280th,Mon,608 Oct / 14
281st,Tue,608 Oct / 15
282nd,Wed,608 Oct / 16
283rd,Thu,608 Oct / 17
284th,Fri,608 Oct / 18
285th,Sat,608 Oct / 19
286th,Sun,608 Oct / 20
287th,Mon,608 Oct / 21
288th,Tue     Full,608 Oct / 22
289th,Wed,608 Oct / 23
290th,Thu,608 Oct / 24
291st,Fri,608 Oct / 25
292nd,Sat,608 Oct / 26
293rd,Sun,608 Oct / 27
294th,Mon,608 Oct / 28
295th,Tue,608 Oct / 29
296th,Wed,608 Oct / 30
297th,Thu,608 Oct / 31
298th,Fri,608 Nov / 1
299th,Sat,608 Nov / 2
300th,Sun,608 Nov / 3
301st,Mon,608 Nov / 4
302nd,Tue,608 Nov / 5
303rd,Wed     New,608 Nov / 6
304th,Thu,608 Nov / 7
305th,Fri,608 Nov / 8
306th,Sat,608 Nov / 9
307th,Sun,608 Nov / 10
308th,Mon,608 Nov / 11
309th,Tue,608 Nov / 12
310th,Wed,608 Nov / 13
311th,Thu,608 Nov / 14
312th,Fri,608 Nov / 15
313th,Sat,608 Nov / 16
314th,Sun,608 Nov / 17
315th,Mon,608 Nov / 18
316th,Tue,608 Nov / 19
317th,Wed,608 Nov / 20
318th,Thu     Full,608 Nov / 21
319th,Fri,608 Nov / 22
320th,Sat,608 Nov / 23
321st,Sun,608 Nov / 24
322nd,Mon,608 Nov / 25
323rd,Tue,608 Nov / 26
324th,Wed,608 Nov / 27
325th,Thu,608 Nov / 28
326th,Fri,608 Nov / 29
327th,Sat,608 Nov / 30
328th,Sun,608 Dec / 1
329th,Mon,608 Dec / 2
330th,Tue,608 Dec / 3
331st,Wed,608 Dec / 4
332nd,Thu     New,608 Dec / 5
333rd,Fri,608 Dec / 6
334th,Sat,608 Dec / 7
335th,Sun,608 Dec / 8
336th,Mon,608 Dec / 9
337th,Tue,608 Dec / 10
338th,Wed,608 Dec / 11
339th,Thu,608 Dec / 12
340th,Fri,608 Dec / 13
341st,Sat,608 Dec / 14
342nd,Sun,608 Dec / 15
343rd,Mon,608 Dec / 16
344th,Tue,608 Dec / 17
345th,Wed,608 Dec / 18
346th,Thu,608 Dec / 19
347th,Fri,608 Dec / 20
348th,Sat     Full,608 Dec / 21
349th,Sun,608 Dec / 22
350th,Mon,608 Dec / 23
351st,Tue,608 Dec / 24
352nd,Wed,608 Dec / 25
353rd,Thu,608 Dec / 26
354th,Fri,608 Dec / 27
355th,Sat,608 Dec / 28
356th SO,Sun,608 Dec / 29
357th,Mon,608 Dec / 30
358th,Tue,608 Dec / 31
359th,Wed,607 Jan / 1
360th,Thu,607 Jan / 2
361st,Fri,607 Jan / 3
362nd,Sat     New,607 Jan / 4
363rd,Sun,607 Jan / 5
364th,Mon,607 Jan / 6
365th,Tue,607 Jan / 7
366th,XXXXX,
