SOLAR,7393,HISTORICAL
1st,Tue,608 Jan \ 8
2nd,Wed,608 Jan \ 9
3rd,Thu,608 Jan \ 10
4th,Fri,608 Jan \ 11
5th,Sat,608 Jan \ 12
6th,Sun,608 Jan \ 13
7th,Mon     New,608 Jan \ 14
8th,Tue,608 Jan \ 15
9th,Wed,608 Jan \ 16
10th,Thu,608 Jan \ 17
11th,Fri,608 Jan \ 18
12th,Sat,608 Jan \ 19
13th,Sun,608 Jan \ 20
14th,Mon,608 Jan \ 21
15th,Tue,608 Jan \ 22
16th,Wed,608 Jan \ 23
17th,Thu,608 Jan \ 24
18th,Fri,608 Jan \ 25
19th,Sat,608 Jan \ 26
20th,Sun,608 Jan \ 27
21st,Mon,608 Jan \ 28
22nd,Tue,608 Jan \ 29
23rd,Wed     Full,608 Jan \ 30
24th,Thu,608 Jan \ 31
25th,Fri,608 Feb \ 1
26th,Sat,608 Feb \ 2
27th,Sun,608 Feb \ 3
28th,Mon,608 Feb \ 4
29th,Tue,608 Feb \ 5
30th,Wed,608 Feb \ 6
31st,Thu,608 Feb \ 7
32nd,Fri,608 Feb \ 8
33rd,Sat,608 Feb \ 9
34th,Sun,608 Feb \ 10
35th,Mon,608 Feb \ 11
36th,Tue,608 Feb \ 12
36th,Wed     New,608 Feb \ 13
38th,Thu,608 Feb \ 14
39th,Fri,608 Feb \ 15
40th,Sat,608 Feb \ 16
41st,Sun,608 Feb \ 17
42nd,Mon,608 Feb \ 18
43rd,Tue,608 Feb \ 19
44th,Wed,608 Feb \ 20
45th,Thu,608 Feb \ 21
46th,Fri,608 Feb \ 22
47th,Sat,608 Feb \ 23
48th,Sun,608 Feb \ 24
49th,Mon,608 Feb \ 25
50th,Tue,608 Feb \ 26
51st,Wed,608 Feb \ 27
52nd,Thu     Full,608 Feb \ 28
53rd,Fri,608 Mar \ 1
54th,Sat,608 Mar \ 2
55th,Sun,608 Mar \ 3
56th,Mon,608 Mar \ 4
57th,Tue,608 Mar \ 5
58th,Wed,608 Mar \ 6
59th X,Thu,608 Mar \ 7
60th X,Fri,608 Mar \ 8
61st X,Sat,608 Mar \ 9
62nd X,Sun,608 Mar \ 10
63rd X,Mon,608 Mar \ 11
64th X,Tue,608 Mar \ 12
65th X,Wed,608 Mar \ 13
66th X,Thu,608 Mar \ 14
67th X,Fri     New,608 Mar \ 15
68th X,Sat,608 Mar \ 16
69th X,Sun,608 Mar \ 17
70th X,Mon,608 Mar \ 18
71st X,Tue,608 Mar \ 19
72nd X,Wed,608 Mar \ 20
73rd X,Thu,608 Mar \ 21
74th X,Fri,608 Mar \ 22
75th X,Sat,608 Mar \ 23
76th X,Sun,608 Mar \ 24
77th X,Mon,608 Mar \ 25
78th X,Tue,608 Mar \ 26
79th X,Wed,608 Mar \ 27
80th EQ,Thu,608 Mar \ 28
81st  X,Fri,608 Mar \ 29
82nd X,Sat     Full,608 Mar \ 30
83rd  X,Sun,608 Mar \ 31
84th X,Mon,608 Apr \ 1
85th X,Tue,608 Apr \ 2
86th X,Wed,608 Apr \ 3
87th X,Thu,608 Apr \ 4
88th X,Fri,608 Apr \ 5
89th X,Sat,608 Apr \ 6
90th X,Sun,608 Apr \ 7
91st X,Mon,608 Apr \ 8
92nd X,Tue,608 Apr \ 9
93rd X,Wed,608 Apr \ 10
94th X,Thu,608 Apr \ 11
95th X,Fri,608 Apr \ 12
96th X,Sat     New,608 Apr \ 13
97th X,Sun,608 Apr \ 14
98th X,Mon,608 Apr \ 15
