SOLAR,8217,JULIAN AUC,HISTORICAL
116th,Sat,970 Aprilis / 26,217 Apr / 26
117th,Sun,970 Aprilis / 27,217 Apr / 27
118th,Mon,970 Aprilis / 28,217 Apr / 28
119th,Tue,970 Aprilis / 29,217 Apr / 29
120th,Wed,970 Aprilis / 30,217 Apr / 30
121st,Thu,970 Maius / 1,217 May / 1
122nd,Fri,970 Maius / 2,217 May / 2
123rd,Sat,970 Maius / 3,217 May / 3
124th,Sun,970 Maius / 4,217 May / 4
125th,Mon,970 Maius / 5,217 May / 5
126th,Tue,970 Maius / 6,217 May / 6
127th,Wed,970 Maius / 7,217 May / 7
128th,Thu     Full,970 Maius / 8,217 May / 8
129th,Fri,970 Maius / 9,217 May / 9
130th,Sat,970 Maius / 10,217 May / 10
131st,Sun,970 Maius / 11,217 May / 11
132nd,Mon,970 Maius / 12,217 May / 12
133rd,Tue,970 Maius / 13,217 May / 13
134th,Wed,970 Maius / 14,217 May / 14
135th,Thu,970 Maius / 15,217 May / 15
136th,Fri,970 Maius / 16,217 May / 16
137th,Sat,970 Maius / 17,217 May / 17
138th,Sun,970 Maius / 18,217 May / 18
139th,Mon,970 Maius / 19,217 May / 19
140th,Tue,970 Maius / 20,217 May / 20
141st,Wed,970 Maius / 21,217 May / 21
142nd,Thu     New,970 Maius / 22,217 May / 22
143rd,Fri,970 Maius / 23,217 May / 23
144th,Sat,970 Maius / 24,217 May / 24
145th,Sun,970 Maius / 25,217 May / 25
146th,Mon,970 Maius / 26,217 May / 26
147th,Tue,970 Maius / 27,217 May / 27
148th,Wed,970 Maius / 28,217 May / 28
149th,Thu,970 Maius / 29,217 May / 29
150th,Fri,970 Maius / 30,217 May / 30
151st,Sat,970 Maius / 31,217 May / 31
152nd,Sun,970 Iunius / 1,217 Jun / 1
153rd,Mon,970 Iunius / 2,217 Jun / 2
154th,Tue,970 Iunius / 3,217 Jun / 3
155th,Wed,970 Iunius / 4,217 Jun / 4
156th,Thu,970 Iunius / 5,217 Jun / 5
157th,Fri     Full,970 Iunius / 6,217 Jun / 6
158th,Sat,970 Iunius / 7,217 Jun / 7
159th,Sun,970 Iunius / 8,217 Jun / 8
160th S,Mon,970 Iunius / 9,217 Jun / 9
161st,Tue,970 Iunius / 10,217 Jun / 10
162nd,Wed,970 Iunius / 11,217 Jun / 11
163rd,Thu,970 Iunius / 12,217 Jun / 12
164th,Fri,970 Iunius / 13,217 Jun / 13
165th,Sat,970 Iunius / 14,217 Jun / 14
166th,Sun,970 Iunius / 15,217 Jun / 15
167th,Mon,970 Iunius / 16,217 Jun / 16
168th,Tue,970 Iunius / 17,217 Jun / 17
169th,Wed,970 Iunius / 18,217 Jun / 18
170th,Thu,970 Iunius / 19,217 Jun / 19
171st,Fri,970 Iunius / 20,217 Jun / 20
172nd,Sat     New,970 Iunius / 21,217 Jun / 21
173rd,Sun,970 Iunius / 22,217 Jun / 22
174th,Mon,970 Iunius / 23,217 Jun / 23
175th,Tue,970 Iunius / 24,217 Jun / 24
176th,Wed,970 Iunius / 25,217 Jun / 25
177th,Thu,970 Iunius / 26,217 Jun / 26
178th,Fri,970 Iunius / 27,217 Jun / 27
179th,Sat,970 Iunius / 28,217 Jun / 28
180th,Sun,970 Iunius / 29,217 Jun / 29
181st,Mon,970 Iunius / 30,217 Jun / 30
182nd,Tue,970 Iulius / 1,217 Jul / 1
183rd,Wed,970 Iulius / 2,217 Jul / 2
184th,Thu,970 Iulius / 3,217 Jul / 3
185th,Fri,970 Iulius / 4,217 Jul / 4
186th,Sat,970 Iulius / 5,217 Jul / 5
187th,Sun     Full,970 Iulius / 6,217 Jul / 6
188th,Mon,970 Iulius / 7,217 Jul / 7
189th,Tue,970 Iulius / 8,217 Jul / 8
190th,Wed,970 Iulius / 9,217 Jul / 9
191st,Thu,970 Iulius / 10,217 Jul / 10
192nd,Fri,970 Iulius / 11,217 Jul / 11
193rd,Sat,970 Iulius / 12,217 Jul / 12
194th,Sun,970 Iulius / 13,217 Jul / 13
195th,Mon,970 Iulius / 14,217 Jul / 14
196th,Tue,970 Iulius / 15,217 Jul / 15
197th,Wed,970 Iulius / 16,217 Jul / 16
198th,Thu,970 Iulius / 17,217 Jul / 17
199th,Fri,970 Iulius / 18,217 Jul / 18
200th,Sat,970 Iulius / 19,217 Jul / 19
201st,Sun,970 Iulius / 20,217 Jul / 20
202nd,Mon     New,970 Iulius / 21,217 Jul / 21
203rd,Tue,970 Iulius / 22,217 Jul / 22
204th,Wed,970 Iulius / 23,217 Jul / 23
205th,Thu,970 Iulius / 24,217 Jul / 24
206th,Fri,970 Iulius / 25,217 Jul / 25
207th,Sat,970 Iulius / 26,217 Jul / 26
208th,Sun,970 Iulius / 27,217 Jul / 27
209th,Mon,970 Iulius / 28,217 Jul / 28
210th,Tue,970 Iulius / 29,217 Jul / 29
211th,Wed,970 Iulius / 30,217 Jul / 30
212th,Thu,970 Iulius / 31,217 Jul / 31
213th,Fri,970 Augustus / 1,217 Aug / 1
214th,Sat,970 Augustus / 2,217 Aug / 2
215th,Sun,970 Augustus / 3,217 Aug / 3
216th,Mon     Full,970 Augustus / 4,217 Aug / 4
217th,Tue,970 Augustus / 5,217 Aug / 5
218th,Wed,970 Augustus / 6,217 Aug / 6
219th,Thu,970 Augustus / 7,217 Aug / 7
220th,Fri,970 Augustus / 8,217 Aug / 8
221st,Sat,970 Augustus / 9,217 Aug / 9
222nd,Sun,970 Augustus / 10,217 Aug / 10
223rd,Mon,970 Augustus / 11,217 Aug / 11
224th,Tue,970 Augustus / 12,217 Aug / 12
225th,Wed,970 Augustus / 13,217 Aug / 13
226th,Thu,970 Augustus / 14,217 Aug / 14
227th,Fri,970 Augustus / 15,217 Aug / 15
228th,Sat,970 Augustus / 16,217 Aug / 16
229th,Sun,970 Augustus / 17,217 Aug / 17
230th,Mon,970 Augustus / 18,217 Aug / 18
231st,Tue     New,970 Augustus / 19,217 Aug / 19
232nd,Wed,970 Augustus / 20,217 Aug / 20
233rd,Thu,970 Augustus / 21,217 Aug / 21
234th,Fri,970 Augustus / 22,217 Aug / 22
235th,Sat,970 Augustus / 23,217 Aug / 23
236th,Sun,970 Augustus / 24,217 Aug / 24
237th,Mon,970 Augustus / 25,217 Aug / 25
238th,Tue,970 Augustus / 26,217 Aug / 26
239th,Wed,970 Augustus / 27,217 Aug / 27
240th,Thu,970 Augustus / 28,217 Aug / 28
241st,Fri,970 Augustus / 29,217 Aug / 29
242nd,Sat,970 Augustus / 30,217 Aug / 30
243rd,Sun,970 Augustus / 31,217 Aug / 31
244th,Mon,970 Sep / 1,217 Sep / 1
245th,Tue     Full,970 Sep / 2,217 Sep / 2
246th,Wed,970 Sep / 3,217 Sep / 3
247th,Thu,970 Sep / 4,217 Sep / 4
248th,Fri,970 Sep / 5,217 Sep / 5
249th,Sat,970 Sep / 6,217 Sep / 6
250th,Sun,970 Sep / 7,217 Sep / 7
251st,Mon,970 Sep / 8,217 Sep / 8
252nd,Tue,970 Sep / 9,217 Sep / 9
253rd,Wed,970 Sep / 10,217 Sep / 10
254th,Thu,970 Sep / 11,217 Sep / 11
255th,Fri,970 Sep / 12,217 Sep / 12
256th,Sat,970 Sep / 13,217 Sep / 13
257th,Sun,970 Sep / 14,217 Sep / 14
258th,Mon,970 Sep / 15,217 Sep / 15
259th,Tue,970 Sep / 16,217 Sep / 16
260th,Wed,970 Sep / 17,217 Sep / 17
261st,Thu     New,970 Sep / 18,217 Sep / 18
262nd,Fri,970 Sep / 19,217 Sep / 19
263rd,Sat,970 Sep / 20,217 Sep / 20
264th,Sun,970 Sep / 21,217 Sep / 21
265th,Mon,970 Sep / 22,217 Sep / 22
266th EQ,Tue,970 Sep / 23,217 Sep / 23
267th,Wed,970 Sep / 24,217 Sep / 24
268th,Thu,970 Sep / 25,217 Sep / 25
269th,Fri,970 Sep / 26,217 Sep / 26
270th,Sat,970 Sep / 27,217 Sep / 27
271st,Sun,970 Sep / 28,217 Sep / 28
272nd,Mon,970 Sep / 29,217 Sep / 29
273rd,Tue,970 Sep / 30,217 Sep / 30
274th,Wed,970 Oct / 1,217 Oct / 1
275th,Thu     Full,970 Oct / 2,217 Oct / 2
276th,Fri,970 Oct / 3,217 Oct / 3
277th,Sat,970 Oct / 4,217 Oct / 4
278th,Sun,970 Oct / 5,217 Oct / 5
279th,Mon,970 Oct / 6,217 Oct / 6
280th,Tue,970 Oct / 7,217 Oct / 7
281st,Wed,970 Oct / 8,217 Oct / 8
282nd,Thu,970 Oct / 9,217 Oct / 9
283rd,Fri,970 Oct / 10,217 Oct / 10
284th,Sat,970 Oct / 11,217 Oct / 11
285th,Sun,970 Oct / 12,217 Oct / 12
286th,Mon,970 Oct / 13,217 Oct / 13
287th,Tue,970 Oct / 14,217 Oct / 14
288th,Wed,970 Oct / 15,217 Oct / 15
289th,Thu,970 Oct / 16,217 Oct / 16
290th,Fri,970 Oct / 17,217 Oct / 17
291st,Sat     New,970 Oct / 18,217 Oct / 18
292nd,Sun,970 Oct / 19,217 Oct / 19
293rd,Mon,970 Oct / 20,217 Oct / 20
294th,Tue,970 Oct / 21,217 Oct / 21
295th,Wed,970 Oct / 22,217 Oct / 22
296th,Thu,970 Oct / 23,217 Oct / 23
297th,Fri,970 Oct / 24,217 Oct / 24
298th,Sat,970 Oct / 25,217 Oct / 25
299th,Sun,970 Oct / 26,217 Oct / 26
300th,Mon,970 Oct / 27,217 Oct / 27
301st,Tue,970 Oct / 28,217 Oct / 28
302nd,Wed,970 Oct / 29,217 Oct / 29
303rd,Thu,970 Oct / 30,217 Oct / 30
304th,Fri,970 Oct / 31,217 Oct / 31
305th,Sat     Full,970 Nov / 1,217 Nov / 1
306th,Sun,970 Nov / 2,217 Nov / 2
307th,Mon,970 Nov / 3,217 Nov / 3
308th,Tue,970 Nov / 4,217 Nov / 4
309th,Wed,970 Nov / 5,217 Nov / 5
310th,Thu,970 Nov / 6,217 Nov / 6
311th,Fri,970 Nov / 7,217 Nov / 7
312th,Sat,970 Nov / 8,217 Nov / 8
313th,Sun,970 Nov / 9,217 Nov / 9
314th,Mon,970 Nov / 10,217 Nov / 10
315th,Tue,970 Nov / 11,217 Nov / 11
316th,Wed,970 Nov / 12,217 Nov / 12
317th,Thu,970 Nov / 13,217 Nov / 13
318th,Fri,970 Nov / 14,217 Nov / 14
319th,Sat,970 Nov / 15,217 Nov / 15
320th,Sun     New,970 Nov / 16,217 Nov / 16
321st,Mon,970 Nov / 17,217 Nov / 17
322nd,Tue,970 Nov / 18,217 Nov / 18
323rd,Wed,970 Nov / 19,217 Nov / 19
324th,Thu,970 Nov / 20,217 Nov / 20
325th,Fri,970 Nov / 21,217 Nov / 21
326th,Sat,970 Nov / 22,217 Nov / 22
327th,Sun,970 Nov / 23,217 Nov / 23
328th,Mon,970 Nov / 24,217 Nov / 24
329th,Tue,970 Nov / 25,217 Nov / 25
330th,Wed,970 Nov / 26,217 Nov / 26
331st,Thu,970 Nov / 27,217 Nov / 27
332nd,Fri,970 Nov / 28,217 Nov / 28
333rd,Sat,970 Nov / 29,217 Nov / 29
334th,Sun     Full,970 Nov / 30,217 Nov / 30
335th,Mon,970 Dec / 1,217 Dec / 1
336th,Tue,970 Dec / 2,217 Dec / 2
337th,Wed,970 Dec / 3,217 Dec / 3
338th,Thu,970 Dec / 4,217 Dec / 4
339th,Fri,970 Dec / 5,217 Dec / 5
340th,Sat,970 Dec / 6,217 Dec / 6
341st,Sun,970 Dec / 7,217 Dec / 7
342nd,Mon,970 Dec / 8,217 Dec / 8
343rd,Tue,970 Dec / 9,217 Dec / 9
344th,Wed,970 Dec / 10,217 Dec / 10
345th,Thu,970 Dec / 11,217 Dec / 11
346th,Fri,970 Dec / 12,217 Dec / 12
347th,Sat,970 Dec / 13,217 Dec / 13
348th,Sun,970 Dec / 14,217 Dec / 14
349th,Mon,970 Dec / 15,217 Dec / 15
350th,Tue     New,970 Dec / 16,217 Dec / 16
351st,Wed,970 Dec / 17,217 Dec / 17
352nd,Thu,970 Dec / 18,217 Dec / 18
353rd,Fri,970 Dec / 19,217 Dec / 19
354th,Sat,970 Dec / 20,217 Dec / 20
355th,Sun,970 Dec / 21,217 Dec / 21
356th,Mon,970 Dec / 22,217 Dec / 22
357th,Tue,970 Dec / 23,217 Dec / 23
358th,Wed,970 Dec / 24,217 Dec / 24
359th,Thu,970 Dec / 25,217 Dec / 25
360th,Fri,970 Dec / 26,217 Dec / 26
361st,Sat,970 Dec / 27,217 Dec / 27
362nd,Sun,970 Dec / 28,217 Dec / 28
363rd,Mon,970 Dec / 29,217 Dec / 29
364th,Tue     Full,970 Dec / 30,217 Dec / 30
365th,Wed,970 Dec / 31,217 Dec / 31
366th,XXXXX,,XXXXX
