SOLAR,7642,HISTORICAL
1st,Wed,359 Jan \ 6
2nd,Thu     Full,359 Jan \ 7
3rd,Fri,359 Jan \ 8
4th,Sat,359 Jan \ 9
5th,Sun,359 Jan \ 10
6th,Mon,359 Jan \ 11
7th,Tue,359 Jan \ 12
8th,Wed,359 Jan \ 13
9th,Thu,359 Jan \ 14
10th,Fri,359 Jan \ 15
11th,Sat,359 Jan \ 16
12th,Sun,359 Jan \ 17
13th,Mon,359 Jan \ 18
14th,Tue,359 Jan \ 19
15th,Wed,359 Jan \ 20
16th,Thu,359 Jan \ 21
17th,Fri     New,359 Jan \ 22
18th,Sat,359 Jan \ 23
19th,Sun,359 Jan \ 24
20th,Mon,359 Jan \ 25
21st,Tue,359 Jan \ 26
22nd,Wed,359 Jan \ 27
23rd,Thu,359 Jan \ 28
24th,Fri,359 Jan \ 29
25th,Sat,359 Jan \ 30
26th,Sun,359 Jan \ 31
27th,Mon,359 Feb \ 1
28th,Tue,359 Feb \ 2
29th,Wed,359 Feb \ 3
30th,Thu,359 Feb \ 4
31st,Fri,359 Feb \ 5
32nd,Sat     Full,359 Feb \ 6
33rd,Sun,359 Feb \ 7
34th,Mon,359 Feb \ 8
35th,Tue,359 Feb \ 9
36th,Wed,359 Feb \ 10
36th,Thu,359 Feb \ 11
38th,Fri,359 Feb \ 12
39th,Sat,359 Feb \ 13
40th,Sun,359 Feb \ 14
41st,Mon,359 Feb \ 15
42nd,Tue,359 Feb \ 16
43rd,Wed,359 Feb \ 17
44th,Thu,359 Feb \ 18
45th,Fri,359 Feb \ 19
46th,Sat     New,359 Feb \ 20
47th,Sun,359 Feb \ 21
48th,Mon,359 Feb \ 22
49th,Tue,359 Feb \ 23
50th,Wed,359 Feb \ 24
51st,Thu,359 Feb \ 25
52nd,Fri,359 Feb \ 26
53rd,Sat,359 Feb \ 27
54th,Sun,359 Feb \ 28
55th,Mon,359 Mar \ 1
56th,Tue,359 Mar \ 2
57th,Wed,359 Mar \ 3
58th ,Thu,359 Mar \ 4
59th X,Fri,359 Mar \ 5
60th X,Sat,359 Mar \ 6
61st X,Sun,359 Mar \ 7
62nd X,Mon     Full,359 Mar \ 8
63rd X,Tue,359 Mar \ 9
64th X,Wed,359 Mar \ 10
65th X,Thu,359 Mar \ 11
66th X,Fri,359 Mar \ 12
67th X,Sat,359 Mar \ 13
68th X,Sun,359 Mar \ 14
69th X,Mon,359 Mar \ 15
70th X,Tue,359 Mar \ 16
71st X,Wed,359 Mar \ 17
72nd X,Thu,359 Mar \ 18
73rd X,Fri,359 Mar \ 19
74th X,Sat,359 Mar \ 20
75th X,Sun,359 Mar \ 21
76th X,Mon     New,359 Mar \ 22
77th X,Tue,359 Mar \ 23
78th X,Wed,359 Mar \ 24
79th X,Thu,359 Mar \ 25
80th EQ,Fri,359 Mar \ 26
81st  X,Sat,359 Mar \ 27
82nd X,Sun,359 Mar \ 28
83rd  X,Mon,359 Mar \ 29
84th X,Tue,359 Mar \ 30
85th X,Wed,359 Mar \ 31
86th X,Thu,359 Apr \ 1
87th,Fri,359 Apr \ 2
88th,Sat,359 Apr \ 3
89th,Sun,359 Apr \ 4
90th,Mon,359 Apr \ 5
91st,Tue     Full,359 Apr \ 6
92nd,Wed,359 Apr \ 7
93rd,Thu,359 Apr \ 8
94th,Fri,359 Apr \ 9
95th,Sat,359 Apr \ 10
96th,Sun,359 Apr \ 11
97th,Mon,359 Apr \ 12
98th,Tue,359 Apr \ 13
99th,Wed,359 Apr \ 14
100th,Thu,359 Apr \ 15
101st,Fri,359 Apr \ 16
102nd,Sat,359 Apr \ 17
103rd,Sun,359 Apr \ 18
104th,Mon,359 Apr \ 19
105th,Tue     New,359 Apr \ 20
106th,Wed,359 Apr \ 21
107th,Thu,359 Apr \ 22
108th,Fri,359 Apr \ 23
109th,Sat,359 Apr \ 24
110th,Sun,359 Apr \ 25
111th,Mon,359 Apr \ 26
112th,Tue,359 Apr \ 27
113th,Wed,359 Apr \ 28
114th,Thu,359 Apr \ 29
115th,Fri,359 Apr \ 30
116th,Sat,359 May / 1
117th,Sun,359 May / 2
118th,Mon,359 May / 3
119th,Tue,359 May / 4
120th,Wed,359 May / 5
121st,Thu     Full,359 May / 6
122nd,Fri,359 May / 7
123rd,Sat,359 May / 8
124th,Sun,359 May / 9
125th,Mon,359 May / 10
126th,Tue,359 May / 11
127th,Wed,359 May / 12
128th,Thu,359 May / 13
129th,Fri,359 May / 14
130th,Sat,359 May / 15
131st,Sun,359 May / 16
132nd,Mon,359 May / 17
133rd,Tue,359 May / 18
134th,Wed,359 May / 19
135th,Thu     New,359 May / 20
136th,Fri,359 May / 21
137th,Sat,359 May / 22
138th,Sun,359 May / 23
139th,Mon,359 May / 24
140th,Tue,359 May / 25
141st,Wed,359 May / 26
142nd,Thu,359 May / 27
143rd,Fri,359 May / 28
144th,Sat,359 May / 29
145th,Sun,359 May / 30
146th,Mon,359 May / 31
147th,Tue,359 Jun / 1
148th,Wed,359 Jun / 2
149th,Thu,359 Jun / 3
150th,Fri     Full,359 Jun / 4
151st,Sat,359 Jun / 5
152nd,Sun,359 Jun / 6
153rd,Mon,359 Jun / 7
154th,Tue,359 Jun / 8
155th,Wed,359 Jun / 9
156th,Thu,359 Jun / 10
157th,Fri,359 Jun / 11
158th,Sat,359 Jun / 12
159th,Sun,359 Jun / 13
160th S,Mon,359 Jun / 14
161st,Tue,359 Jun / 15
162nd,Wed,359 Jun / 16
163rd,Thu,359 Jun / 17
164th,Fri     New,359 Jun / 18
165th,Sat,359 Jun / 19
166th,Sun,359 Jun / 20
167th,Mon,359 Jun / 21
168th,Tue,359 Jun / 22
169th,Wed,359 Jun / 23
170th,Thu,359 Jun / 24
171st,Fri,359 Jun / 25
172nd,Sat,359 Jun / 26
173rd,Sun,359 Jun / 27
174th,Mon,359 Jun / 28
175th,Tue,359 Jun / 29
176th,Wed,359 Jun / 30
177th,Thu,359 Jul / 1
178th,Fri,359 Jul / 2
179th,Sat     Full,359 Jul / 3
180th,Sun,359 Jul / 4
181st,Mon,359 Jul / 5
182nd,Tue,359 Jul / 6
183rd,Wed,359 Jul / 7
184th,Thu,359 Jul / 8
185th,Fri,359 Jul / 9
186th,Sat,359 Jul / 10
187th,Sun,359 Jul / 11
188th,Mon,359 Jul / 12
189th,Tue,359 Jul / 13
190th,Wed,359 Jul / 14
191st,Thu,359 Jul / 15
192nd,Fri,359 Jul / 16
193rd,Sat,359 Jul / 17
194th,Sun     New,359 Jul / 18
195th,Mon,359 Jul / 19
196th,Tue,359 Jul / 20
197th,Wed,359 Jul / 21
198th,Thu,359 Jul / 22
199th,Fri,359 Jul / 23
200th,Sat,359 Jul / 24
201st,Sun,359 Jul / 25
202nd,Mon,359 Jul / 26
203rd,Tue,359 Jul / 27
204th,Wed,359 Jul / 28
205th,Thu,359 Jul / 29
206th,Fri,359 Jul / 30
207th,Sat,359 Jul / 31
208th,Sun,359 Aug / 1
209th,Mon     Full,359 Aug / 2
210th,Tue,359 Aug / 3
211th,Wed,359 Aug / 4
212th,Thu,359 Aug / 5
213th,Fri,359 Aug / 6
214th,Sat,359 Aug / 7
215th,Sun,359 Aug / 8
216th,Mon,359 Aug / 9
217th,Tue,359 Aug / 10
218th,Wed,359 Aug / 11
219th,Thu,359 Aug / 12
220th,Fri,359 Aug / 13
221st,Sat,359 Aug / 14
222nd,Sun,359 Aug / 15
223rd,Mon,359 Aug / 16
224th,Tue     New,359 Aug / 17
225th,Wed,359 Aug / 18
226th,Thu,359 Aug / 19
227th,Fri,359 Aug / 20
228th,Sat,359 Aug / 21
229th,Sun,359 Aug / 22
230th,Mon,359 Aug / 23
231st,Tue,359 Aug / 24
232nd,Wed,359 Aug / 25
233rd,Thu,359 Aug / 26
234th,Fri,359 Aug / 27
235th,Sat,359 Aug / 28
236th,Sun,359 Aug / 29
237th,Mon,359 Aug / 30
238th,Tue     Full,359 Aug / 31
239th,Wed,359 Sep / 1
240th,Thu,359 Sep / 2
241st,Fri,359 Sep / 3
242nd,Sat,359 Sep / 4
243rd,Sun,359 Sep / 5
244th,Mon,359 Sep / 6
245th,Tue,359 Sep / 7
246th,Wed,359 Sep / 8
247th,Thu,359 Sep / 9
248th,Fri,359 Sep / 10
249th,Sat,359 Sep / 11
250th,Sun,359 Sep / 12
251st,Mon,359 Sep / 13
252nd,Tue,359 Sep / 14
253rd,Wed     New,359 Sep / 15
254th,Thu,359 Sep / 16
255th,Fri,359 Sep / 17
256th,Sat,359 Sep / 18
257th,Sun,359 Sep / 19
258th,Mon,359 Sep / 20
259th,Tue,359 Sep / 21
260th,Wed,359 Sep / 22
261st,Thu,359 Sep / 23
262nd,Fri,359 Sep / 24
263rd,Sat,359 Sep / 25
264th,Sun,359 Sep / 26
265th,Mon,359 Sep / 27
266th EQ,Tue,359 Sep / 28
267th,Wed     Full,359 Sep / 29
268th,Thu,359 Sep / 30
269th,Fri,359 Oct / 1
270th,Sat,359 Oct / 2
271st,Sun,359 Oct / 3
272nd,Mon,359 Oct / 4
273rd,Tue,359 Oct / 5
274th,Wed,359 Oct / 6
275th,Thu,359 Oct / 7
276th,Fri,359 Oct / 8
277th,Sat,359 Oct / 9
278th,Sun,359 Oct / 10
