SOLAR,9936 L,Ezekiel,GREGORIAN 1936
187th,Sun,4339,July 5 th
188th,Mon,4340,July 6 th
189th,Tue,4341,July 7 th
190th,Wed,4342,July 8 th
191st,Thu,4343,July 9 th
192nd,Fri,4344,July 10 th
193rd,Sat,4345,July 11 th
194th,Sun,4346,July 12 th
195th,Mon,4347,July 13 th
196th,Tue,4348,July 14 th
197th,Wed,4349,July 15 th
198th,Thu,4350,July 16 th
199th,Fri,4351,July 17 th
200th,Sat     New,4352,July 18 th
201st,Sun,4353,July 19 th
202nd,Mon,4354,July 20 th
203rd,Tue,4355,July 21 st
204th,Wed,4356,July 22 nd
205th,Thu,4357,July 23 rd
206th,Fri,4358,July 24 th
207th,Sat,4359,July 25 th
208th,Sun,4360,July 26 th
209th,Mon,4361,July 27 th
210th,Tue,4362,July 28 th
211th,Wed,4363,July 29 th
212th,Thu,4364,July 30 th
213th,Fri,4365,July 31 st
214th,Sat,4366,August 1 st
215th,Sun,4367,August 2 nd
216th,Mon     Full,4368,August 3 rd
217th,Tue,4369,August 4 th
218th,Wed,4370,August 5 th
219th,Thu,4371,August 6 th
220th,Fri,4372,August 7 th
221st,Sat,4373,August 8 th
222nd,Sun,4374,August 9 th
223rd,Mon,4375,August 10 th
224th,Tue,4376,August 11 th
225th,Wed,4377,August 12 th
226th,Thu,4378,August 13 th
227th,Fri,4379,August 14 th
228th,Sat,4380,August 15 th
229th,Sun,4381,August 16 th
230th,Mon     New,4382,August 17 th
231st,Tue,4383,August 18 th
232nd,Wed,4384,August 19 th
233rd,Thu,4385,August 20 th
234th,Fri,4386,August 21 st
235th,Sat,4387,August 22 nd
236th,Sun,4388,August 23 rd
237th,Mon,4389,August 24 th
238th,Tue,4390,August 25 th
239th,Wed,4391,August 26 th
240th,Thu,4392,August 27 th
241st,Fri,4393,August 28 th
242nd,Sat,4394,August 29 th
243rd,Sun,4395,August 30 th
244th,Mon,4396,August 31 st
245th,Tue     Full,4397,September 1 st
246th,Wed,4398,September 2 nd
247th,Thu,4399,September 3 rd
248th,Fri,4400,September 4 th
249th,Sat,4401,September 5 th
250th,Sun,4402,September 6 th
251st,Mon,4403,September 7 th
252nd,Tue,4404,September 8 th
253rd,Wed,4405,September 9 th
254th,Thu,4406,September 10 th
255th,Fri,4407,September 11 th
256th,Sat,4408,September 12 th
257th,Sun,4409,September 13 th
258th,Mon,4410,September 14 th
259th,Tue     New,4411,September 15 th
260th,Wed,4412,September 16 th
261st,Thu,4413,September 17 th
262nd,Fri,4414,September 18 th
263rd,Sat,4415,September 19 th
264th,Sun,4416,September 20 th
265th,Mon,4417,September 21 st
266th EQ,Tue,4418,September 22 nd
267th,Wed,4419,September 23 rd
268th,Thu,4420,September 24 th
269th,Fri,4421,September 25 th
270th,Sat,4422,September 26 th
271st,Sun,4423,September 27 th
272nd,Mon,4424,September 28 th
273rd,Tue,4425,September 29 th
274th,Wed     Full,4426,September 30 th
275th,Thu,4427,October 1 st
276th,Fri,4428,October 2 nd
277th,Sat,4429,October 3 rd
278th,Sun,4430,October 4 th
279th,Mon,4431,October 5 th
280th,Tue,4432,October 6 th
281st,Wed,4433,October 7 th
282nd,Thu,4434,October 8 th
283rd,Fri,4435,October 9 th
284th,Sat,4436,October 10 th
285th,Sun,4437,October 11 th
286th,Mon,4438,October 12 th
287th,Tue,4439,October 13 th
288th,Wed,4440,October 14 th
289th,Thu     New,4441,October 15 th
290th,Fri,4442,October 16 th
291st,Sat,4443,October 17 th
292nd,Sun,4444,October 18 th
293rd,Mon,4445,October 19 th
294th,Tue,4446,October 20 th
295th,Wed,4447,October 21 st
296th,Thu,4448,October 22 nd
297th,Fri,4449,October 23 rd
298th,Sat,4450,October 24 th
299th,Sun,4451,October 25 th
300th,Mon,4452,October 26 th
301st,Tue,4453,October 27 th
