SOLAR,9940 L,Ezekiel,GREGORIAN 1940
1st,Mon,2692,January 1 st
2nd,Tue,2693,January 2 nd
3rd,Wed,2694,January 3 rd
4th,Thu,2695,January 4 th
5th,Fri,2696,January 5 th
6th,Sat,2697,January 6 th
7th,Sun,2698,January 7 th
8th,Mon,2699,January 8 th
9th,Tue     New,2700,January 9 th
10th,Wed,2701,January 10 th
11th,Thu,2702,January 11 th
12th,Fri,2703,January 12 th
13th,Sat,2704,January 13 th
14th,Sun,2705,January 14 th
15th,Mon,2706,January 15 th
16th,Tue,2707,January 16 th
17th,Wed,2708,January 17 th
18th,Thu,2709,January 18 th
19th,Fri,2710,January 19 th
20th,Sat,2711,January 20 th
21st,Sun,2712,January 21 st
22nd,Mon,2713,January 22 nd
23rd,Tue,2714,January 23 rd
24th,Wed     Full,2715,January 24 th
25th,Thu,2716,January 25 th
26th,Fri,2717,January 26 th
27th,Sat,2718,January 27 th
28th,Sun,2719,January 28 th
29th,Mon,2720,January 29 th
30th,Tue,2721,January 30 th
31st,Wed,2722,January 31 st
32nd,Thu,2723,Febuary 1 st
33rd,Fri,2724,Febuary 2 nd
34th,Sat,2725,Febuary 3 rd
35th,Sun,2726,Febuary 4 th
36th,Mon,2727,Febuary 5 th
36th,Tue,2728,Febuary 6 th
38th,Wed,2729,Febuary 7 th
39th,Thu     New,2730,Febuary 8 th
40th,Fri,2731,Febuary 9 th
41st,Sat,2732,Febuary 10 th
42nd,Sun,2733,Febuary 11 th
43rd,Mon,2734,Febuary 12 th
44th,Tue,2735,Febuary 13 th
45th,Wed,2736,Febuary 14 th
46th,Thu,2737,Febuary 15 th
47th,Fri,2738,Febuary 16 th
48th,Sat,2739,Febuary 17 th
49th,Sun,2740,Febuary 18 th
50th,Mon,2741,Febuary 19 th
51st,Tue,2742,Febuary 20 th
52nd,Wed,2743,Febuary 21 st
53rd,Thu,2744,Febuary 22 nd
54th,Fri     Full,2745,Febuary 23 rd
55th,Sat,2746,Febuary 24 th
56th,Sun,2747,Febuary 25 th
57th,Mon,2748,Febuary 26 th
58th,Tue,2749,Febuary 27 th
59th,Wed,2750,Febuary 28 th
60th,Thu,2751,Febuary 29 th
61st,Fri,2752,March 1 st
62nd,Sat,2753,March 2 nd
63rd,Sun,2754,March 3 rd
64th,Mon,2755,March 4 th
65th,Tue,2756,March 5 th
66th,Wed,2757,March 6 th
67th,Thu,2758,March 7 th
68th,Fri,2759,March 8 th
69th,Sat     New,2760,March 9 th
70th,Sun,2761,March 10 th
71st,Mon,2762,March 11 th
72nd,Tue,2763,March 12 th
73rd,Wed,2764,March 13 th
74th,Thu,2765,March 14 th
75th,Fri,2766,March 15 th
76th,Sat,2767,March 16 th
77th,Sun,2768,March 17 th
78th,Mon,2769,March 18 th
79th,Tue,2770,March 19 th
80th EQ,Wed,2771,March 20 th
81st,Thu,2772,March 21 st
82nd,Fri,2773,March 22 nd
83rd,Sat     Full,2774,March 23 rd
84th,Sun,2775,March 24 th
85th,Mon,2776,March 25 th
86th,Tue,2777,March 26 th
87th,Wed,2778,March 27 th
88th,Thu,2779,March 28 th
89th,Fri,2780,March 29 th
90th,Sat,2781,March 30 th
91st,Sun,2782,March 31 st
92nd,Mon,2783,April 1 st
93rd,Tue,2784,April 2 nd
94th,Wed,2785,April 3 rd
95th,Thu,2786,April 4 th
96th,Fri,2787,April 5 th
97th,Sat,2788,April 6 th
98th,Sun     New,2789,April 7 th
99th,Mon,2790,April 8 th
100th,Tue,2791,April 9 th
101st,Wed,2792,April 10 th
102nd,Thu,2793,April 11 th
103rd,Fri,2794,April 12 th
104th,Sat,2795,April 13 th
105th,Sun,2796,April 14 th
106th,Mon,2797,April 15 th
107th,Tue,2798,April 16 th
108th,Wed,2799,April 17 th
109th,Thu,2800,April 18 th
110th,Fri,2801,April 19 th
111th,Sat,2802,April 20 th
112th,Sun,2803,April 21 st
113th,Mon     Full,2804,April 22 nd
114th,Tue,2805,April 23 rd
115th,Wed,2806,April 24 th
116th,Thu,2807,April 25 th
117th,Fri,2808,April 26 th
118th,Sat,2809,April 27 th
119th,Sun,2810,April 28 th
120th,Mon,2811,April 29 th
121st,Tue,2812,April 30 th
122nd,Wed,2813,May 1 st
123rd,Thu,2814,May 2 nd
124th,Fri,2815,May 3 rd
125th,Sat,2816,May 4 th
126th,Sun,2817,May 5 th
127th,Mon,2818,May 6 th
128th,Tue     New,2819,May 7 th
129th,Wed,2820,May 8 th
130th,Thu,2821,May 9 th
131st,Fri,2822,May 10 th
132nd,Sat,2823,May 11 th
133rd,Sun,2824,May 12 th
134th,Mon,2825,May 13 th
135th,Tue,2826,May 14 th
136th,Wed,2827,May 15 th
137th,Thu,2828,May 16 th
138th,Fri,2829,May 17 th
139th,Sat,2830,May 18 th
140th,Sun,2831,May 19 th
141st,Mon,2832,May 20 th
142nd,Tue     Full,2833,May 21 st
143rd,Wed,2834,May 22 nd
144th,Thu,2835,May 23 rd
145th,Fri,2836,May 24 th
146th,Sat,2837,May 25 th
147th,Sun,2838,May 26 th
148th,Mon,2839,May 27 th
149th,Tue,2840,May 28 th
150th,Wed,2841,May 29 th
151st,Thu,2842,May 30 th
152nd,Fri,2843,May 31 st
153rd,Sat,2844,June 1 st
154th,Sun,2845,June 2 nd
155th,Mon,2846,June 3 rd
156th,Tue,2847,June 4 th
157th,Wed,2848,June 5 th
158th,Thu     New,2849,June 6 th
159th,Fri,2850,June 7 th
160th S,Sat,2851,June 8 th
161st,Sun,2852,June 9 th
162nd,Mon,2853,June 10 th
163rd,Tue,2854,June 11 th
164th,Wed,2855,June 12 th
165th,Thu,2856,June 13 th
166th,Fri,2857,June 14 th
