SOLAR,9943,GREGORIAN 1943
1st,Fri,January 1 st
2nd,Sat,January 2 nd
3rd,Sun,January 3 rd
4th,Mon,January 4 th
5th,Tue,January 5 th
6th,Wed     New,January 6 th
7th,Thu,January 7 th
8th,Fri,January 8 th
9th,Sat,January 9 th
10th,Sun,January 10 th
11th,Mon,January 11 th
12th,Tue,January 12 th
13th,Wed,January 13 th
14th,Thu,January 14 th
15th,Fri,January 15 th
16th,Sat,January 16 th
17th,Sun,January 17 th
18th,Mon,January 18 th
19th,Tue,January 19 th
20th,Wed,January 20 th
21st,Thu     Full,January 21 st
22nd,Fri,January 22 nd
23rd,Sat,January 23 rd
24th,Sun,January 24 th
25th,Mon,January 25 th
26th,Tue,January 26 th
27th,Wed,January 27 th
28th,Thu,January 28 th
29th,Fri,January 29 th
30th,Sat,January 30 th
31st,Sun,January 31 st
32nd,Mon,Febuary 1 st
33rd,Tue,Febuary 2 nd
34th,Wed,Febuary 3 rd
35th,Thu     New,Febuary 4 th
36th,Fri,Febuary 5 th
36th,Sat,Febuary 6 th
38th,Sun,Febuary 7 th
39th,Mon,Febuary 8 th
40th,Tue,Febuary 9 th
41st,Wed,Febuary 10 th
42nd,Thu,Febuary 11 th
43rd,Fri,Febuary 12 th
44th,Sat,Febuary 13 th
45th,Sun,Febuary 14 th
46th,Mon,Febuary 15 th
47th,Tue,Febuary 16 th
48th,Wed,Febuary 17 th
49th,Thu,Febuary 18 th
50th,Fri,Febuary 19 th
51st,Sat     Full,Febuary 20 th
52nd,Sun,Febuary 21 st
53rd,Mon,Febuary 22 nd
54th,Tue,Febuary 23 rd
55th,Wed,Febuary 24 th
56th,Thu,Febuary 25 th
57th,Fri,Febuary 26 th
58th,Sat,Febuary 27 th
59th,Sun,Febuary 28 th
60th,Mon,March 1 st
61st,Tue,March 2 nd
62nd,Wed,March 3 rd
63rd,Thu,March 4 th
64th,Fri,March 5 th
65th,Sat     New,March 6 th
66th,Sun,March 7 th
67th,Mon,March 8 th
68th,Tue,March 9 th
69th,Wed,March 10 th
70th,Thu,March 11 th
71st,Fri,March 12 th
72nd,Sat,March 13 th
73rd,Sun,March 14 th
74th,Mon,March 15 th
75th,Tue,March 16 th
76th,Wed,March 17 th
77th,Thu,March 18 th
78th,Fri,March 19 th
79th,Sat,March 20 th
80th EQ,Sun     Full,March 21 st
81st,Mon,March 22 nd
82nd,Tue,March 23 rd
83rd,Wed,March 24 th
84th,Thu,March 25 th
85th,Fri,March 26 th
86th,Sat,March 27 th
87th,Sun,March 28 th
88th,Mon,March 29 th
89th,Tue,March 30 th
90th,Wed,March 31 st
91st,Thu,April 1 st
92nd,Fri,April 2 nd
93rd,Sat,April 3 rd
94th,Sun     New,April 4 th
95th,Mon,April 5 th
96th,Tue,April 6 th
97th,Wed,April 7 th
98th,Thu,April 8 th
99th,Fri,April 9 th
100th,Sat,April 10 th
101st,Sun,April 11 th
102nd,Mon,April 12 th
103rd,Tue,April 13 th
104th,Wed,April 14 th
105th,Thu,April 15 th
106th,Fri,April 16 th
107th,Sat,April 17 th
108th,Sun,April 18 th
109th,Mon,April 19 th
