SOLAR,7394,HISTORICAL
117th,Sun,607 May \ 4
118th,Mon,607 May \ 5
119th,Tue,607 May \ 6
120th,Wed,607 May \ 7
121st,Thu,607 May \ 8
122nd,Fri,607 May \ 9
123rd,Sat,607 May \ 10
124th,Sun,607 May \ 11
125th,Mon,607 May \ 12
126th,Tue,607 May \ 13
127th,Wed,607 May \ 14
128th,Thu,607 May \ 15
129th,Fri,607 May \ 16
130th,Sat     Full,607 May \ 17
131st,Sun,607 May \ 18
132nd,Mon,607 May \ 19
133rd,Tue,607 May \ 20
134th,Wed,607 May \ 21
135th,Thu,607 May \ 22
136th,Fri,607 May \ 23
137th,Sat,607 May \ 24
138th,Sun,607 May \ 25
139th,Mon,607 May \ 26
140th,Tue,607 May \ 27
141st,Wed,607 May \ 28
142nd,Thu,607 May \ 29
143rd,Fri,607 May \ 30
144th,Sat,607 May \ 31
145th,Sun     New,607 Jun / 1
146th,Mon,607 Jun / 2
147th,Tue,607 Jun / 3
148th,Wed,607 Jun / 4
149th,Thu,607 Jun / 5
150th,Fri,607 Jun / 6
151st,Sat,607 Jun / 7
152nd,Sun,607 Jun / 8
153rd,Mon,607 Jun / 9
154th,Tue,607 Jun / 10
155th,Wed,607 Jun / 11
156th,Thu,607 Jun / 12
157th,Fri,607 Jun / 13
158th,Sat,607 Jun / 14
159th,Sun     Full,607 Jun / 15
160th S,Mon,607 Jun / 16
161st,Tue,607 Jun / 17
162nd,Wed,607 Jun / 18
163rd,Thu,607 Jun / 19
164th,Fri,607 Jun / 20
165th,Sat,607 Jun / 21
166th,Sun,607 Jun / 22
167th,Mon,607 Jun / 23
168th,Tue,607 Jun / 24
169th,Wed,607 Jun / 25
170th,Thu,607 Jun / 26
171st,Fri,607 Jun / 27
172nd,Sat,607 Jun / 28
173rd,Sun,607 Jun / 29
174th,Mon     New,607 Jun / 30
175th,Tue,607 Jul / 1
176th,Wed,607 Jul / 2
177th,Thu,607 Jul / 3
178th,Fri,607 Jul / 4
179th,Sat,607 Jul / 5
180th,Sun,607 Jul / 6
181st,Mon,607 Jul / 7
182nd,Tue,607 Jul / 8
183rd,Wed,607 Jul / 9
184th,Thu,607 Jul / 10
185th,Fri,607 Jul / 11
186th,Sat,607 Jul / 12
187th,Sun,607 Jul / 13
188th,Mon,607 Jul / 14
189th,Tue     Full,607 Jul / 15
190th,Wed,607 Jul / 16
191st,Thu,607 Jul / 17
192nd,Fri,607 Jul / 18
193rd,Sat,607 Jul / 19
194th,Sun,607 Jul / 20
195th,Mon,607 Jul / 21
196th,Tue,607 Jul / 22
197th,Wed,607 Jul / 23
198th,Thu,607 Jul / 24
199th,Fri,607 Jul / 25
200th,Sat,607 Jul / 26
201st,Sun,607 Jul / 27
202nd,Mon,607 Jul / 28
203rd,Tue,607 Jul / 29
204th,Wed     New,607 Jul / 30
205th,Thu,607 Jul / 31
206th,Fri,607 Aug / 1
207th,Sat,607 Aug / 2
208th,Sun,607 Aug / 3
209th,Mon,607 Aug / 4
210th,Tue,607 Aug / 5
211th,Wed,607 Aug / 6
212th,Thu,607 Aug / 7
213th,Fri,607 Aug / 8
214th,Sat,607 Aug / 9
215th,Sun,607 Aug / 10
216th,Mon,607 Aug / 11
217th,Tue,607 Aug / 12
218th,Wed     Full,607 Aug / 13
219th,Thu,607 Aug / 14
220th,Fri,607 Aug / 15
221st,Sat,607 Aug / 16
222nd,Sun,607 Aug / 17
223rd,Mon,607 Aug / 18
224th,Tue,607 Aug / 19
225th,Wed,607 Aug / 20
226th,Thu,607 Aug / 21
227th,Fri,607 Aug / 22
228th,Sat,607 Aug / 23
229th,Sun,607 Aug / 24
230th,Mon,607 Aug / 25
231st,Tue,607 Aug / 26
232nd,Wed,607 Aug / 27
233rd,Thu     New,607 Aug / 28
234th,Fri,607 Aug / 29
235th,Sat,607 Aug / 30
236th,Sun,607 Aug / 31
237th,Mon,607 Sep / 1
238th,Tue,607 Sep / 2
239th,Wed,607 Sep / 3
240th,Thu,607 Sep / 4
241st,Fri,607 Sep / 5
242nd,Sat,607 Sep / 6
243rd,Sun,607 Sep / 7
244th,Mon,607 Sep / 8
245th,Tue,607 Sep / 9
246th,Wed,607 Sep / 10
247th,Thu,607 Sep / 11
248th,Fri     Full,607 Sep / 12
249th,Sat,607 Sep / 13
250th,Sun,607 Sep / 14
251st,Mon,607 Sep / 15
252nd,Tue,607 Sep / 16
253rd,Wed,607 Sep / 17
254th,Thu,607 Sep / 18
255th,Fri,607 Sep / 19
256th,Sat,607 Sep / 20
257th,Sun,607 Sep / 21
258th,Mon,607 Sep / 22
259th,Tue,607 Sep / 23
260th,Wed,607 Sep / 24
261st,Thu,607 Sep / 25
262nd,Fri,607 Sep / 26
263rd,Sat     New,607 Sep / 27
264th,Sun,607 Sep / 28
265th,Mon,607 Sep / 29
266th EQ,Tue,607 Sep / 30
267th,Wed,607 Oct / 1
268th,Thu,607 Oct / 2
269th,Fri,607 Oct / 3
270th,Sat,607 Oct / 4
271st,Sun,607 Oct / 5
272nd,Mon,607 Oct / 6
273rd,Tue,607 Oct / 7
274th,Wed,607 Oct / 8
275th,Thu,607 Oct / 9
276th,Fri,607 Oct / 10
277th,Sat     Full,607 Oct / 11
278th,Sun,607 Oct / 12
279th,Mon,607 Oct / 13
280th,Tue,607 Oct / 14
281st,Wed,607 Oct / 15
282nd,Thu,607 Oct / 16
283rd,Fri,607 Oct / 17
284th,Sat,607 Oct / 18
285th,Sun,607 Oct / 19
286th,Mon,607 Oct / 20
287th,Tue,607 Oct / 21
288th,Wed,607 Oct / 22
289th,Thu,607 Oct / 23
290th,Fri,607 Oct / 24
291st,Sat,607 Oct / 25
292nd,Sun,607 Oct / 26
293rd,Mon     New,607 Oct / 27
294th,Tue,607 Oct / 28
295th,Wed,607 Oct / 29
296th,Thu,607 Oct / 30
297th,Fri,607 Oct / 31
298th,Sat,607 Nov / 1
299th,Sun,607 Nov / 2
300th,Mon,607 Nov / 3
301st,Tue,607 Nov / 4
302nd,Wed,607 Nov / 5
303rd,Thu,607 Nov / 6
304th,Fri,607 Nov / 7
305th,Sat,607 Nov / 8
306th,Sun,607 Nov / 9
307th,Mon     Full,607 Nov / 10
308th,Tue,607 Nov / 11
309th,Wed,607 Nov / 12
310th,Thu,607 Nov / 13
311th,Fri,607 Nov / 14
312th,Sat,607 Nov / 15
313th,Sun,607 Nov / 16
314th,Mon,607 Nov / 17
315th,Tue,607 Nov / 18
316th,Wed,607 Nov / 19
317th,Thu,607 Nov / 20
318th,Fri,607 Nov / 21
319th,Sat,607 Nov / 22
320th,Sun,607 Nov / 23
321st,Mon,607 Nov / 24
322nd,Tue     New,607 Nov / 25
323rd,Wed,607 Nov / 26
324th,Thu,607 Nov / 27
325th,Fri,607 Nov / 28
326th,Sat,607 Nov / 29
327th,Sun,607 Nov / 30
328th,Mon,607 Dec / 1
329th,Tue,607 Dec / 2
330th,Wed,607 Dec / 3
331st,Thu,607 Dec / 4
332nd,Fri,607 Dec / 5
333rd,Sat,607 Dec / 6
334th,Sun,607 Dec / 7
335th,Mon,607 Dec / 8
336th,Tue     Full,607 Dec / 9
337th,Wed,607 Dec / 10
338th,Thu,607 Dec / 11
339th,Fri,607 Dec / 12
340th,Sat,607 Dec / 13
341st,Sun,607 Dec / 14
342nd,Mon,607 Dec / 15
343rd,Tue,607 Dec / 16
344th,Wed,607 Dec / 17
345th,Thu,607 Dec / 18
346th,Fri,607 Dec / 19
347th,Sat,607 Dec / 20
348th,Sun,607 Dec / 21
349th,Mon,607 Dec / 22
350th,Tue,607 Dec / 23
351st,Wed,607 Dec / 24
352nd,Thu     New,607 Dec / 25
353rd,Fri,607 Dec / 26
354th,Sat,607 Dec / 27
355th,Sun,607 Dec / 28
356th SO,Mon,607 Dec / 29
357th,Tue,607 Dec / 30
358th,Wed,607 Dec / 31
359th,Thu,606 Jan / 1
360th,Fri,606 Jan / 2
361st,Sat,606 Jan / 3
362nd,Sun,606 Jan / 4
363rd,Mon,606 Jan / 5
364th,Tue,606 Jan / 6
365th,Wed,606 Jan / 7
366th,XXXXX,
