SOLAR,7394,HISTORICAL
1st,Wed,607 Jan \ 8
2nd,Thu,607 Jan \ 9
3rd,Fri,607 Jan \ 10
4th,Sat,607 Jan \ 11
5th,Sun,607 Jan \ 12
6th,Mon,607 Jan \ 13
7th,Tue,607 Jan \ 14
8th,Wed,607 Jan \ 15
9th,Thu,607 Jan \ 16
10th,Fri,607 Jan \ 17
11th,Sat,607 Jan \ 18
12th,Sun     Full,607 Jan \ 19
13th,Mon,607 Jan \ 20
14th,Tue,607 Jan \ 21
15th,Wed,607 Jan \ 22
16th,Thu,607 Jan \ 23
17th,Fri,607 Jan \ 24
18th,Sat,607 Jan \ 25
19th,Sun,607 Jan \ 26
20th,Mon,607 Jan \ 27
21st,Tue,607 Jan \ 28
22nd,Wed,607 Jan \ 29
23rd,Thu,607 Jan \ 30
24th,Fri,607 Jan \ 31
25th,Sat,607 Feb \ 1
26th,Sun     New,607 Feb \ 2
27th,Mon,607 Feb \ 3
28th,Tue,607 Feb \ 4
29th,Wed,607 Feb \ 5
30th,Thu,607 Feb \ 6
31st,Fri,607 Feb \ 7
32nd,Sat,607 Feb \ 8
33rd,Sun,607 Feb \ 9
34th,Mon,607 Feb \ 10
35th,Tue,607 Feb \ 11
36th,Wed,607 Feb \ 12
36th,Thu,607 Feb \ 13
38th,Fri,607 Feb \ 14
39th,Sat,607 Feb \ 15
40th,Sun,607 Feb \ 16
41st,Mon,607 Feb \ 17
42nd,Tue     Full,607 Feb \ 18
43rd,Wed,607 Feb \ 19
44th,Thu,607 Feb \ 20
45th,Fri,607 Feb \ 21
46th,Sat,607 Feb \ 22
47th,Sun,607 Feb \ 23
48th,Mon,607 Feb \ 24
49th,Tue,607 Feb \ 25
50th,Wed,607 Feb \ 26
51st,Thu,607 Feb \ 27
52nd,Fri,607 Feb \ 28
53rd,Sat,607 Mar \ 1
54th,Sun,607 Mar \ 2
55th,Mon,607 Mar \ 3
56th,Tue     New,607 Mar \ 4
57th,Wed,607 Mar \ 5
58th,Thu,607 Mar \ 6
59th X,Fri,607 Mar \ 7
60th X,Sat,607 Mar \ 8
61st X,Sun,607 Mar \ 9
62nd X,Mon,607 Mar \ 10
63rd X,Tue,607 Mar \ 11
64th X,Wed,607 Mar \ 12
65th X,Thu,607 Mar \ 13
66th X,Fri,607 Mar \ 14
67th X,Sat,607 Mar \ 15
68th X,Sun,607 Mar \ 16
69th X,Mon,607 Mar \ 17
70th X,Tue,607 Mar \ 18
71st X,Wed     Full,607 Mar \ 19
72nd X,Thu,607 Mar \ 20
73rd X,Fri,607 Mar \ 21
74th X,Sat,607 Mar \ 22
75th X,Sun,607 Mar \ 23
76th X,Mon,607 Mar \ 24
77th X,Tue,607 Mar \ 25
78th X,Wed,607 Mar \ 26
79th X,Thu,607 Mar \ 27
80th EQ,Fri,607 Mar \ 28
81st  X,Sat,607 Mar \ 29
82nd X,Sun,607 Mar \ 30
83rd  X,Mon,607 Mar \ 31
84th X,Tue,607 Apr \ 1
85th X,Wed     New,607 Apr \ 2
86th X,Thu,607 Apr \ 3
87th X,Fri,607 Apr \ 4
88th X,Sat,607 Apr \ 5
89th X,Sun,607 Apr \ 6
90th X,Mon,607 Apr \ 7
91st X,Tue,607 Apr \ 8
92nd X,Wed,607 Apr \ 9
93rd X,Thu,607 Apr \ 10
94th X,Fri,607 Apr \ 11
95th X,Sat,607 Apr \ 12
96th X,Sun,607 Apr \ 13
97th X,Mon,607 Apr \ 14
98th X,Tue,607 Apr \ 15
99th X,Wed,607 Apr \ 16
100th X,Thu,607 Apr \ 17
101st X,Fri     Full,607 Apr \ 18
102nd X,Sat,607 Apr \ 19
103rd X,Sun,607 Apr \ 20
104th X,Mon,607 Apr \ 21
105th X,Tue,607 Apr \ 22
106th X,Wed,607 Apr \ 23
107th X,Thu,607 Apr \ 24
108th X,Fri,607 Apr \ 25
109th X,Sat,607 Apr \ 26
110th X,Sun,607 Apr \ 27
111th X,Mon,607 Apr \ 28
112th X,Tue,607 Apr \ 29
113th X,Wed,607 Apr \ 30
114th X,Thu,607 May \ 1
115th X,Fri     New,607 May \ 2
116th,Sat,607 May \ 3
