SOLAR,7398,Exile,HISTORICAL
71st X,Mon,Exile year 3 day 250,603 Mar \ 19
72nd X,Tue     New,Exile year 3 day 251,603 Mar \ 20
73rd X,Wed,Exile year 3 day 252,603 Mar \ 21
74th X,Thu,Exile year 3 day 253,603 Mar \ 22
75th X,Fri,Exile year 3 day 254,603 Mar \ 23
76th X,Sat,Exile year 3 day 255,603 Mar \ 24
77th X,Sun,Exile year 3 day 256,603 Mar \ 25
78th X,Mon,Exile year 3 day 257,603 Mar \ 26
79th X,Tue,Exile year 3 day 258,603 Mar \ 27
80th EQ,Wed,Exile year 3 day 259,603 Mar \ 28
81st  X,Thu,Exile year 3 day 260,603 Mar \ 29
82nd X,Fri,Exile year 3 day 261,603 Mar \ 30
83rd  X,Sat,Exile year 3 day 262,603 Mar \ 31
84th X,Sun,Exile year 3 day 263,603 Apr \ 1
85th X,Mon,Exile year 3 day 264,603 Apr \ 2
86th X,Tue     Full,Exile year 3 day 265,603 Apr \ 3
87th X,Wed,Exile year 3 day 266,603 Apr \ 4
88th X,Thu,Exile year 3 day 267,603 Apr \ 5
89th X,Fri,Exile year 3 day 268,603 Apr \ 6
90th X,Sat,Exile year 3 day 269,603 Apr \ 7
91st X,Sun,Exile year 3 day 270,603 Apr \ 8
92nd X,Mon,Exile year 3 day 271,603 Apr \ 9
93rd X,Tue,Exile year 3 day 272,603 Apr \ 10
94th X,Wed,Exile year 3 day 273,603 Apr \ 11
95th X,Thu,Exile year 3 day 274,603 Apr \ 12
96th X,Fri,Exile year 3 day 275,603 Apr \ 13
97th X,Sat,Exile year 3 day 276,603 Apr \ 14
98th X,Sun,Exile year 3 day 277,603 Apr \ 15
99th X,Mon,Exile year 3 day 278,603 Apr \ 16
100th X,Tue,Exile year 3 day 279,603 Apr \ 17
101st X,Wed     New,Exile year 3 day 280,603 Apr \ 18
102nd X,Thu,Exile year 3 day 281,603 Apr \ 19
103rd X,Fri,Exile year 3 day 282,603 Apr \ 20
104th X,Sat,Exile year 3 day 283,603 Apr \ 21
105th X,Sun,Exile year 3 day 284,603 Apr \ 22
106th X,Mon,Exile year 3 day 285,603 Apr \ 23
107th X,Tue,Exile year 3 day 286,603 Apr \ 24
108th X,Wed,Exile year 3 day 287,603 Apr \ 25
109th X,Thu,Exile year 3 day 288,603 Apr \ 26
110th X,Fri,Exile year 3 day 289,603 Apr \ 27
111th X,Sat,Exile year 3 day 290,603 Apr \ 28
112th X,Sun,Exile year 3 day 291,603 Apr \ 29
113th X,Mon,Exile year 3 day 292,603 Apr \ 30
114th X,Tue,Exile year 3 day 293,603 May \ 1
115th X,Wed,Exile year 3 day 294,603 May \ 2
116th,Thu     Full,Exile year 3 day 295,603 May \ 3
117th,Fri,Exile year 3 day 296,603 May \ 4
118th,Sat,Exile year 3 day 297,603 May \ 5
119th,Sun,Exile year 3 day 298,603 May \ 6
120th,Mon,Exile year 3 day 299,603 May \ 7
121st,Tue,Exile year 3 day 300,603 May \ 8
122nd,Wed,Exile year 3 day 301,603 May \ 9
123rd,Thu,Exile year 3 day 302,603 May \ 10
124th,Fri,Exile year 3 day 303,603 May \ 11
125th,Sat,Exile year 3 day 304,603 May \ 12
126th,Sun,Exile year 3 day 305,603 May \ 13
127th,Mon,Exile year 3 day 306,603 May \ 14
128th,Tue,Exile year 3 day 307,603 May \ 15
129th,Wed,Exile year 3 day 308,603 May \ 16
130th,Thu,Exile year 3 day 309,603 May \ 17
131st,Fri     New,Exile year 3 day 310,603 May \ 18
132nd,Sat,Exile year 3 day 311,603 May \ 19
133rd,Sun,Exile year 3 day 312,603 May \ 20
134th,Mon,Exile year 3 day 313,603 May \ 21
135th,Tue,Exile year 3 day 314,603 May \ 22
136th,Wed,Exile year 3 day 315,603 May \ 23
137th,Thu,Exile year 3 day 316,603 May \ 24
138th,Fri,Exile year 3 day 317,603 May \ 25
139th,Sat,Exile year 3 day 318,603 May \ 26
140th,Sun,Exile year 3 day 319,603 May \ 27
141st,Mon,Exile year 3 day 320,603 May \ 28
142nd,Tue,Exile year 3 day 321,603 May \ 29
143rd,Wed,Exile year 3 day 322,603 May \ 30
144th,Thu,Exile year 3 day 323,603 May \ 31
145th,Fri     Full,Exile year 3 day 324,603 Jun \ 1
146th,Sat,Exile year 3 day 325,603 Jun \ 2
147th,Sun,Exile year 3 day 326,603 Jun \ 3
148th,Mon,Exile year 3 day 327,603 Jun \ 4
149th,Tue,Exile year 3 day 328,603 Jun \ 5
150th,Wed,Exile year 3 day 329,603 Jun \ 6
151st,Thu,Exile year 3 day 330,603 Jun \ 7
152nd,Fri,Exile year 3 day 331,603 Jun \ 8
153rd,Sat,Exile year 3 day 332,603 Jun \ 9
154th,Sun,Exile year 3 day 333,603 Jun \ 10
155th,Mon,Exile year 3 day 334,603 Jun \ 11
156th,Tue,Exile year 3 day 335,603 Jun \ 12
157th,Wed,Exile year 3 day 336,603 Jun \ 13
158th,Thu,Exile year 3 day 337,603 Jun \ 14
159th,Fri,Exile year 3 day 338,603 Jun \ 15
160th S,Sat     New,Exile year 3 day 339,603 Jun \ 16
161st,Sun,Exile year 3 day 340,603 Jun \ 17
162nd,Mon,Exile year 3 day 341,603 Jun \ 18
163rd,Tue,Exile year 3 day 342,603 Jun \ 19
164th,Wed,Exile year 3 day 343,603 Jun \ 20
165th,Thu,Exile year 3 day 344,603 Jun \ 21
166th,Fri,Exile year 3 day 345,603 Jun \ 22
167th,Sat,Exile year 3 day 346,603 Jun \ 23
168th,Sun,Exile year 3 day 347,603 Jun \ 24
169th,Mon,Exile year 3 day 348,603 Jun \ 25
170th,Tue,Exile year 3 day 349,603 Jun \ 26
171st,Wed,Exile year 3 day 350,603 Jun \ 27
172nd,Thu,Exile year 3 day 351,603 Jun \ 28
173rd,Fri,Exile year 3 day 352,603 Jun \ 29
174th,Sat,Exile year 3 day 353,603 Jun \ 30
175th,Sun     Full,Exile year 3 day 354,603 Jul \ 1
176th,Mon,Exile year 3 day 355,603 Jul \ 2
177th,Tue,Exile year 3 day 356,603 Jul \ 3
178th,Wed,Exile year 3 day 357,603 Jul \ 4
179th,Thu,Exile year 3 day 358,603 Jul \ 5
180th,Fri,Exile year 3 day 359,603 Jul \ 6
181st,Sat,Exile year 3 day 360,603 Jul \ 7
182nd,Sun,Exile year 4 day 1,603 Jul \ 8
183rd,Mon,Exile year 4 day 2,603 Jul \ 9
184th,Tue,Exile year 4 day 3,603 Jul \ 10
185th,Wed,Exile year 4 day 4,603 Jul \ 11
186th,Thu,Exile year 4 day 5,603 Jul \ 12
187th,Fri,Exile year 4 day 6,603 Jul \ 13
188th,Sat,Exile year 4 day 7,603 Jul \ 14
189th,Sun     New,Exile year 4 day 8,603 Jul \ 15
190th,Mon,Exile year 4 day 9,603 Jul \ 16
191st,Tue,Exile year 4 day 10,603 Jul \ 17
192nd,Wed,Exile year 4 day 11,603 Jul \ 18
193rd,Thu,Exile year 4 day 12,603 Jul \ 19
194th,Fri,Exile year 4 day 13,603 Jul \ 20
195th,Sat,Exile year 4 day 14,603 Jul \ 21
196th,Sun,Exile year 4 day 15,603 Jul \ 22
197th,Mon,Exile year 4 day 16,603 Jul \ 23
198th,Tue,Exile year 4 day 17,603 Jul \ 24
199th,Wed,Exile year 4 day 18,603 Jul \ 25
200th,Thu,Exile year 4 day 19,603 Jul \ 26
201st,Fri,Exile year 4 day 20,603 Jul \ 27
202nd,Sat,Exile year 4 day 21,603 Jul \ 28
203rd,Sun,Exile year 4 day 22,603 Jul \ 29
204th,Mon,Exile year 4 day 23,603 Jul \ 30
205th,Tue     Full,Exile year 4 day 24,603 Jul \ 31
206th,Wed,Exile year 4 day 25,603 Aug \ 1
207th,Thu,Exile year 4 day 26,603 Aug \ 2
208th,Fri,Exile year 4 day 27,603 Aug \ 3
209th,Sat,Exile year 4 day 28,603 Aug \ 4
210th,Sun,Exile year 4 day 29,603 Aug \ 5
211th,Mon,Exile year 4 day 30,603 Aug \ 6
212th,Tue,Exile year 4 day 31,603 Aug \ 7
213th,Wed,Exile year 4 day 32,603 Aug \ 8
214th,Thu,Exile year 4 day 33,603 Aug \ 9
215th,Fri,Exile year 4 day 34,603 Aug \ 10
216th,Sat,Exile year 4 day 35,603 Aug \ 11
217th,Sun,Exile year 4 day 36,603 Aug \ 12
218th,Mon,Exile year 4 day 37,603 Aug \ 13
219th,Tue     New,Exile year 4 day 38,603 Aug \ 14
220th,Wed,Exile year 4 day 39,603 Aug \ 15
221st,Thu,Exile year 4 day 40,603 Aug \ 16
222nd,Fri,Exile year 4 day 41,603 Aug \ 17
223rd,Sat,Exile year 4 day 42,603 Aug \ 18
224th,Sun,Exile year 4 day 43,603 Aug \ 19
225th,Mon,Exile year 4 day 44,603 Aug \ 20
226th,Tue,Exile year 4 day 45,603 Aug \ 21
227th,Wed,Exile year 4 day 46,603 Aug \ 22
228th,Thu,Exile year 4 day 47,603 Aug \ 23
229th,Fri,Exile year 4 day 48,603 Aug \ 24
230th,Sat,Exile year 4 day 49,603 Aug \ 25
231st,Sun,Exile year 4 day 50,603 Aug \ 26
232nd,Mon,Exile year 4 day 51,603 Aug \ 27
233rd,Tue,Exile year 4 day 52,603 Aug \ 28
234th,Wed     Full,Exile year 4 day 53,603 Aug \ 29
235th,Thu,Exile year 4 day 54,603 Aug \ 30
236th,Fri,Exile year 4 day 55,603 Aug \ 31
237th,Sat,Exile year 4 day 56,603 Sep \ 1
238th,Sun,Exile year 4 day 57,603 Sep \ 2
239th,Mon,Exile year 4 day 58,603 Sep \ 3
240th,Tue,Exile year 4 day 59,603 Sep \ 4
241st,Wed,Exile year 4 day 60,603 Sep \ 5
242nd,Thu,Exile year 4 day 61,603 Sep \ 6
243rd,Fri,Exile year 4 day 62,603 Sep \ 7
244th,Sat,Exile year 4 day 63,603 Sep \ 8
245th,Sun,Exile year 4 day 64,603 Sep \ 9
246th,Mon,Exile year 4 day 65,603 Sep \ 10
247th,Tue,Exile year 4 day 66,603 Sep \ 11
248th,Wed     New,Exile year 4 day 67,603 Sep \ 12
249th,Thu,Exile year 4 day 68,603 Sep \ 13
250th,Fri,Exile year 4 day 69,603 Sep \ 14
251st,Sat,Exile year 4 day 70,603 Sep \ 15
252nd,Sun,Exile year 4 day 71,603 Sep \ 16
253rd,Mon,Exile year 4 day 72,603 Sep \ 17
254th,Tue,Exile year 4 day 73,603 Sep \ 18
255th,Wed,Exile year 4 day 74,603 Sep \ 19
256th,Thu,Exile year 4 day 75,603 Sep \ 20
257th,Fri,Exile year 4 day 76,603 Sep \ 21
258th,Sat,Exile year 4 day 77,603 Sep \ 22
259th,Sun,Exile year 4 day 78,603 Sep \ 23
260th,Mon,Exile year 4 day 79,603 Sep \ 24
261st,Tue,Exile year 4 day 80,603 Sep \ 25
262nd,Wed,Exile year 4 day 81,603 Sep \ 26
263rd,Thu,Exile year 4 day 82,603 Sep \ 27
264th,Fri     Full,Exile year 4 day 83,603 Sep \ 28
265th,Sat,Exile year 4 day 84,603 Sep \ 29
266th EQ,Sun,Exile year 4 day 85,603 Sep \ 30
267th,Mon,Exile year 4 day 86,603 Oct \ 1
268th,Tue,Exile year 4 day 87,603 Oct \ 2
269th,Wed,Exile year 4 day 88,603 Oct \ 3
270th,Thu,Exile year 4 day 89,603 Oct \ 4
271st,Fri,Exile year 4 day 90,603 Oct \ 5
272nd,Sat,Exile year 4 day 91,603 Oct \ 6
273rd,Sun,Exile year 4 day 92,603 Oct \ 7
274th,Mon,Exile year 4 day 93,603 Oct \ 8
275th,Tue,Exile year 4 day 94,603 Oct \ 9
276th,Wed,Exile year 4 day 95,603 Oct \ 10
277th,Thu,Exile year 4 day 96,603 Oct \ 11
278th,Fri     New,Exile year 4 day 97,603 Oct \ 12
279th,Sat,Exile year 4 day 98,603 Oct \ 13
280th,Sun,Exile year 4 day 99,603 Oct \ 14
281st,Mon,Exile year 4 day 100,603 Oct \ 15
282nd,Tue,Exile year 4 day 101,603 Oct \ 16
283rd,Wed,Exile year 4 day 102,603 Oct \ 17
284th,Thu,Exile year 4 day 103,603 Oct \ 18
285th,Fri,Exile year 4 day 104,603 Oct \ 19
286th,Sat,Exile year 4 day 105,603 Oct \ 20
287th,Sun,Exile year 4 day 106,603 Oct \ 21
288th,Mon,Exile year 4 day 107,603 Oct \ 22
289th,Tue,Exile year 4 day 108,603 Oct \ 23
290th,Wed,Exile year 4 day 109,603 Oct \ 24
291st,Thu,Exile year 4 day 110,603 Oct \ 25
292nd,Fri,Exile year 4 day 111,603 Oct \ 26
293rd,Sat     Full,Exile year 4 day 112,603 Oct \ 27
294th,Sun,Exile year 4 day 113,603 Oct \ 28
295th,Mon,Exile year 4 day 114,603 Oct \ 29
296th,Tue,Exile year 4 day 115,603 Oct \ 30
297th,Wed,Exile year 4 day 116,603 Oct \ 31
298th,Thu,Exile year 4 day 117,603 Nov \ 1
299th,Fri,Exile year 4 day 118,603 Nov \ 2
300th,Sat,Exile year 4 day 119,603 Nov \ 3
301st,Sun,Exile year 4 day 120,603 Nov \ 4
302nd,Mon,Exile year 4 day 121,603 Nov \ 5
303rd,Tue,Exile year 4 day 122,603 Nov \ 6
304th,Wed,Exile year 4 day 123,603 Nov \ 7
305th,Thu,Exile year 4 day 124,603 Nov \ 8
306th,Fri,Exile year 4 day 125,603 Nov \ 9
307th,Sat,Exile year 4 day 126,603 Nov \ 10
308th,Sun     New,Exile year 4 day 127,603 Nov \ 11
309th,Mon,Exile year 4 day 128,603 Nov \ 12
310th,Tue,Exile year 4 day 129,603 Nov \ 13
311th,Wed,Exile year 4 day 130,603 Nov \ 14
312th,Thu,Exile year 4 day 131,603 Nov \ 15
313th,Fri,Exile year 4 day 132,603 Nov \ 16
314th,Sat,Exile year 4 day 133,603 Nov \ 17
315th,Sun,Exile year 4 day 134,603 Nov \ 18
316th,Mon,Exile year 4 day 135,603 Nov \ 19
317th,Tue,Exile year 4 day 136,603 Nov \ 20
318th,Wed,Exile year 4 day 137,603 Nov \ 21
319th,Thu,Exile year 4 day 138,603 Nov \ 22
320th,Fri,Exile year 4 day 139,603 Nov \ 23
321st,Sat,Exile year 4 day 140,603 Nov \ 24
322nd,Sun,Exile year 4 day 141,603 Nov \ 25
323rd,Mon     Full,Exile year 4 day 142,603 Nov \ 26
324th,Tue,Exile year 4 day 143,603 Nov \ 27
325th,Wed,Exile year 4 day 144,603 Nov \ 28
326th,Thu,Exile year 4 day 145,603 Nov \ 29
327th,Fri,Exile year 4 day 146,603 Nov \ 30
328th,Sat,Exile year 4 day 147,603 Dec \ 1
329th,Sun,Exile year 4 day 148,603 Dec \ 2
330th,Mon,Exile year 4 day 149,603 Dec \ 3
331st,Tue,Exile year 4 day 150,603 Dec \ 4
332nd,Wed,Exile year 4 day 151,603 Dec \ 5
333rd,Thu,Exile year 4 day 152,603 Dec \ 6
334th,Fri,Exile year 4 day 153,603 Dec \ 7
335th,Sat,Exile year 4 day 154,603 Dec \ 8
336th,Sun,Exile year 4 day 155,603 Dec \ 9
337th,Mon     New,Exile year 4 day 156,603 Dec \ 10
338th,Tue,Exile year 4 day 157,603 Dec \ 11
339th,Wed,Exile year 4 day 158,603 Dec \ 12
340th,Thu,Exile year 4 day 159,603 Dec \ 13
341st,Fri,Exile year 4 day 160,603 Dec \ 14
342nd,Sat,Exile year 4 day 161,603 Dec \ 15
343rd,Sun,Exile year 4 day 162,603 Dec \ 16
344th,Mon,Exile year 4 day 163,603 Dec \ 17
345th,Tue,Exile year 4 day 164,603 Dec \ 18
346th,Wed,Exile year 4 day 165,603 Dec \ 19
347th,Thu,Exile year 4 day 166,603 Dec \ 20
348th,Fri,Exile year 4 day 167,603 Dec \ 21
349th,Sat,Exile year 4 day 168,603 Dec \ 22
350th,Sun,Exile year 4 day 169,603 Dec \ 23
351st,Mon,Exile year 4 day 170,603 Dec \ 24
352nd,Tue     Full,Exile year 4 day 171,603 Dec \ 25
353rd,Wed,Exile year 4 day 172,603 Dec \ 26
354th,Thu,Exile year 4 day 173,603 Dec \ 27
355th,Fri,Exile year 4 day 174,603 Dec \ 28
356th SO,Sat,Exile year 4 day 175,603 Dec \ 29
357th,Sun,Exile year 4 day 176,603 Dec \ 30
358th,Mon,Exile year 4 day 177,603 Dec \ 31
359th,Tue,Exile year 4 day 178,602 Jan \ 1
360th,Wed,Exile year 4 day 179,602 Jan \ 2
361st,Thu,Exile year 4 day 180,602 Jan \ 3
362nd,Fri,Exile year 4 day 181,602 Jan \ 4
363rd,Sat,Exile year 4 day 182,602 Jan \ 5
364th,Sun,Exile year 4 day 183,602 Jan \ 6
365th,Mon,Exile year 4 day 184,602 Jan \ 7
366th,XXXXX,,
