SOLAR,7398,Exile,HISTORICAL
1st,Mon,Exile year 3 day 180,603 Jan \ 8
2nd,Tue,Exile year 3 day 181,603 Jan \ 9
3rd,Wed,Exile year 3 day 182,603 Jan \ 10
4th,Thu,Exile year 3 day 183,603 Jan \ 11
5th,Fri,Exile year 3 day 184,603 Jan \ 12
6th,Sat,Exile year 3 day 185,603 Jan \ 13
7th,Sun,Exile year 3 day 186,603 Jan \ 14
8th,Mon,Exile year 3 day 187,603 Jan \ 15
9th,Tue,Exile year 3 day 188,603 Jan \ 16
10th,Wed,Exile year 3 day 189,603 Jan \ 17
11th,Thu,Exile year 3 day 190,603 Jan \ 18
12th,Fri,Exile year 3 day 191,603 Jan \ 19
13th,Sat     New,Exile year 3 day 192,603 Jan \ 20
14th,Sun,Exile year 3 day 193,603 Jan \ 21
15th,Mon,Exile year 3 day 194,603 Jan \ 22
16th,Tue,Exile year 3 day 195,603 Jan \ 23
17th,Wed,Exile year 3 day 196,603 Jan \ 24
18th,Thu,Exile year 3 day 197,603 Jan \ 25
19th,Fri,Exile year 3 day 198,603 Jan \ 26
20th,Sat,Exile year 3 day 199,603 Jan \ 27
21st,Sun,Exile year 3 day 200,603 Jan \ 28
22nd,Mon,Exile year 3 day 201,603 Jan \ 29
23rd,Tue,Exile year 3 day 202,603 Jan \ 30
24th,Wed,Exile year 3 day 203,603 Jan \ 31
25th,Thu,Exile year 3 day 204,603 Feb \ 1
26th,Fri,Exile year 3 day 205,603 Feb \ 2
27th,Sat     Full,Exile year 3 day 206,603 Feb \ 3
28th,Sun,Exile year 3 day 207,603 Feb \ 4
29th,Mon,Exile year 3 day 208,603 Feb \ 5
30th,Tue,Exile year 3 day 209,603 Feb \ 6
31st,Wed,Exile year 3 day 210,603 Feb \ 7
32nd,Thu,Exile year 3 day 211,603 Feb \ 8
33rd,Fri,Exile year 3 day 212,603 Feb \ 9
34th,Sat,Exile year 3 day 213,603 Feb \ 10
35th,Sun,Exile year 3 day 214,603 Feb \ 11
36th,Mon,Exile year 3 day 215,603 Feb \ 12
36th,Tue,Exile year 3 day 216,603 Feb \ 13
38th,Wed,Exile year 3 day 217,603 Feb \ 14
39th,Thu,Exile year 3 day 218,603 Feb \ 15
40th,Fri,Exile year 3 day 219,603 Feb \ 16
41st,Sat,Exile year 3 day 220,603 Feb \ 17
42nd,Sun,Exile year 3 day 221,603 Feb \ 18
43rd,Mon     New,Exile year 3 day 222,603 Feb \ 19
44th,Tue,Exile year 3 day 223,603 Feb \ 20
45th,Wed,Exile year 3 day 224,603 Feb \ 21
46th,Thu,Exile year 3 day 225,603 Feb \ 22
47th,Fri,Exile year 3 day 226,603 Feb \ 23
48th,Sat,Exile year 3 day 227,603 Feb \ 24
49th,Sun,Exile year 3 day 228,603 Feb \ 25
50th,Mon,Exile year 3 day 229,603 Feb \ 26
51st,Tue,Exile year 3 day 230,603 Feb \ 27
52nd,Wed,Exile year 3 day 231,603 Feb \ 28
53rd,Thu,Exile year 3 day 232,603 Mar \ 1
54th,Fri,Exile year 3 day 233,603 Mar \ 2
55th,Sat,Exile year 3 day 234,603 Mar \ 3
56th,Sun,Exile year 3 day 235,603 Mar \ 4
57th,Mon     Full,Exile year 3 day 236,603 Mar \ 5
58th,Tue,Exile year 3 day 237,603 Mar \ 6
59th X,Wed,Exile year 3 day 238,603 Mar \ 7
60th X,Thu,Exile year 3 day 239,603 Mar \ 8
61st X,Fri,Exile year 3 day 240,603 Mar \ 9
62nd X,Sat,Exile year 3 day 241,603 Mar \ 10
63rd X,Sun,Exile year 3 day 242,603 Mar \ 11
64th X,Mon,Exile year 3 day 243,603 Mar \ 12
65th X,Tue,Exile year 3 day 244,603 Mar \ 13
66th X,Wed,Exile year 3 day 245,603 Mar \ 14
67th X,Thu,Exile year 3 day 246,603 Mar \ 15
68th X,Fri,Exile year 3 day 247,603 Mar \ 16
69th X,Sat,Exile year 3 day 248,603 Mar \ 17
70th X,Sun,Exile year 3 day 249,603 Mar \ 18
