SOLAR,9938,Ezekiel,GREGORIAN 1938
1st,Sat     New,3423,January 1 st
2nd,Sun,3424,January 2 nd
3rd,Mon,3425,January 3 rd
4th,Tue,3426,January 4 th
5th,Wed,3427,January 5 th
6th,Thu,3428,January 6 th
7th,Fri,3429,January 7 th
8th,Sat,3430,January 8 th
9th,Sun,3431,January 9 th
10th,Mon,3432,January 10 th
11th,Tue,3433,January 11 th
12th,Wed,3434,January 12 th
13th,Thu,3435,January 13 th
14th,Fri,3436,January 14 th
15th,Sat,3437,January 15 th
16th,Sun     Full,3438,January 16 th
17th,Mon,3439,January 17 th
18th,Tue,3440,January 18 th
19th,Wed,3441,January 19 th
20th,Thu,3442,January 20 th
21st,Fri,3443,January 21 st
22nd,Sat,3444,January 22 nd
23rd,Sun,3445,January 23 rd
24th,Mon,3446,January 24 th
25th,Tue,3447,January 25 th
26th,Wed,3448,January 26 th
27th,Thu,3449,January 27 th
28th,Fri,3450,January 28 th
29th,Sat,3451,January 29 th
30th,Sun,3452,January 30 th
31st,Mon     New,3453,January 31 st
32nd,Tue,3454,Febuary 1 st
33rd,Wed,3455,Febuary 2 nd
34th,Thu,3456,Febuary 3 rd
35th,Fri,3457,Febuary 4 th
36th,Sat,3458,Febuary 5 th
36th,Sun,3459,Febuary 6 th
38th,Mon,3460,Febuary 7 th
39th,Tue,3461,Febuary 8 th
40th,Wed,3462,Febuary 9 th
41st,Thu,3463,Febuary 10 th
42nd,Fri,3464,Febuary 11 th
43rd,Sat,3465,Febuary 12 th
44th,Sun,3466,Febuary 13 th
45th,Mon     Full,3467,Febuary 14 th
46th,Tue,3468,Febuary 15 th
47th,Wed,3469,Febuary 16 th
48th,Thu,3470,Febuary 17 th
49th,Fri,3471,Febuary 18 th
50th,Sat,3472,Febuary 19 th
51st,Sun,3473,Febuary 20 th
52nd,Mon,3474,Febuary 21 st
53rd,Tue,3475,Febuary 22 nd
54th,Wed,3476,Febuary 23 rd
55th,Thu,3477,Febuary 24 th
56th,Fri,3478,Febuary 25 th
57th,Sat,3479,Febuary 26 th
58th,Sun,3480,Febuary 27 th
59th,Mon,3481,Febuary 28 th
60th,Tue,3482,March 1 st
61st,Wed     New,3483,March 2 nd
62nd,Thu,3484,March 3 rd
63rd,Fri,3485,March 4 th
64th,Sat,3486,March 5 th
65th,Sun,3487,March 6 th
66th,Mon,3488,March 7 th
67th,Tue,3489,March 8 th
68th,Wed,3490,March 9 th
69th,Thu,3491,March 10 th
70th,Fri,3492,March 11 th
71st,Sat,3493,March 12 th
72nd,Sun,3494,March 13 th
73rd,Mon,3495,March 14 th
74th,Tue,3496,March 15 th
75th,Wed     Full,3497,March 16 th
76th,Thu,3498,March 17 th
77th,Fri,3499,March 18 th
78th,Sat,3500,March 19 th
79th,Sun,3501,March 20 th
80th EQ,Mon,3502,March 21 st
81st,Tue,3503,March 22 nd
82nd,Wed,3504,March 23 rd
83rd,Thu,3505,March 24 th
84th,Fri,3506,March 25 th
85th,Sat,3507,March 26 th
86th,Sun,3508,March 27 th
87th,Mon,3509,March 28 th
88th,Tue,3510,March 29 th
89th,Wed,3511,March 30 th
90th,Thu     New,3512,March 31 st
91st,Fri,3513,April 1 st
92nd,Sat,3514,April 2 nd
93rd,Sun,3515,April 3 rd
94th,Mon,3516,April 4 th
95th,Tue,3517,April 5 th
96th,Wed,3518,April 6 th
97th,Thu,3519,April 7 th
98th,Fri,3520,April 8 th
99th,Sat,3521,April 9 th
100th,Sun,3522,April 10 th
101st,Mon,3523,April 11 th
102nd,Tue,3524,April 12 th
103rd,Wed,3525,April 13 th
104th,Thu     Full,3526,April 14 th
105th,Fri,3527,April 15 th
106th,Sat,3528,April 16 th
107th,Sun,3529,April 17 th
108th,Mon,3530,April 18 th
109th,Tue,3531,April 19 th
110th,Wed,3532,April 20 th
111th,Thu,3533,April 21 st
112th,Fri,3534,April 22 nd
113th,Sat,3535,April 23 rd
114th,Sun,3536,April 24 th
115th,Mon,3537,April 25 th
116th,Tue,3538,April 26 th
117th,Wed,3539,April 27 th
118th,Thu,3540,April 28 th
119th,Fri,3541,April 29 th
120th,Sat     New,3542,April 30 th
121st,Sun,3543,May 1 st
122nd,Mon,3544,May 2 nd
123rd,Tue,3545,May 3 rd
124th,Wed,3546,May 4 th
125th,Thu,3547,May 5 th
126th,Fri,3548,May 6 th
127th,Sat,3549,May 7 th
128th,Sun,3550,May 8 th
129th,Mon,3551,May 9 th
130th,Tue,3552,May 10 th
